Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	Leiden_0	Hepatocyte	2.1946814052626e-11	1.01137391947585e-13	NA	3/91	6/205	SERPINA1,SPINK1,KRT18	NEAT1,AMBP,SERPINA1,VTN,SPINK1,RBP4
2	Leiden_0	Epithelial cell	0.00244128627213948	7.85446089576887e-06	0.199392712550607	5/376	13/838	KRT18,TM4SF4,MT-CO2,SEC61G,TUBA1B	NEAT1,MPC2,RARRES2,SPINK1,PRAP1,HSPA5,KRT18,MDK,RBP4,S100A10,HSP90B1,B2M,PTMA
3	Leiden_0	Kupffer cell	0.00823920249408927	0.000227812050527814	NA	5/286	0/87	NEAT1,SERPINA1,CD63,TUBA1B,B2M	
4	Leiden_0	Macrophage	0.00823920249408927	0.000213479965245433	NA	5/281	2/293	NEAT1,SERPINA1,CD63,TUBA1B,B2M	SERPINA1,B2M
5	Leiden_0	Cholangiocyte	0.0126023655765413	0.000428325055707648	0.0979020979020979	2/36	5/109	KRT18,TM4SF4	AMBP,SERPINA1,SPINK1,KRT18,TM4SF4
6	Leiden_0	Monocyte	0.0126023655765413	0.000433074336678988	NA	4/218	3/191	NEAT1,SERPINA1,SEC61G,CD63	NEAT1,SERPINA1,S100A10
7	Leiden_0	Progenitor cell	0.0133209483691835	0.00013880985725052	0.410514541387025	3/178	6/194	KRT18,MDK,TUBA1B	NEAT1,SPINK1,KRT18,MDK,S100A10,PTMA
1	Leiden_1	Effector memory CD8-positive, alpha-beta T cell	2.19606186765265e-38	1.1261855731552e-39	NA	7/44	0/1	IL7R,CXCR4,GZMK,CD69,TRAC,GPR183,CCL5	
2	Leiden_1	CD4-positive, alpha-beta T cell	1.65728876264819e-31	3.09636885154359e-29	5.2244174622417e-06	10/93	26/817	IL7R,ANXA1,GZMK,CD69,TRAC,LTB,TNFAIP3,GPR183,CD2,CCL5	IL7R,CXCR4,ANXA1,GZMK,ZFP36L2,CD3D,RGCC,CD69,RPS29,TRAC,LTB,LEPROTL1,RPS25,S100A4,CD52,RPS27,SRGN,TNFAIP3,RORA,CD3E,SARAF,GPR183,RPL28,RPL31,CD2,CCL5
3	Leiden_1	Effector memory CD4-positive, alpha-beta T cell	3.87484513485116e-31	3.97420013830887e-32	NA	6/26	0/1	IL7R,CXCR4,ANXA1,GZMK,RORA,CCL5	
4	Leiden_1	Central memory CD4-positive, alpha-beta T cell	2.45591509349654e-27	3.14860909422634e-28	NA	6/25	0/1	IL7R,ANXA1,ZFP36L2,CD69,TRAC,LTB	
5	Leiden_1	Memory T cell	3.77779780921302e-27	1.12438337941168e-26	0.000760927442748156	5/16	18/214	IL7R,CD69,LTB,S100A4,GPR183	IL7R,CXCR4,GZMK,ZFP36L2,CD3D,CD69,RPS29,TRAC,LTB,LEPROTL1,CD52,RPS27,TNFAIP3,CD3E,GPR183,RPL28,CD2,CCL5
6	Leiden_1	Helper T cell	4.05519557325354e-25	6.40437390764353e-24	0.000180322542473752	6/57	15/159	IL7R,CXCR4,GZMK,CD69,CD52,GPR183	IL7R,CXCR4,CD3D,CD69,RPS29,TRAC,LTB,S100A4,CD52,RPS27,SRGN,RORA,CD3E,RPL31,CD2
7	Leiden_1	Activated CD4-positive, alpha-beta T cell	6.06210181452435e-22	6.44751754078468e-22	0.00347791763232156	5/30	16/85	IL7R,ANXA1,RGCC,CD69,LTB	IL7R,CXCR4,ANXA1,CD3D,RGCC,CD69,TRAC,LTB,LEPROTL1,S100A4,CD52,TNFAIP3,RORA,CD3E,GPR183,CD2
