Species	Tissue	CellType	Marker	Resource
Human	Liver	Activated CD4-positive, alpha-beta T cell	ANXA1, BATF, CD3D, CD4, CD69, GATA3, ICA1, IFI44L, IL7R, LTB, PMCH	33248023, 35964553, 32426177
Human	Liver	Alternatively activated macrophage	CD163	34140495
Human	Liver	B cell	CD79A, MS4A1, CD19, IGHG1, MZB1, BLNK, CD79B, SLAMF7, BANK1, CD22, CD40, CD74, CD80, CD86, DUSP1, EBF1, EGR1, FCER2, FCRL5, FCRLA, FOS, HLA-DRA, IGHA1, IGHD, IGHG4, IGHM, LINC00926, NR4A1, PTPRC, RALGPS2	34792289, 34497364, 33287869, 35549406, 35183972, 35184420, 32214235, 36460793, 34140495, 33619115, 32351704, 35361683, 33248023, 32976798, 31675496, 35903097, 36108528, 35964553, 36111491, 33332768, 33411796, 35697807, 34355810, 35619708, 35581624, 32505533, 27781378, 29117436, 24056784, 27035756, 24763671, 20955462, 19031716, 14571725, 9453427
Human	Liver	Cancer-associated fibroblast	ACTA2, BGN, COL1A2	33619115, 33332768
Human	Liver	CD14-low, CD16-positive monocyte	CD14, CD68, FCGR3A	35903097
Human	Liver	CD14-positive monocyte	CD14, CD36, CLEC4D, FCN1, ITGAM, MSRB1, RBP7, RETN, S100A8, S100A9, SERPINB2, VCAN	33248023, 35738508
Human	Liver	CD14-positive, CD16-positive monocyte	FCGR3A, FCGR3B, CD14, CX3CR1	33248023
Human	Liver	CD141-positive myeloid dendritic cell	CLEC9A, CLNK, CST3, IDO1, IRF8, LYZ, XCR1	31675496
Human	Liver	CD16-negative natural killer cell	CD160, GNLY, NKG7	35549406
Human	Liver	CD16-positive natural killer cell	FCGR3A, GNLY, NKG7	35549406
Human	Liver	CD1c-positive myeloid dendritic cell	CD1C, CLEC10A, CST3, FCER1A, IRF4, LYZ, VEGFA	31675496
Human	Liver	CD4-positive helper T cell	IL7R	32976798
Human	Liver	CD4-positive, alpha-beta exhausted T cell	CXCL13, TIGIT	35184420, 28622514
Human	Liver	CD4-positive, alpha-beta memory T cell	CCR7, CD3D, IL7R, KLRB1	35903097, 35964553
Human	Liver	CD4-positive, alpha-beta T cell	CD4, CD3D, CTLA4, FOXP3, IL7R, PDCD1, TIGIT, CD160, CD27, CD3E, CD3G, IL2RA, KLRB1, KLRG1, LTB, PRF1, TCF7	35184420, 34140495, 35361683, 36108528, 32426177, 27781378
Human	Liver	CD4-positive, CD25-positive, alpha-beta regulatory T cell	BATF, CCR8, CD177, FOXP3, IKZF2, IKZF4, IL1R1, IL1R2, IL1RL1, IL2RA, LAYN, MAGEH1, MEOX1, TIGIT, TNFRSF4, TNFRSF9, VDR	35738508
Human	Liver	CD8-positive, alpha-beta cytotoxic T cell	CD8A, GZMB, GZMH, NKG7, ANXA1, CCL4, CCL5, CD3D, CD3E, CD3G, CD8B, GNLY, GZMA, GZMK, IFNG, XCL1	35184420, 32976798, 35964553, 32426177, 35619708, 29117436
Human	Liver	CD8-positive, alpha-beta exhausted T cell	LAG3, CCL5, CTLA4, EOMES, GZMA, IFNG, NKG7, PRF1, TIGIT	35184420, 32426177, 28622514
Human	Liver	CD8-positive, alpha-beta memory T cell	FOS, IL7R, JUN, KLRB1	35964553
Human	Liver	CD8-positive, alpha-beta T cell	CD8A, CD3D, CD8B, IFNG, GZMK, MKI67, NKG7, PDCD1, PRF1, CCL5, CD27, CD3E, CD3G, CD69, CTLA4, EOMES, GZMA, GZMB, LAG3, STMN1, TIGIT, TYMS	33287869, 35184420, 34140495, 35361683, 33248023, 35903097, 36108528, 32426177, 32505533, 27781378
Human	Liver	Central memory CD4-positive, alpha-beta T cell	CD3D, CD3E, CD3G, ANXA1, ANXA2, CCR7, S1PR1, SELL, CD74, IL7R, TYROBP	31675496
Human	Liver	Cholangiocyte	KRT7, KRT19, SOX9, ANXA4, CD24, EPCAM, CFTR, FGFR3, FOXA2, GGT1, GGT2P, HES1, HNF1B, HNF4A, JAG1, KRT18, ONECUT1, ONECUT2, PROX1, AQP1, CLDN10, CLDN4, DEFB1, ELF3, FXYD2, KRT8, MMP7, MUC5B, PIGR, SPP1, TM4SF4	34792289, 34497364, 35183972, 36460793, 30272835, 34027339, 30348985, 33602855, 34355810, 34463757, 35581624, 32505533, 35688820, 11685552
Human	Liver	Circulating effector memory T cell	CXCR3	35619708
Human	Liver	Circulating natural killer cell	CD69, FCGR3A, GNLY, GZMB, IFNG, NKG7, CX3CR1, HSPA1A, KLRD1, NCAM1	33248023, 31675496
Human	Liver	Classical monocyte	CD14, S100A12, S100A9, CST3, LYZ, RNASE2, VCAN	35549406, 31675496
Human	Liver	Common dendritic progenitor	CLEC10A, IRF8, PCLAF	35549406
Human	Liver	Dendritic cell	CD1C, ITGAX, LAMP3, CCR7, CLEC10A, CLEC9A, AREG, BIRC3, BTLA, CCL19, CCL21, CD14, CD274, CD68, CD74, CD80, CD83, CLEC4C, CST3, DNASE1L3, FCER1A, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DR family, HLA-DRA, HLA-DRB1, IDO1, IL3RA, JAML, LTB, LYZ, PPP1R14A, S100B, SNX3, TXN, XCR1	35184420, 32214235, 34140495, 32976798, 31675496, 36108528, 35964553, 34355810, 35619708, 32505533, 27781378, 11929763, 16310277, 11798177
Human	Liver	Early lymphoid progenitor	ETS1, GATA3, IL32	35549406
Human	Liver	Early pro-B cell	IL7R, RAG1, ZCCHC7	35549406
Human	Liver	Effector CD4-positive, alpha-beta T cell	CCL20, CD40LG, CD69, PRF1, TNF	32426177
Human	Liver	Effector CD8-positive, alpha-beta T cell	CCL5, CD3D, CD74, CD8A, CD8B, CX3CR1, GZMA, GZMB, GZMK, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5	33248023, 32426177
Human	Liver	Effector memory CD4-positive, alpha-beta T cell	ANXA1, CCL5, GZMA	35184420
Human	Liver	Effector memory CD8-positive, alpha-beta T cell	GZMK, CCL4, CCL5, CD3D, CD3E, CD3G, CXCR4, EOMES, NKG7	35184420, 31675496
Human	Liver	Effector T cell	GZMH, KLRG1, ARG2, BAG3, CCL4, CCL5, CD27, CD3D, CD3E, CD3G, CD40LG, CRTAM, CSF1, CX3CR1, DUSP1, EOMES, FCGR3A, FGFBP2, FOS, GZMA, GZMK, ID2, IFI30, IFIT2, IFNG, IL18R1, JUN, JUNB, LAG3, NR4A1, OASL, PRDM1, S1PR1, TBX21, TNF, TOX, TXNIP, ZEB2	31675496, 35738508
Human	Liver	Endothelial cell	PECAM1, VWF, ENG, CD34, CDH5, PLVAP, CAV1, CLEC14A, CLEC1B, CLEC4G, DNASE1L3, FCGR2B, FCN2, FCN3, KDR, LYVE1, SPARC, SPARCL1, SPRY1, STAB2, AKAP12, AQP1, CALCRL, CCL14, CD14, CD74, COL4A1, DLK1, EMCN, EPAS1, ERG, FABP4, FLT1, ICAM2, INMT, LIFR, MCAM, MGP, PTPRB, PTPRC, RAMP3, S100A13, TEK, TFF3, TFRC, TM4SF1	34792289, 34497364, 33287869, 35183972, 35184420, 32214235, 36460793, 34140495, 30272835, 32976798, 35903097, 36111491, 30348985, 33332768, 33411796, 35697807, 34355810, 34463757, 35619708, 35581624, 32505533, 34746184, 24238062, 26407160, 29527264, 25447507, 18300343, 18225592, 16234507, 11979365, 11407479, 1705261, 28614297
Human	Liver	Endothelial cell of gallbladder sinusoid	FCN2, FCN3	32214235
Human	Liver	Enterocyte	CDX2	30272835
Human	Liver	Epithelial cell	ACE2, ENG, EPCAM, KRT18, KRT8, LGALS4, PECAM1, TMPRSS2	33619115, 33968947, 35964553, 33602855
Human	Liver	Erythrocyte	ALAS2, CA1, HBA2, HBB, HBD	34792289, 35183972, 30348985, 34355810, 35688820
Human	Liver	Erythroid progenitor cell	AHSP, BLVRB, NPM1, UROD	32214235
Human	Liver	Exhausted T cell	PDCD1, CD3D, CD3E, CD3G, GZMB, HAVCR2, ITGAE, CCL3, CD4, CTLA4, CXCL13, LAG3	31675496, 35619708
Human	Liver	Fibroblast	ACTA2, COL1A2, DCN, FAP, PDPN, CALD1, CAV1, COL1A1, COL3A1, COL6A1, FXYD1, IGFBP7, MGP, MSLN, MYL9, PDGFRB, SOD3, SPARC, TPM2, UPK1B, UPK3B	35184420, 32976798, 35903097, 35964553, 36111491, 35697807, 35619708, 32505533, 33905375
Human	Liver	Gamma-delta T cell	CD3D, CD8A, CD69, CXCR3, TRDV2, TRGV9, CCR6, CD27, CD8B, CX3CR1, CXCR6, EOMES, FCER1G, GZMM, IL23R, IL7R, LEF1, PDCD1, STAT4, TBX21, TCF7, TRDC, XCL1	33287869, 35183972, 35361683, 33248023, 35619708
Human	Liver	Helper T cell	IL7R, ABCB1, CAPG, CCR6, CD3D, CD3E, CD3G, CD4, CD40LG, CD69, CXCR4, DPP4, DUSP1, GZMK, IFNGR1, PARP8, PVRIG, SLC4A10	32426177, 35619708, 29117436, 28622514
Human	Liver	Hematopoietic stem cell	CD34, IL1B, SOX4, SPINK2	33248023, 34239074
Human	Liver	Hepatic oval stem cell	ALB, KRT18, KRT19, KRT7, KRT8	33287869
Human	Liver	Hepatic stellate cell	ACTA2, DCN, LRAT, COL1A1, COL3A1, NGFR, RBP1, SYP, COL6A3, COLEC11, CYGB, DPT, FAP, FBLN5, FRZB, GEM, GFAP, PDGFRB, PTN, RGS5	34792289, 34497364, 36460793, 34027339, 30348985, 33332768, 34355810, 35581624, 33905375, 10595912, 24831840, 26407160, 18544127, 18508359, 15843085, 14739096, 12028401
Human	Liver	Hepatic stem cell	KRT19, EPCAM, ALB, CD24, KRT7, AFP, EGF, GSTP1, H19, HGF, PYGB	33619115, 30272835, 33968947, 25826279, 20080086, 21361791, 22879914, 19874130, 19490419
