Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	B	B cell	3.59861198164819e-56	1.42882418895774e-54	7.80747317246376e-07	11/169	12/264	CD79A,MS4A1,IGKC,BANK1,IGLC2,RALGPS2,CD79B,CD74,IGHM,HLA-DRA,PTPRC	CD79A,MS4A1,IGKC,BANK1,IGLC2,RALGPS2,CD79B,CD74,IGHM,HLA-DRA,B2M,MALAT1
2	B	Plasma cell	4.72213480520891e-31	8.86578045710787e-34	0.057421451787649	7/64	7/333	CD79A,MS4A1,IGKC,IGLC2,CD79B,IGHM,PTPRC	CD79A,IGKC,IGLC2,CD79B,CD74,IGHM,B2M
3	B	Granulocyte	7.49311153390585e-26	9.68936836280927e-28	NA	10/69	2/40	CD79A,MS4A1,IGKC,BANK1,IGLC2,CD79B,CD74,IGHM,HLA-DRA,PTPRC	HLA-DRA,FTH1
4	B	Memory B cell	8.67285052969975e-20	1.13716044904108e-22	0.311936936936937	6/39	8/44	MS4A1,BANK1,CD74,IGHM,HLA-DRA,S100A4	CD79A,MS4A1,IGKC,BANK1,RALGPS2,CD74,IGHM,HLA-DRA
5	B	Pro-B cell	1.8030021088567e-15	1.94746520415264e-18	0.565371024734982	6/17	5/73	CD79A,MS4A1,CD79B,CD74,IGHM,HLA-DRA	CD79A,CD79B,CD74,IGHM,HLA-DRA
6	B	Naive B cell	2.8870101367698e-13	5.06651512674844e-16	0.464864864864865	2/22	8/66	MS4A1,IGHM	CD79A,MS4A1,IGKC,BANK1,CD79B,CD74,IGHM,HLA-DRA
7	B	Immature B cell	3.94625353035098e-13	7.35585291262935e-15	0.0506465517241379	2/5	8/119	CD79A,MS4A1	CD79A,MS4A1,BANK1,RALGPS2,CD79B,CD74,IGHM,HLA-DRA
8	B	Plasmacytoid dendritic cell	2.88827121497958e-11	1.1204500402938e-12	NA	7/93	5/295	CD79A,MS4A1,IGKC,IGLC2,CD74,HLA-DRA,PTPRC	IGKC,CD74,IGHM,HLA-DRA,MYL12A
9	B	Macrophage	7.83608416334252e-10	5.64590109673512e-12	0.232032854209446	6/281	9/653	CD74,HLA-DRA,B2M,PTPRC,FTH1,S100A4	CD74,HLA-DRA,TMSB4X,B2M,PTPRC,FTH1,ACTB,S100A4,ITM2B
10	B	Monocyte	1.5198995878045e-09	4.8349455400207e-11	0.0589473684210526	6/218	10/365	CD79A,CD74,HLA-DRA,PTPRC,MALAT1,FTH1	IGKC,IGLC2,CD79B,CD74,HLA-DRA,PTPRC,FTH1,ACTB,S100A4,ITM2B
1	CD4_T	Central memory CD4-positive, alpha-beta T cell	3.17421869570726e-37	1.35073135987544e-38	NA	8/25	0/1	CD4,IL7R,TRAC,TMSB10,IL32,ITGB1,LTB,MAL	
2	CD4_T	CD4-positive, alpha-beta T cell	2.30672812854092e-32	1.28380273511266e-29	1.41603882596664e-06	7/93	24/281	CD4,CD40LG,CD2,TRBC1,IL7R,TRAC,LTB	CD4,TRAT1,CD40LG,CD52,ITM2A,CD2,TRBC1,IL7R,TRAC,IL32,CD3G,CD6,ITGB1,GIMAP7,TRBC2,ARID5B,LTB,RORA,MAF,FYB1,S100A4,MAL,IL6ST,CD3D
3	CD4_T	Helper T cell	2.48025123578453e-29	1.520886388164e-30	0.0188499040064234	6/57	21/159	CD4,CD40LG,CD52,IL7R,IL32,TRBC2	CD4,TRAT1,CD40LG,CD52,ITM2A,CD2,TRBC1,IL7R,TRAC,IL32,CD3G,CD6,GIMAP7,TRBC2,LTB,RORA,CORO1B,FYB1,S100A4,GAPDH,CD3D
