,names,scores,logfoldchanges,pvals,pvals_adj
0,CD8B,205.62625,6.2902026,0.0,0.0
1,CD8A,194.48822,4.989878,0.0,0.0
2,CD3D,168.42928,2.3443098,0.0,0.0
3,CD3G,161.87271,2.322437,0.0,0.0
4,CD3E,148.18654,1.9694092,0.0,0.0
5,TRAC,147.8667,2.135338,0.0,0.0
6,IL32,141.49141,1.9996512,0.0,0.0
7,TRBC2,124.47488,1.732333,0.0,0.0
8,RPS3,122.11875,0.73528403,0.0,0.0
9,RPS12,116.17747,0.6983674,0.0,0.0
10,CD2,113.57855,1.5938416,0.0,0.0
11,MALAT1,111.065346,0.5287848,0.0,0.0
12,GZMM,109.5675,1.6342508,0.0,0.0
13,RPS29,107.3985,0.6778728,0.0,0.0
14,RPS15A,107.33556,0.582288,0.0,0.0
15,RPL14,106.91356,0.58844346,0.0,0.0
16,RPL3,106.89347,0.6804986,0.0,0.0
17,RPL23A,105.75508,0.6150297,0.0,0.0
18,RPS18,103.052986,0.60278904,0.0,0.0
19,CLEC2D,102.603905,1.3365576,0.0,0.0
20,RPS27A,99.60862,0.56562877,0.0,0.0
21,RPS14,99.39293,0.44957775,0.0,0.0
22,RPSA,98.91351,0.7825576,0.0,0.0
23,LCK,98.57408,1.4138014,0.0,0.0
24,RPS6,98.34084,0.601874,0.0,0.0
25,RPS27,98.065636,0.6756512,0.0,0.0
26,RPS21,95.63222,0.53920245,0.0,0.0
27,RPS25,94.83637,0.55213934,0.0,0.0
28,RPL13,92.45391,0.4952103,0.0,0.0
29,RPL27A,91.76075,0.4663829,0.0,0.0
30,RPS19,91.16511,0.5158999,0.0,0.0
31,RPLP2,90.833,0.4554691,0.0,0.0
32,NUCB2,89.99374,1.4522771,0.0,0.0
33,RPL30,89.69376,0.47262886,0.0,0.0
34,IL7R,89.21819,1.4648335,0.0,0.0
35,RPL32,89.171875,0.4727068,0.0,0.0
36,RPL19,88.9775,0.41217902,0.0,0.0
37,RPL41,88.756874,0.3679145,0.0,0.0
38,RPL21,88.72038,0.45717636,0.0,0.0
39,RPL13A,87.70367,0.506207,0.0,0.0
40,LDHB,87.539925,0.9963325,0.0,0.0
41,RPL10A,87.093636,0.5710785,0.0,0.0
42,RPL10,86.685265,0.4447489,0.0,0.0
43,RPS3A,86.598175,0.5076088,0.0,0.0
44,TCF7,86.57319,1.3060063,0.0,0.0
45,RPS5,86.05879,0.6685517,0.0,0.0
46,C12orf57,85.94519,0.97896945,0.0,0.0
47,ETS1,85.716225,1.0608635,0.0,0.0
48,RPL34,85.422646,0.4145625,0.0,0.0
49,NPM1,84.8918,0.63304305,0.0,0.0
50,RPL7A,84.48684,0.38976237,0.0,0.0
51,RPS15,84.005974,0.36673146,0.0,0.0
52,RPS4X,83.32481,0.46775767,0.0,0.0
53,RPS28,82.50566,0.36440974,0.0,0.0
54,CD7,82.01054,1.1258298,0.0,0.0
55,RPL35A,81.80345,0.37059858,0.0,0.0
56,RPS20,81.374916,0.4741989,0.0,0.0
57,HCST,81.325294,0.7962772,0.0,0.0
58,RPL38,81.21632,0.38993406,0.0,0.0
59,CTSW,80.898224,1.3447059,0.0,0.0
60,RPL36,80.743034,0.4375853,0.0,0.0
61,EVL,79.900894,0.8754711,0.0,0.0
62,CCL5,79.310585,1.941658,0.0,0.0
63,RPL5,78.97465,0.44885376,0.0,0.0
64,RPS2,78.856285,0.37966058,0.0,0.0
65,RPS7,78.73961,0.3679683,0.0,0.0
66,GYPC,78.55394,0.99294114,0.0,0.0
67,RPL28,78.35183,0.30558902,0.0,0.0
68,STK17A,78.186226,1.0475996,0.0,0.0
69,SARAF,78.033005,0.62491405,0.0,0.0
70,EEF1B2,78.02039,0.5856718,0.0,0.0
71,RPS16,77.35058,0.38706586,0.0,0.0
72,PRMT2,77.01446,0.8663683,0.0,0.0
73,BCL11B,76.15341,1.2618392,0.0,0.0
74,RPL35,76.10797,0.40134808,0.0,0.0
75,RPL37,76.080986,0.33321926,0.0,0.0
76,SPOCK2,73.43404,1.1473985,0.0,0.0
77,RPL9,73.245,0.3878072,0.0,0.0
78,RPS23,73.05744,0.382047,0.0,0.0
79,RPS4Y1,73.029785,0.8275426,0.0,0.0
80,RPL27,72.9498,0.34229404,0.0,0.0
81,AES,72.87743,0.67352253,0.0,0.0
82,RPL31,72.60807,0.4111104,0.0,0.0
83,RPS10,72.59478,0.48853016,0.0,0.0
84,RPL6,72.29164,0.32099506,0.0,0.0
85,ATM,72.227684,0.7576722,0.0,0.0
86,AAK1,72.15455,0.8031099,0.0,0.0
87,SYNE2,72.05261,1.0973425,0.0,0.0
88,RARRES3,71.91787,0.85228723,0.0,0.0
89,KLF2,71.74472,0.6656996,0.0,0.0
90,RPS8,71.63519,0.4075758,0.0,0.0
91,EEF1A1,70.71129,0.29536858,0.0,0.0
92,CD27,70.69416,1.3973519,0.0,0.0
93,LINC02446,70.673775,5.0169215,0.0,0.0
94,LEPROTL1,70.661224,0.8947299,0.0,0.0
95,LBH,70.07528,1.0898085,0.0,0.0
96,CD96,69.98585,1.3410681,0.0,0.0
97,RPL12,69.444115,0.34275693,0.0,0.0
98,ACAP1,69.22381,0.87603843,0.0,0.0
99,GIMAP7,68.674,0.8088322,0.0,0.0
100,RPLP0,68.17722,0.46296582,0.0,0.0
101,RPL18,67.87169,0.33146647,0.0,0.0
102,RPL37A,67.67572,0.2839099,0.0,0.0
103,OXNAD1,67.54661,1.4552922,0.0,0.0
104,RPL24,67.51631,0.32197443,0.0,0.0
105,LEF1,66.864,1.3986067,0.0,0.0
106,RPL11,66.62054,0.30582902,0.0,0.0
107,CALM1,66.60423,0.49308163,0.0,0.0
108,LAT,66.42562,1.1452008,0.0,0.0
109,TRBC1,66.251335,1.1676828,0.0,0.0
110,RPL26,66.03649,0.25244695,0.0,0.0
111,RPL18A,65.80124,0.35764712,0.0,0.0
112,THEMIS,65.15615,2.272284,0.0,0.0
113,SLFN5,64.75709,0.89042985,0.0,0.0
114,PDE3B,64.608665,1.5162432,0.0,0.0
115,LINC01871,63.715958,1.7787602,0.0,0.0
116,NELL2,63.658604,2.5185235,0.0,0.0
117,RASGRP1,63.646656,1.1462181,0.0,0.0
118,RPL39,63.421967,0.29263264,0.0,0.0
119,NOP53,63.3354,0.48954386,0.0,0.0
120,SKAP1,62.383026,0.97299784,0.0,0.0
121,LINC00861,61.079685,1.0519053,0.0,0.0
122,KIAA1551,61.06021,0.69238013,0.0,0.0
123,TRAF3IP3,61.049488,0.60278857,0.0,0.0
124,MGAT4A,60.518967,0.9652779,0.0,0.0
125,PPP2R5C,60.314976,0.747249,0.0,0.0
126,NOSIP,59.71758,0.8874874,0.0,0.0
127,PIK3IP1,59.71537,0.9643637,0.0,0.0
128,IL2RG,59.449017,0.7808859,0.0,0.0
129,RPL7,59.227043,0.2733631,0.0,0.0
130,KIF2A,58.7915,0.75650734,0.0,0.0
131,HSPA8,58.357635,0.54944456,0.0,0.0
132,CDC42SE2,58.331875,0.6321711,0.0,0.0
133,SLC38A1,58.151,0.93339294,0.0,0.0
134,IKZF3,58.00899,1.0175978,0.0,0.0
135,SAMD3,57.77212,1.1717197,0.0,0.0
136,GCC2,57.523422,0.7003754,0.0,0.0
137,EEF1D,56.941593,0.2933589,0.0,0.0
138,NKG7,56.939644,1.397351,0.0,0.0
139,RPL36A,56.892933,0.41292316,0.0,0.0
140,RPL22,56.67358,0.27878624,0.0,0.0
141,CST7,56.570526,1.239233,0.0,0.0
142,DDX24,56.513046,0.51760143,0.0,0.0
143,ISG20,55.937447,0.69511145,0.0,0.0
144,TRGC2,55.002316,2.2422733,0.0,0.0
145,PIK3R1,54.943676,0.768715,0.0,0.0
146,RPL15,54.936035,0.23620903,0.0,0.0
147,TPT1,54.748814,0.22077368,0.0,0.0
148,HSP90AB1,54.73343,0.4383397,0.0,0.0
149,CAMK4,53.453663,1.1776206,0.0,0.0
150,ITK,53.390747,1.3284429,0.0,0.0
151,B2M,53.128517,0.23873612,0.0,0.0
152,PRKCH,53.057243,1.0238658,0.0,0.0
153,RUNX3,52.86821,0.8070053,0.0,0.0
154,RORA,52.775436,0.82455206,0.0,0.0
155,SNHG8,52.710583,0.6467553,0.0,0.0
156,TXNIP,52.149456,0.42160988,0.0,0.0
157,RPLP1,52.08301,0.21670844,0.0,0.0
158,RPL4,51.629406,0.2881361,0.0,0.0
159,NAP1L4,51.5174,0.7652011,0.0,0.0
160,RPL36AL,51.45071,0.28979394,0.0,0.0
161,GZMH,50.888573,1.7483805,0.0,0.0
162,KLRD1,50.63756,1.1696938,0.0,0.0
163,LYAR,50.200493,1.0432948,0.0,0.0
164,TSTD1,49.762905,0.71209294,0.0,0.0
165,PTPN4,49.69934,0.91382897,0.0,0.0
166,TOMM7,49.470142,0.2806942,0.0,0.0
