,names,scores,logfoldchanges,pvals,pvals_adj
0,CD74,96.47638,3.7307725,0.0,0.0
1,HLA-DPA1,92.96879,3.8436525,0.0,0.0
2,HLA-DPB1,92.936035,3.810715,0.0,0.0
3,HLA-DQA1,92.40379,4.404495,0.0,0.0
4,HLA-DRA,91.82047,4.1852202,0.0,0.0
5,HLA-DMA,87.89696,3.0491297,0.0,0.0
6,CCDC88A,86.55934,2.9849374,0.0,0.0
7,HLA-DQB1,85.90715,3.4949043,0.0,0.0
8,CST3,85.621826,3.9228625,0.0,0.0
9,HLA-DRB1,85.00551,3.5538464,0.0,0.0
10,FCER1A,84.32755,8.65134,0.0,0.0
11,HLA-DMB,80.96862,2.7661705,0.0,0.0
12,CTSZ,79.63957,2.4487827,0.0,0.0
13,PLD4,78.86963,4.9092145,0.0,0.0
14,HLA-DRB5,77.37028,3.218515,0.0,0.0
15,SAMHD1,76.900375,1.8599701,0.0,0.0
16,GSN,74.8708,3.0712943,0.0,0.0
17,RNASE6,74.448105,2.729485,0.0,0.0
18,SPINT2,71.55366,2.4206972,0.0,0.0
19,JAML,70.11556,2.1723793,0.0,0.0
20,CIITA,69.127144,2.7651894,0.0,0.0
21,PHACTR1,67.83258,2.8561664,0.0,0.0
22,ALDH2,67.486465,2.346369,0.0,0.0
23,TUBA1B,67.15465,1.9031501,0.0,0.0
24,SLC25A5,66.68456,1.5301828,0.0,0.0
25,GSTP1,65.54789,1.7857348,0.0,0.0
26,CCDC50,65.52712,3.4083657,0.0,0.0
27,PPP1R14B,65.48886,2.7427378,0.0,0.0
28,HERPUD1,64.653366,2.0931718,0.0,0.0
29,VIM,64.61597,1.4750907,0.0,0.0
30,BCL11A,64.49755,3.0343676,0.0,0.0
31,DPYSL2,64.40176,2.0244362,0.0,0.0
32,RPS11,64.34884,0.6686989,0.0,0.0
33,ACTG1,63.718037,1.1276393,0.0,0.0
34,CLEC10A,63.56802,5.700361,0.0,0.0
35,VAMP8,63.470737,1.4030101,0.0,0.0
36,FCGRT,62.888832,1.9429038,0.0,0.0
37,CAPG,62.627613,2.0658486,0.0,0.0
38,H2AFY,62.373684,1.6527808,0.0,0.0
39,GRN,61.353058,2.0871463,0.0,0.0
40,MGST2,61.280876,2.5035033,0.0,0.0
41,TXN,60.97627,1.8886015,0.0,0.0
42,AP2S1,60.898785,1.5535216,0.0,0.0
43,EIF2AK4,60.726906,2.2475522,0.0,0.0
44,MEF2C,60.607525,1.8473692,0.0,0.0
45,PTPRE,60.49782,1.8463393,0.0,0.0
46,CSF2RA,59.82384,2.478022,0.0,0.0
47,C12orf45,59.33861,2.483399,0.0,0.0
48,CAT,58.68175,1.8332882,0.0,0.0
49,RNASET2,58.64204,1.4078609,0.0,0.0
50,SHTN1,58.56055,2.3558936,0.0,0.0
51,IRF8,58.506783,3.0033796,0.0,0.0
52,CPVL,58.42349,2.3996696,0.0,0.0
53,YBX1,58.353485,0.8846415,0.0,0.0
54,CD1C,58.268764,5.2064195,0.0,0.0
55,GNAS,58.170864,0.9219238,0.0,0.0
56,RNF130,57.895996,1.7853662,0.0,0.0
57,YWHAE,56.924545,1.56873,0.0,0.0
58,RAC1,56.82544,1.3680981,0.0,0.0
59,TMEM14C,56.782753,1.7079414,0.0,0.0
60,ALCAM,56.64887,3.2475784,0.0,0.0
61,ACTB,56.60782,1.0059099,0.0,0.0
62,TAGLN2,56.587936,1.3858407,0.0,0.0
63,SLC25A3,56.56877,1.1956856,0.0,0.0
64,SEC61B,56.43475,1.5237607,0.0,0.0
65,RPS24,56.15078,0.45219362,0.0,0.0
66,FLT3,56.09988,5.3957667,0.0,0.0
67,GPR183,55.954514,2.0794566,0.0,0.0
68,GDI2,55.763496,1.4217143,0.0,0.0
69,SULF2,55.559883,1.737742,0.0,0.0
70,RAB11FIP1,55.145763,1.6670651,0.0,0.0
71,LAP3,54.940235,1.7461203,0.0,0.0
72,IL18,54.9031,2.6259494,0.0,0.0
73,AFF3,54.89788,2.4791787,0.0,0.0
74,ARPC3,54.881443,0.9137469,0.0,0.0
75,TGFBI,54.865196,1.7533841,0.0,0.0
76,TCF4,54.440147,3.349268,0.0,0.0
77,FABP5,54.37876,2.5002613,0.0,0.0
78,ENHO,54.2412,6.736986,0.0,0.0
79,IL13RA1,54.054207,2.2778845,0.0,0.0
80,UNC93B1,54.01462,1.9197876,0.0,0.0
81,PAK1,54.006844,2.000063,0.0,0.0
82,CNPY3,53.772827,1.4519627,0.0,0.0
83,RUFY3,53.72905,2.1125958,0.0,0.0
84,SYK,53.340916,1.6388024,0.0,0.0
85,C1orf162,53.21583,1.5300328,0.0,0.0
86,ATP5MC3,52.64148,1.1698283,0.0,0.0
87,ATP5F1B,52.282154,1.2955908,0.0,0.0
88,KCNK6,52.2027,2.3715365,0.0,0.0
89,MAT2A,52.156727,1.8657123,0.0,0.0
90,ANXA2,52.09487,1.5576454,0.0,0.0
91,PARK7,52.01106,1.1607311,0.0,0.0
92,COX5A,51.90355,1.3093033,0.0,0.0
93,PLEKHO1,51.852707,1.4310424,0.0,0.0
94,EIF3L,51.65887,1.1535107,0.0,0.0
95,ARPC1B,51.63326,1.0743632,0.0,0.0
96,OTULINL,51.25149,1.8001795,0.0,0.0
97,APEX1,50.976257,1.4116813,0.0,0.0
98,PRCP,50.950268,1.8988714,0.0,0.0
99,SYNGR2,50.768105,1.5005028,0.0,0.0
100,UVRAG,50.691776,1.5863057,0.0,0.0
101,OSTC,50.662685,1.4112921,0.0,0.0
102,FCER1G,50.616417,1.85413,0.0,0.0
103,PTRHD1,50.55629,1.6172028,0.0,0.0
104,LGALS2,50.410122,2.2077007,0.0,0.0
105,BID,50.345173,1.4759917,0.0,0.0
106,STX7,50.298943,1.4848369,0.0,0.0
107,CTSH,50.05619,1.7022269,0.0,0.0
108,SSR1,49.9275,1.3960311,0.0,0.0
109,NPC2,49.813828,1.5416201,0.0,0.0
110,RNH1,49.79866,1.3981599,0.0,0.0
111,PEA15,49.74279,2.0958405,0.0,0.0
112,DST,49.69826,2.8625066,0.0,0.0
113,PYCARD,49.65432,1.379309,0.0,0.0
114,MLEC,49.33572,1.6656054,0.0,0.0
115,PGLS,49.25618,1.2766794,0.0,0.0
116,ATP5MF,49.191032,1.081794,0.0,0.0
117,CYBA,49.164494,0.9487319,0.0,0.0
118,HMGA1,49.02824,1.5784118,0.0,0.0
119,PTMS,48.980755,2.4925458,0.0,0.0
120,GAS6,48.955364,5.0251274,0.0,0.0
121,HLA-DOA,48.893047,3.2178814,0.0,0.0
122,AP1S2,48.869442,1.48554,0.0,0.0
123,LILRB4,48.832813,2.5117345,0.0,0.0
124,ITM2C,48.69657,3.864272,0.0,0.0
125,ATP5F1A,48.622852,1.1657543,0.0,0.0
126,SNX3,48.508682,1.2407131,0.0,0.0
127,CD4,48.43214,1.5092175,0.0,0.0
128,SLC25A6,48.429447,0.82426983,0.0,0.0
129,HDAC9,48.409508,2.2069669,0.0,0.0
130,TNFSF13B,48.326378,1.4234765,0.0,0.0
131,LGALS1,48.317265,1.612293,0.0,0.0
132,PPA1,48.27246,1.4207798,0.0,0.0
133,SFT2D2,48.16313,1.5872536,0.0,0.0
134,GLIPR1,48.147057,1.3167763,0.0,0.0
135,GNG5,48.030384,1.0959011,0.0,0.0
136,LSP1,48.01734,1.0830182,0.0,0.0
137,SERPINF1,47.760418,6.1215196,0.0,0.0
138,IGSF6,47.72524,1.6961364,0.0,0.0
139,MPEG1,47.71372,1.4209592,0.0,0.0
140,BASP1,47.661423,2.3641517,0.0,0.0
141,MTDH,47.558064,1.0339301,0.0,0.0
142,GAPT,47.481873,2.0840294,0.0,0.0
143,NREP,47.4477,3.411448,0.0,0.0
144,FES,47.257065,1.8006488,0.0,0.0
145,BCL7A,47.246815,2.7653384,0.0,0.0
146,MYL6,47.111813,0.69797325,0.0,0.0
147,IRF4,47.10738,3.8960357,0.0,0.0
148,RPS6KA4,46.96017,2.191583,0.0,0.0
149,TMEM109,46.921185,1.7339928,0.0,0.0
150,PHB,46.84883,1.5406463,0.0,0.0
151,ATP6V0B,46.71941,1.219864,0.0,0.0
152,SSR3,46.647083,1.2896222,0.0,0.0
153,APP,46.513226,2.360037,0.0,0.0
154,SPECC1,46.472607,1.8923192,0.0,0.0
155,ANXA5,46.439358,1.3763264,0.0,0.0
156,RRBP1,46.349445,1.6283857,0.0,0.0
157,RCC2,46.328865,1.6949629,0.0,0.0
158,CBFA2T3,46.320927,2.7072089,0.0,0.0
159,CALM2,46.317707,0.92782485,0.0,0.0
160,DYNLL1,46.164265,1.190339,0.0,0.0
161,PPIB,46.15858,1.0354598,0.0,0.0
162,DDIT4,46.027985,1.3568374,0.0,0.0
163,IDH3A,46.023056,2.4644215,0.0,0.0
164,LY86,45.899155,1.6128521,0.0,0.0
165,ACAA1,45.8435,1.3753222,0.0,0.0
166,SUB1,45.829433,0.80724823,0.0,0.0
167,PARVG,45.744087,1.3241025,0.0,0.0
168,CFL1,45.733097,0.6713552,0.0,0.0
169,SPIB,45.70396,3.6718245,0.0,0.0
170,LGALS9,45.673008,1.4067692,0.0,0.0
171,NUDT1,45.655823,1.5603007,0.0,0.0
172,SFT2D1,45.651165,1.4102646,0.0,0.0
173,WDFY4,45.647797,2.8140728,0.0,0.0
174,NDUFV2,45.645817,1.203479,0.0,0.0
175,NDRG2,45.626854,4.240939,0.0,0.0
176,MAP3K8,45.577957,1.4300295,0.0,0.0
177,ATP5F1C,45.54386,1.1250539,0.0,0.0
178,FGD2,45.529186,1.6686649,0.0,0.0
179,UBE2E2,45.512333,2.1501026,0.0,0.0
180,PLP2,45.462856,1.3723568,0.0,0.0
181,BRK1,45.438805,1.0067705,0.0,0.0
182,SH2B3,45.052944,1.5820514,0.0,0.0
183,CD33,44.973408,1.8715782,0.0,0.0
184,TPP1,44.959137,1.2432919,0.0,0.0
185,HIP1,44.897976,2.693907,0.0,0.0
186,FTH1,44.791565,0.99501216,0.0,0.0
187,LGMN,44.670406,4.7079134,0.0,0.0
188,GRASP,44.432774,2.4570918,0.0,0.0
189,SPATS2L,44.385014,2.8999934,0.0,0.0
190,FAM49B,44.22346,1.0525218,0.0,0.0
191,SNRNP25,44.195656,2.136237,0.0,0.0
192,MYDGF,44.173737,1.2659668,0.0,0.0
193,LAMTOR2,44.148666,1.2632232,0.0,0.0
194,HSP90B1,44.144558,1.1443237,0.0,0.0
195,PPIA,44.068077,0.6710001,0.0,0.0
196,PFDN2,43.883224,1.2174594,0.0,0.0
197,CLEC4A,43.867485,1.655824,0.0,0.0
198,ATG101,43.830708,2.0008035,0.0,0.0
199,IMPA2,43.660675,2.0143697,0.0,0.0
200,PRDX3,43.646297,1.3558689,0.0,0.0
201,COMT,43.6105,1.2443857,0.0,0.0
202,CD86,43.563015,1.7428699,0.0,0.0
203,UGCG,43.537724,3.2493436,0.0,0.0
204,HINT1,43.30908,0.78445417,0.0,0.0
205,CLIC2,43.308517,4.9952645,0.0,0.0
206,C1QBP,43.29973,1.1345416,0.0,0.0
207,RAB32,43.100716,1.5132967,0.0,0.0
208,ETV6,43.07469,1.5064744,0.0,0.0
209,CACNA2D3,42.957653,3.309213,0.0,0.0
210,ARF5,42.939125,1.2886788,0.0,0.0
211,ERCC1,42.856846,1.4707804,0.0,0.0
212,ADAM28,42.695885,2.0602818,0.0,0.0
213,PON2,42.642887,3.3944542,0.0,0.0
214,REPIN1,42.58074,1.864589,0.0,0.0
215,DNAJC15,42.469048,1.2243637,0.0,0.0
216,LMO2,42.41933,1.3972193,0.0,0.0
217,CORO1C,42.40375,1.6249479,0.0,0.0
218,ARF3,42.310143,1.3483162,0.0,0.0
219,SEMA4A,42.29921,1.7691171,0.0,0.0
220,CLN8,42.26009,2.2380705,0.0,0.0
221,TM9SF2,42.23899,1.2754941,0.0,0.0
222,HMGN1,42.01502,0.9475764,0.0,0.0
223,RAB34,42.006775,2.0572488,0.0,0.0
224,SKAP2,42.00607,1.1751913,0.0,0.0
225,IRF7,41.98637,2.5674157,0.0,0.0
226,DNAJC4,41.975166,1.3430979,0.0,0.0
227,NIPSNAP3A,41.923473,1.8790154,0.0,0.0
228,SERF2,41.83,0.5155043,0.0,0.0
229,CRYBG3,41.670044,2.1379342,0.0,0.0
230,DAB2,41.521072,2.4905891,0.0,0.0
231,GNAQ,41.51413,1.2575631,0.0,0.0
232,DDAH2,41.459946,1.618413,0.0,0.0
233,SLC1A5,41.449646,2.2165902,0.0,0.0
234,EIF4A3,41.393166,1.5741254,0.0,0.0
235,VDAC1,41.367878,1.1726184,0.0,0.0
236,TPM4,41.273163,1.075649,0.0,0.0
237,DAPP1,41.251465,1.3134698,0.0,0.0
238,MTMR14,41.245785,1.3630927,0.0,0.0
239,VPS35,41.22718,1.1792873,0.0,0.0
240,GPAT3,41.219803,2.6134236,0.0,0.0
241,DDOST,41.20186,1.2091744,0.0,0.0
242,CFP,41.196896,1.4397291,0.0,0.0
243,RPL15,41.173016,0.42651635,0.0,0.0
244,TMED10,41.13514,1.1372068,0.0,0.0
245,KCTD12,41.06536,1.1675562,0.0,0.0
246,HNRNPAB,41.006638,1.1435935,0.0,0.0
247,OPN3,41.00537,2.5256827,0.0,0.0
248,DBI,40.914326,0.94011265,0.0,0.0
249,LAMTOR1,40.86561,0.99810183,0.0,0.0
250,RBPJ,40.71906,1.2374353,0.0,0.0
251,CTSB,40.598305,1.138988,0.0,0.0
252,S100A10,40.528484,1.0216832,0.0,0.0
253,MYCL,40.512005,2.7461114,0.0,0.0
254,C20orf27,40.47195,1.4988232,0.0,0.0
255,IRF2BP2,40.39897,1.1252022,0.0,0.0
256,CSTB,40.27156,1.0119373,0.0,0.0
257,BTK,40.1974,1.3431023,0.0,0.0
258,KLF10,40.19403,1.1428132,0.0,0.0
259,THEMIS2,40.19231,1.1432936,0.0,0.0
260,CNDP2,40.127953,1.2957947,0.0,0.0
261,RAB31,40.06902,1.2827661,0.0,0.0
262,FEZ2,39.966297,1.5425389,0.0,0.0
263,PRELID1,39.910213,0.9607806,0.0,0.0
264,CYC1,39.78045,1.220466,0.0,0.0
265,JAK2,39.77924,1.3583837,0.0,0.0
266,UPK3A,39.687855,3.2634368,0.0,0.0
267,POMP,39.67374,0.979521,0.0,0.0
268,NDUFB5,39.574947,1.1133455,0.0,0.0
269,EIF4EBP1,39.565296,1.2858624,0.0,0.0
270,NANS,39.564083,1.5482247,0.0,0.0
271,CD1D,39.515526,1.8795502,0.0,0.0
272,COX8A,39.474277,0.82788944,0.0,0.0
273,NAGK,39.45782,1.1623914,0.0,0.0
274,FKBP1A,39.450466,1.0061185,0.0,0.0
275,ADI1,39.43779,1.1957757,0.0,0.0
276,GAPDH,39.384686,0.829335,0.0,0.0
277,ATP5MG,39.374413,0.569623,0.0,0.0
278,MIS18BP1,39.373367,1.0684857,0.0,0.0
279,PLSCR1,39.33493,1.2814485,0.0,0.0
280,P2RY14,39.28308,4.6729136,0.0,0.0
281,ARL4C,39.23294,1.1074202,0.0,0.0
282,BAG1,39.173374,1.1395587,0.0,0.0
283,ERP29,39.17147,0.84143597,0.0,0.0
284,CRTAP,39.142452,1.1646724,0.0,0.0
285,COTL1,39.116425,1.2667958,0.0,0.0
286,CD302,39.102592,1.1117324,0.0,0.0
287,NDUFS8,38.962654,1.086054,0.0,0.0
288,ATP5PB,38.952225,0.9727066,0.0,0.0
289,KIAA0930,38.924217,1.3041284,0.0,0.0
290,SOX4,38.92355,1.7929642,0.0,0.0
291,RAB7A,38.91872,1.0768391,0.0,0.0
292,DUSP23,38.908207,1.5012542,0.0,0.0
293,PPM1G,38.841557,1.0482537,0.0,0.0
294,RPL23,38.84128,0.47450384,0.0,0.0
295,FKBP2,38.811733,1.140831,0.0,0.0
296,TMSB10,38.77436,0.40171748,0.0,0.0
297,LMO4,38.61246,1.182276,0.0,0.0
298,CCDC6,38.534046,1.4187849,0.0,0.0
299,TIMM13,38.457634,1.1470057,0.0,0.0
300,DSE,38.434647,1.7109506,0.0,0.0
301,RTN4,38.3285,0.9777783,0.0,0.0
302,DECR1,38.23235,1.1372769,0.0,0.0
303,LST1,38.175354,1.2799771,0.0,0.0
304,SLC8A1,38.134605,1.4801184,0.0,0.0
305,FCHSD2,38.123177,1.6471401,0.0,0.0
306,ATP5MC1,38.108196,1.0301555,0.0,0.0
307,PEBP1,38.107464,0.97099775,0.0,0.0
308,NDUFA4,38.06154,0.7035618,0.0,0.0
309,RUNX2,38.05958,2.4633114,0.0,0.0
310,ARPC2,38.04517,0.6512397,0.0,0.0
311,PHPT1,38.008686,1.0725787,0.0,0.0
312,RPLP0,37.994663,0.6242611,0.0,0.0
313,LAPTM4A,37.973877,1.0340328,0.0,0.0
314,SPI1,37.970596,1.2666022,0.0,0.0
315,ATG3,37.8863,1.1036342,0.0,0.0
316,LYN,37.873695,1.0203977,0.0,0.0
317,H3F3A,37.85402,0.51615375,0.0,0.0
318,CCDC47,37.829422,1.2979414,0.0,0.0
319,GNB4,37.779434,1.3998364,0.0,0.0
320,EIF3K,37.714123,0.6357631,0.0,0.0
321,CHCHD2,37.688404,0.6612492,0.0,0.0
322,ATP5MC2,37.6783,0.61928326,0.0,0.0
323,MIF4GD,37.55848,1.4743409,1.0243900774272935e-308,9.56991487931938e-307
324,PTTG1IP,37.524162,1.1118844,3.718413531639587e-308,3.464115361781346e-306
325,APPL1,37.513355,1.0489101,5.57911527214839e-308,5.1831680885682184e-306
326,YIF1B,37.499706,1.7014081,9.312856526110477e-308,8.604258462057663e-306
327,MARCH1,37.488693,0.96983653,1.407745359128958e-307,1.297059446551291e-305
