,names,scores,logfoldchanges,pvals,pvals_adj
0,CAVIN2,77.244514,8.8725395,0.0,0.0
1,H3F3A,76.39585,1.9490206,0.0,0.0
2,GNG11,75.88458,8.671341,0.0,0.0
3,PF4,74.01013,8.774657,0.0,0.0
4,PPBP,73.84505,8.908264,0.0,0.0
5,NRGN,73.366295,6.5066285,0.0,0.0
6,TUBB1,72.23193,8.946916,0.0,0.0
7,HIST1H2AC,71.0634,5.8246145,0.0,0.0
8,CLU,70.76305,7.9270787,0.0,0.0
9,PRKAR2B,69.62456,7.6743617,0.0,0.0
10,OAZ1,69.55311,2.312885,0.0,0.0
11,TAGLN2,69.10117,2.8825872,0.0,0.0
12,RGS18,67.929924,5.336926,0.0,0.0
13,GNAS,67.28784,2.1220171,0.0,0.0
14,SPARC,67.12251,8.489274,0.0,0.0
15,LIMS1,66.41946,3.778679,0.0,0.0
16,MTURN,65.81909,5.8599777,0.0,0.0
17,TSC22D1,65.14934,5.9980555,0.0,0.0
18,FTH1,64.79262,1.9641664,0.0,0.0
19,NAP1L1,64.75209,1.8086914,0.0,0.0
20,PGRMC1,63.613266,5.2648034,0.0,0.0
21,GP9,63.245018,9.611342,0.0,0.0
22,TLN1,62.855762,2.7309513,0.0,0.0
23,F13A1,62.824833,5.0491853,0.0,0.0
24,OST4,61.900307,2.2533412,0.0,0.0
25,TREML1,60.21553,9.266634,0.0,0.0
26,MAP3K7CL,60.177933,6.299098,0.0,0.0
27,SH3BGRL3,59.875248,1.7145417,0.0,0.0
28,MTPN,59.855972,2.1870973,0.0,0.0
29,RUFY1,59.77646,4.426401,0.0,0.0
30,VCL,59.43097,3.852132,0.0,0.0
31,MT-ND2,59.358795,1.1475971,0.0,0.0
32,ACRBP,58.50981,7.577919,0.0,0.0
33,MMD,58.341274,5.669388,0.0,0.0
34,BEX3,58.07427,4.846421,0.0,0.0
35,TPM4,57.555946,3.1127942,0.0,0.0
36,CALM3,56.89796,2.6942346,0.0,0.0
37,ITGA2B,56.73484,9.063041,0.0,0.0
38,NCOA4,56.71547,3.110637,0.0,0.0
39,MYL6,56.57403,1.6163799,0.0,0.0
40,TMSB4X,56.371513,1.1770761,0.0,0.0
41,MARCH2,55.673935,4.2154255,0.0,0.0
42,RGS10,55.054462,2.840918,0.0,0.0
43,TUBA4A,54.981052,3.721242,0.0,0.0
44,MPIG6B,54.820557,8.333511,0.0,0.0
45,ITM2B,54.783478,1.2826849,0.0,0.0
46,SERF2,54.73346,1.2345514,0.0,0.0
47,CMTM5,54.708878,9.359798,0.0,0.0
48,TIMP1,54.552895,2.441825,0.0,0.0
49,CCL5,54.516415,3.0528715,0.0,0.0
50,YWHAH,53.71305,3.2712822,0.0,0.0
51,MPP1,53.633133,4.089221,0.0,0.0
52,ODC1,52.998833,3.9702287,0.0,0.0
53,CTSA,52.688602,3.2769747,0.0,0.0
54,C2orf88,52.57454,7.958503,0.0,0.0
55,MYL9,52.088543,8.651807,0.0,0.0
56,GPX4,52.068893,1.803781,0.0,0.0
57,MAX,51.7399,3.030337,0.0,0.0
58,PRDX6,51.368523,2.4401708,0.0,0.0
59,ARPC1B,50.97183,1.5823151,0.0,0.0
60,RAP1B,50.778797,1.8500289,0.0,0.0
61,KIF2A,50.012753,2.7238877,0.0,0.0
62,TPM1,49.55571,4.5988827,0.0,0.0
63,TGFB1,49.268818,2.2188697,0.0,0.0
64,CD9,49.21698,5.737656,0.0,0.0
65,PDLIM1,48.7672,4.5237756,0.0,0.0
66,SNCA,48.667816,5.6482787,0.0,0.0
67,FERMT3,48.57277,2.5950277,0.0,0.0
68,GRAP2,47.63062,4.072604,0.0,0.0
69,PTCRA,47.4145,7.7980504,0.0,0.0
70,LAMTOR1,47.273685,2.0992262,0.0,0.0
71,MYL12A,46.568726,1.2745008,0.0,0.0
72,ACTB,46.430286,0.9924984,0.0,0.0
73,CTTN,46.18939,8.977535,0.0,0.0
74,TMEM40,45.920868,8.9347105,0.0,0.0
75,NT5C3A,45.59882,3.1852696,0.0,0.0
76,HLA-E,45.21514,0.9644728,0.0,0.0
77,CDKN2D,45.154305,2.2658515,0.0,0.0
78,SLC40A1,45.121605,4.1908193,0.0,0.0
79,SAT1,44.722546,1.7452264,0.0,0.0
80,ARHGAP18,44.194798,4.050977,0.0,0.0
81,HMGB1,43.904232,0.8074415,0.0,0.0
82,AC147651.1,43.34108,8.971766,0.0,0.0
83,PKM,42.939575,1.9665889,0.0,0.0
84,SH3BGRL2,42.77778,6.9964695,0.0,0.0
85,CTDSPL,42.41944,5.7103124,0.0,0.0
86,HIST1H3H,41.823326,6.6178083,0.0,0.0
87,DAPP1,41.8032,3.1162038,0.0,0.0
88,DYNLL1,41.618572,1.6904453,0.0,0.0
89,DAB2,40.294353,4.744964,0.0,0.0
90,PPDPF,40.120712,1.3994092,0.0,0.0
91,AP003068.2,39.991924,6.7206883,0.0,0.0
92,CLDN5,39.846096,8.9663725,0.0,0.0
93,FKBP1A,39.71008,1.5660065,0.0,0.0
94,ITGB1,39.708282,1.5933326,0.0,0.0
95,SNN,39.51895,3.1808817,0.0,0.0
96,TSPAN33,39.40974,4.7954025,0.0,0.0
97,GMPR,39.21832,6.890373,0.0,0.0
98,MYLK,39.212437,7.6144185,0.0,0.0
99,TRIM58,39.02806,7.2008805,0.0,0.0
100,LEPROT,38.928806,2.2481153,0.0,0.0
101,RAB32,38.71021,2.634881,0.0,0.0
102,RSU1,38.330124,2.9756489,0.0,0.0
103,UQCRH,38.323864,1.0462824,0.0,0.0
104,TMEM140,38.14996,5.4643664,0.0,0.0
105,RAB27B,37.82355,5.484301,0.0,0.0
106,MGLL,37.45135,4.5817976,5.710383259124133e-307,6.839815490875185e-305
107,FTL,37.30597,0.99485886,1.3132063059647184e-304,1.5507856721635467e-302
108,HIST1H2BJ,36.696766,7.084223,8.223881777197256e-295,9.478094400125141e-293
109,PTMA,36.3676,0.3819469,1.3851062981596168e-289,1.5588488264321216e-287
110,SNAP23,36.35506,2.2358742,2.1857486954554276e-289,2.4516936370630142e-287
111,CA2,36.28964,6.0890603,2.3571807334998586e-288,2.6264161940238624e-286
112,EIF2AK1,36.288956,2.420844,2.4163907075459658e-288,2.6834738923733974e-286
113,B2M,36.189407,0.3565039,8.935623179319143e-287,9.825669842229687e-285
114,CD99,36.177277,1.454067,1.3863435691875784e-286,1.5145013232382084e-284
115,YWHAZ,35.842865,0.9477588,2.375442958549574e-281,2.5211267703745444e-279
116,PTGS1,35.79319,5.282574,1.4095898440320225e-280,1.4819694103180553e-278
117,ARPC5,35.674686,0.997025,9.762607892816572e-279,1.0105504429298833e-276
118,SH3BGRL,35.50952,1.1664964,3.504708879728252e-276,3.551085389979641e-274
119,PTPN18,35.483036,2.232426,8.979742549620205e-276,9.071162820155494e-274
120,RAB11A,35.48163,2.318271,9.43992246552695e-276,9.507390980445731e-274
121,ARF1,35.37795,1.423778,3.728499922312968e-274,3.699598532382613e-272
122,TALDO1,35.24903,1.3495916,3.550053881785151e-272,3.481336464541239e-270
123,CD151,35.108162,3.4989772,5.060589605220822e-270,4.877070522410802e-268
124,MGAT4B,35.04951,3.2239935,3.966397195812691e-269,3.800715118661887e-267
125,PDZK1IP1,34.617916,8.864157,1.3583818425115213e-262,1.2515772042349287e-260
126,SMOX,34.58665,7.444661,4.010904440779743e-262,3.6854167982156445e-260
127,CLEC1B,34.58577,8.463601,4.1352984290612485e-262,3.7893343910889665e-260
128,LMNA,34.42979,3.7794409,9.036886889861626e-260,8.169248315692163e-258
129,PLEKHO1,34.421032,1.9115894,1.2220549604552569e-259,1.101754818917968e-257
130,RNF11,34.41728,3.1008887,1.390767738948348e-259,1.2471542360654997e-257
131,TUBA1C,34.251858,3.4285624,4.092168793087899e-257,3.60218259796803e-255
132,ARHGAP6,34.09329,7.3948607,9.274389787693272e-255,8.100116789053567e-253
133,GAS2L1,33.93829,4.880975,1.81581626853617e-252,1.5736135920973144e-250
134,FLNA,33.625565,1.329309,7.098687063822467e-248,6.057907550800965e-246
135,TLK1,33.343735,2.1394815,8.979097815725389e-244,7.528524563594952e-242
136,RIOK3,33.279305,1.9034207,7.694049764034519e-243,6.418981119059445e-241
137,TPM3,33.22121,0.7011164,5.31919135764777e-242,4.404815796365208e-240
138,NORAD,33.09388,1.9056753,3.6398550943634573e-240,2.984681177378035e-238
139,C9orf16,32.96748,1.3766801,2.376497108459088e-238,1.9251922710990553e-236
140,ENKUR,32.82761,8.609364,2.377698709030361e-236,1.907733476159336e-234
141,CARD19,32.78241,2.4336998,1.0488028641984859e-235,8.394928510617856e-234
142,MCUR1,32.643795,3.2915814,9.814495036362075e-234,7.781525638995538e-232
143,CAPZA2,32.56496,1.6061784,1.2858969350098496e-232,1.0147390919143609e-230
144,NT5M,32.537308,6.8581343,3.1659030525044053e-232,2.492442642603116e-230
145,PDE5A,32.329777,7.3103175,2.669973574678952e-229,2.0824552034321557e-227
146,GAPDH,32.15645,0.6511814,7.177280149570941e-227,5.483180447751942e-225
147,CXCL5,31.773945,8.557529,1.483004599897678e-221,1.0979472024584618e-219
148,ACTN1,31.732422,2.4621475,5.550328980993978e-221,4.082169591328422e-219
149,TAL1,31.610327,8.661087,2.663010249434299e-219,1.9543115480421776e-217
150,MYH9,31.280355,1.2549038,8.633791159488232e-215,6.173989081170923e-213
151,GSTO1,31.11353,1.8074924,1.5804525562105191e-212,1.1158993227408083e-210
152,PDGFA,31.03336,8.321043,1.9133138371579445e-211,1.3452561733879067e-209
153,DMTN,30.915789,5.3973284,7.328374445120141e-210,5.120396294592485e-208
154,ANO6,30.781012,2.7571087,4.705067924521365e-208,3.260300992822263e-206
155,ARHGDIB,30.736834,0.4779654,1.8337060914024605e-207,1.2654081253797474e-205
156,H2AFJ,30.545597,2.075891,6.469488265765872e-205,4.392180110470765e-203
157,RBX1,30.410398,1.3471539,4.0026344233110463e-203,2.6848070657801177e-201
158,ANKRD9,30.368319,5.501546,1.4398076359381406e-202,9.581005653589953e-201
159,GNAZ,30.171164,7.582398,5.661361891270862e-200,3.701184310125579e-198
160,MFSD1,30.08623,2.3375406,7.336515660525913e-199,4.759227509143483e-197
161,LYL1,30.022694,2.5198379,4.962691470059163e-198,3.2007451254393116e-196
162,ACTG1,29.802633,0.50468594,3.611472965767516e-195,2.2939693243543746e-193
163,ILK,29.694168,2.4492505,9.132281774769441e-194,5.73555180079059e-192
164,SOD2,29.632751,1.2850093,5.658316552449421e-193,3.5012660615507137e-191
165,ENDOD1,29.616951,4.1526237,9.041070385121349e-193,5.584151354994471e-191
166,LGALSL,29.36613,8.383886,1.4872830725578112e-189,9.069181761353432e-188
167,ITGB3,29.201748,8.800713,1.8426156556557982e-187,1.1134710605294443e-185
168,NDUFAF3,28.685104,1.9797695,5.85276231032571e-181,3.413738128064412e-179
169,PARVB,28.44722,3.2841275,5.274584360245762e-178,3.0136117593513176e-176
