Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	Clus_ASDC	Plasmacytoid dendritic cell	5.44983192657148e-25	3.0650060655536e-25	0.000232919516872574	9/93	15/295	PLAC8,SOX4,TCF4,CST3,IRF8,LILRA4,CCDC50,PLD4,HLA-DPA1	PLAC8,SOX4,TCF4,APP,C12orf75,IRF8,LILRA4,DAB2,TXN,ALOX5AP,PLP2,CCDC50,PLD4,RAB11FIP1,HLA-DPA1
2	Clus_ASDC	Plasmacytoid dendritic cell, human	2.57168701423513e-12	3.3254573459937e-14	NA	3/5	0/1	LILRA4,CCDC50,PLD4	
3	Clus_ASDC	Monocyte	1.96944041817891e-09	1.0447231116724e-11	0.114226375908619	9/218	12/365	CST3,ANXA2,TXN,ALOX5AP,HLA-DPA1,MALAT1,S100A9,CD52,FTL	S100A10,PLAC8,CST3,SAMHD1,ANXA2,CTSH,FCGRT,ALOX5AP,HLA-DPA1,S100A9,CD52,FTL
4	Clus_ASDC	Suppressor macrophage	3.29992904457332e-07	7.11191604433904e-09	NA	2/16	0/1	CST3,S100A9	
5	Clus_ASDC	CD1c-positive myeloid dendritic cell	0.000142688297761813	3.69021459728827e-06	NA	2/15	3/35	CST3,S100A9	CST3,HLA-DPA1,S100A9
6	Clus_ASDC	Myeloid dendritic cell	0.000179299120280191	6.18272828552383e-06	NA	4/63	0/1	CST3,PLD4,HLA-DPA1,S100A9	
7	Clus_ASDC	Macrophage	0.000200407203330414	4.08037482864345e-06	0.122877122877123	6/281	18/653	CST3,ALOX5AP,HLA-DPA1,S100A9,CD52,FTL	S100A10,PLAC8,CST3,SAMHD1,ANXA2,AXL,CTSH,FCGRT,IRF8,DAB2,ALOX5AP,RAC1,PLD4,HLA-DPA1,TMSB4X,S100A9,CD52,FTL
8	Clus_ASDC	Classical monocyte	0.000602752539470983	2.95754707634944e-05	NA	3/122	2/66	PLAC8,CST3,S100A9	CST3,S100A9
9	Clus_ASDC	Granulocyte	0.00147448676010087	8.26221029366865e-05	NA	3/69	3/40	TCF4,HLA-DPA1,S100A9	CST3,S100A9,FTL
10	Clus_ASDC	Activated CD4-positive, alpha-beta T cell	0.00278307969122063	0.000167944464125383	NA	2/32	4/430	CST3,HLA-DPA1	S100A10,ALOX5AP,TMSB4X,CD52
1	Clus_B_intermediate	Memory B cell	8.3687398518178e-18	2.42463525367166e-21	0.919247787610619	6/39	9/44	IGHM,MS4A1,BANK1,GPR183,TNFRSF13B,HLA-DRA	IGHM,RALGPS2,MS4A1,BANK1,CD79A,PLAC8,HLA-DPA1,HLA-DPB1,HLA-DRA
2	Clus_B_intermediate	Naive B cell	5.05994973336646e-15	2.189524630161e-18	0.955307262569832	2/22	7/66	IGHM,MS4A1	IGHM,MS4A1,BANK1,CD79A,HLA-DPA1,HLA-DPB1,HLA-DRA
3	Clus_B_intermediate	Granulocyte	5.90515465438834e-15	1.27266264103197e-16	NA	8/69	1/40	IGHM,MS4A1,BANK1,CD79A,TCF4,HLA-DPA1,HLA-DPB1,HLA-DRA	HLA-DRA
4	Clus_B_intermediate	Plasmacytoid dendritic cell	4.66687585412594e-11	1.22564902408729e-12	0.0308641975308642	8/93	11/295	MS4A1,GPR183,CD79A,TCF4,CCDC50,PLAC8,HLA-DPA1,HLA-DRA	IGHM,GPR183,COTL1,TCF4,CCDC50,PLAC8,HLA-DPA1,RGS2,CXXC5,HLA-DPB1,HLA-DRA
5	Clus_B_intermediate	Immature B cell	4.78655138795839e-11	1.75294128477329e-11	0.00259732664945611	2/5	18/119	MS4A1,CD79A	LINC01857,IGHM,RALGPS2,MS4A1,ARHGAP24,BANK1,GPR183,TNFRSF13B,FCRL2,CD79A,POU2F2,FCRL3,COTL1,CCDC50,EMP3,CLECL1,CIB1,HLA-DRA
6	Clus_B_intermediate	Plasma cell	2.10895349513231e-09	7.27225343149071e-11	NA	4/64	4/333	IGHM,MS4A1,CD79A,TCF4	IGHM,TNFRSF13B,CD79A,RGS2
7	Clus_B_intermediate	Dendritic cell	6.42821291710722e-09	1.92312621570013e-10	0.0491452991452991	6/143	8/307	GPR183,TCF4,PLAC8,HLA-DPA1,HLA-DPB1,HLA-DRA	GPR183,COTL1,TCF4,PLAC8,HLA-DPA1,RGS2,HLA-DPB1,HLA-DRA
8	Clus_B_intermediate	Pro-B cell	2.16311207288328e-07	7.92954004471117e-10	0.574610244988864	4/17	6/73	IGHM,MS4A1,CD79A,HLA-DRA	IGHM,CD79A,TCF4,CCDC50,PLAC8,HLA-DRA
9	Clus_B_intermediate	Natural killer cell	0.000318640167510807	2.06017349683711e-05	NA	5/150	4/223	CD79A,PLAC8,RGS2,HLA-DPB1,HLA-DRA	JUND,PLAC8,RGS2,JUNB
10	Clus_B_intermediate	Monocyte	0.00170716160621339	3.23611479721482e-05	0.308917197452229	5/218	10/365	CD79A,COTL1,HLA-DPA1,HLA-DPB1,HLA-DRA	GPR183,POU2F2,COTL1,PLAC8,HLA-DPA1,EMP3,RGS2,JUNB,HLA-DPB1,HLA-DRA
1	Clus_B_memory	Memory B cell	1.20745735429281e-21	5.3292112065169e-23	0.00336881215757341	8/39	6/44	AIM2,HLA-DRA,BLK,BANK1,CD74,MS4A1,S100A10,IGHG1	HLA-DRA,BANK1,CD74,TXNIP,MS4A1,HLA-DPB1
2	Clus_B_memory	Granulocyte	2.93269401588062e-16	3.79227674467322e-18	NA	8/69	1/40	HLA-DRA,BANK1,TNFRSF13C,CD74,IGHA1,MS4A1,JCHAIN,HLA-DPB1	HLA-DRA
3	Clus_B_memory	Plasma cell	7.94144561278614e-14	1.71151845103149e-15	NA	4/64	4/333	IGHA1,MS4A1,JCHAIN,IGHG1	CD74,IGHA1,JCHAIN,IGHG1
4	Clus_B_memory	Dendritic cell	1.30667302292787e-13	6.33569360377409e-15	0.0140519836556531	5/143	6/307	LTB,HLA-DRA,CD74,JCHAIN,HLA-DPB1	HLA-DRA,CD74,MARCKS,S100A10,RPS20,HLA-DPB1
5	Clus_B_memory	Natural T-regulatory cell	6.94069663864553e-09	1.36432975642425e-08	0.000577779474543374	3/13	10/133	CD74,ITGB1,HLA-DPB1	HLA-DRA,CD74,ITGB1,TXNIP,ARID5B,ATP2B1,S100A10,HLA-DPB1,EZR,PLP2
6	Clus_B_memory	Central memory CD4-positive, alpha-beta T cell	1.38622110011368e-06	5.37758185388925e-08	NA	3/28	0/1	LTB,CD74,ITGB1	
7	Clus_B_memory	Activated CD4-positive, alpha-beta T cell	2.90143698347673e-06	1.37568132837259e-07	NA	3/32	3/430	LTB,HLA-DRA,ITGB1	LTB,ITGB1,S100A10
8	Clus_B_memory	Macrophage	2.90143698347673e-06	3.55200504008484e-07	0.0192031849346387	3/281	8/653	HLA-DRA,CD74,HLA-DPB1	HLA-DRA,CD74,MARCKS,TXNIP,ATP2B1,S100A10,HLA-DPB1,SCIMP
9	Clus_B_memory	Conventional dendritic cell	5.25650847866326e-06	2.71888369586031e-07	NA	3/22	4/99	HLA-DRA,CD74,HLA-DPB1	HLA-DRA,CD74,TXNIP,HLA-DPB1
10	Clus_B_memory	Mesenchymal stem cell	6.24949576433446e-06	3.59224803656849e-07	NA	3/145	3/326	HLA-DRA,CD74,ITGB1	MARCKS,NAP1L1,RPS20
1	Clus_B_naive	Naive B cell	1.24633164414559e-39	2.28991524580227e-42	0.0233109723584592	4/22	5/66	IGHM,TCL1A,IGHD,MS4A1	IGHM,TCL1A,IGHD,MS4A1,HLA-DRA
2	Clus_B_naive	B cell	1.33471041433337e-19	6.53938746691991e-21	0.00330810878092489	7/169	8/264	IGHM,TCL1A,IGHD,CXCR4,MS4A1,HLA-DRA,VIM	IGHM,TCL1A,IGHD,CXCR4,MS4A1,HLA-DRA,B2M,MALAT1
3	Clus_B_naive	Memory B cell	2.54090482595074e-17	1.56899496479978e-19	0.0592503022974607	5/39	5/44	IGHM,TCL1A,IGHD,MS4A1,HLA-DRA	IGHM,TCL1A,IGHD,MS4A1,HLA-DRA
4	Clus_B_naive	Granulocyte	2.10521771215153e-09	4.53710713825761e-11	NA	4/69	1/40	IGHM,IGHD,MS4A1,HLA-DRA	HLA-DRA
5	Clus_B_naive	Pro-B cell	3.464695074996e-09	3.45817544742232e-12	0.944	4/17	5/73	IGHM,TCL1A,MS4A1,HLA-DRA	IGHM,TCL1A,IGHD,CXCR4,HLA-DRA
6	Clus_B_naive	Plasmacytoid dendritic cell	2.43367941277402e-06	7.34299822819747e-08	NA	4/93	4/295	TCL1A,IGHD,MS4A1,HLA-DRA	IGHM,TCL1A,CXCR4,HLA-DRA
7	Clus_B_naive	Effector memory CD8-positive, alpha-beta T cell	9.8261711085471e-06	3.81187672314327e-07	NA	2/47	2/78	CXCR4,HLA-DRA	IGHM,B2M
8	Clus_B_naive	Endothelial cell	3.20753970385129e-05	1.38256021717728e-06	NA	5/466	4/268	CXCR4,HLA-DRA,B2M,MALAT1,VIM	HLA-DRA,B2M,MALAT1,VIM
9	Clus_B_naive	Plasma cell	4.4650103789762e-05	2.11703078313526e-06	NA	3/64	2/333	IGHM,MS4A1,VIM	IGHM,B2M
10	Clus_B_naive	Monocyte	0.000154004407350752	7.96574520779752e-06	NA	3/218	2/365	CXCR4,HLA-DRA,MALAT1	HLA-DRA,VIM
1	Clus_CD14_Mono	CD14-positive monocyte	7.80194303824758e-64	5.60144785351182e-64	7.69128913472421e-05	6/25	16/155	CD14,LYZ,S100A8,FCN1,VCAN,S100A9	CD14,LYZ,NEAT1,S100A8,FCN1,VCAN,S100A9,MS4A6A,CYBB,CTSS,FOS,CCL3,NFKBIA,TNFAIP2,CEBPD,MT-CO3
2	Clus_CD14_Mono	Classical monocyte	7.97278272287962e-52	1.14482587984934e-53	0.00704332586823979	9/122	11/66	CD14,LYZ,NEAT1,S100A8,FCN1,VCAN,S100A9,MS4A6A,CEBPD	CD14,LYZ,S100A8,FCN1,VCAN,S100A9,MS4A6A,CYBB,CTSS,CCL3,MARCKS
3	Clus_CD14_Mono	Macrophage	2.23324791560514e-39	3.75677631315397e-42	0.103896103896104	17/281	20/653	CD14,LYZ,NEAT1,S100A8,FCN1,VCAN,S100A9,MS4A6A,CYBB,CTSS,FOS,CCL3,CEBPD,B2M,MT-ATP6,RPS27,MT-CO3	CD14,LYZ,NEAT1,S100A8,FCN1,VCAN,S100A9,MS4A6A,CYBB,CTSS,FOS,CCL3,NFKBIA,TNFAIP2,MARCKS,CEBPD,B2M,TMSB4X,IFITM2,RPS27
4	Clus_CD14_Mono	Suppressor macrophage	2.09095516706936e-29	4.50636889454603e-31	NA	4/16	0/1	CD14,LYZ,S100A8,S100A9	
