,names,scores,logfoldchanges,pvals,pvals_adj
0,PLD4,14.79868,5.554719,1.4938566131842433e-49,5.0100963092973146e-45
1,PPP1R14A,14.719638,6.7573404,4.822385753475042e-49,8.086658670002298e-45
2,TCF4,14.433708,4.9653997,3.175393910843144e-47,3.5498786993952457e-43
3,ITM2C,14.282035,4.9599285,2.832098249343525e-46,2.3745727771620783e-42
4,SAMHD1,14.2096815,2.556057,7.978760155246949e-46,5.3518331617334434e-42
5,CCDC50,14.164597,4.4668975,1.5173486332892524e-45,8.481473077209158e-42
6,IRF8,14.082851,4.6139164,4.8415823532502005e-45,2.3196712709043603e-41
7,LILRA4,13.959992,7.348491,2.734617154446237e-44,1.1464198765727238e-40
8,CST3,13.873581,4.224636,9.158827599812186e-44,3.4129862226944565e-40
9,IL3RA,13.812799,6.0329432,2.1337497095302308e-43,7.156169775822488e-40
10,S100A10,13.765914,2.527163,4.08681557347155e-43,1.1501854508338388e-39
11,CD74,13.76541,3.5206993,4.115399072695469e-43,1.1501854508338388e-39
12,HLA-DPA1,13.689506,3.6127727,1.1730464655704613e-42,3.026279412484779e-39
13,APP,13.558942,4.015219,7.014104990543355e-42,1.6802789512345932e-38
14,C12orf75,13.551701,3.6165695,7.741551641825382e-42,1.7309077264235976e-38
15,SCN9A,13.384415,7.222996,7.458295060610535e-41,1.5633518733922258e-37
16,HLA-DPB1,13.37898,3.4022343,8.024153022839674e-41,1.5830237887058646e-37
17,DAB2,13.310997,4.6447244,1.9979729412482405e-40,3.722667583532416e-37
18,SEC61B,13.276404,2.2155452,3.1726825062695486e-40,5.600285573435165e-37
19,LGMN,13.230416,5.9513674,5.856187565497833e-40,9.820240928583317e-37
20,ACTG1,13.224691,1.8401108,6.319572629558957e-40,1.0092658421435634e-36
21,PPP1R14B,13.204218,3.3526804,8.295699713063105e-40,1.2646417135305018e-36
22,UGCG,13.0577135,4.275762,5.7426547228868974e-39,8.024881420674199e-36
23,IRF4,12.994571,5.2532315,1.3134301106959682e-38,1.7619927621008552e-35
24,PLP2,12.977237,2.6126196,1.64717167368538e-38,2.12472475354078e-35
25,SPIB,12.970732,4.832754,1.793106068012001e-38,2.2273033818143144e-35
26,ALOX5AP,12.965882,3.2177653,1.910185688604614e-38,2.2879931294436266e-35
27,SOX4,12.9547205,4.402016,2.2093884472600057e-38,2.5551196463519336e-35
28,VIM,12.93589,2.164634,2.823332702502208e-38,3.1562977392173014e-35
29,CCDC88A,12.89371,2.9809031,4.883666183511323e-38,5.125569354115994e-35
30,AXL,12.884592,9.242549,5.496530098090305e-38,5.58614019484099e-35
31,CYB561A3,12.867385,3.3249097,6.868881763611371e-38,6.775545781999945e-35
32,HLA-DQA1,12.834197,3.7049854,1.0549116904754535e-37,1.0108465221475932e-34
33,HLA-DMA,12.810026,2.908647,1.4408568510650672e-37,1.342318251972784e-34
34,RNASE6,12.720499,3.2142432,4.549474700457541e-37,4.1237914190255405e-34
35,HLA-DRA,12.681066,3.6677568,7.530144001407124e-37,6.645946566294531e-34
36,PARK7,12.65713,1.8279713,1.0216580634644855e-36,8.785735418582541e-34
37,PHB,12.60791,2.5697942,1.9099146630428208e-36,1.601367949228253e-33
38,CYBA,12.5575905,1.5434058,3.611636206928796e-36,2.954318417267755e-33
39,PTPRE,12.545797,2.744412,4.191747648098588e-36,3.3472103005221535e-33
40,GAS6,12.391051,5.5992045,2.9218773994071905e-35,2.2789284702632179e-32
41,CTSZ,12.381435,2.644373,3.293964015964647e-35,2.510749208350507e-32
