,names,scores,logfoldchanges,pvals,pvals_adj
0,MS4A1,90.69461,5.3236036,0.0,0.0
1,BANK1,90.54073,5.135995,0.0,0.0
2,CD79A,88.09032,4.801903,0.0,0.0
3,RALGPS2,85.19865,4.2171907,0.0,0.0
4,TNFRSF13C,81.01352,4.450263,0.0,0.0
5,CD74,80.85187,3.1390133,0.0,0.0
6,CD37,80.51013,1.8458462,0.0,0.0
7,HLA-DQA1,79.03458,3.3238397,0.0,0.0
8,CD79B,78.35171,3.4961476,0.0,0.0
9,HLA-DPB1,78.02456,2.7811263,0.0,0.0
10,HLA-DRA,77.17377,3.3939624,0.0,0.0
11,RPS11,74.688385,0.8772657,0.0,0.0
12,BLK,73.74395,4.907672,0.0,0.0
13,LINC00926,72.2725,4.061644,0.0,0.0
14,HLA-DQB1,69.7129,2.5514982,0.0,0.0
15,LTB,69.58022,2.423063,0.0,0.0
16,HLA-DPA1,69.007126,2.4550655,0.0,0.0
17,AIM2,67.77741,5.020559,0.0,0.0
18,RPL13A,67.14532,0.8915709,0.0,0.0
19,SWAP70,64.82699,2.9809613,0.0,0.0
20,HLA-DRB1,64.16016,2.401997,0.0,0.0
21,EZR,62.710182,1.889354,0.0,0.0
22,RPL8,62.319477,0.76322347,0.0,0.0
23,VPREB3,61.58493,4.22222,0.0,0.0
24,MEF2C,61.274025,2.2576296,0.0,0.0
25,RPS23,59.69636,0.79148704,0.0,0.0
26,IGKC,59.570683,4.37909,0.0,0.0
27,RPL41,58.92723,0.6093058,0.0,0.0
28,GNG7,58.627075,3.8630567,0.0,0.0
29,TNFRSF13B,58.458015,5.736421,0.0,0.0
30,IGHA1,58.131355,4.2126555,0.0,0.0
31,RPL27A,57.851307,0.7274318,0.0,0.0
32,TCF4,57.776173,2.9877625,0.0,0.0
33,LINC01781,57.617126,6.689895,0.0,0.0
34,COBLL1,57.264286,4.2441845,0.0,0.0
35,ADAM28,56.69978,3.5139322,0.0,0.0
36,P2RX5,56.39115,3.7056363,0.0,0.0
37,RPLP1,56.09131,0.6119765,0.0,0.0
38,POU2AF1,55.890022,4.695009,0.0,0.0
39,HLA-DMB,55.698284,2.0523388,0.0,0.0
40,RPS20,55.348118,0.8135199,0.0,0.0
41,RPLP2,54.95285,0.7119372,0.0,0.0
42,JCHAIN,54.890133,3.804923,0.0,0.0
43,TSC22D3,54.014793,1.4496034,0.0,0.0
44,SEL1L3,53.91843,3.1243196,0.0,0.0
45,SPIB,53.834778,4.03156,0.0,0.0
46,PDLIM1,53.74968,3.079112,0.0,0.0
47,RPS2,53.66483,0.64192694,0.0,0.0
48,IGHG1,53.582478,5.3055086,0.0,0.0
49,BCL11A,53.14265,2.6138692,0.0,0.0
50,CD22,53.07489,3.4197395,0.0,0.0
51,RPS18,52.650948,0.77798945,0.0,0.0
52,CXXC5,51.903286,2.2605762,0.0,0.0
53,RPS8,51.610558,0.75281924,0.0,0.0
54,RPL23A,51.573895,0.7371537,0.0,0.0
55,ARID5B,51.521965,2.0720115,0.0,0.0
56,CD82,51.27526,2.776799,0.0,0.0
57,HLA-DMA,51.11301,1.7768455,0.0,0.0
58,EEF1B2,50.913456,0.95943815,0.0,0.0
59,HLA-DRB5,50.669167,1.7657505,0.0,0.0
60,SP140,50.612278,2.3057811,0.0,0.0
61,RPL39,50.56747,0.608832,0.0,0.0
62,IGHG3,50.17764,5.2112904,0.0,0.0
63,CPNE5,50.009148,4.6751294,0.0,0.0
64,CD40,49.672707,3.2590501,0.0,0.0
65,RPS21,49.3998,0.7088313,0.0,0.0
66,RPS27,48.75783,0.7949504,0.0,0.0
67,RPL18A,48.746475,0.6675375,0.0,0.0
68,OSBPL10,48.68788,4.0903893,0.0,0.0
69,CCDC50,47.94992,2.5383625,0.0,0.0
70,FAU,47.821033,0.45390928,0.0,0.0
71,RPS5,47.452187,0.9183222,0.0,0.0
72,MARCH1,47.049347,1.7168471,0.0,0.0
73,CD24,46.764286,4.4868493,0.0,0.0
74,CD52,46.693043,0.9106135,0.0,0.0
75,EEF1A1,46.67517,0.49478903,0.0,0.0
76,PRKCB,46.405315,1.3072525,0.0,0.0
77,PAX5,46.344166,3.5200198,0.0,0.0
78,RPSA,46.069977,0.90216786,0.0,0.0
79,TMEM156,45.913334,2.8932705,0.0,0.0
80,RPS28,45.7239,0.5343574,0.0,0.0
81,TLR10,45.415123,4.527741,0.0,0.0
82,AFF3,45.38562,2.8053117,0.0,0.0
83,SSPN,45.296078,7.259665,0.0,0.0
84,IRF8,45.190586,1.9686022,0.0,0.0
85,RPL18,45.119465,0.5697488,0.0,0.0
86,RPS4X,45.072353,0.64217913,0.0,0.0
87,MBD4,44.7688,1.5747281,0.0,0.0
88,BASP1,44.712215,2.1520553,0.0,0.0
89,SMARCB1,44.017155,2.131928,0.0,0.0
90,RPS29,43.727562,0.71591634,0.0,0.0
91,HLA-DOB,43.48159,3.5688894,0.0,0.0
92,STRBP,42.659454,2.4344718,0.0,0.0
93,RPS7,42.644966,0.50722075,0.0,0.0
94,RPL10A,42.47457,0.7067901,0.0,0.0
95,RPL21,42.41747,0.5782224,0.0,0.0
96,RPL11,42.355057,0.50806767,0.0,0.0
97,ODC1,42.316483,1.7853566,0.0,0.0
98,RPL19,42.08155,0.5170356,0.0,0.0
99,UVRAG,41.821957,1.7243011,0.0,0.0
100,SCIMP,41.6778,1.9937683,0.0,0.0
101,IKZF3,41.58696,1.5152416,0.0,0.0
102,RPL12,41.53898,0.5367403,0.0,0.0
103,SP110,41.4297,1.1876471,0.0,0.0
104,SNX2,41.226185,1.3735855,0.0,0.0
105,CHCHD10,41.211967,1.2781636,0.0,0.0
106,PTMA,40.77004,0.38429725,0.0,0.0
107,LY86,40.570515,1.565818,0.0,0.0
108,RPL27,40.51938,0.49894935,0.0,0.0
109,PRDM2,40.508472,1.3424456,0.0,0.0
110,EBF1,40.46662,4.263933,0.0,0.0
111,RPL7A,40.45169,0.4871601,0.0,0.0
112,ARHGAP24,40.424343,2.59538,0.0,0.0
113,CLECL1,40.26081,4.1046667,0.0,0.0
114,IFT57,39.75388,2.1702628,0.0,0.0
115,RPS14,39.506077,0.46141443,0.0,0.0
116,RPS15,39.33674,0.4554116,0.0,0.0
117,PARP1,39.332428,1.3482907,0.0,0.0
118,RPL3,39.081917,0.6543901,0.0,0.0
119,RPL37A,39.041656,0.42877218,0.0,0.0
120,RPS25,39.007065,0.6125141,0.0,0.0
121,SYPL1,38.923107,1.7457417,0.0,0.0
122,RPL36,38.914494,0.5579382,0.0,0.0
123,RPL37,38.912937,0.4581424,0.0,0.0
124,RPLP0,38.764385,0.66467696,0.0,0.0
125,TMEM154,38.736095,1.4502827,0.0,0.0
126,ATP2B1,38.520927,1.2497939,0.0,0.0
127,RPL29,38.377003,0.44314942,0.0,0.0
128,RPS16,38.28727,0.5025325,0.0,0.0
129,RPS6,38.07297,0.6230493,0.0,0.0
130,NAP1L1,37.946278,0.7283253,0.0,0.0
131,RPL9,37.74655,0.5332848,0.0,0.0
132,TP53INP1,37.4806,2.367117,1.9072125516695973e-307,3.2634742121374977e-305
133,IGHA2,37.439365,5.70265,8.94683832309562e-307,1.5231424552283295e-304
134,TXNIP,37.394306,0.7194575,4.835269542549394e-306,8.190165147374826e-304
135,UBE2J1,37.3084,1.4591137,1.1994690340158736e-304,2.0214971086846417e-302
136,RPL32,37.08738,0.54506856,4.488266064272752e-301,7.45185481502869e-299
137,FAM30A,36.915253,3.8821528,2.6305881899771316e-298,4.3460426953425145e-296
138,TPD52,36.874516,2.1946182,1.1837940060398028e-297,1.9272856007069371e-295
139,MT-CO2,36.798042,0.3352926,1.9841740604189808e-296,3.199289886458259e-294
140,RACK1,36.71493,0.44539833,4.219859529626165e-295,6.771562148545565e-293
141,TCEA1,36.67078,0.9660319,2.1350189641382496e-294,3.4097269532985056e-292
142,RPL13,36.651405,0.56687915,4.345814835357667e-294,6.907579997546229e-292
143,BIRC3,36.643158,1.4074472,5.880942010967358e-294,9.303539300180343e-292
144,RPS15A,36.52989,0.5472392,3.720193997052541e-292,5.857646303903667e-290
145,COCH,36.445408,6.6069674,8.13401696113022e-291,1.2747600973943239e-288
146,GPR183,36.29507,1.3722336,1.9351498396250107e-288,3.018653735876447e-286
147,CHD7,36.288563,2.0925877,2.4512481988728247e-288,3.8060167636017033e-286
148,RPL15,36.1947,0.40255418,7.376706778848989e-287,1.1400921287974072e-284
149,TEX9,36.15202,6.6694436,3.458264468601034e-286,5.320333658162453e-284
150,BCAS4,36.037426,2.4288747,2.1706996013844946e-284,3.3242430699193234e-282
151,IGHG2,35.905693,4.982569,2.4896730848436528e-282,3.7953934508857464e-280
152,RPL35,35.77187,0.48697186,3.0244242297768656e-280,4.569060352173717e-278
