,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHM,146.08179,7.3226547,0.0,0.0
1,IGHD,144.33008,7.878772,0.0,0.0
2,CD79A,142.19029,6.08417,0.0,0.0
3,CD37,140.96895,2.480074,0.0,0.0
4,MS4A1,140.47885,6.027206,0.0,0.0
5,CD74,136.05254,3.5366445,0.0,0.0
6,TCL1A,135.31883,8.150132,0.0,0.0
7,CD79B,133.86528,4.648504,0.0,0.0
8,RALGPS2,130.78839,4.7992654,0.0,0.0
9,BANK1,129.84036,5.2383227,0.0,0.0
10,HLA-DRA,124.52308,3.6399693,0.0,0.0
11,CXCR4,123.05108,2.5527668,0.0,0.0
12,BTG1,122.84465,1.591531,0.0,0.0
13,LINC00926,121.11816,5.5629454,0.0,0.0
14,HLA-DPB1,120.971275,2.8811345,0.0,0.0
15,HLA-DQA1,118.79918,3.488999,0.0,0.0
16,MEF2C,118.165886,3.2932281,0.0,0.0
17,RPS11,117.51333,0.922761,0.0,0.0
18,HLA-DQB1,117.275116,3.0047774,0.0,0.0
19,TNFRSF13C,116.13645,5.033457,0.0,0.0
20,RPL18A,113.51253,1.0218322,0.0,0.0
21,CD22,111.957184,5.6507134,0.0,0.0
22,HLA-DPA1,110.370514,2.6549952,0.0,0.0
23,HLA-DRB1,108.819336,2.7779717,0.0,0.0
24,VPREB3,107.973694,5.6703153,0.0,0.0
25,PLPP5,104.94576,4.4046187,0.0,0.0
26,AFF3,104.86516,4.74341,0.0,0.0
27,IGKC,104.29967,5.0675545,0.0,0.0
28,HLA-DMB,99.316605,2.5574362,0.0,0.0
29,BCL11A,99.242645,3.6529493,0.0,0.0
30,TSC22D3,99.21791,1.7544957,0.0,0.0
31,RPL8,98.15396,0.8054935,0.0,0.0
32,FCER2,97.92105,6.426213,0.0,0.0
33,TXNIP,96.367836,1.2483718,0.0,0.0
34,SWAP70,95.594475,3.3143387,0.0,0.0
35,RPS23,93.29717,0.8107958,0.0,0.0
36,FCRL1,92.79112,6.1041546,0.0,0.0
37,PAX5,92.60997,5.505343,0.0,0.0
38,IL4R,91.30882,3.4663067,0.0,0.0
39,STX7,90.41983,2.4894202,0.0,0.0
40,HVCN1,89.8335,3.0655637,0.0,0.0
41,BIRC3,89.65996,2.4415426,0.0,0.0
42,RPS5,89.29664,1.1199129,0.0,0.0
43,HLA-DMA,88.24873,2.1788168,0.0,0.0
44,FAM129C,87.43769,5.088692,0.0,0.0
45,HLA-DRB5,86.74552,2.1796148,0.0,0.0
46,ADAM28,86.3882,4.2292476,0.0,0.0
47,FAU,85.12267,0.5397396,0.0,0.0
48,RPL15,84.89751,0.60823333,0.0,0.0
49,STRBP,84.847885,3.5465188,0.0,0.0
50,MARCH1,83.64274,2.1732733,0.0,0.0
51,BCL7A,82.77621,4.7449512,0.0,0.0
52,RPL13A,82.2947,0.7527305,0.0,0.0
53,LTB,82.10003,1.9193945,0.0,0.0
54,P2RX5,81.56383,4.20828,0.0,0.0
55,IRF8,80.12757,2.5663278,0.0,0.0
56,CD52,79.06581,1.0013467,0.0,0.0
57,RPL12,78.00273,0.6602644,0.0,0.0
58,KLF2,77.88518,1.1566082,0.0,0.0
59,RPL35,77.51549,0.6690083,0.0,0.0
60,HLA-DOB,77.12599,5.002097,0.0,0.0
61,TCF4,76.02257,2.9569337,0.0,0.0
62,RPS19,75.06033,0.6964625,0.0,0.0
63,RPS27,75.001045,0.8206862,0.0,0.0
64,RPL29,74.337524,0.55449295,0.0,0.0
65,SNX2,74.28745,1.7454798,0.0,0.0
66,ISG20,73.397644,1.5526714,0.0,0.0
67,LINC02397,73.14531,5.5462594,0.0,0.0
68,IGLC2,73.099106,3.9869337,0.0,0.0
69,SNX29,72.9864,2.4734693,0.0,0.0
70,EZR,72.72546,1.5468553,0.0,0.0
71,CDCA7L,72.62814,3.972111,0.0,0.0
72,SP100,71.38677,1.245672,0.0,0.0
73,EAF2,71.32808,3.0940309,0.0,0.0
74,ZCCHC7,70.224625,2.2976243,0.0,0.0
75,RPL18,70.210365,0.58589953,0.0,0.0
76,TSPAN13,70.00349,5.2229476,0.0,0.0
77,TPD52,69.83937,3.0238123,0.0,0.0
78,CD40,69.58977,3.656422,0.0,0.0
79,SEC62,69.540634,1.1887808,0.0,0.0
80,FCMR,69.50147,2.0103066,0.0,0.0
81,JUN,69.13019,1.7368673,0.0,0.0
82,RPS8,68.90336,0.67301947,0.0,0.0
83,NCF1,68.62393,1.5220561,0.0,0.0
84,RPL10A,68.46221,0.7484249,0.0,0.0
85,RPL37A,68.11737,0.4918685,0.0,0.0
86,PLEKHA2,67.713554,2.1236343,0.0,0.0
87,GABPB1-AS1,67.19156,1.7705163,0.0,0.0
88,FCRL5,66.99314,5.4039726,0.0,0.0
89,BLK,66.69407,3.962853,0.0,0.0
90,RPS9,66.221275,0.46933427,0.0,0.0
91,RPL7A,65.618065,0.51820195,0.0,0.0
