,names,scores,logfoldchanges,pvals,pvals_adj
0,LST1,133.12683,4.350668,0.0,0.0
1,AIF1,130.64154,4.0300727,0.0,0.0
2,FCGR3A,128.53087,4.9797163,0.0,0.0
3,MS4A7,127.63864,4.5126643,0.0,0.0
4,COTL1,127.59018,3.1257741,0.0,0.0
5,FCER1G,126.76374,3.4646347,0.0,0.0
6,TCF7L2,121.65829,4.578196,0.0,0.0
7,CFD,120.95065,3.7634935,0.0,0.0
8,IFITM3,119.55161,3.949246,0.0,0.0
9,FTL,119.06081,2.6035414,0.0,0.0
10,SMIM25,118.38415,4.3073864,0.0,0.0
11,CDKN1C,117.98926,6.962064,0.0,0.0
12,LRRC25,117.83774,3.5889742,0.0,0.0
13,LYN,116.70223,2.9134405,0.0,0.0
14,SERPINA1,116.529655,3.3549912,0.0,0.0
15,S100A11,116.38198,2.769564,0.0,0.0
16,CSF1R,115.958885,3.7006576,0.0,0.0
17,PSAP,112.156204,2.9507651,0.0,0.0
18,SAT1,112.0787,3.2229843,0.0,0.0
19,PILRA,111.889885,3.121468,0.0,0.0
20,NAP1L1,111.62677,1.7682891,0.0,0.0
21,BID,111.48065,2.809939,0.0,0.0
22,LILRB2,111.42078,3.1469007,0.0,0.0
23,FTH1,110.68648,2.4120016,0.0,0.0
24,TNFRSF1B,110.08962,2.5636632,0.0,0.0
25,SPI1,109.6328,2.8872874,0.0,0.0
26,ARPC3,109.595566,1.4373189,0.0,0.0
27,NPC2,109.576385,2.5231543,0.0,0.0
28,HES4,109.24194,5.6148376,0.0,0.0
29,CEBPB,108.95205,2.6867843,0.0,0.0
30,HLA-DPA1,108.55336,2.9855087,0.0,0.0
31,HMOX1,108.5444,3.6900594,0.0,0.0
32,PECAM1,108.47632,2.9616156,0.0,0.0
33,CST3,108.11661,3.595016,0.0,0.0
34,OAZ1,107.717,1.498482,0.0,0.0
35,WARS,106.63043,3.0889268,0.0,0.0
36,TIMP1,106.36647,2.652169,0.0,0.0
37,CD68,106.18147,2.8289273,0.0,0.0
38,VASP,105.29671,2.233217,0.0,0.0
39,ASAH1,104.389496,2.4313254,0.0,0.0
40,YBX1,104.306366,1.2603116,0.0,0.0
41,DRAP1,103.6906,1.9767181,0.0,0.0
42,MTSS1,103.418884,3.0721672,0.0,0.0
43,RHOC,102.87163,3.304945,0.0,0.0
44,TYROBP,102.51402,2.8254807,0.0,0.0
45,SIGLEC10,102.47564,3.9793708,0.0,0.0
46,RNASET2,101.593445,1.8942608,0.0,0.0
47,RRAS,101.57467,3.3657556,0.0,0.0
48,IFITM2,101.43519,1.9632286,0.0,0.0
49,LMO2,101.10421,2.8040338,0.0,0.0
50,STXBP2,100.69166,2.5875242,0.0,0.0
51,CALM2,100.51143,1.5900472,0.0,0.0
52,IER5,100.30068,2.539014,0.0,0.0
53,PTPN6,99.8115,2.142162,0.0,0.0
54,HSBP1,99.27664,2.4085321,0.0,0.0
55,POU2F2,98.989815,2.2605147,0.0,0.0
56,BRI3,98.73678,2.2564392,0.0,0.0
57,PRELID1,98.42415,1.8207947,0.0,0.0
58,CTSC,98.39689,2.2174718,0.0,0.0
59,PTP4A2,98.36685,1.506195,0.0,0.0
60,PYCARD,98.1846,2.1354246,0.0,0.0
61,S100A4,97.72592,1.9056193,0.0,0.0
62,HCK,97.1235,2.6295533,0.0,0.0
63,ANXA5,96.98431,2.149298,0.0,0.0
64,NAAA,96.51801,2.5470119,0.0,0.0
65,TYMP,96.014206,2.5829804,0.0,0.0
66,ARPC2,95.498314,1.2108103,0.0,0.0
67,CPPED1,94.529175,2.4616654,0.0,0.0
68,ABI3,94.4861,2.8254182,0.0,0.0
69,LILRB1,94.335655,2.7400107,0.0,0.0
70,CASP1,94.181915,2.1411464,0.0,0.0
71,ACTB,93.917656,1.2209553,0.0,0.0
72,CTSS,93.713684,3.024001,0.0,0.0
73,LYST,93.653534,2.139246,0.0,0.0
74,CTSL,93.62767,4.61574,0.0,0.0
75,IFI30,93.47876,2.8977509,0.0,0.0
76,MTPN,93.439445,1.6213385,0.0,0.0
77,FKBP1A,92.87721,1.8378702,0.0,0.0
78,MYL6,92.66589,1.0892485,0.0,0.0
79,LILRA5,92.60062,2.8333077,0.0,0.0
80,MARCKS,92.55503,2.6463504,0.0,0.0
81,CAMK1,91.40818,3.2763746,0.0,0.0
82,SLC7A7,91.35299,2.4984357,0.0,0.0
83,TMSB4X,91.12784,0.68250394,0.0,0.0
84,GNAI2,91.08337,1.4550177,0.0,0.0
85,CALHM6,90.69577,3.131801,0.0,0.0
86,OAS1,90.682495,2.886058,0.0,0.0
87,MBD2,90.6583,1.9050874,0.0,0.0
88,CSTB,90.58503,1.760466,0.0,0.0
89,MAPKAPK3,89.89397,2.5045555,0.0,0.0
90,ATG3,89.881645,2.1562905,0.0,0.0
91,VSIR,89.45296,1.961382,0.0,0.0
92,CARD16,89.415085,1.8388455,0.0,0.0
93,C5AR1,89.380226,2.462195,0.0,0.0
94,C19orf38,89.278114,2.4909425,0.0,0.0
95,FGL2,89.00698,2.4604928,0.0,0.0
96,RNH1,88.6949,1.8757607,0.0,0.0
97,CFP,88.43238,2.2813148,0.0,0.0
98,MAFB,88.36173,2.5608933,0.0,0.0
99,IGSF6,88.14803,2.4002657,0.0,0.0
100,S100A6,87.957,1.7195625,0.0,0.0
101,MS4A4A,87.79159,4.9241366,0.0,0.0
102,SCIMP,87.473526,2.5698338,0.0,0.0
103,CTSZ,87.34129,2.0452378,0.0,0.0
104,ARPC5,87.19542,1.3265111,0.0,0.0
105,TNFSF10,87.01539,2.3512049,0.0,0.0
106,EMP3,86.929474,1.2959992,0.0,0.0
107,CLEC12A,86.451065,2.3047183,0.0,0.0
108,BCL2A1,86.26884,2.4262269,0.0,0.0
109,LGALS9,86.05004,2.1699483,0.0,0.0
110,H3F3A,85.54357,0.9020894,0.0,0.0
111,GPBAR1,84.93595,3.2441366,0.0,0.0
112,LY6E,84.81428,1.7308551,0.0,0.0
113,CMTM6,84.70573,1.8024802,0.0,0.0
114,GNG5,84.47116,1.4763639,0.0,0.0
115,SNX18,84.45161,2.5115561,0.0,0.0
116,HLA-DRB1,84.311966,2.3137352,0.0,0.0
117,ANXA2,84.22905,1.8168821,0.0,0.0
118,SPN,84.20865,1.9092057,0.0,0.0
119,TBXAS1,84.10978,2.3750212,0.0,0.0
120,RGS19,83.861,1.9153954,0.0,0.0
121,ADGRE2,83.62628,2.8348954,0.0,0.0
122,ARPC1B,83.61215,1.3196915,0.0,0.0
123,SECTM1,83.481186,2.749943,0.0,0.0
124,CLEC7A,83.18086,2.1153343,0.0,0.0
125,JPT1,82.94931,1.9417613,0.0,0.0
126,CYBB,82.94051,2.2397094,0.0,0.0
127,LGALS1,82.81866,2.0672588,0.0,0.0
128,MYD88,82.71514,2.1205628,0.0,0.0
129,CXCL16,82.54893,3.090737,0.0,0.0
130,RHOA,82.485176,1.2723733,0.0,0.0
131,NFKBIZ,82.098015,2.0208306,0.0,0.0
132,FGR,82.09451,1.9202704,0.0,0.0
133,C1orf162,82.033134,1.7632452,0.0,0.0
134,RHOG,81.97951,1.6855083,0.0,0.0
135,HLA-DPB1,81.80051,2.0402482,0.0,0.0
136,TUBA1B,81.50707,1.823349,0.0,0.0
137,LILRA1,81.349236,2.9453952,0.0,0.0
138,ZFAND5,81.17323,1.9046389,0.0,0.0
139,SLC2A6,81.16512,2.7063756,0.0,0.0
140,NCF2,80.958725,2.0715067,0.0,0.0
141,HLA-DRB5,80.76539,2.318413,0.0,0.0
142,RAB10,80.29142,1.9465642,0.0,0.0
143,LGALS3,79.215965,1.9917054,0.0,0.0
144,PIK3AP1,79.19667,2.2134662,0.0,0.0
145,RXRA,78.97957,2.1101704,0.0,0.0
146,TKT,78.91439,1.85272,0.0,0.0
147,HLA-DRA,78.712006,2.5813012,0.0,0.0
148,SYNGR2,78.4739,1.891269,0.0,0.0
149,TPM3,78.40026,1.0477092,0.0,0.0
150,NEAT1,78.35844,1.9835845,0.0,0.0
151,TCIRG1,78.25152,1.9920447,0.0,0.0
152,UNC119,78.06888,2.441681,0.0,0.0
153,ITGAX,77.73654,2.0943391,0.0,0.0
154,C3AR1,77.652,3.1377263,0.0,0.0
155,PGK1,77.54277,1.4288788,0.0,0.0
156,CYBA,77.3908,1.10007,0.0,0.0
157,CUX1,77.2516,1.995349,0.0,0.0
158,CD300E,76.97138,2.15939,0.0,0.0
159,STX11,76.84633,2.268292,0.0,0.0
160,ZEB2,76.73477,1.8026454,0.0,0.0
161,LFNG,76.68855,2.21416,0.0,0.0
162,ARRB2,76.64577,1.5533456,0.0,0.0
163,FAM110A,76.44189,3.0343711,0.0,0.0
164,PFN1,76.21752,0.86894137,0.0,0.0
165,FGD2,76.08639,2.384737,0.0,0.0
166,GRK3,75.76879,2.179515,0.0,0.0
167,BLVRA,75.69996,2.1033566,0.0,0.0
168,PSME2,75.66415,1.4119383,0.0,0.0
169,MSN,75.57493,1.1631328,0.0,0.0
170,TESC,75.54793,2.553512,0.0,0.0
