,names,scores,logfoldchanges,pvals,pvals_adj
0,IL7R,148.12363,3.0256422,0.0,0.0
1,LTB,145.65807,2.5566814,0.0,0.0
2,RPL36,129.06082,0.87727416,0.0,0.0
3,TPT1,126.28553,0.67078984,0.0,0.0
4,RPS29,121.56462,0.91844195,0.0,0.0
5,LDHB,120.992096,1.6615045,0.0,0.0
6,TRAC,120.412224,2.1108415,0.0,0.0
7,RPL41,120.03904,0.61354524,0.0,0.0
8,RPL14,118.446465,0.81051683,0.0,0.0
9,RPS25,117.28412,0.85234946,0.0,0.0
10,RPS12,116.24395,0.899166,0.0,0.0
11,RPL39,115.94287,0.6910527,0.0,0.0
12,RPL34,115.46017,0.72309035,0.0,0.0
13,RPL28,115.06454,0.57625264,0.0,0.0
14,RPS15A,114.94103,0.77585626,0.0,0.0
15,RPS18,114.10956,0.82832015,0.0,0.0
16,RPL11,113.6968,0.6547147,0.0,0.0
17,RPL13A,111.569496,0.76397747,0.0,0.0
18,RPL30,110.412895,0.74562794,0.0,0.0
19,RPL13,109.92081,0.7750627,0.0,0.0
20,RPL32,109.29721,0.756489,0.0,0.0
21,RPL37,109.28324,0.617203,0.0,0.0
22,RPS28,109.154434,0.62208974,0.0,0.0
23,RPS3,108.896286,0.8172637,0.0,0.0
24,EEF1A1,108.813835,0.5663485,0.0,0.0
25,RPL10,108.70884,0.6865217,0.0,0.0
26,RPL38,108.65674,0.6690237,0.0,0.0
27,RPL27A,107.86386,0.6775836,0.0,0.0
28,RPSA,107.21325,1.0104744,0.0,0.0
29,RPS4X,107.098724,0.7444083,0.0,0.0
30,RPS6,106.977295,0.82286245,0.0,0.0
31,RPS27A,106.23538,0.74406046,0.0,0.0
32,RPS16,105.67589,0.6701229,0.0,0.0
33,RPS20,105.19277,0.767945,0.0,0.0
34,IL32,105.011024,1.8411205,0.0,0.0
35,RPL6,104.94597,0.58877784,0.0,0.0
36,RPL9,103.993774,0.70620245,0.0,0.0
37,RPLP2,103.68388,0.669124,0.0,0.0
38,CD3D,103.55712,1.760204,0.0,0.0
39,RPL18,103.04503,0.6398491,0.0,0.0
40,RPL24,102.66622,0.626879,0.0,0.0
41,RPLP1,102.08367,0.55405915,0.0,0.0
42,RPS14,101.9113,0.587064,0.0,0.0
43,RPS8,101.68504,0.734961,0.0,0.0
44,RPS7,101.58502,0.5923939,0.0,0.0
45,RPS21,100.758125,0.7172198,0.0,0.0
46,RPLP0,99.427185,0.8224855,0.0,0.0
47,RPL35A,99.33992,0.58287203,0.0,0.0
48,RPS15,99.1112,0.55466753,0.0,0.0
49,HINT1,98.90859,0.9471666,0.0,0.0
50,RPL18A,98.60789,0.6652738,0.0,0.0
51,RPL23A,98.58906,0.71387243,0.0,0.0
52,RPL12,97.67142,0.6135232,0.0,0.0
53,RPS2,97.667305,0.58212173,0.0,0.0
54,RPL5,96.59144,0.68204165,0.0,0.0
55,RPS3A,96.46958,0.707013,0.0,0.0
56,RPL3,96.356995,0.7596573,0.0,0.0
57,RPL19,96.20913,0.57522756,0.0,0.0
58,CD3G,95.623886,1.6316849,0.0,0.0
59,CD2,95.369865,1.5581336,0.0,0.0
60,RPL35,95.29822,0.61754465,0.0,0.0
61,AQP3,94.77258,2.890968,0.0,0.0
62,RPL36A,94.44272,0.8667884,0.0,0.0
63,TCF7,93.61326,1.6224223,0.0,0.0
64,RPS27,92.50752,0.76319146,0.0,0.0
65,RPL29,92.38936,0.51788646,0.0,0.0
66,CD3E,91.34027,1.50789,0.0,0.0
67,RPL10A,90.819595,0.73865014,0.0,0.0
68,MAL,89.87197,2.2554448,0.0,0.0
69,RPL37A,89.51908,0.48030984,0.0,0.0
70,CD69,89.17982,1.5720141,0.0,0.0
71,RPL22,88.75733,0.56753576,0.0,0.0
72,RPL7A,88.01047,0.52037627,0.0,0.0
73,RPS19,87.14171,0.6334583,0.0,0.0
74,RCAN3,87.06655,1.6856462,0.0,0.0
75,RPS10,86.10323,0.73620856,0.0,0.0
76,SPOCK2,84.70016,1.5622977,0.0,0.0
77,RPL7,84.554,0.50764424,0.0,0.0
78,TRBC2,83.92003,1.450732,0.0,0.0
79,RPL26,83.776634,0.42193833,0.0,0.0
80,ITGB1,83.6512,1.3308971,0.0,0.0
81,RPS23,83.4284,0.5738556,0.0,0.0
82,NOSIP,83.337746,1.3886157,0.0,0.0
83,RPL27,82.60937,0.5045485,0.0,0.0
84,RPL31,82.58283,0.5998705,0.0,0.0
85,GPR183,82.385544,1.6674048,0.0,0.0
86,TOMM7,82.20705,0.61371154,0.0,0.0
87,SARAF,81.430046,0.8161941,0.0,0.0
88,TRAT1,81.12929,2.1986682,0.0,0.0
89,ETS1,79.80776,1.20445,0.0,0.0
90,RPS26,79.66507,0.8367652,0.0,0.0
91,LEPROTL1,79.226036,1.1715673,0.0,0.0
92,NPM1,78.57001,0.73099416,0.0,0.0
93,INPP4B,78.313034,2.4399793,0.0,0.0
94,RORA,78.04352,1.5133741,0.0,0.0
95,EEF1B2,77.94959,0.7393874,0.0,0.0
96,RPL21,77.293816,0.5085046,0.0,0.0
97,RPS13,76.92905,0.47675222,0.0,0.0
98,RPL4,75.726166,0.5486082,0.0,0.0
99,RPS5,75.31858,0.74520165,0.0,0.0
100,RPL36AL,74.96086,0.5495588,0.0,0.0
101,FAU,74.692986,0.35211766,0.0,0.0
102,ZFP36L2,72.98102,0.8042695,0.0,0.0
103,KLF2,72.25056,0.80929065,0.0,0.0
104,BCL11B,71.85265,1.4098291,0.0,0.0
105,RPL23,70.34829,0.4636873,0.0,0.0
106,CD52,70.324585,0.7166053,0.0,0.0
107,RPL15,70.29157,0.39052022,0.0,0.0
108,AES,70.21376,0.80264723,0.0,0.0
109,TRADD,70.12367,1.6639794,0.0,0.0
110,NOP53,70.05549,0.6883456,0.0,0.0
111,GSTK1,69.925125,0.87829417,0.0,0.0
112,ITM2A,69.03741,1.559195,0.0,0.0
113,PBXIP1,68.67992,1.4335487,0.0,0.0
114,TTC39C,67.692604,1.5051457,0.0,0.0
115,RPL8,67.37783,0.4146927,0.0,0.0
116,ARHGAP15,65.17129,1.2032791,0.0,0.0
117,FAM107B,64.773026,0.83471495,0.0,0.0
118,ANKRD12,64.6029,0.7539909,0.0,0.0
119,CALM1,64.24051,0.57051754,0.0,0.0
120,RPS17,64.01497,0.7242257,0.0,0.0
121,CAMK4,63.765316,1.5546731,0.0,0.0
122,AP3M2,63.6788,2.5137498,0.0,0.0
123,BCL2,62.903454,1.5086317,0.0,0.0
124,RACK1,62.86753,0.38556054,0.0,0.0
125,SOD1,62.484493,0.79184264,0.0,0.0
126,RPL17,61.371918,0.7148462,0.0,0.0
127,UBA52,60.62998,0.2970326,0.0,0.0
128,FXYD5,59.975403,0.64065427,0.0,0.0
129,PEBP1,59.725266,0.9092828,0.0,0.0
130,CD27,58.901924,1.3338602,0.0,0.0
131,CDKN1B,58.75917,0.9745987,0.0,0.0
132,CD6,58.659885,1.6374478,0.0,0.0
133,CDC14A,58.56558,1.6929246,0.0,0.0
134,GIMAP7,57.99845,0.8558731,0.0,0.0
135,TNFRSF25,57.96346,2.0582228,0.0,0.0
136,PIK3R1,57.580345,0.88711625,0.0,0.0
137,DNAJB1,57.479023,1.2182986,0.0,0.0
138,COX7C,57.46835,0.42215723,0.0,0.0
139,CXCR4,57.373627,0.8145753,0.0,0.0
140,CD40LG,57.097874,2.7233543,0.0,0.0
141,MAF,57.069878,1.971561,0.0,0.0
142,TRBC1,57.002808,1.2697816,0.0,0.0
143,SYNE2,56.940823,0.9215263,0.0,0.0
144,MDFIC,56.613396,1.3444278,0.0,0.0
145,C12orf57,56.47268,0.7979871,0.0,0.0
146,OPTN,56.07373,1.1843299,0.0,0.0
147,RPS11,55.468964,0.3111862,0.0,0.0
148,CYLD,55.378117,0.84587,0.0,0.0
149,PAG1,55.31235,1.213495,0.0,0.0
150,AAK1,55.157978,0.76011354,0.0,0.0
151,HNRNPA1,54.49072,0.43816596,0.0,0.0
152,CD28,54.24904,2.274606,0.0,0.0
153,ARL4C,53.918148,0.7746043,0.0,0.0
154,LCK,53.85104,0.9429957,0.0,0.0
155,EVL,53.76121,0.7342417,0.0,0.0
156,ODF2L,53.642822,1.1919544,0.0,0.0
157,PRDX2,52.878185,0.92210126,0.0,0.0
158,TNFAIP8,51.744865,0.719246,0.0,0.0
159,RPS9,51.686943,0.29550013,0.0,0.0
160,NACA,51.568615,0.29053035,0.0,0.0
161,ISG20,51.471645,0.79102814,0.0,0.0
162,LEF1,51.333347,1.1636586,0.0,0.0
163,KLRB1,51.326973,1.2280143,0.0,0.0
164,EIF3E,51.23611,0.49220175,0.0,0.0
165,DDX24,51.133045,0.58146566,0.0,0.0
166,PSIP1,50.80975,0.78649193,0.0,0.0
167,EML4,50.674213,0.9112758,0.0,0.0
168,LAT,50.35708,1.0311695,0.0,0.0
169,TESPA1,50.328964,1.6494384,0.0,0.0
170,TC2N,49.97394,1.2758116,0.0,0.0
171,CCND2,49.560555,1.1653432,0.0,0.0
172,SNHG8,49.362755,0.6970012,0.0,0.0
173,MZT2B,49.30196,0.57143456,0.0,0.0
174,ACAP1,49.295975,0.7619636,0.0,0.0
175,CLEC2D,49.251637,0.7787989,0.0,0.0
176,MZT2A,48.941677,0.9437699,0.0,0.0
177,DGKA,48.765015,1.2383072,0.0,0.0
178,MGAT4A,48.381832,0.91351783,0.0,0.0
179,OCIAD2,48.135147,1.0635965,0.0,0.0
180,TMEM123,47.883633,0.6279011,0.0,0.0
181,SVIP,47.364437,1.0213002,0.0,0.0
182,CD48,47.346687,0.4050829,0.0,0.0
183,FYB1,47.173817,0.56710726,0.0,0.0
184,RASGRP1,46.986965,0.9996123,0.0,0.0
185,PIK3IP1,46.96754,0.8640328,0.0,0.0
186,TNFRSF4,46.65618,3.17481,0.0,0.0
187,SNRPD2,46.39276,0.51675284,0.0,0.0
188,STMN3,46.35912,1.2805518,0.0,0.0
189,IL2RG,46.187355,0.70269394,0.0,0.0
190,NSD3,46.12005,0.6474847,0.0,0.0
191,TSTD1,45.92394,0.7999002,0.0,0.0
192,TMEM238,45.752846,1.4682354,0.0,0.0
193,APRT,45.696285,0.4820947,0.0,0.0
194,LIMS1,45.668507,0.9070447,0.0,0.0
195,FOXP1,45.54561,0.63314146,0.0,0.0
196,ARID5B,45.378204,1.0903529,0.0,0.0
197,RGCC,45.011414,1.6491673,0.0,0.0
198,SKAP1,43.61874,0.79305834,0.0,0.0
199,NCK2,43.3431,0.9551356,0.0,0.0
200,GATA3,43.18023,1.6155208,0.0,0.0
201,CORO1B,43.003704,1.1421733,0.0,0.0
202,EEF1D,42.758835,0.2980883,0.0,0.0
203,PPP1R2,42.68646,0.6293925,0.0,0.0
204,ATP8B2,42.518475,1.6748042,0.0,0.0
205,TRAF3IP3,42.363,0.52898693,0.0,0.0
206,ADD3,41.69436,0.5650664,0.0,0.0
207,MYL12A,41.39433,0.30311713,0.0,0.0
208,TRABD2A,41.099407,1.1803949,0.0,0.0
209,TOB1,40.997723,1.0518031,0.0,0.0
210,SMDT1,40.757725,0.5228464,0.0,0.0
211,OXNAD1,40.593338,0.9650325,0.0,0.0
212,RPS4Y1,40.580597,0.55907047,0.0,0.0
213,SH3YL1,40.47261,1.2341325,0.0,0.0
214,RHOH,40.38046,0.96512663,0.0,0.0
215,FAM102A,40.176456,1.3344958,0.0,0.0
216,CD5,40.121716,1.8729659,0.0,0.0
217,SPTAN1,40.068398,0.85329247,0.0,0.0
218,SFXN1,40.015556,1.2006603,0.0,0.0
219,FLT3LG,39.83923,1.4957101,0.0,0.0
220,BTF3,39.82775,0.31115213,0.0,0.0
221,COMMD6,39.76796,0.37138018,0.0,0.0
222,CFAP36,39.32237,1.630926,0.0,0.0
223,PASK,39.286747,2.0043485,0.0,0.0
224,CDC42SE2,39.272213,0.527888,0.0,0.0
225,HSPA8,39.22224,0.46446332,0.0,0.0
226,BIRC3,39.118816,0.81707275,0.0,0.0
227,LINC00861,38.966488,0.8145247,0.0,0.0
228,PPP2R5C,38.67741,0.49173892,0.0,0.0
229,FKBP11,38.201828,1.0050058,0.0,0.0
230,UBALD2,38.037655,0.6530467,0.0,0.0
231,KIF2A,37.97081,0.5833819,0.0,0.0
232,GCC2,37.894737,0.5668446,0.0,0.0
233,SERINC5,37.76834,1.0538058,0.0,0.0
234,TMA7,37.634552,0.30381542,5.85431190737046e-310,2.7194170740912793e-308
235,CLDND1,37.376648,1.0035449,9.36077887613189e-306,4.288822430979663e-304
236,SF1,37.286003,0.4123371,2.766802667461694e-304,1.2642101888464618e-302
237,EPB41,37.169563,0.5864706,2.118083022895617e-302,9.612485578061326e-301
238,GPRIN3,37.06132,1.2438098,1.18023507875252e-300,5.30599518380724e-299
239,USP10,36.74234,1.1954987,1.5408559278916703e-295,6.862845432885902e-294
240,CD96,36.669037,0.8360108,2.2760305843449305e-294,1.0097025626687867e-292
241,TSHZ2,36.588345,2.108905,4.383024042923415e-293,1.9367307029191765e-291
242,BIN1,36.300224,0.6922001,1.604692833828336e-288,6.935333538780249e-287
243,OST4,35.24666,0.2761566,3.860249126257268e-272,1.60427552907579e-270
244,CFAP97,35.20976,0.8048657,1.4177327722891501e-271,5.877369804330472e-270
245,B2M,35.12647,0.123861305,2.659253792516499e-270,1.1010623912767697e-268
246,THEM4,35.089767,1.3398043,9.65597323084363e-270,3.988202342561991e-268
247,SLFN5,35.052456,0.58854824,3.5770824921772736e-269,1.4756235254937442e-267
248,CRIP1,34.970024,0.73563945,6.426316169650793e-268,2.641247447276327e-266
249,SLC38A1,34.459152,0.65454227,3.284107679652684e-260,1.331830754053104e-258
250,NAP1L1,34.38908,0.3291332,3.672011561724228e-259,1.4873420743611975e-257
251,PDE4D,34.27691,1.4238331,1.733189696677526e-257,6.994911678359913e-256
252,AC044849.1,34.243954,1.3280689,5.365562069067817e-257,2.1576765068632667e-255
253,MALAT1,33.96706,0.24118836,6.830271318572946e-253,2.7270671366940415e-251
254,ITK,33.96005,1.0180163,8.668490067997539e-253,3.4568825196254633e-251
255,SRSF5,33.895992,0.27413526,7.631578304395332e-252,3.032557739014344e-250
256,RAN,33.776867,0.4214485,4.312210277075714e-250,1.7014459796772389e-248
257,ANK3,33.53674,2.085713,1.405251293250755e-246,5.486532930505683e-245
258,BEX2,33.52549,1.2139283,2.049689914917467e-246,7.993313996104885e-245
259,ZC3HAV1,33.176758,0.60158294,2.3300530318445576e-241,8.930893552228888e-240
260,SUSD3,33.171654,1.2937496,2.7600508474311853e-241,1.0566961794651495e-239
261,SEPT6,33.12085,0.46728808,1.4891549936750102e-240,5.681829371771614e-239
262,STK4,32.71683,0.3436962,9.000982022265358e-235,3.3691399002537454e-233
263,EIF4A2,32.646503,0.35616863,8.983337614329161e-234,3.3587868105838505e-232
264,SEPT1,32.274914,0.74435997,1.5736060713779826e-228,5.780460068113338e-227
265,C6orf48,32.26544,0.44289002,2.136663123048461e-228,7.840197792209987e-227
266,TSPAN18,32.18979,2.3696594,2.452526366238634e-227,8.969774184395997e-226
267,CCR6,32.16592,2.5893028,5.290707684133242e-227,1.9307916682313456e-225
268,CDC25B,32.13083,0.96725667,1.6366126358109235e-226,5.959686707907357e-225
269,NDUFS5,32.01705,0.3838113,6.313956009235827e-225,2.2917473662094283e-223
270,BTG1,31.84319,0.28753802,1.6354731607963615e-222,5.897903103955739e-221
271,GOLGA8A,31.30064,1.109887,4.573672982168853e-215,1.6197660451528933e-213
272,CCR7,31.256767,0.7500331,1.8065121039453003e-214,6.370852044386696e-213
273,HIVEP2,31.223185,1.3104471,5.163401342033059e-214,1.813300044074395e-212
274,HMGN1,31.170193,0.39392847,2.7017900493586427e-213,9.46840487726125e-212
275,NMRK1,31.054474,1.2805295,9.927437639691452e-212,3.4538008668046876e-210
276,SELENOM,31.009747,1.1378381,3.983317409317959e-211,1.3800878024143153e-209
277,JUNB,30.939463,0.44039452,3.521237141719084e-210,1.214971720771344e-208
278,TBC1D4,30.918568,1.5279447,6.7245522858444e-210,2.313108046796405e-208
279,SCML4,30.720564,1.1061298,3.02471885827119e-207,1.0298783864842556e-205
280,MPHOSPH8,30.689499,0.42429218,7.85887627092996e-207,2.665025200954995e-205
281,GIMAP4,30.682898,0.44122234,9.625982280455557e-207,3.25768106682057e-205
282,AC058791.1,30.605154,1.2143064,1.0452049655667265e-205,3.508917330848536e-204
283,NSA2,30.442226,0.3370174,1.518151016008345e-203,5.026233837599987e-202
284,MCUB,30.396296,0.57518935,6.148558434831647e-203,2.0296294565687383e-201
285,HSP90AB1,30.192284,0.31776652,2.9907622043284533e-200,9.76671692393064e-199
286,CD226,29.955542,0.8171545,3.7261828344663233e-197,1.2085949700418912e-195
287,NCOA7,29.770935,0.73474836,9.293864068687788e-195,2.9799006991936043e-193
288,LINC02273,29.568932,2.0578272,3.750326135085869e-192,1.1922126816920368e-190
289,ITGA6,29.442158,1.0305161,1.5863746312627746e-190,5.0239690635779915e-189
290,PRDM1,29.355728,0.76248425,2.019351873354943e-189,6.377120821900007e-188
291,CIRBP,29.33871,0.30686465,3.3292284485428285e-189,1.0484099878613089e-187
292,EMB,29.285147,0.43571973,1.603246530051311e-188,5.034614431166748e-187
293,CCSER2,29.073206,0.63635147,7.833439927991205e-186,2.441616248187445e-184
294,KMT2A,29.065813,0.44953153,9.713583852548537e-186,3.0248298537304813e-184
295,GTF3A,28.991026,0.3589181,8.537574216834998e-185,2.6487804263109356e-183
296,LPIN2,28.977655,0.760525,1.2584957744614447e-184,3.897269739971185e-183
297,PRKCA,28.76236,1.154783,6.345481522225989e-182,1.945290304318238e-180
298,HELB,28.671879,0.99441344,8.556395196895169e-181,2.608767110122456e-179
299,PDCD4,28.620033,0.4154295,3.784962159467742e-180,1.1508618395669006e-178
300,DPP4,28.617086,1.897993,4.118502980069358e-180,1.2500122438512773e-178
301,PPDPF,28.523,0.30771703,6.075322608537719e-179,1.82903204349316e-177
302,PDCD5,28.253767,0.60790324,1.2794614252455195e-175,3.7973962194587817e-174
303,NSG1,28.109867,1.5539274,7.42123320767524e-174,2.185191565575173e-172
