,names,scores,logfoldchanges,pvals,pvals_adj
0,HBA1,15.568078,12.9440565,1.199574537253907e-54,2.827187764919828e-50
1,HBB,15.546289,13.775953,1.6859608592759425e-54,2.827187764919828e-50
2,HBA2,14.948916,12.863796,1.583037166204252e-50,1.7697300160052734e-46
3,SLC25A37,14.631437,4.193549,1.770069696280102e-48,1.1872919494768413e-44
4,SNCA,14.301022,6.197672,2.1562103445447723e-46,9.03937281691782e-43
5,SLC25A39,13.260332,3.564171,3.9315072071165835e-40,3.0642488863745108e-37
6,HBM,12.917902,11.951674,3.567378882018346e-38,1.9336463860402474e-35
7,ALAS2,12.729593,12.122935,4.0494149801101486e-37,1.7411446102940275e-34
8,YBX3,12.567476,2.712125,3.187374778812581e-36,1.1747052234265531e-33
9,FKBP8,11.802041,2.0909,3.809561507230927e-32,9.753059070955025e-30
10,FAM210B,11.785331,3.3314645,4.645936697217755e-32,1.1715445485059327e-29
11,HBD,11.768265,11.21088,5.688248732160339e-32,1.4131295257718033e-29
12,AHSP,11.589562,12.457656,4.655051374050123e-31,1.1231734746970722e-28
13,BNIP3L,11.462628,2.325454,2.032509209278086e-30,4.733770406997809e-28
14,SLC4A1,11.201649,10.245293,4.00214096965686e-29,8.948253589356786e-27
15,MKRN1,10.758188,2.2112916,5.422561465579153e-27,1.0889932121712193e-24
16,MXI1,10.597082,2.4117458,3.074228932433817e-26,5.825055928585613e-24
17,DCAF12,10.474316,3.7123103,1.1335445261979028e-25,2.1120453510902925e-23
18,TRIM58,10.300848,4.834938,6.984284055513591e-25,1.2328364139674466e-22
19,BCL2L1,10.22506,3.2413719,1.5313310774277999e-24,2.633732393578131e-22
20,STRADB,10.120469,3.7010002,4.482614703716824e-24,7.592824845113881e-22
21,TENT5C,9.915767,3.1060266,3.5551669973425163e-23,5.677770988422539e-21
22,ADIPOR1,9.908094,2.368758,3.838966940131773e-23,6.101956077636938e-21
23,DMTN,9.855684,4.025063,6.477400580268982e-23,1.005736391949357e-20
24,GLRX5,9.703806,2.5224788,2.904571008775346e-22,4.3488170755494445e-20
25,SELENBP1,9.686645,10.767052,3.4363158991556085e-22,5.0994319745964957e-20
26,RNF10,9.676593,2.1480207,3.791417625071306e-22,5.57704229428252e-20
27,FBXO7,9.328557,2.0829997,1.0732200969024008e-20,1.463156732110273e-18
28,CA1,9.119997,12.082245,7.512617202441806e-20,9.543869535435352e-18
29,FECH,8.781569,4.024402,1.6121047716040187e-18,1.903759501058295e-16
30,MARCH8,8.707166,2.5569553,3.115685625717882e-18,3.578557003949532e-16
31,GMPR,8.530638,4.170956,1.455432418083429e-17,1.5848146895351311e-15
32,UBB,8.503027,1.8478404,1.847099990085259e-17,1.9918983751601098e-15
33,BPGM,8.301841,3.6782718,1.0251079635520075e-16,1.0546034012762953e-14
34,HEMGN,8.225262,4.783565,1.9476584890161563e-16,1.979411224382541e-14
35,GSPT1,8.203842,1.6333177,2.3282345698520123e-16,2.3378542216675684e-14
36,BLVRB,7.9922366,1.9433494,1.3251228679682728e-15,1.2554229024271167e-13
37,IFI27,7.827686,3.8508441,4.9693190144974674e-15,4.5288320953319584e-13
38,TNS1,7.092877,5.4229484,1.313520982271286e-12,9.989312177644985e-11
39,GYPB,7.0284734,11.005033,2.08805559870761e-12,1.5357282602950838e-10
40,PDZK1IP1,7.006253,3.977578,2.447857822719656e-12,1.7845874981496002e-10
41,HBQ1,6.914129,5.440694,4.7074734865373556e-12,3.316790877972475e-10
42,MPP1,6.9132295,1.6765215,4.737426455561389e-12,3.330897452130354e-10
43,GYPC,6.9042387,1.2148392,5.047337141752153e-12,3.541372239750705e-10
44,EPB42,6.8415146,13.015376,7.836011226577887e-12,5.385330830265762e-10
45,RIOK3,6.7490573,1.2789229,1.4880901642648888e-11,1.0006055028934442e-09
46,NFIX,6.688995,4.1081753,2.247088658874376e-11,1.4690615875502696e-09
47,PITHD1,6.684859,2.133439,2.3114703411486355e-11,1.5052833456590862e-09
48,KRT1,6.6650496,5.1844645,2.6457626628327277e-11,1.7097030479014262e-09
49,MYL4,6.618781,6.8006034,3.621723873456696e-11,2.3269228978542275e-09
50,YOD1,6.589614,2.6967332,4.409713350574292e-11,2.801003150597739e-09
51,EIF1AY,6.394852,1.8199394,1.6070283633140291e-10,9.676214945929247e-09
52,BAG1,6.117879,1.273809,9.48291831573106e-10,5.274263921608429e-08
