,names,scores,logfoldchanges,pvals,pvals_adj
0,CDK6,29.860165,5.0663943,6.478664673055917e-196,2.1728145580494932e-191
1,SOX4,29.757526,5.0118537,1.3858866368644026e-194,1.5493288675719446e-190
2,RPS24,29.48349,1.1552161,4.687401416567558e-191,3.144121374176855e-187
3,ZFAS1,28.606853,2.1554756,5.521235322066237e-180,2.6453027175922495e-176
4,RACK1,28.596434,1.2685409,7.441193344684554e-180,3.119534279925382e-176
5,STMN1,28.140488,4.002647,3.133185070219008e-174,1.1675640098333899e-170
6,PRSS57,27.98871,7.385282,2.229633306743025e-172,6.797949258322506e-169
7,RPLP0,27.7558,1.5199761,1.4831236669594797e-169,4.1450834618739194e-166
8,NPM1,27.591442,1.743556,1.409553164847813e-167,3.3766852887618537e-164
9,AC084033.3,27.393486,6.052887,3.279101611189661e-165,6.873406864754927e-162
10,ANKRD28,27.312607,4.4141006,3.004931500919878e-164,5.928199569285345e-161
11,HNRNPA1,27.094872,1.5772474,1.131628700804287e-161,2.10847574264301e-158
12,RPL15,26.334484,0.94350195,7.728277344066649e-153,1.2959548278265363e-149
13,RPL7A,26.114069,1.0161474,2.5237139129843785e-150,3.847287146075913e-147
14,EBPL,25.861784,3.352337,1.7932052457036844e-147,2.5058548971004237e-144
15,FAM30A,25.664686,5.111145,2.8989907106363775e-145,3.739475017435493e-142
16,MSI2,25.633904,3.3006635,6.392551651101843e-145,7.94049619535754e-142
17,RPL26,25.63171,0.8528731,6.762637603416365e-145,8.100190712263501e-142
18,RPS4X,25.401432,1.1591166,2.431609171066701e-142,2.812114082042587e-139
19,SNHG7,25.322575,2.6720717,1.8023362973405887e-141,2.014891824673622e-138
20,RPL5,25.247904,1.1353592,1.1942470492273993e-140,1.2920212108705974e-137
21,SERPINB1,25.238579,2.5995612,1.5117476418775333e-140,1.584406012915272e-137
22,RPS2,25.086397,0.9685937,7.000518697773833e-139,7.114648366240571e-136
23,HINT1,25.059256,1.5868052,1.3839651085038477e-138,1.3651594649706482e-135
24,MYB,25.025553,6.665578,3.222967074628022e-138,3.0883391356821316e-135
25,DDAH2,24.890896,3.251311,9.336488471053615e-137,8.697976398394337e-134
26,RPL7,24.775583,0.9772577,1.6437394641144803e-135,1.4899387607424714e-132
27,EIF3E,24.749874,1.5203192,3.110013391523474e-135,2.7448323453924808e-132
28,EGFL7,24.566193,7.0907063,2.9039657356367073e-133,2.434830071044597e-130
29,HSP90AB1,24.34889,1.6757976,5.956379124491629e-131,4.872318123834152e-128
30,RPS23,24.200861,0.9838448,2.1787873052885958e-129,1.739813539161165e-126
31,BTF3,24.199207,1.1199678,2.267885878626729e-129,1.7688455022647266e-126
32,SPINK2,23.975746,6.7092767,4.980452167484693e-127,3.796236472570491e-124
33,SMIM24,23.917711,10.299352,2.0039395811552358e-126,1.493513903839651e-123
34,LAPTM4B,23.608334,5.9666758,3.164768384316249e-123,2.3073913494173554e-120
35,TSC22D1,23.579794,3.4503112,6.212980478164386e-123,4.3410612349307745e-120
