,names,scores,logfoldchanges,pvals,pvals_adj
0,MZB1,32.954723,8.291413,3.620317827534034e-238,1.2141821929983642e-233
1,HSP90B1,32.780796,4.0910163,1.1058843332854877e-235,1.8544574384864344e-231
2,JCHAIN,32.685303,9.758295,2.5263885297961577e-234,2.824333950410118e-230
3,PPIB,32.528214,3.5766609,4.256911838486144e-232,3.5692077309787077e-228
4,SEC11C,32.400406,4.5961204,2.7087344755655394e-230,1.816910736830341e-226
5,ITM2C,32.003193,6.0847297,9.84398752841118e-225,5.502460895464236e-221
6,TNFRSF17,31.956608,9.1798115,4.373248102229835e-224,2.095285640751203e-220
7,SSR4,31.44976,2.791635,4.229390931142072e-217,1.773066413108035e-213
8,SPCS2,31.143852,2.9028525,6.14367160737758e-213,2.2894050929803257e-209
9,PDIA4,31.10846,4.2403393,1.8507471159163455e-212,6.207035677360239e-209
10,DERL3,30.938492,7.1481633,3.628793364264072e-210,1.1063861077335313e-206
11,SSR3,30.225336,3.110869,1.1007310461529001e-200,3.076359818822997e-197
12,LMAN1,29.875599,3.7936175,4.083763403677613e-196,8.840277671272427e-193
13,UBE2J1,29.874521,3.5372677,4.2174382115915927e-196,8.840277671272427e-193
14,TXNDC5,29.812342,7.6668377,2.7031014921358452e-195,5.332742226073645e-192
15,FKBP11,29.788319,3.9592073,5.5350840156559055e-195,1.0313091539837098e-191
16,MYDGF,29.674118,3.476828,1.6570924285433312e-193,2.925029782551908e-190
17,PDIA6,29.239231,3.0558088,6.154703361826563e-188,1.0320822067446963e-184
18,SPCS1,29.052189,2.343283,1.4438470328671577e-185,2.305892466109464e-182
19,HSPA5,28.908707,2.9621766,9.279948750299556e-184,1.4146860053979386e-180
20,XBP1,28.895746,3.0377653,1.3502948873130566e-183,1.9689647795958824e-180
21,SUB1,28.8269,2.7483485,9.871684332281569e-183,1.379485621400247e-179
22,IGHA1,28.421183,7.991035,1.1069282078975073e-177,1.484966329458664e-174
23,MANF,28.386545,3.63036,2.9642430037090125e-177,3.823645456092033e-174
24,ISG20,28.299503,2.810381,3.5049106479464784e-176,4.353618270771444e-173
25,SDF2L1,28.275953,3.5099235,6.82881607995883e-176,8.17945834605926e-173
26,POU2AF1,28.19301,4.938728,7.12309516250382e-175,8.237736743450108e-172
27,CALR,28.02518,2.7121751,8.017733750259421e-173,8.963291817206681e-170
28,MAN1A1,27.90674,3.677302,2.2101235699020106e-171,2.3910685253991493e-168
29,SELENOS,27.562178,2.876509,3.162459831637237e-167,3.214017510104535e-164
30,TXNDC11,27.340921,3.8133574,1.384656800571893e-164,1.365841758164122e-161
31,TNFRSF13B,27.268764,5.2608967,9.957567231096871e-164,9.54162542275791e-161
32,SEC61B,27.122507,2.499878,5.344595061617385e-162,4.844514302068213e-159
33,ERLEC1,27.11208,3.1173048,7.093981436895936e-162,6.260998669226735e-159
34,CD38,26.949354,4.4156933,5.804497836578474e-160,4.991570472901765e-157
35,SPATS2,26.877302,4.39999,4.0466002911143996e-159,3.231306680080827e-156
36,PRDX4,26.784363,3.9309645,4.9155273347900436e-158,3.746748994413374e-155
37,TENT5C,26.729818,3.6415534,2.1197540278319347e-157,1.5798291241206092e-154
38,CD79A,26.660454,3.6177168,1.3538843330435643e-156,9.87099407861197e-154
39,CPNE5,26.579103,4.311296,1.1840829716507475e-155,8.449313766643143e-153
40,ELL2,26.417591,4.4751863,8.604626815380068e-154,5.8894280435554435e-151
41,EAF2,26.403856,3.54244,1.2373806189477165e-153,8.299854239653703e-151
42,FKBP2,26.27897,2.6611652,3.3359795823397533e-152,2.1937663378923656e-149
43,GNG7,26.077065,3.945516,6.637866912791852e-150,4.2811688561771755e-147
44,CLPTM1L,26.065008,2.9307995,9.09371954008162e-150,5.754437093118064e-147
45,SEL1L3,25.862135,3.4153674,1.7770144766128166e-147,1.0835911184843753e-144
46,SPCS3,25.795528,2.3527136,9.953102923218094e-147,5.85626606734892e-144
47,CRELD2,25.718071,3.243102,7.340082790064631e-146,4.244339596779097e-143
48,COBLL1,25.410713,3.8128037,1.9201629067422783e-142,1.0733070594387088e-139
49,KDELR2,25.331532,2.7479804,1.4359936575408912e-141,7.895140210919084e-139
50,DDOST,25.251923,2.5962317,1.0787926361741805e-140,5.835572166453172e-138
51,OSTC,25.248045,2.378492,1.189985426259578e-140,6.334877972364084e-138
52,P4HB,25.103579,2.2335591,4.545374464442369e-139,2.381918262319815e-136
53,TP53INP1,24.954773,3.2029853,1.8952433153623766e-137,9.630707622821726e-135
54,PLPP5,24.86259,3.042367,1.8900251650225895e-136,9.460845370825015e-134
55,SLAMF7,24.740284,3.102431,3.944542731419257e-135,1.9454716783285154e-132
56,SEC61G,24.611523,2.1861343,9.508783101988485e-134,4.4916277137252087e-131
57,CD27,24.567589,2.9043415,2.8059484108856645e-133,1.3070263583928252e-130
58,RABAC1,24.509996,1.9721118,1.1557339963212663e-132,5.168134235816351e-130
59,ZBP1,24.507786,3.0921931,1.2201994668172814e-132,5.384611805015525e-130
60,RPN2,24.398958,2.3935409,1.7542865714585902e-131,7.640943251114052e-129
61,DNAJB11,24.29386,3.0095773,2.2763323359735537e-130,9.54295423548513e-128
62,LMAN2,24.1937,2.1284137,2.5916633875291146e-129,1.0730766258142153e-126
63,TMED9,23.902048,2.2135758,2.9162195024496934e-126,1.178363490038046e-123
64,TPD52,23.742834,2.9859943,1.3029638285502188e-124,5.141035397872617e-122
65,AQP3,23.656345,2.9437253,1.0155387466887567e-123,3.960364940284596e-121
66,PRDM1,23.564003,2.5741541,9.020859510656965e-123,3.4379725712319685e-120
67,TMEM258,23.524385,1.7373185,2.2965364016430546e-122,8.654071667225255e-120
68,PEBP1,23.37709,2.1572065,7.310058021835494e-121,2.6648339775686828e-118
69,SLC44A1,23.129822,2.9519076,2.320853040367819e-118,8.280507368920842e-116
70,TMEM156,22.992764,3.0763943,5.5068618130972525e-117,1.8845829743638332e-114
71,HM13,22.938623,2.2135615,1.9139071936500372e-116,6.355308857488609e-114
72,RRBP1,22.757881,2.5165436,1.1990290485000064e-114,3.9041782746207007e-112
73,HYOU1,22.750742,3.317573,1.410971563634425e-114,4.550111952035707e-112
74,MLEC,22.68877,2.4720721,5.783212441500374e-114,1.847213132028948e-111
75,DAD1,22.68601,1.7103978,6.1576778036086404e-114,1.9482660205417603e-111
76,NCOA3,22.600977,2.2942312,4.238962500720784e-113,1.3286572369081651e-110
77,SRPRB,22.507332,3.070567,3.518098692709079e-112,1.062972918523217e-109
78,DCPS,22.340921,2.8831887,1.4795910617443962e-110,4.391373896352528e-108
79,RASGRP3,22.181532,4.214905,5.178486583606071e-109,1.5102268090520037e-106
80,HERPUD1,22.077993,2.1388621,5.144154011146935e-108,1.4620731968292026e-105
81,IGKC,22.074873,7.5628395,5.511783833396923e-108,1.5533966907938318e-105
82,TCF4,22.02675,2.5460637,1.5962367096384465e-107,4.4243460138722494e-105
83,RPN1,21.900475,2.2637472,2.570929647953999e-106,7.067527748613215e-104
84,DENND5B,21.877014,4.880118,4.3009014738880025e-106,1.1632551099294826e-103
85,STT3A,21.8598,3.149828,6.2717817465907315e-106,1.6693890175965077e-103
86,IRF4,21.855,4.1580305,6.967096989908389e-106,1.8398621956499807e-103
87,NT5DC2,21.843252,5.5885463,9.010860193853421e-106,2.360986165480125e-103
88,ALG5,21.81605,2.4243894,1.633798599531919e-105,4.247623056674535e-103
89,B4GALT3,21.690004,2.8517842,2.549653238323577e-104,6.577713100530471e-102
90,VOPP1,21.67528,2.3501759,3.510987902584175e-104,8.988665059302905e-102
91,CCDC32,21.611359,2.6572423,1.404558722202154e-103,3.515379882478794e-101
92,SSR2,21.508862,1.3383307,1.286250239188068e-102,3.171930920727163e-100
93,ARF4,21.452837,2.2998738,4.296350940710478e-102,1.0517592543762628e-99
94,GMPPB,21.347574,3.504741,4.107121474528173e-101,9.909686331850782e-99
95,SYVN1,21.318121,2.976705,7.709330556161959e-101,1.846825201375427e-98
96,MANEA,21.26365,3.8257146,2.4647945022134535e-100,5.862714752853533e-98
97,TMED10,21.260376,1.7906687,2.6429170734027333e-100,6.242123437167667e-98
98,SEC61A1,21.170502,2.3621664,1.7864242071437885e-99,4.1606316013325263e-97
99,TRAM1,21.104116,1.6768757,7.2904643428038744e-99,1.6862592629583195e-96
100,SEC24D,20.825966,2.8559444,2.5179754966295276e-96,5.667641758789335e-94
101,EDEM1,20.789103,2.479539,5.431778327253215e-96,1.214473210262789e-93
102,HDLBP,20.78867,2.0896497,5.4810210214687e-96,1.2173674372054122e-93
103,FUT8,20.712654,2.8259795,2.663699402502943e-95,5.838898729486516e-93
104,CISD2,20.64918,2.3307817,9.929159109270563e-95,2.1346419115815137e-92
105,TMEM208,20.641151,2.0563643,1.1723747443221442e-94,2.5044015398137627e-92
