,names,scores,logfoldchanges,pvals,pvals_adj
0,TRDC,91.653625,5.177566,0.0,0.0
1,TRGC1,70.1624,4.4311743,0.0,0.0
2,CCL5,65.43242,3.244041,0.0,0.0
3,CD3G,63.43494,2.13448,0.0,0.0
4,IL32,62.763184,2.1089773,0.0,0.0
5,CD3D,61.528336,2.0159469,0.0,0.0
6,TRGC2,59.871708,3.4173057,0.0,0.0
7,NKG7,59.34286,3.1653697,0.0,0.0
8,PPP2R5C,58.55914,1.5767473,0.0,0.0
9,CST7,57.46732,2.5337746,0.0,0.0
10,KLRD1,56.333252,2.6193933,0.0,0.0
11,SYNE2,56.272842,2.0097058,0.0,0.0
12,CD3E,55.488895,1.7288855,0.0,0.0
13,ARL4C,54.89144,1.5511227,0.0,0.0
14,GZMA,54.61685,2.4408288,0.0,0.0
15,B2M,52.58113,0.5321495,0.0,0.0
16,HCST,52.29838,1.1854266,0.0,0.0
17,GZMM,52.25397,1.8939401,0.0,0.0
18,CTSW,51.61835,2.0724971,0.0,0.0
19,LYAR,51.003178,1.9725139,0.0,0.0
20,PIK3R1,49.927326,1.5926981,0.0,0.0
21,DUSP2,48.23164,1.982509,0.0,0.0
22,MALAT1,47.623524,0.56493443,0.0,0.0
23,HLA-B,46.618034,0.54690605,0.0,0.0
24,HLA-A,46.616653,0.5902817,0.0,0.0
25,GNLY,45.31707,2.7776127,0.0,0.0
26,PRF1,45.119236,1.9972701,0.0,0.0
27,KLRG1,43.28483,2.7860003,0.0,0.0
28,SAMD3,43.053753,1.8535509,0.0,0.0
29,SYNE1,41.979836,1.6368525,0.0,0.0
30,CALM1,41.61728,0.7306238,0.0,0.0
31,PTPRC,40.41087,0.60958534,0.0,0.0
32,HLA-C,40.30384,0.55150896,0.0,0.0
33,CD247,40.300327,1.3673247,0.0,0.0
34,MYBL1,39.44257,1.8819417,0.0,0.0
35,GZMH,38.8175,2.184476,0.0,0.0
36,CD7,38.40423,1.3056593,0.0,0.0
37,ZFP36L2,38.3825,0.8372131,0.0,0.0
38,LITAF,38.361122,1.1131711,0.0,0.0
39,PYHIN1,38.20019,1.7246926,0.0,0.0
40,SEPT7,37.83256,0.7491485,0.0,0.0
41,RUNX3,37.585636,1.314151,3.689897224930295e-309,2.6902559376024396e-306
42,LCK,37.12876,1.2691795,9.653394037904858e-302,6.6072556988419e-299
43,MT-ATP6,36.83166,0.37860537,5.7499854806434405e-297,3.856860260996394e-294
44,ABHD17A,36.48027,1.072398,2.279413066693882e-291,1.4701337582842194e-288
45,FGFBP2,35.94108,1.8605983,6.976402063424435e-283,4.3328624519097903e-280
46,ETS1,35.91728,1.0533898,1.6416944720354551e-282,1.00107544005682e-279
47,CD99,35.7823,0.9449655,2.0819882588961725e-280,1.2468878969082112e-277
48,HOPX,35.764336,1.647427,3.9605674457727807e-280,2.3303422981811847e-277
49,RARRES3,35.47774,1.0205337,1.0836966562122443e-275,6.160172619668856e-273
50,MATK,34.50609,1.8070344,6.500714582215423e-261,3.516467188037756e-258
51,HLA-E,34.342857,0.44777375,1.8004687385505884e-258,9.149109174774187e-256
52,RORA,34.246605,1.3422458,4.899504776004194e-257,2.4164645761415977e-254
53,C12orf75,33.93116,1.4592675,2.313251553992589e-252,1.062764802983609e-249
54,GZMB,33.683506,1.73875,1.0081284006745249e-248,4.5080813735762957e-246
55,CLEC2D,33.6654,1.0752653,1.8559399966227028e-248,8.19006784299108e-246
56,LINC01871,32.70912,1.8994093,1.1585964208565907e-234,4.681567079841968e-232
57,KLRB1,32.61574,1.7644391,2.4534283764570525e-233,9.567800103443795e-231
58,SPOCK2,32.44439,1.2545464,6.499340494380479e-231,2.4491559719160955e-228
59,IL2RG,32.237827,1.0234354,5.211057532424125e-228,1.9205323903564868e-225
60,HSP90AA1,31.900553,0.5390443,2.623319371530701e-223,8.977641334938432e-221
61,KLRC1,31.531351,3.0635414,3.2306804044891995e-218,1.0622603863309683e-215
62,PTPN4,31.30485,1.3328931,4.008386174665202e-215,1.244752365980755e-212
63,MBP,31.212696,0.91932887,7.166203804920988e-214,2.1849103928130914e-211
64,MT-CYB,30.918451,0.3555464,6.748691565031858e-210,1.9511863595520557e-207
65,AES,30.632275,0.66511023,4.551612154427025e-206,1.3047176789331074e-203
66,CD81,30.416756,0.9484728,3.2983477318916854e-203,9.218332186015278e-201
67,CD2,30.292404,1.0417004,1.443322608939456e-201,3.9354596470415833e-199
