,names,scores,logfoldchanges,pvals,pvals_adj
0,TCF4,50.621952,6.386716,0.0,0.0
1,CCDC50,50.57853,6.0246816,0.0,0.0
2,IRF8,50.518417,5.461552,0.0,0.0
3,PPP1R14B,50.455006,5.0863237,0.0,0.0
4,UGCG,50.296993,6.2509947,0.0,0.0
5,PLD4,50.240986,6.66304,0.0,0.0
6,IRF7,50.174442,5.270633,0.0,0.0
7,SERPINF1,50.11251,8.45259,0.0,0.0
8,JCHAIN,50.10263,6.923411,0.0,0.0
9,ITM2C,49.894684,6.630834,0.0,0.0
10,IL3RA,49.890347,7.564756,0.0,0.0
11,BCL11A,49.840466,5.137807,0.0,0.0
12,LILRA4,49.626495,9.049,0.0,0.0
13,SEC61B,49.383587,3.0446405,0.0,0.0
14,APP,48.994335,4.682965,0.0,0.0
15,MZB1,48.965343,6.335063,0.0,0.0
16,ALOX5AP,48.622643,4.164278,0.0,0.0
17,PLAC8,48.56698,3.088362,0.0,0.0
18,C12orf75,48.503353,4.27044,0.0,0.0
19,DERL3,48.146694,7.2542157,0.0,0.0
20,SPIB,47.930073,5.832055,0.0,0.0
21,HERPUD1,47.927475,3.4253786,0.0,0.0
22,SPCS1,47.908092,2.7102003,0.0,0.0
23,SMPD3,47.902523,7.70353,0.0,0.0
24,CLEC4C,47.753117,9.955551,0.0,0.0
25,CYB561A3,46.864166,4.1654334,0.0,0.0
26,GZMB,46.696922,4.9838676,0.0,0.0
27,DNASE1L3,46.6885,8.110024,0.0,0.0
28,TPM2,46.476933,7.107784,0.0,0.0
29,TXN,46.405388,3.1784146,0.0,0.0
30,MAP1A,46.39366,7.405672,0.0,0.0
31,SELENOS,46.149734,3.4174607,0.0,0.0
32,NPC2,45.910152,3.0243456,0.0,0.0
33,TSPAN13,45.800426,5.986372,0.0,0.0
34,HSP90B1,45.713158,2.4323585,0.0,0.0
35,CCDC88A,45.69192,3.3222852,0.0,0.0
36,MAPKAPK2,45.521954,3.7742112,0.0,0.0
37,FAM129C,45.40312,5.0156198,0.0,0.0
38,RRBP1,44.946598,3.2763627,0.0,0.0
39,RNASE6,44.90751,3.5176013,0.0,0.0
40,ZFAT,44.81742,6.2152796,0.0,0.0
41,IGKC,44.53116,3.7543383,0.0,0.0
42,PARK7,44.49159,2.0754874,0.0,0.0
43,GAPT,43.88894,3.6876128,0.0,0.0
44,SLC15A4,43.75274,3.8929226,0.0,0.0
45,LINC00996,43.751225,8.137359,0.0,0.0
46,PLP2,43.73186,2.6334221,0.0,0.0
47,VEGFB,43.70927,3.7500663,0.0,0.0
48,CCDC186,43.68026,3.1566687,0.0,0.0
49,PACSIN1,43.5272,7.3526845,0.0,0.0
50,SRP14,43.292583,1.4159182,0.0,0.0
51,SCT,43.08669,9.916946,0.0,0.0
52,PTCRA,43.071915,5.792928,0.0,0.0
53,STMN1,43.02869,3.6556945,0.0,0.0
54,GAS6,43.017826,6.330985,0.0,0.0
55,SCN9A,42.90034,8.084066,0.0,0.0
56,CLIC3,42.88958,4.0905313,0.0,0.0
57,CD74,42.873634,3.2226353,0.0,0.0
58,CD2AP,42.695095,3.5309675,0.0,0.0
59,PPIB,42.65221,1.9603217,0.0,0.0
60,VAMP8,42.19266,1.9787555,0.0,0.0
61,OFD1,42.151318,3.1833098,0.0,0.0
62,GNAS,42.006668,1.4129407,0.0,0.0
63,BLNK,41.890358,4.9941072,0.0,0.0
64,SSR4,41.879406,1.7141409,0.0,0.0
65,PHB,41.745842,2.8455782,0.0,0.0
66,RNASET2,41.378647,2.0208876,0.0,0.0
67,TRAF4,41.277206,5.4722857,0.0,0.0
68,IDH3A,41.239113,3.9660087,0.0,0.0
69,IRF4,41.05808,5.5843644,0.0,0.0
70,COBLL1,41.050385,4.735043,0.0,0.0
71,ERP29,40.989777,1.6618365,0.0,0.0
72,FCHSD2,40.663963,3.3387048,0.0,0.0
73,TAGLN2,40.314064,2.0505702,0.0,0.0
74,RUNX2,39.787907,4.1366925,0.0,0.0
75,DAB2,39.62337,4.1015186,0.0,0.0
76,UNC93B1,39.620068,2.968405,0.0,0.0
77,UBE2J1,39.583202,2.5702598,0.0,0.0
78,LRRC26,39.406837,10.516865,0.0,0.0
79,CD164,39.343597,2.0975094,0.0,0.0
80,PTPRE,39.25001,2.5101671,0.0,0.0
81,IGHM,39.16076,2.6099508,0.0,0.0
82,LAMP5,38.8259,8.45221,0.0,0.0
83,FAM213A,38.777306,5.1192408,0.0,0.0
84,AC119428.2,38.753174,6.3203735,0.0,0.0
85,PHACTR1,38.336323,3.3556292,0.0,0.0
86,LGMN,38.28516,5.7598963,0.0,0.0
