,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9999149994379939,0.9651515151515152,0.8525641025641025,0.9033126293995858,0.9999568850168,0.9563201689378161,0.906034710103637
B_intermediate,0.9928290477573432,0.8066174907815151,0.6889460154241646,0.7427921690127367,0.995710373633832,0.8245279543319054,0.7417276308778651
B_memory,0.9959354313625142,0.9035345898467473,0.895737823646569,0.8995437242300968,0.9986635720665014,0.9603992953598042,0.8975177212775962
B_naive,0.9941581466399372,0.9390835074176291,0.9384493336570451,0.9387537796220192,0.998935289738168,0.9731981865947666,0.9356935587530619
CD14_Mono,0.9899622182471971,0.975767596315001,0.9864722682508665,0.9810867783838619,0.9987236712827535,0.9942361235198728,0.974285802046029
CD16_Mono,0.9937099676666115,0.9094284354893899,0.9319610763811511,0.9205155734958504,0.9984621153159041,0.947125028392556,0.9173384910900892
CD4_CTL,0.9923344961560048,0.7036022718943168,0.49674051372620315,0.5818230176187051,0.9912116821990768,0.6602554639778463,0.5872728486817497
CD4_Naive,0.9754348420585031,0.8901082146844068,0.8815693086246608,0.8857877797306992,0.9932550802667672,0.9492558497368833,0.8720574258207974
CD4_Proliferating,0.999644544189976,0.7999134199134199,0.6418300653594772,0.700832918171628,0.9990115847872753,0.7421794204114927,0.7105369625995129
CD4_TCM,0.9604747556845498,0.8047346285687318,0.7533361309274024,0.7781712193612391,0.9835529244787315,0.8540806354943363,0.757008162111689
CD4_TEM,0.9778303247914373,0.6619419304765021,0.33274627056244815,0.4425538247366882,0.9704880258128312,0.537927887327626,0.4595178059346803
CD8_Naive,0.9925972308925799,0.9565440335552371,0.9311580765256288,0.9436505952691098,0.9972478360931969,0.9813640777883942,0.9398041389998829
CD8_Proliferating,0.9995286335184665,0.6236324786324786,0.46571428571428575,0.5245281385281386,0.9979476405954786,0.5588764759425658,0.5342238074179831
CD8_TCM,0.987922201474998,0.7450297831177491,0.49088843188626274,0.59155629433353,0.9798932279721175,0.6609007766240288,0.5989985736667488
CD8_TEM,0.983053997755612,0.8989982231070044,0.8632476176087369,0.8807325106986321,0.9943824268517941,0.9465391089688096,0.8718396278387439
Doublet,0.9965072513709528,0.8118181818181819,0.08054123711340207,0.14615004610467816,0.901742792666157,0.3542986869959515,0.2539219512762986
Eryth,0.9998763628460411,0.8890476190476191,0.8780219780219779,0.8772752512632573,0.9902308716062629,0.9371349885008667,0.8803371105780599
HSPC,0.9999072723584437,0.9883861236802414,0.9657474600870828,0.9768110530246453,0.9999481997444957,0.9921500779194676,0.9768929632126188
ILC,0.9996831813790292,0.8554841649578492,0.7458874458874458,0.7833604829778874,0.9977529720579099,0.8398337167454807,0.7915963490253386
MAIT,0.9962522472965321,0.9006152974984012,0.8792079407467124,0.8897516042659588,0.9990556546043254,0.9530594776853343,0.8879282877564355
NK,0.9841976371753887,0.9188777796880393,0.9336148366697771,0.926161176837722,0.9973110409149817,0.9748347917443123,0.917367023056811
NK_CD56bright,0.9984390818642399,0.8845756565075714,0.8461015452538632,0.8635039092245524,0.9994956578494772,0.9437889944750362,0.8636454021205182
NK_Proliferating,0.9989568105245248,0.881875900038985,0.7989550679205851,0.837947395457249,0.9994363523649319,0.9252596850352452,0.8386654494919984
Plasmablast,0.9998918173036921,0.9895946763460376,0.962478082992402,0.9757721139430284,0.9999715013904446,0.9918564745596303,0.9758506165329444
Platelet,0.9985627163312459,0.9686927902471101,0.9285656854424443,0.9481999841896617,0.9779829136695174,0.9559912374815649,0.9476920815518206
Treg,0.9935786046273037,0.8610867501514707,0.6984206151288446,0.7712072137240065,0.9908843076951103,0.8396917537557137,0.7723516193398681
cDC1,0.999961363109497,0.9836666666666666,0.975,0.9788893818396923,0.9989838734627581,0.9910491032370953,0.9790923390749076
cDC2,0.9974731655726703,0.9421239817681377,0.8915523690773067,0.9160395491106513,0.9992080181874018,0.9674707549607231,0.915168752541852
dnT,0.9986245368488025,0.8857347670250896,0.4350877192982455,0.5820025376921928,0.9684775405408548,0.5986315693295412,0.6193168702751937
gdT,0.9929063206426985,0.8937738921045673,0.778007002044221,0.8318737786496488,0.9877726670039022,0.8749661339886636,0.8303523531181728
pDC,0.9998377268511891,0.9799562592948998,0.9898550724637681,0.9848526608414003,0.999990429063222,0.9980346151707657,0.9847978793171253
