,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9997295447519818,1.0,0.42948717948717946,0.5859803921568627,0.7147435897435898,0.42975763473519757,0.6452841671752463
B_intermediate,0.9926590481260827,0.8272585129711688,0.6467866323907455,0.7258570047859224,0.8223616678322768,0.5405121067333383,0.7278766421271714
B_memory,0.9960049792581712,0.878787535878954,0.9322752127466958,0.9046346506435341,0.9648006753473888,0.820671874128247,0.9030631477503244
B_naive,0.9894135788803087,0.8230687400193437,0.9912533546808049,0.8993509046893896,0.9902873715421416,0.8162900292889426,0.8981283005228974
CD14_Mono,0.9896531258101258,0.9657938065403293,0.996076353322518,0.9806999420733353,0.9917133207513794,0.9630392262023684,0.9738520811628787
CD16_Mono,0.9907194962257014,0.8155862411020609,0.9853633744228507,0.8924500255077714,0.9881503052806625,0.8042191118422155,0.891994051694302
CD4_CTL,0.993516775750338,0.6877992755597331,0.7256863101576501,0.7061811472252193,0.8610543989221989,0.5022676243718525,0.7031917874150795
CD4_Naive,0.9753498435863491,0.8480856687491667,0.9403554697629742,0.8918299007835264,0.9599722360705603,0.803966725434513,0.8794596733740757
CD4_Proliferating,0.9994513603345613,0.6367171717171718,0.4071895424836602,0.49044289044289047,0.703517446671948,0.26051292841203055,0.505605634284058
CD4_TCM,0.9587670224402338,0.7134771023463248,0.9225084412292078,0.8046339375971705,0.9424754972103486,0.6653231591308728,0.7900791613429058
CD4_TEM,0.9769957810927858,0.5495108451305809,0.7308782532825434,0.6272637331617974,0.8572833938159355,0.4088552638639829,0.6223627153367332
CD8_Naive,0.9931613247171193,0.9394605283623555,0.9591359100723086,0.9491746190671636,0.9773617772964613,0.9037777702648532,0.9455799555109652
CD8_Proliferating,0.9994977246031649,0.8933333333333333,0.1361904761904762,0.2261111111111111,0.5680875062361126,0.11712174127555453,0.33258217000144985
CD8_TCM,0.9905726790272931,0.7570073403521483,0.6942887192344893,0.7240427519976169,0.8451184755056834,0.5314736218464006,0.7200820749677138
CD8_TEM,0.987698110794134,0.8917385181904622,0.9451083875848705,0.9176317152856045,0.9680677798130655,0.846760070252944,0.9114495425102687
Doublet,0.8254404570437686,0.01522646906568192,0.6608676975945016,0.02968065636662593,0.7434624986677765,0.01124641372446333,0.0808617712355509
Eryth,0.9997295435577807,0.7213165266106442,0.8021978021978022,0.7513604488078541,0.901013857223993,0.5748774430363714,0.7564042326290425
HSPC,0.9997527268862838,0.9872186037535581,0.8898403483309144,0.93574745229625,0.9449085597635989,0.8788427304494514,0.9370186894229828
ILC,0.9992195407828449,0.55,0.05584415584415584,0.09911827303131651,0.5279182110955825,0.049798706163578864,0.16924522757261146
MAIT,0.9962754306250352,0.8598119286348952,0.936245276364186,0.8963625899482024,0.9667859920627538,0.8061063396012178,0.8953313529318396
NK,0.986121743574629,0.8925448321717259,0.9883533922675471,0.937984443063911,0.9871050397337943,0.8833785971009551,0.9317426610896833
NK_CD56bright,0.9979754418651563,0.8625614284012995,0.7771125827814569,0.8167547106129405,0.8881909784270349,0.6711526504443717,0.8172941216191975
NK_Proliferating,0.9989104480472231,0.8534430981695003,0.8196969696969697,0.8360350665985925,0.9096081247334228,0.7011774131753564,0.8357577369953644
Plasmablast,0.9996986343439286,0.996078431372549,0.8702513150204558,0.9289007439466156,0.9351217851434374,0.8671642906885552,0.9308887020305235
Platelet,0.996445428763544,0.8263580600671464,0.9487410848557942,0.8833042064654144,0.9729361142229894,0.7848294993279291,0.8836899248051437
Treg,0.9927054168729412,0.7514544907309798,0.7916328581531247,0.770944414838494,0.8937521458851648,0.5982470919954392,0.7675489608268744
cDC1,0.9998609086869406,0.9829710144927535,0.8683333333333334,0.9194114062522944,0.9341589321164306,0.8524998442863267,0.9224549987326576
cDC2,0.992450410410118,0.674953873660338,0.9875024937655861,0.8018083621213192,0.9900152763938206,0.6667045235496701,0.8131724713766394
dnT,0.9985395368838971,0.81316091954023,0.44210526315789467,0.571971470201917,0.7209364658232972,0.3621844811363747,0.5985109100396865
gdT,0.9881849284492645,0.6762311105764697,0.9140146619986371,0.7773110986828681,0.9519556249667538,0.620039551322715,0.7806527778813334
pDC,0.9995981799213721,0.9849165425606052,0.9390986988257696,0.9611996622673619,0.9695105057121584,0.9252553471388312,0.9614057441155606
