True,ASDC,B_intermediate,B_memory,B_naive,CD14_Mono,CD16_Mono,CD4_CTL,CD4_Naive,CD4_Proliferating,CD4_TCM,CD4_TEM,CD8_Naive,CD8_Proliferating,CD8_TCM,CD8_TEM,Doublet,Eryth,HSPC,ILC,MAIT,NK,NK_CD56bright,NK_Proliferating,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
ASDC,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5
B_intermediate,0,2027,112,279,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0
B_memory,0,107,3159,10,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0
B_naive,0,118,55,7529,2,2,0,1,0,1,0,0,0,0,1,0,0,2,1,0,3,1,0,0,0,1,0,0,0,1,0
CD14_Mono,0,0,1,0,42376,230,0,2,0,4,1,1,0,1,2,11,0,1,0,0,1,0,0,2,10,2,0,45,0,0,0
CD16_Mono,0,0,0,0,324,5981,0,0,0,0,1,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0
CD4_CTL,0,0,0,0,0,0,1624,0,0,8,3,0,0,0,86,0,0,0,0,1,10,0,0,0,1,0,0,0,0,3,0
CD4_Naive,0,0,0,0,0,0,0,17056,0,308,2,25,0,3,0,0,0,0,0,1,0,0,0,0,0,74,0,0,4,6,0
CD4_Proliferating,0,0,0,0,2,0,0,0,95,4,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CD4_TCM,0,0,0,0,1,0,10,554,1,13635,430,2,0,94,8,0,3,0,0,1,0,1,0,0,0,137,0,0,6,6,0
CD4_TEM,0,0,1,0,0,0,45,2,0,1166,2803,0,0,69,86,0,3,0,1,70,0,0,0,1,0,17,0,0,10,8,0
CD8_Naive,0,0,0,0,0,0,0,144,0,19,1,10447,4,58,80,0,1,0,0,0,1,0,0,0,0,10,0,0,2,1,0
CD8_Proliferating,0,0,0,0,0,0,4,0,2,0,0,0,54,1,20,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0
CD8_TCM,0,0,0,0,1,0,0,22,0,439,73,113,0,2077,125,0,0,0,1,3,2,0,0,0,0,18,0,0,0,9,0
CD8_TEM,0,0,0,0,1,0,67,2,0,22,147,40,0,76,11120,0,1,0,0,13,109,0,2,0,0,2,0,0,6,119,0
Doublet,0,0,0,0,216,201,0,18,0,12,1,0,0,0,0,144,0,0,0,0,3,0,0,0,8,1,0,1,0,0,0
Eryth,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,326,2,0,0,0,0,0,0,0,0,0,0,0,0
ILC,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,124,0,0,2,0,0,0,0,0,0,0,0,0
MAIT,0,0,0,0,0,0,3,0,0,8,32,0,0,0,42,0,0,0,0,2683,4,2,0,0,0,0,0,0,0,10,0
NK,0,0,0,0,1,0,1,0,0,1,0,2,0,0,66,0,5,1,0,4,17013,29,15,0,0,2,0,0,0,33,0
NK_CD56bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,106,835,0,0,0,0,0,0,0,1,0
NK_Proliferating,0,0,0,0,0,0,1,0,8,3,0,0,2,0,0,0,0,0,0,0,106,2,423,0,1,0,0,0,0,2,0
Plasmablast,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0
Platelet,0,1,1,3,50,2,1,21,0,3,0,18,0,3,7,7,2,0,0,0,18,4,1,0,2138,1,0,2,1,6,3
Treg,0,0,0,0,0,1,0,237,0,186,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2075,0,0,1,0,0
cDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0
cDC2,0,0,0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2306,0,0,0
dnT,0,0,0,0,0,0,0,21,0,6,8,62,0,2,5,0,0,0,0,0,0,0,0,0,0,12,0,0,234,6,0
gdT,0,0,0,0,2,0,6,65,0,14,11,32,0,11,286,0,0,0,0,48,117,0,0,0,0,15,0,0,7,3035,0
pDC,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858
