,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9998918176022424,0.891941391941392,0.885897435897436,0.8857668997668997,0.9429216595799511,0.7895382180337306,0.8872880773511216
B_intermediate,0.9788116770305377,0.3824694301454675,0.5177377892030848,0.43795567296059357,0.7517924911712799,0.2307738455143741,0.4336492410982256
B_memory,0.9917781434428811,0.7604553048990285,0.8683469129096505,0.8107824516129284,0.9313418459465886,0.6639958772214716,0.8084777898275662
B_naive,0.9876517489139328,0.7976666860660628,0.9931973306911462,0.8847418256296553,0.9902856261737194,0.7925758674273701,0.8842048229791262
CD14_Mono,0.9884863033603961,0.9627747667043263,0.9948465965488055,0.9785453606703781,0.9905263209211184,0.9591725738042192,0.9709260471285701
CD16_Mono,0.9884090239069339,0.7753096934823229,0.9914947435912473,0.8700178673261952,0.989889143336776,0.768994805339778,0.8712997834561692
CD4_CTL,0.988849472815206,0.47790321135519565,0.42191257824065653,0.4446293149603727,0.7084567223938956,0.21238375081114064,0.44170966245229726
CD4_Naive,0.9404609661226495,0.7007203086748953,0.7865978160741404,0.7409125760659782,0.8728488974158056,0.5744496806440317,0.7090958908809959
CD4_Proliferating,0.9996059072994727,0.6801587301587302,0.7686274509803921,0.7205960848066111,0.8841938724068787,0.5270359650050707,0.7222964723628108
CD4_TCM,0.8199610198960416,0.2999276049851974,0.5385779413583413,0.37833556518855177,0.69353152387066,0.2123928839658066,0.30754615487645465
CD4_TEM,0.9594856724847446,0.2507474252375444,0.24781383669213258,0.24811876208542497,0.6133262936685252,0.08449660266645906,0.22795922220984863
CD8_Naive,0.9618115508960102,0.7125382785198493,0.7220875185287795,0.7149560737875298,0.850497090348551,0.5349247515428273,0.6958852030896494
CD8_Proliferating,0.9994204514192594,0.4788991710044342,0.6133333333333333,0.530906930906931,0.8064849718628734,0.30421665767459405,0.5381531960379183
CD8_TCM,0.9708602724373833,0.20110208239531766,0.18779896892695155,0.18717575604071499,0.5864332164173721,0.05298786658315154,0.17620819546028268
CD8_TEM,0.8478573238618085,0.327006735607739,0.5600209811737417,0.3953679071641054,0.7151885168815191,0.2403355341687762,0.346772003035294
Doublet,0.8038486101689651,0.012350917710208924,0.24351374570446732,0.023207911886513347,0.524732009972621,0.009494643444043816,0.02556366135397677
Eryth,0.9929604293067712,0.18937376789589436,0.9384615384615385,0.23806256227020253,0.9657246422061452,0.16535609441234536,0.33790546657800846
HSPC,0.9999227271146449,0.9743311370669862,0.9886066763425255,0.98123291055424,0.9942762376004831,0.9632457944046179,0.9813126732252512
ILC,0.999605907598023,0.7542097998619737,0.7935064935064935,0.76934840353445,0.8966411087848775,0.5993439341849038,0.7714045957854524
MAIT,0.9909358434067472,0.6991387656012017,0.8329530911472768,0.7593124248664715,0.9133275683092101,0.5857101255974108,0.7582020326425098
NK,0.9637433622820767,0.7600960565031258,0.966589302926204,0.8505251636004818,0.9649973581768965,0.738400072947258,0.8383252306033923
NK_CD56bright,0.99830771673508,0.8046940844957986,0.9376865342163356,0.8658969224217403,0.9681748234379268,0.7549443294780824,0.867723893873651
NK_Proliferating,0.9980527147505114,0.6452809229925934,0.9498432601880878,0.7676049107630352,0.9740299724026447,0.6129287704481624,0.7815909629474733
Plasmablast,0.999876363443142,0.9580588199140946,0.9897136177673875,0.973346230151258,0.9948064673656258,0.9480294183094584,0.9735554744751791
Platelet,0.9947067877981276,0.7977936322130189,0.8855273149595748,0.8262433660517349,0.9409020520140526,0.7001885173822551,0.8314856598447291
Treg,0.9772198019128735,0.3317010673091052,0.3220059304475131,0.31990768576324247,0.6547708707219708,0.1308701318681893,0.31205246311293644
cDC1,0.9999536360299468,0.9683076923076923,0.9833333333333334,0.9754965816113679,0.9916511975661948,0.9523231470638936,0.9756356376305282
cDC2,0.9920099492612824,0.6608373851289854,0.9935024937655861,0.7936767834661802,0.9927444970201448,0.656645825401817,0.80691333897386
dnT,0.9493161768960006,0.04296036589220557,0.19649122807017544,0.06675791248658966,0.5737345031522108,0.026284112774688284,0.07687309370612053
gdT,0.7980609639945828,0.09445471852625965,0.4580476514955708,0.14728361042851895,0.6319770583314013,0.060778466037170895,0.1407089348739128
pDC,0.9998531816073903,0.9787816438880268,0.9941923198984449,0.9863792595438434,0.9970378945490126,0.9731484971932242,0.9863599035947379
