True,ASDC,B_intermediate,B_memory,B_naive,CD14_Mono,CD16_Mono,CD4_CTL,CD4_Naive,CD4_Proliferating,CD4_TCM,CD4_TEM,CD8_Naive,CD8_Proliferating,CD8_TCM,CD8_TEM,Doublet,Eryth,HSPC,ILC,MAIT,NK,NK_CD56bright,NK_Proliferating,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
ASDC,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
B_intermediate,0,2371,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
B_memory,0,9,3274,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_naive,0,16,4,7696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
CD14_Mono,0,0,0,0,42654,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0
CD16_Mono,0,0,0,0,32,6284,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CD4_CTL,0,0,0,0,0,0,1725,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0
CD4_Naive,0,0,0,0,0,0,0,17434,0,31,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,1,0
CD4_Proliferating,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CD4_TCM,0,0,0,0,0,0,0,42,0,14785,31,0,0,2,3,1,0,0,0,2,0,1,0,0,10,11,0,0,1,0,0
CD4_TEM,0,0,0,0,0,0,2,1,0,88,4156,0,0,3,9,0,0,0,0,8,0,0,0,1,8,1,0,0,2,3,0
CD8_Naive,0,0,0,0,0,0,1,25,1,3,0,10721,0,5,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
CD8_Proliferating,0,0,0,0,0,0,2,0,0,0,0,0,86,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CD8_TCM,0,0,0,0,0,0,0,0,0,29,6,10,0,2814,11,0,0,0,0,1,0,0,0,0,5,3,0,0,3,1,0
CD8_TEM,0,0,0,0,0,0,4,0,0,3,2,1,0,6,11676,0,1,0,0,1,10,0,2,0,5,1,0,0,0,15,0
Doublet,0,0,0,0,65,12,0,6,0,5,0,0,0,0,0,516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eryth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1,0,0,0,0,0,0,0,0,0,0,0,0
ILC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0
MAIT,0,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,2773,0,0,0,0,0,0,0,0,0,1,0
NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17159,0,3,0,4,0,0,0,0,5,0
NK_CD56bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,927,0,0,0,0,0,0,0,0,0
NK_Proliferating,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,528,0,0,0,0,0,0,1,0
Plasmablast,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0
Platelet,0,0,0,1,24,1,0,12,0,0,0,11,0,1,1,0,2,0,0,0,3,1,0,0,2231,0,0,0,1,4,0
Treg,0,0,0,0,0,0,0,40,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2440,0,0,0,0,0
cDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0
cDC2,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2483,0,0,0
dnT,0,0,0,0,0,0,0,3,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,337,0,0
gdT,0,0,0,0,1,0,0,6,0,0,1,5,0,2,36,0,0,0,0,3,5,0,0,0,12,2,0,0,1,3575,0
pDC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860
