,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000156738,80.16304,18.793606,0.0,0.0
1,ENSG00000105369,79.10754,12.914993,0.0,0.0
2,ENSG00000116191,78.901054,11.5679455,0.0,0.0
3,ENSG00000153064,78.76074,10.660105,0.0,0.0
4,ENSG00000211899,73.803474,29.936207,0.0,0.0
5,ENSG00000007312,73.12188,8.564028,0.0,0.0
6,ENSG00000159958,68.70287,6.139817,0.0,0.0
7,ENSG00000104894,66.416176,12.202476,0.0,0.0
8,ENSG00000196735,64.329636,6.29668,0.0,0.0
9,ENSG00000247982,61.530266,4.972672,0.0,0.0
10,ENSG00000223865,61.473663,13.880134,0.0,0.0
11,ENSG00000019582,61.287487,40.537228,0.0,0.0
12,ENSG00000196628,58.95788,5.023654,0.0,0.0
13,ENSG00000133789,58.710323,4.403548,0.0,0.0
14,ENSG00000204287,57.969444,31.36307,0.0,0.0
15,ENSG00000012124,57.951603,5.28971,0.0,0.0
16,ENSG00000179344,57.59382,7.5386114,0.0,0.0
17,ENSG00000231389,56.42775,9.274689,0.0,0.0
18,ENSG00000211898,56.11994,5.2862296,0.0,0.0
19,ENSG00000138639,55.827827,4.6338825,0.0,0.0
20,ENSG00000119866,53.8277,3.8305976,0.0,0.0
21,ENSG00000144218,53.491203,4.2728868,0.0,0.0
22,ENSG00000082438,53.215965,5.221241,0.0,0.0
23,ENSG00000136573,52.197334,4.8112607,0.0,0.0
24,ENSG00000152492,52.016468,4.1597915,0.0,0.0
25,ENSG00000196126,50.936687,9.863063,0.0,0.0
26,ENSG00000196092,50.865547,4.8294716,0.0,0.0
27,ENSG00000240505,50.442673,6.0651574,0.0,0.0
28,ENSG00000083454,50.357967,4.596569,0.0,0.0
29,ENSG00000269404,50.302464,4.735095,0.0,0.0
30,ENSG00000157514,49.673138,6.47928,0.0,0.0
31,ENSG00000224137,49.35857,7.092605,0.0,0.0
32,ENSG00000227507,49.18751,12.652277,0.0,0.0
33,ENSG00000161405,49.146076,3.4390323,0.0,0.0
34,ENSG00000211592,48.66905,46.5375,0.0,0.0
35,ENSG00000132704,48.317795,6.119542,0.0,0.0
36,ENSG00000092820,48.05898,4.4427323,0.0,0.0
37,ENSG00000079263,47.745346,3.705801,0.0,0.0
38,ENSG00000042980,47.744747,3.962135,0.0,0.0
39,ENSG00000171604,47.47111,3.4151788,0.0,0.0
40,ENSG00000167483,47.3769,4.4990845,0.0,0.0
41,ENSG00000142534,47.2632,23.961288,0.0,0.0
42,ENSG00000177954,46.023914,56.35834,0.0,0.0
43,ENSG00000128218,45.744408,4.871725,0.0,0.0
44,ENSG00000132185,44.927666,5.2781105,0.0,0.0
45,ENSG00000107438,44.550068,3.7440884,0.0,0.0
46,ENSG00000114446,44.400505,3.5793364,0.0,0.0
47,ENSG00000142541,44.134735,34.058956,0.0,0.0
48,ENSG00000186468,43.950657,30.152971,0.0,0.0
49,ENSG00000198502,43.858837,2.7818935,0.0,0.0
50,ENSG00000162894,43.71084,3.1606488,0.0,0.0
51,ENSG00000198242,43.30548,23.345215,0.0,0.0
52,ENSG00000165209,42.88172,3.4191077,0.0,0.0
53,ENSG00000242574,42.27665,2.4609597,0.0,0.0
54,ENSG00000169508,41.92864,2.6086104,0.0,0.0
55,ENSG00000083845,41.803482,12.476491,0.0,0.0
56,ENSG00000204257,41.77185,2.2620547,0.0,0.0
57,ENSG00000116731,41.103218,3.040646,0.0,0.0
58,ENSG00000160991,41.06471,2.7927146,0.0,0.0
59,ENSG00000081189,40.873375,2.6276119,0.0,0.0
60,ENSG00000110777,40.825565,4.3890467,0.0,0.0
61,ENSG00000145416,40.536236,2.4493232,0.0,0.0
62,ENSG00000231500,40.52374,43.20492,0.0,0.0
63,ENSG00000162144,40.512123,2.9726937,0.0,0.0
64,ENSG00000143297,40.490414,6.0374136,0.0,0.0
65,ENSG00000144645,40.4783,4.4978814,0.0,0.0
66,ENSG00000130522,40.435463,7.1106844,0.0,0.0
67,ENSG00000272398,40.31883,5.118875,0.0,0.0
68,ENSG00000169442,40.232677,9.312778,0.0,0.0
69,ENSG00000163568,39.643387,4.284218,0.0,0.0
70,ENSG00000133639,39.64096,9.263538,0.0,0.0
71,ENSG00000076554,39.515472,3.1443717,0.0,0.0
72,ENSG00000085117,39.503834,3.2262976,0.0,0.0
73,ENSG00000105640,39.20475,25.533182,0.0,0.0
74,ENSG00000142937,39.160305,29.645708,0.0,0.0
75,ENSG00000079950,39.118225,2.6786208,0.0,0.0
76,ENSG00000161016,39.104084,14.623392,0.0,0.0
77,ENSG00000229117,39.044933,42.145855,0.0,0.0
78,ENSG00000140968,38.96379,2.1028419,0.0,0.0
79,ENSG00000241106,38.474625,3.9927826,0.0,0.0
80,ENSG00000028277,38.425396,3.0063453,0.0,0.0
81,ENSG00000008988,38.264725,14.848522,0.0,0.0
