,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000156738,92.02756,14.063235,0.0,0.0
1,ENSG00000153064,91.326546,10.1510515,0.0,0.0
2,ENSG00000105369,89.51395,9.70128,0.0,0.0
3,ENSG00000116191,86.0266,7.906809,0.0,0.0
4,ENSG00000159958,81.92865,6.3164654,0.0,0.0
5,ENSG00000007312,78.75936,6.0061655,0.0,0.0
6,ENSG00000196735,76.01508,5.8213673,0.0,0.0
7,ENSG00000104894,75.52331,10.506198,0.0,0.0
8,ENSG00000227507,74.35596,18.71233,0.0,0.0
9,ENSG00000136573,74.044945,6.2360578,0.0,0.0
10,ENSG00000247982,73.14259,5.198501,0.0,0.0
11,ENSG00000223865,73.033775,12.45244,0.0,0.0
12,ENSG00000019582,71.78102,37.343075,0.0,0.0
13,ENSG00000204287,69.05048,30.096941,0.0,0.0
14,ENSG00000163568,67.39506,5.991308,0.0,0.0
15,ENSG00000179344,65.27926,6.0236807,0.0,0.0
16,ENSG00000231389,64.84279,7.3256598,0.0,0.0
17,ENSG00000142541,64.59422,43.19612,0.0,0.0
18,ENSG00000133789,62.678223,3.8721957,0.0,0.0
19,ENSG00000092820,62.16146,4.397917,0.0,0.0
20,ENSG00000128218,62.079964,5.3745966,0.0,0.0
21,ENSG00000142534,61.48248,24.778208,0.0,0.0
22,ENSG00000211592,60.50123,42.99004,0.0,0.0
23,ENSG00000177954,60.075283,60.631744,0.0,0.0
24,ENSG00000186468,59.91288,34.21765,0.0,0.0
25,ENSG00000196126,59.234333,7.5502734,0.0,0.0
26,ENSG00000176533,58.52717,4.4179406,0.0,0.0
27,ENSG00000211895,58.400867,3.2670443,0.0,0.0
28,ENSG00000157514,58.372406,7.2022533,0.0,0.0
29,ENSG00000240505,58.364468,6.152652,0.0,0.0
30,ENSG00000008988,57.946968,19.223785,0.0,0.0
31,ENSG00000177600,57.827953,30.08685,0.0,0.0
32,ENSG00000234184,57.60906,8.302566,0.0,0.0
33,ENSG00000082438,57.394894,4.789539,0.0,0.0
34,ENSG00000083454,56.862003,4.528887,0.0,0.0
35,ENSG00000198242,56.84667,23.78048,0.0,0.0
36,ENSG00000081189,56.767662,3.381322,0.0,0.0
37,ENSG00000196628,56.54499,3.4530184,0.0,0.0
38,ENSG00000166441,56.494106,23.019938,0.0,0.0
39,ENSG00000042980,56.06235,4.0265093,0.0,0.0
40,ENSG00000110777,56.062225,5.1613026,0.0,0.0
41,ENSG00000231500,55.45945,44.942608,0.0,0.0
42,ENSG00000132465,55.219524,3.2039883,0.0,0.0
43,ENSG00000229117,55.008934,46.92774,0.0,0.0
44,ENSG00000091490,54.697304,3.9451015,0.0,0.0
45,ENSG00000150347,54.581764,3.6794686,0.0,0.0
46,ENSG00000107438,54.3854,3.8778176,0.0,0.0
47,ENSG00000114942,54.361267,11.211918,0.0,0.0
48,ENSG00000213741,54.100674,35.78854,0.0,0.0
49,ENSG00000161016,54.066574,16.485796,0.0,0.0
50,ENSG00000168028,53.844727,15.236307,0.0,0.0
51,ENSG00000269404,53.796642,4.4352913,0.0,0.0
52,ENSG00000083845,53.642982,12.5664835,0.0,0.0
53,ENSG00000211896,53.642426,3.8631608,0.0,0.0
54,ENSG00000012124,53.529186,3.9255388,0.0,0.0
55,ENSG00000171858,53.155178,15.8047695,0.0,0.0
56,ENSG00000142937,52.447063,30.421291,0.0,0.0
57,ENSG00000079263,52.033905,3.4157324,0.0,0.0
58,ENSG00000198918,51.661934,28.17368,0.0,0.0
59,ENSG00000171604,51.60852,2.923207,0.0,0.0
60,ENSG00000242574,51.43324,2.8957179,0.0,0.0
61,ENSG00000119866,51.41183,2.8420346,0.0,0.0
62,ENSG00000085117,50.95421,3.5465958,0.0,0.0
63,ENSG00000211897,50.255756,3.8231933,0.0,0.0
64,ENSG00000137818,49.96968,46.414173,0.0,0.0
65,ENSG00000124772,49.954433,5.3834505,0.0,0.0
66,ENSG00000105640,49.115807,23.692978,0.0,0.0
67,ENSG00000169442,49.0639,9.498259,0.0,0.0
68,ENSG00000101017,49.054955,3.6520526,0.0,0.0
69,ENSG00000144645,49.005417,4.7036796,0.0,0.0
70,ENSG00000122026,48.32134,24.471508,0.0,0.0
71,ENSG00000100316,48.26581,19.998304,0.0,0.0
72,ENSG00000198502,47.88633,1.6514591,0.0,0.0
73,ENSG00000134419,47.762024,22.13355,0.0,0.0
74,ENSG00000118181,47.65378,15.799459,0.0,0.0
