,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000211899,145.1774,28.665022,0.0,0.0
1,ENSG00000211898,143.90892,11.6941805,0.0,0.0
2,ENSG00000105369,140.14911,11.101441,0.0,0.0
3,ENSG00000156738,139.13048,12.189352,0.0,0.0
4,ENSG00000100721,135.05635,11.394333,0.0,0.0
5,ENSG00000007312,129.86092,7.794742,0.0,0.0
6,ENSG00000153064,128.33044,7.0809965,0.0,0.0
7,ENSG00000116191,128.26295,7.3681817,0.0,0.0
8,ENSG00000104894,121.72989,12.564777,0.0,0.0
9,ENSG00000247982,119.90895,6.734476,0.0,0.0
10,ENSG00000159958,114.86307,5.9672623,0.0,0.0
11,ENSG00000121966,114.66645,10.182123,0.0,0.0
12,ENSG00000012124,110.82708,6.421549,0.0,0.0
13,ENSG00000196735,107.49717,4.2605276,0.0,0.0
14,ENSG00000128218,107.42933,6.530969,0.0,0.0
15,ENSG00000019582,105.253914,33.62568,0.0,0.0
16,ENSG00000081189,102.97787,5.128196,0.0,0.0
17,ENSG00000147535,102.50207,5.421084,0.0,0.0
18,ENSG00000211592,102.17494,31.895023,0.0,0.0
19,ENSG00000144218,102.11688,5.2054477,0.0,0.0
20,ENSG00000223865,101.575005,7.5374174,0.0,0.0
21,ENSG00000133639,98.99762,16.344755,0.0,0.0
22,ENSG00000179344,98.09596,5.704342,0.0,0.0
23,ENSG00000104921,97.34299,6.831669,0.0,0.0
24,ENSG00000204287,96.31524,21.537453,0.0,0.0
25,ENSG00000119866,92.73285,3.8812828,0.0,0.0
26,ENSG00000163534,92.274635,6.462807,0.0,0.0
27,ENSG00000196092,91.93414,5.851083,0.0,0.0
28,ENSG00000231389,91.311295,4.650161,0.0,0.0
29,ENSG00000133789,87.59524,3.6006806,0.0,0.0
30,ENSG00000196126,87.28353,6.6662483,0.0,0.0
31,ENSG00000077238,87.25715,4.6283164,0.0,0.0
32,ENSG00000167483,86.59277,5.190691,0.0,0.0
33,ENSG00000157514,85.51743,6.0731716,0.0,0.0
34,ENSG00000042980,83.4625,4.3671465,0.0,0.0
35,ENSG00000165209,82.66313,4.0228715,0.0,0.0
36,ENSG00000242574,81.78236,2.7807968,0.0,0.0
37,ENSG00000110987,81.208626,4.835986,0.0,0.0
38,ENSG00000122986,81.181145,3.3619864,0.0,0.0
39,ENSG00000083454,80.38014,4.4531517,0.0,0.0
40,ENSG00000023445,80.2193,3.3591657,0.0,0.0
41,ENSG00000079950,77.310486,3.101141,0.0,0.0
42,ENSG00000241106,76.256355,4.9835362,0.0,0.0
43,ENSG00000227507,76.00763,6.7357826,0.0,0.0
44,ENSG00000205056,72.713486,5.6565795,0.0,0.0
45,ENSG00000265972,72.5869,22.573786,0.0,0.0
46,ENSG00000211677,71.71053,8.749533,0.0,0.0
47,ENSG00000164649,71.342064,4.1308002,0.0,0.0
48,ENSG00000196628,71.0556,2.4687436,0.0,0.0
49,ENSG00000204257,70.8261,1.9118156,0.0,0.0
50,ENSG00000140968,70.81148,2.2229352,0.0,0.0
51,ENSG00000198502,70.70175,1.6348265,0.0,0.0
52,ENSG00000106537,69.59492,4.7126594,0.0,0.0
53,ENSG00000076554,68.77341,3.319077,0.0,0.0
54,ENSG00000162894,67.453896,2.6411917,0.0,0.0
55,ENSG00000172183,67.09685,2.4520957,0.0,0.0
56,ENSG00000101017,66.74698,3.55528,0.0,0.0
57,ENSG00000143297,66.62608,5.2505274,0.0,0.0
58,ENSG00000145416,66.55698,2.1509144,0.0,0.0
59,ENSG00000145088,66.18607,3.078997,0.0,0.0
60,ENSG00000136573,66.016914,3.8011203,0.0,0.0
61,ENSG00000147905,65.30757,2.7152755,0.0,0.0
62,ENSG00000048471,64.80261,2.5640445,0.0,0.0
63,ENSG00000137101,64.78404,4.964467,0.0,0.0
64,ENSG00000105640,64.50091,21.132055,0.0,0.0
65,ENSG00000107438,62.71344,2.9972858,0.0,0.0
66,ENSG00000112182,61.483604,3.5490525,0.0,0.0
67,ENSG00000082438,61.12742,3.864245,0.0,0.0
68,ENSG00000127528,60.799374,5.662149,0.0,0.0
69,ENSG00000169499,60.344772,2.4129164,0.0,0.0
