,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000081059,141.80167,3.9650743,0.0,0.0
1,ENSG00000138795,131.02983,3.4897578,0.0,0.0
2,ENSG00000126353,131.01582,3.7158213,0.0,0.0
3,ENSG00000111716,127.93665,4.026417,0.0,0.0
4,ENSG00000156482,124.12532,29.73459,0.0,0.0
5,ENSG00000168685,122.19086,6.113361,0.0,0.0
6,ENSG00000177954,122.16043,48.473305,0.0,0.0
7,ENSG00000145425,119.154594,24.910643,0.0,0.0
8,ENSG00000122026,117.44962,25.906988,0.0,0.0
9,ENSG00000143947,117.1316,25.029644,0.0,0.0
10,ENSG00000227507,116.331795,5.8490405,0.0,0.0
11,ENSG00000112306,115.20433,39.58399,0.0,0.0
12,ENSG00000142546,114.16118,2.891013,0.0,0.0
13,ENSG00000160654,111.34,2.6437836,0.0,0.0
14,ENSG00000118181,111.312256,15.9048395,0.0,0.0
15,ENSG00000144713,110.68939,26.847118,0.0,0.0
16,ENSG00000100100,110.63055,2.6826952,0.0,0.0
17,ENSG00000083845,110.52862,9.951604,0.0,0.0
18,ENSG00000167286,110.17821,2.845805,0.0,0.0
19,ENSG00000172005,109.74999,3.0740428,0.0,0.0
20,ENSG00000163682,107.24524,16.861368,0.0,0.0
21,ENSG00000137154,107.134674,21.265934,0.0,0.0
22,ENSG00000213741,106.92047,27.527143,0.0,0.0
23,ENSG00000186854,106.221504,3.0708106,0.0,0.0
24,ENSG00000117602,105.53136,2.5104487,0.0,0.0
25,ENSG00000134419,105.10186,19.308477,0.0,0.0
26,ENSG00000245164,104.311134,2.659213,0.0,0.0
27,ENSG00000133872,102.669235,3.5442142,0.0,0.0
28,ENSG00000277734,102.54817,2.305418,0.0,0.0
29,ENSG00000008988,102.517746,12.014808,0.0,0.0
30,ENSG00000198851,102.237114,2.4568486,0.0,0.0
31,ENSG00000167526,101.92088,34.449463,0.0,0.0
32,ENSG00000127152,101.36025,2.4921236,0.0,0.0
33,ENSG00000111678,98.41918,2.46331,0.0,0.0
34,ENSG00000109475,97.03466,24.346535,0.0,0.0
35,ENSG00000179144,96.39891,2.7861576,0.0,0.0
36,ENSG00000149273,96.05472,15.147887,0.0,0.0
37,ENSG00000114942,96.02802,6.7482867,0.0,0.0
38,ENSG00000168028,95.9757,9.112693,0.0,0.0
