,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000168685,64.93644,13.603854,0.0,0.0
1,ENSG00000172116,58.26218,3.819897,0.0,0.0
2,ENSG00000008517,52.15938,6.563185,0.0,0.0
3,ENSG00000277734,51.31532,3.4379826,0.0,0.0
4,ENSG00000153563,50.941082,2.9245138,0.0,0.0
5,ENSG00000227507,48.5791,7.528617,0.0,0.0
6,ENSG00000111716,47.76135,3.6658442,0.0,0.0
7,ENSG00000112306,47.256496,42.282352,0.0,0.0
8,ENSG00000167286,46.324215,3.0008137,0.0,0.0
9,ENSG00000149273,44.07695,18.856928,0.0,0.0
10,ENSG00000198851,43.886738,2.658488,0.0,0.0
11,ENSG00000231500,41.327507,29.8033,0.0,0.0
12,ENSG00000213741,41.32515,25.945623,0.0,0.0
13,ENSG00000160654,41.088783,2.2481608,0.0,0.0
14,ENSG00000081059,40.802578,2.1307056,0.0,0.0
15,ENSG00000168028,40.584908,10.710993,0.0,0.0
16,ENSG00000188846,38.715622,11.90409,0.0,0.0
17,ENSG00000143947,38.370842,18.987988,0.0,0.0
18,ENSG00000130255,37.866116,11.472988,0.0,0.0
19,ENSG00000127528,37.443066,4.7185082,7.788711242149394e-307,5.167684284791249e-304
20,ENSG00000100316,37.407204,14.717964,2.983693070930549e-306,1.9177687213406104e-303
21,ENSG00000142541,37.386402,20.098663,6.49961700634483e-306,4.0510340177727416e-303
22,ENSG00000116824,37.080605,1.8458675,5.771102222950896e-301,3.4911773682839423e-298
23,ENSG00000167526,37.073936,29.756151,7.391758690316155e-301,4.343819792640648e-298
24,ENSG00000118181,36.837006,12.067593,4.7222717621549825e-297,2.6979912667778797e-294
25,ENSG00000134419,36.803513,15.717428,1.6222835403925914e-296,9.01814266453914e-294
26,ENSG00000211772,36.78074,2.7635527,3.752184394897696e-296,2.030919174585679e-293
27,ENSG00000105372,36.716255,16.410421,4.019254817545848e-295,2.1196931560841794e-292
28,ENSG00000137154,36.45493,16.873585,5.747203612280746e-291,2.9552120974347596e-288
29,ENSG00000144713,36.267563,20.111443,5.2541828626268564e-288,2.6358056858172973e-285
30,ENSG00000198242,36.04076,12.944509,1.9247499660848934e-284,9.206571465682346e-282
31,ENSG00000104660,35.338333,2.0799375,1.5147881865063784e-273,6.628970940438976e-271
32,ENSG00000152518,35.149715,5.716646,1.1740808110521336e-270,4.928264106473528e-268
33,ENSG00000142546,34.605984,1.9722024,2.0537010057575302e-262,8.448104457284177e-260
34,ENSG00000117602,33.993996,1.7246823,2.732617228094118e-253,1.0218994754079969e-250
35,ENSG00000177600,33.873466,14.815698,1.6383882514976506e-251,6.017565992286372e-249
36,ENSG00000177954,33.769608,30.071066,5.511325404201032e-250,1.9887182616422248e-247
37,ENSG00000145425,33.492275,14.672702,6.244375993795785e-246,2.1405720906731952e-243
38,ENSG00000109475,32.8591,19.14256,8.443965928667354e-237,2.6719306341666176e-234
