,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000204482,32.66891,36.649326,4.318616100954588e-234,8.882529596443397e-230
1,ENSG00000204472,31.783417,41.537155,1.0972398319595258e-221,1.1284014431871764e-217
2,ENSG00000103187,31.026207,23.01503,2.3893217165580523e-211,1.6381189688722006e-207
3,ENSG00000087086,30.460983,193.0581,8.570026662116335e-204,4.4067077096602195e-200
4,ENSG00000197766,30.44371,14.440924,1.4510147396956588e-203,5.968894233212062e-200
5,ENSG00000158869,30.330826,21.519802,4.498149370435584e-202,1.5419656041853185e-198
6,ENSG00000163191,29.885086,27.895262,3.0747129078801787e-196,9.034385012754216e-193
7,ENSG00000166927,29.686193,12.272744,1.1574932528424772e-193,2.975915153058009e-190
8,ENSG00000197249,29.549389,10.230565,6.687079888853974e-192,1.5282206572660947e-188
9,ENSG00000028137,29.445894,8.483014,1.4209248895235933e-190,2.922558312772127e-187
10,ENSG00000130066,29.310728,44.670143,7.570890901905702e-189,1.4156189460945133e-185
11,ENSG00000167996,29.149714,124.05783,8.423975450316469e-187,1.4438693921842429e-183
12,ENSG00000104904,28.984276,28.34931,1.0385383789782255e-184,1.6431274906787802e-181
13,ENSG00000154146,28.801422,10.160294,2.0588050478422508e-182,3.024678730287101e-179
14,ENSG00000104763,28.320055,8.042878,1.9573625222623673e-176,2.683935490526158e-173
15,ENSG00000197746,28.242409,19.926136,1.7641596448877408e-175,2.2678272235031906e-172
16,ENSG00000101439,28.18508,32.881615,8.910142720430406e-175,1.0780224439636035e-171
17,ENSG00000172216,28.002115,12.2026415,1.531220688405239e-172,1.7496748399510532e-169
18,ENSG00000011600,27.787127,25.656658,6.206562485341779e-170,6.718767220974195e-167
19,ENSG00000142089,27.725122,15.401337,3.47735402743245e-169,3.576110881811532e-166
20,ENSG00000102265,27.68611,8.295354,1.026258036326516e-168,1.0051464424363706e-165
21,ENSG00000131042,27.604824,5.325329,9.738251874805567e-168,9.104380207318223e-165
22,ENSG00000196154,27.551289,52.730576,4.2707691946391284e-167,3.81918177371033e-164
