,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000206172,15.568321,inf,1.1950201097185233e-54,1.7372818213020319e-50
1,ENSG00000244734,15.546162,inf,1.689305543856507e-54,1.7372818213020319e-50
2,ENSG00000188536,14.952801,inf,1.493342934147042e-50,1.023835915651212e-46
3,ENSG00000147454,14.78624,24.00612,1.7971800768387692e-49,9.241099955104951e-46
4,ENSG00000145335,14.447627,24.515732,2.5947118805231267e-47,1.0673606791719934e-43
5,ENSG00000013306,13.962797,10.024058,2.6290886927654475e-44,9.012516038799954e-41
6,ENSG00000060138,13.593172,16.467531,4.3960576017867413e-42,1.2318591509686133e-38
7,ENSG00000105701,13.58687,10.140881,4.791361925198807e-42,1.2318591509686133e-38
8,ENSG00000206177,12.920277,31.73304,3.4589705755561995e-38,7.904900755337768e-35
9,ENSG00000104765,12.779427,12.522129,2.1363997855146227e-37,4.394147078846476e-34
10,ENSG00000158578,12.730709,28.13408,3.991965964028851e-37,7.464250540740491e-34
11,ENSG00000124098,12.619856,7.9423113,1.64120812521646e-36,2.8130307266210126e-33
12,ENSG00000119950,12.447901,5.9958034,1.4357269513891717e-35,2.2715409181671142e-32
13,ENSG00000133606,12.340077,10.049869,5.51025671302585e-35,8.095354290965407e-32
14,ENSG00000223609,11.773484,73.75208,5.346951285642573e-32,7.331739602873097e-29
15,ENSG00000169877,11.59109,35.94621,4.572728715774947e-31,5.878242764128694e-28
16,ENSG00000022840,11.582193,6.2103267,5.073090916902279e-31,6.13784317522624e-28
17,ENSG00000159346,11.479053,6.0690084,1.6811261537847324e-30,1.9209668183913542e-27
18,ENSG00000136732,11.370337,7.2647095,5.876050679184029e-30,6.3609794931293214e-27
19,ENSG00000004939,11.205858,14.261818,3.8163509334889533e-29,3.92473530000004e-26
20,ENSG00000100225,11.056019,6.520359,2.049958942095648e-28,2.0077883581439663e-25
21,ENSG00000171552,11.024299,6.749565,2.9178498785333044e-28,2.7279243773487727e-25
22,ENSG00000143774,10.944024,7.839754,7.097778099802188e-28,6.347265215510061e-25
23,ENSG00000198876,10.902241,7.829525,1.1245310164544234e-27,9.63723081101441e-25
24,ENSG00000183508,10.829347,7.4520936,2.4993093763702463e-27,2.056231810127329e-24
25,ENSG00000182512,10.697118,11.202083,1.0499370150139359e-26,8.305809432617937e-24
26,ENSG00000082146,10.650398,6.386763,1.7362154717622522e-26,1.3226103638224446e-23
27,ENSG00000103342,10.586746,6.0694823,3.4331818822867934e-26,2.5219173198169562e-23
28,ENSG00000170315,10.5212,71.41515,6.898933340938764e-26,4.893008998497534e-23
29,ENSG00000162722,10.4298315,8.208426,1.81208447324204e-25,1.2423651148547425e-22
30,ENSG00000158856,10.157163,6.9023848,3.079075166123194e-24,2.0429167102200595e-21
31,ENSG00000101782,9.979322,6.4373302,1.877437307434795e-23,1.2067228293537145e-20
32,ENSG00000143416,9.688286,13.219943,3.3815556627570776e-22,2.1076314203511386e-19
33,ENSG00000165406,9.600268,5.215882,7.973642797687929e-22,4.823584854789568e-19
34,ENSG00000090013,9.520787,10.441366,1.7187276256683177e-21,1.0100225658498846e-18
35,ENSG00000133742,9.1208935,17.836468,7.450774132963785e-20,4.256875621299975e-17
36,ENSG00000066926,9.034798,7.172714,1.6430613174365507e-19,9.133644642441885e-17
37,ENSG00000137198,8.669197,6.9227276,4.351798978022403e-18,2.2950718302555074e-15
38,ENSG00000172331,8.654636,9.50595,4.944873563052041e-18,2.5426539861213595e-15
39,ENSG00000107262,8.515884,4.890365,1.6532397221914538e-17,8.293618196593615e-15
40,ENSG00000136929,8.350912,8.534407,6.773762553673487e-17,3.317208290570388e-14
41,ENSG00000159023,8.245439,4.8206086,1.6455522742308961e-16,7.871097482879318e-14
42,ENSG00000034713,8.171273,5.0776095,3.051521257719105e-16,1.426447482471967e-13
43,ENSG00000130830,8.1401825,4.332818,3.946820347086724e-16,1.8039600199751055e-13
44,ENSG00000165949,7.9351816,10.059759,2.1018783432470525e-15,8.476751718412818e-13
45,ENSG00000266412,7.8741775,7.4808393,3.429920069827615e-15,1.331067848985177e-12
46,ENSG00000132819,7.6905704,4.538095,1.4648045874324743e-14,5.380017991841274e-12
47,ENSG00000198692,7.6792755,8.008556,1.5999079542159863e-14,5.67360462108869e-12
48,ENSG00000104904,7.608005,15.197465,2.7835863425439765e-14,8.945750608350705e-12
49,ENSG00000118689,7.5169783,3.756895,5.605676270593138e-14,1.695552199022936e-11
50,ENSG00000057757,7.48619,9.161574,7.090177535327927e-14,2.025427382592011e-11
51,ENSG00000153574,7.1661105,3.3048968,7.71584278884081e-13,1.8670524056573853e-10
52,ENSG00000079308,7.1371503,7.416773,9.528558614864888e-13,2.2788766696574534e-10
53,ENSG00000180667,7.096211,4.857643,1.2822363929521812e-12,2.963262711262973e-10
54,ENSG00000162366,7.0666604,5.9794173,1.5870643403304998e-12,3.548123842599752e-10
55,ENSG00000250361,7.0297923,13.940995,2.0684120640736566e-12,4.4315728472778096e-10
56,ENSG00000086506,6.960905,8.306058,3.3809403990710335e-12,6.560300200763492e-10
57,ENSG00000166947,6.841704,15.044953,7.825662894874851e-12,1.3875709863947063e-09
58,ENSG00000008441,6.8217487,6.884636,8.993890054803208e-12,1.5545069802285072e-09
59,ENSG00000135070,6.773696,3.6034894,1.2553335150905623e-11,2.116368831014974e-09
60,ENSG00000063854,6.7692275,3.1988,1.2947173341454263e-11,2.1475601716696067e-09
61,ENSG00000167768,6.7261477,7.7254457,1.742139346123736e-11,2.843835085005794e-09
62,ENSG00000198336,6.627317,8.75504,3.4184287859110054e-11,5.132134545154566e-09
63,ENSG00000099804,6.614227,3.3639019,3.734981134563983e-11,5.566745795341449e-09
64,ENSG00000149212,6.561714,3.5975482,5.3192702269668513e-11,7.704700706215085e-09
65,ENSG00000060237,6.551314,2.9089677,5.7033039505709804e-11,8.090038321058203e-09
66,ENSG00000180628,6.497205,2.6026206,8.182615839581224e-11,1.1145698184669313e-08
67,ENSG00000186591,6.473953,3.889696,9.547166652538072e-11,1.2834387170549219e-08
68,ENSG00000125037,6.3423567,2.5028646,2.2627642433387716e-10,2.7538778081060267e-08
69,ENSG00000198858,6.2250967,2.615134,4.812584094572358e-10,5.293327789153169e-08
70,ENSG00000123091,6.203204,3.2212868,5.532497218585531e-10,5.989073831150905e-08
