,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000105810,30.186768,16.358633,3.533390350364985e-200,7.267477272630702e-196
1,ENSG00000124766,30.148363,24.585947,1.1269663075057737e-199,1.1589721506389377e-195
2,ENSG00000177410,30.128538,24.640205,2.0496028275242771e-199,1.4052076985506446e-195
3,ENSG00000181163,29.588177,33.1724,2.1211296254517204e-192,1.0906848534072746e-188
4,ENSG00000117632,29.30984,11.023082,7.770669439476184e-189,3.196542580622923e-185
5,ENSG00000204628,29.247179,58.9673,4.8768597464803404e-188,1.6717875210934608e-184
6,ENSG00000138326,29.043245,134.44405,1.872773155632827e-185,5.502742609293713e-182
7,ENSG00000145425,29.021753,122.62636,3.497768718485613e-185,8.992763375226511e-182
8,ENSG00000089157,29.005733,57.24793,5.570575327145976e-185,1.2730621480970938e-181
9,ENSG00000169567,28.83841,19.543806,7.081277371455395e-183,1.4564771297609457e-179
10,ENSG00000122406,28.727072,71.4786,1.7520028775581193e-181,3.2759268350559447e-178
11,ENSG00000161970,28.665127,93.079124,1.0386039725558486e-180,1.7801672089607246e-177
12,ENSG00000135486,28.657076,31.966232,1.3085629658208794e-180,2.0703479293079885e-177
13,ENSG00000186468,28.603891,116.670074,6.010197680468319e-180,8.8298389922766e-177
14,ENSG00000149273,28.530514,97.23516,4.9018219744303935e-179,6.721378291338956e-176
15,ENSG00000083845,28.522232,56.1305,6.210189633752087e-179,7.983198774188308e-176
16,ENSG00000233016,28.439928,8.128471,6.492118305165785e-178,7.854699370626462e-175
17,ENSG00000124614,28.430172,37.61601,8.57077588710599e-178,9.793539913666443e-175
18,ENSG00000198034,28.402124,97.72715,1.9035954984133197e-177,2.0606922216507976e-174
19,ENSG00000148303,28.38597,76.45697,3.013236932550091e-177,3.098812861434514e-174
20,ENSG00000114391,28.317055,44.846333,2.1312239820034075e-176,2.0873816600879088e-173
21,ENSG00000104408,28.31523,18.510489,2.2443441128156986e-176,2.0982577141996948e-173
22,ENSG00000147604,28.262432,57.956047,1.0012798089454084e-175,8.954053526256156e-173
23,ENSG00000174748,28.260328,70.53761,1.0627272365557251e-175,9.107572417282566e-173
24,ENSG00000185198,28.120972,12.654294,5.428835170163589e-174,4.466411271196988e-171
25,ENSG00000198918,28.04656,96.67428,4.399712685254369e-173,3.4805111734735335e-170
26,ENSG00000206560,27.96956,10.904089,3.8125943575273865e-172,2.904349657245307e-169
27,ENSG00000171863,27.894535,58.03794,3.1080753893468065e-171,2.283103378860183e-168
28,ENSG00000153944,27.719852,7.3240433,4.025022063229593e-169,2.8547121998795267e-166
29,ENSG00000182899,27.68262,62.4865,1.130518952232977e-168,7.75083793650929e-166
30,ENSG00000100316,27.667768,78.04556,1.7060991906390008e-168,1.1319692952600958e-165
31,ENSG00000257698,27.610388,13.255234,8.349790258686659e-168,5.36682768877085e-165
32,ENSG00000137154,27.560509,103.76731,3.3114905862703733e-167,2.063961769042698e-164
33,ENSG00000197958,27.54986,81.53919,4.442482525943398e-167,2.68744060569423e-164
34,ENSG00000123179,27.545113,6.839619,5.06411669136527e-167,2.9759643459428823e-164
35,ENSG00000198755,27.520454,51.376766,9.993777750659802e-167,5.709778354876967e-164
36,ENSG00000142937,27.503405,121.577545,1.5984929254433798e-166,8.885892565005253e-164
37,ENSG00000145741,27.449135,19.456202,7.114697168568235e-166,3.850923456923986e-163
38,ENSG00000144713,27.430906,103.82252,1.174032078600682e-165,6.191664562220213e-163
39,ENSG00000231500,27.417173,150.05656,1.7118096737551018e-165,8.802125342448733e-163
40,ENSG00000142676,27.403814,83.04188,2.4700099837579317e-165,1.2391015938032473e-162
41,ENSG00000125354,27.316044,7.696239,2.7352556009166406e-164,1.3394937428488921e-161
42,ENSG00000115268,27.285122,62.791943,6.369596710645905e-164,3.046741049873604e-161
43,ENSG00000269893,27.275776,9.854422,8.222188873392286e-164,3.843499562453012e-161
44,ENSG00000196531,27.263615,40.913017,1.1460498180495717e-163,5.238211701698576e-161
45,ENSG00000140988,27.26018,123.97279,1.2587339947490631e-163,5.628182783477985e-161
46,ENSG00000162244,27.159122,57.253006,1.9758134484296515e-162,8.646495959000227e-160
47,ENSG00000096384,26.995611,23.42631,1.6640822039379857e-160,7.1305922438742695e-158
48,ENSG00000063177,26.954988,56.0082,4.985679023531253e-160,2.092764207265119e-157
49,ENSG00000137818,26.916853,162.9161,1.3946301423561672e-159,5.736950553596329e-157
50,ENSG00000109475,26.89325,91.25131,2.634129231626499e-159,1.062328824237134e-156
51,ENSG00000112306,26.831984,131.64326,1.3689056355797908e-158,5.414548290885604e-156
52,ENSG00000189403,26.768515,21.046223,7.518334643839064e-158,2.9176812632921106e-155
53,ENSG00000143947,26.75463,77.83524,1.0907861580268855e-157,4.154683277462404e-155
54,ENSG00000114942,26.740166,39.076588,1.606845436587605e-157,6.009017625406156e-155
55,ENSG00000197756,26.55694,74.98989,2.1353892262534472e-155,7.842979572425161e-153
56,ENSG00000170889,26.512283,51.95251,6.995478438178023e-155,2.5242631669551857e-152
57,ENSG00000163682,26.43389,60.062363,5.58995252579393e-154,1.9823128198367163e-151
58,ENSG00000021355,26.421125,20.954185,7.836524593486619e-154,2.731892166759878e-151
59,ENSG00000134419,26.392862,70.937325,1.654708338359389e-153,5.6723401838959856e-151
60,ENSG00000213722,26.31282,5.7442594,1.3680417038391251e-152,4.612767502387397e-150
61,ENSG00000145592,26.227022,80.77547,1.3073270278611158e-151,4.33695198533023e-149
62,ENSG00000135390,26.19941,13.240056,2.6989187051962816e-151,8.811326972774146e-149
63,ENSG00000226777,26.176846,8.914583,4.877271126826865e-151,1.5674330083839836e-148
64,ENSG00000108848,26.166103,7.6496296,6.463556499654015e-151,2.045268155152058e-148
65,ENSG00000116251,26.083197,36.09949,5.655513224029855e-150,1.762463575634031e-147
66,ENSG00000136810,26.08227,7.7548594,5.794327796207695e-150,1.7787721509313413e-147
67,ENSG00000241343,26.028292,17.422604,2.3697128879568167e-149,7.16768451169056e-147
68,ENSG00000142534,25.979935,53.036133,8.348585699202273e-149,2.488604502336121e-146
69,ENSG00000136938,25.909689,9.617091,5.179541359588582e-148,1.5218972383431137e-145
70,ENSG00000136942,25.886065,40.901978,9.558710441744498e-148,2.769064174166209e-145
71,ENSG00000111716,25.847933,11.116206,2.566860120751941e-147,7.332663744948044e-145
72,ENSG00000071082,25.808989,26.225359,7.028923211443751e-147,1.9536607109861495e-144
73,ENSG00000130255,25.802511,47.716164,8.310107847850467e-147,2.278963976194512e-144
74,ENSG00000167658,25.714983,14.614423,7.947612307963153e-146,2.1508748677656068e-143
