,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000111796,84.36871,19.666388,0.0,0.0
1,ENSG00000113088,79.90345,8.195725,0.0,0.0
2,ENSG00000158050,69.16359,9.174723,0.0,0.0
3,ENSG00000168685,68.785835,16.481447,0.0,0.0
4,ENSG00000204475,59.352093,4.4378333,0.0,0.0
5,ENSG00000110848,58.559624,4.358064,0.0,0.0
6,ENSG00000145649,58.373566,4.244401,0.0,0.0
7,ENSG00000188042,57.566807,7.235811,0.0,0.0
8,ENSG00000139187,54.8689,4.0182595,0.0,0.0
9,ENSG00000069667,54.396732,3.3392096,0.0,0.0
10,ENSG00000121966,54.012703,6.11864,0.0,0.0
11,ENSG00000271503,52.954746,7.266637,0.0,0.0
12,ENSG00000152518,51.824932,10.565514,0.0,0.0
13,ENSG00000105374,51.444317,2.1313102,0.0,0.0
14,ENSG00000145220,50.679035,3.0102885,0.0,0.0
15,ENSG00000107742,50.15897,2.9487724,0.0,0.0
16,ENSG00000144290,49.683685,7.179573,0.0,0.0
17,ENSG00000008517,48.214497,5.863625,0.0,0.0
18,ENSG00000185697,45.91429,2.7735608,0.0,0.0
19,ENSG00000077984,45.143757,1.6933051,0.0,0.0
20,ENSG00000235576,44.339165,3.0246408,0.0,0.0
21,ENSG00000112419,44.147587,2.7400644,0.0,0.0
22,ENSG00000172543,41.05646,1.734169,0.0,0.0
23,ENSG00000054654,40.818554,2.884076,0.0,0.0
24,ENSG00000167286,39.52717,2.2570329,0.0,0.0
25,ENSG00000227191,39.019123,2.9057672,0.0,0.0
26,ENSG00000198851,38.677105,2.1905072,0.0,0.0
27,ENSG00000180644,36.335197,0.52343756,4.50198720381034e-289,1.6245065404907207e-286
28,ENSG00000178607,36.322296,2.38025,7.195501367628273e-289,2.5516736574030745e-286
29,ENSG00000227507,36.216415,4.976098,3.358629012413806e-287,1.1513380254554526e-284
30,ENSG00000178573,35.176838,2.441431,4.5207156219144163e-271,1.3877922225602347e-268
31,ENSG00000211772,34.003765,1.6630309,1.9599418091647965e-253,4.856877485650787e-251
32,ENSG00000134285,33.888393,1.925906,9.875453480306527e-252,2.3618410137551703e-249
33,ENSG00000140030,33.74133,1.8613218,1.4328709972310297e-249,3.2745878523386466e-247
34,ENSG00000165272,33.66432,2.4825065,1.924474547969923e-248,4.30245570680928e-246
35,ENSG00000122417,33.581696,1.9917319,3.104031280031809e-247,6.864915630934866e-245
36,ENSG00000137501,31.492514,2.6177683,1.0998907562587837e-217,1.9010548802294675e-215
37,ENSG00000165929,31.404644,1.9396454,1.748533561402815e-216,2.947855597617467e-214
38,ENSG00000277734,30.938705,1.3703296,3.6048312820861334e-210,5.616982561359666e-208
39,ENSG00000174946,30.868872,2.8894112,3.12693732124396e-209,4.764062727655243e-207
40,ENSG00000057657,30.72148,1.7316201,2.940701245570663e-207,4.414915563423168e-205
41,ENSG00000115738,29.100311,1.7023891,3.5574346843513828e-186,4.601843810549638e-184
42,ENSG00000186654,28.710009,2.2500446,2.8614964707956184e-181,3.462074083019075e-179
43,ENSG00000109906,28.594793,2.764287,7.798839780482684e-180,9.272054139015482e-178
44,ENSG00000171476,28.311026,1.0680941,2.5284126065780124e-176,2.873170745419699e-174
45,ENSG00000132965,27.929365,1.217777,1.1742029884358045e-171,1.2448972714509085e-169
46,ENSG00000168209,27.68603,1.3857291,1.0285760269500826e-168,1.0473144416984802e-166
47,ENSG00000160654,27.326769,0.9825799,2.0397181906281417e-164,1.9512987788297497e-162
48,ENSG00000126264,26.366604,1.9124572,3.311112354431894e-153,2.8141718556179837e-151
49,ENSG00000197540,25.973444,0.9239972,9.884021992870042e-149,8.099385033838685e-147
50,ENSG00000110651,25.962713,1.1406165,1.30657100046588e-148,1.0664108070469135e-146
51,ENSG00000145675,25.487001,1.7725511,2.7471328854967374e-143,2.054655606868978e-141
52,ENSG00000197635,25.414015,2.8223467,1.765397276827566e-142,1.2921954160067395e-140
53,ENSG00000151883,24.125116,1.3765928,1.362790736107335e-128,8.268401138718485e-127
54,ENSG00000007264,24.022339,1.3433635,1.6248395391988798e-127,9.74335266537684e-126
55,ENSG00000150593,23.640232,1.2719017,1.4875594295539217e-123,8.31416368126768e-122
56,ENSG00000166669,23.361576,1.5403098,1.0511614827277443e-120,5.689549835985328e-119
57,ENSG00000153563,23.208092,1.5346377,3.7724078150240144e-119,1.9844215841282336e-117
58,ENSG00000062524,22.842138,4.707959,1.7494797800065486e-115,8.712663466143993e-114
59,ENSG00000163346,22.841446,1.2751422,1.7774596174880846e-115,8.830625461955295e-114
60,ENSG00000183918,22.786589,1.6009134,6.228164052072983e-115,3.0719635065476525e-113
61,ENSG00000154451,22.696568,1.3235639,4.843699967635945e-114,2.3720290698651453e-112
62,ENSG00000183508,22.209545,2.019077,2.777384131868621e-109,1.2953568440878412e-107
63,ENSG00000116824,21.839602,0.8465175,9.76021922368821e-106,4.335814017123522e-104
64,ENSG00000167664,21.69275,2.108661,2.4018598884658635e-104,1.055586627905254e-102
65,ENSG00000133639,21.490349,3.9340997,1.9166783754314722e-102,8.145091079726141e-101
66,ENSG00000182568,21.463564,1.0600791,3.4112381340237143e-102,1.4377529905860605e-100
67,ENSG00000132002,21.208258,1.5048028,8.012775318082327e-100,3.263500252323115e-98
68,ENSG00000215788,21.043291,1.7524661,2.6344133447308546e-98,1.0541753633156461e-96
69,ENSG00000115523,20.611979,-5.930878,2.142871127564153e-94,8.161958028099908e-93
70,ENSG00000153283,20.535192,1.2026608,1.0439950730317069e-93,3.93276385753043e-92
71,ENSG00000141232,20.318258,1.45295,8.866536803344499e-92,3.2334561874324403e-90
72,ENSG00000143924,20.132753,1.1254139,3.8121591243527487e-90,1.3542053345369143e-88
73,ENSG00000134954,19.791592,0.9389698,3.5175013367349035e-87,1.1938608497353712e-85
74,ENSG00000085563,19.609299,2.5683646,1.2879644589981501e-85,4.258979580815748e-84
75,ENSG00000113448,19.338377,1.673061,2.553845555411148e-83,8.220265318262361e-82
76,ENSG00000147168,19.31334,0.8617349,4.1486762420278755e-83,1.3291273044552858e-81
77,ENSG00000159884,19.11205,1.1208563,2.0043928857046173e-81,6.255895731892651e-80
78,ENSG00000078304,18.831053,0.9170165,4.203188133887911e-79,1.27509105512989e-77
79,ENSG00000164120,18.80631,2.7488651,6.704466508198327e-79,2.0249260960443934e-77
80,ENSG00000164483,18.596392,0.81828666,3.4367185487483954e-77,1.0112507455029613e-75
81,ENSG00000168280,18.359621,3.2299833,2.765330315846988e-75,7.877744312512583e-74
82,ENSG00000077235,18.30068,1.5000477,8.1721156306438915e-75,2.2962305231022345e-73
83,ENSG00000168824,17.819563,1.9362963,4.9823816592091526e-71,1.29882922644631e-69
84,ENSG00000065809,17.668844,0.8999388,7.287567871117992e-70,1.859686054257505e-68
85,ENSG00000112486,17.644,2.5828474,1.1316223556539425e-69,2.8734825445790482e-68
86,ENSG00000182866,17.24117,0.70692337,1.3036850413396747e-66,3.1472058603608485e-65
87,ENSG00000030419,16.931053,1.9510747,2.6558625539198364e-64,6.18638516523479e-63
88,ENSG00000198668,16.797665,1.6623353,2.5383966392389714e-63,5.7946439595857006e-62
89,ENSG00000172215,16.395288,5.1867433,2.0665748829011733e-60,4.47424338858014e-59
90,ENSG00000071073,16.285471,0.8258385,1.25163282732052e-59,2.6816233325342142e-58
91,ENSG00000168234,16.206013,1.0514506,4.5728726200617425e-59,9.716409509238628e-58
92,ENSG00000161405,16.119127,0.6965864,1.872344096595352e-58,3.933643858914525e-57
93,ENSG00000115875,16.069025,0.7508389,4.2064628036745624e-58,8.774698473222962e-57
94,ENSG00000127152,16.062311,0.6619379,4.6875632427099024e-58,9.758481859924825e-57
95,ENSG00000173762,15.828528,0.2685261,1.9779383052002816e-56,3.992368504549499e-55
96,ENSG00000115604,15.805288,2.041397,2.8608048055661954e-56,5.734993493263694e-55
97,ENSG00000115607,15.687468,2.2757723,1.8426025300109034e-55,3.626664960503757e-54
98,ENSG00000163564,15.6428995,0.57748014,3.7142600684935996e-55,7.275704865597748e-54
99,ENSG00000163508,15.582534,2.085363,9.568481242861317e-55,1.8601561644912248e-53
100,ENSG00000130844,15.550306,1.6856282,1.5834729128833095e-54,3.0638636756522964e-53
101,ENSG00000089692,15.490588,2.324016,4.0159658615073054e-54,7.705259873086032e-53
102,ENSG00000218357,15.45547,5.3296146,6.930452460725539e-54,1.3174264899464222e-52
103,ENSG00000088179,15.19572,0.76607585,3.77494794132432e-52,6.907751713270338e-51
104,ENSG00000275023,15.10633,0.8610098,1.4710854504370432e-51,2.668190965131314e-50
105,ENSG00000114423,14.93898,1.0387677,1.8376562855761006e-50,3.2752958822988937e-49
106,ENSG00000117090,14.91004,2.2337787,2.83583507588272e-50,5.03691328503936e-49
107,ENSG00000170571,14.850057,0.61276424,6.950944090962049e-50,1.2250815600934655e-48
108,ENSG00000111371,14.838509,0.71832895,8.257175935027727e-50,1.4503295869483374e-48
109,ENSG00000265681,14.557206,0.7531325,5.2562390292606776e-48,8.91999375856713e-47
110,ENSG00000211689,14.405882,1.5084487,4.75212359023403e-47,7.857048071055749e-46
111,ENSG00000100422,14.322656,1.1194607,1.5796979579457519e-46,2.58894243816958e-45
112,ENSG00000100219,14.287476,0.3841083,2.6193429069459375e-46,4.2689892955676736e-45
113,ENSG00000020633,14.234593,0.6119393,5.588736693114297e-46,9.051113094801171e-45
114,ENSG00000185477,14.144065,1.0282233,2.0319849524687886e-45,3.247386674621449e-44
115,ENSG00000169252,14.080755,1.7247046,4.9873618945260554e-45,7.915128043720054e-44
116,ENSG00000233493,14.064364,1.0672328,6.288520458675278e-45,9.94940683031024e-44
117,ENSG00000153234,13.954872,0.66531366,2.9382858715371235e-44,4.554232389282257e-43
118,ENSG00000171791,13.924624,0.8923723,4.488969565701506e-44,6.931616068119262e-43
119,ENSG00000138378,13.922775,0.98089886,4.606659049663808e-44,7.10800925232447e-43
120,ENSG00000000971,13.867206,3.1076872,1.0010166620557391e-43,1.5353400973275498e-42
121,ENSG00000102245,13.854073,1.6275539,1.201988151507775e-43,1.8394711532895772e-42
122,ENSG00000111912,13.710825,0.8095299,8.745825588388769e-43,1.3207352474447886e-41
123,ENSG00000134242,13.573677,0.8459131,5.737021443191984e-42,8.483037889545129e-41
124,ENSG00000148362,13.476788,0.62866193,2.1423376962710607e-41,3.1361994118792296e-40
125,ENSG00000180530,13.377171,0.5263257,8.221761342942675e-41,1.1925612644685822e-39
126,ENSG00000152495,13.3188925,0.7090934,1.7975459140690366e-40,2.5872585276817316e-39
127,ENSG00000118971,13.282408,0.7748055,2.928250081241968e-40,4.1912489680573976e-39
