,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000115523,47.71481,89.85559,0.0,0.0
1,ENSG00000134539,47.01984,10.803842,0.0,0.0
2,ENSG00000100385,46.143723,8.17799,0.0,0.0
3,ENSG00000143185,46.054283,8.453456,0.0,0.0
4,ENSG00000172543,45.700165,8.683297,0.0,0.0
5,ENSG00000187118,43.583706,9.57936,0.0,0.0
6,ENSG00000150045,43.296867,6.425524,0.0,0.0
7,ENSG00000113088,42.800392,7.995513,0.0,0.0
8,ENSG00000134545,41.913303,7.7090435,0.0,0.0
9,ENSG00000143184,41.536488,8.080922,0.0,0.0
10,ENSG00000171476,40.709805,5.713545,0.0,0.0
11,ENSG00000173762,39.118164,6.466174,0.0,0.0
12,ENSG00000211829,37.992485,5.4057417,0.0,0.0
13,ENSG00000105374,37.451378,18.580923,5.704373825775959e-307,8.380540060611423e-304
14,ENSG00000162434,36.201588,6.492949,5.747360067981587e-287,7.38823136739033e-284
15,ENSG00000188404,34.85576,5.6909556,3.482863426235942e-266,4.213854997107109e-263
16,ENSG00000149294,34.44596,5.7060676,5.175849762766492e-260,5.914270995587844e-257
17,ENSG00000007264,33.946865,4.0095296,1.3568655154868483e-252,1.4688426275017628e-249
18,ENSG00000109321,33.522026,6.5814433,2.3024505858190293e-246,2.36784018245629e-243
19,ENSG00000188042,31.270798,6.025828,1.164525227881687e-214,1.1405692803366924e-211
20,ENSG00000020633,31.181383,3.5561259,1.9053886533848247e-213,1.7813651737645033e-210
21,ENSG00000185201,31.174397,6.0222254,2.3695072027850358e-213,2.118957571603592e-210
22,ENSG00000164483,31.111755,3.237344,1.670287135467722e-212,1.431436075095838e-209
23,ENSG00000180644,29.910852,2.6927218,1.4218820232518447e-196,1.1698107781697577e-193
24,ENSG00000164543,29.661993,3.4522202,2.375534586981588e-193,1.8096294587050852e-190
25,ENSG00000116824,29.639317,4.835316,4.656831234797246e-193,3.420775172761063e-190
26,ENSG00000158050,29.469007,4.6551166,7.1870352053293e-191,5.09734276217976e-188
27,ENSG00000074966,29.183731,3.041215,3.119718399973571e-187,2.1388789350218803e-184
28,ENSG00000145649,29.06261,6.0513806,1.066224771354958e-185,7.074229386202831e-183
29,ENSG00000115604,28.12474,4.419576,4.882218545812071e-174,3.0429536681897783e-171
30,ENSG00000111796,27.697788,4.825807,7.423953585358157e-169,4.3627393526756163e-166
31,ENSG00000145287,27.289177,3.645215,5.701629387927365e-164,3.2575309236358342e-161
32,ENSG00000196542,26.94555,8.343609,6.432087530191117e-160,3.575545305972187e-157
