,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000180644,199.86093,11.93919,0.0,0.0
1,ENSG00000105374,199.27843,42.914772,0.0,0.0
2,ENSG00000100453,195.70125,13.838672,0.0,0.0
3,ENSG00000115523,193.95808,67.180565,0.0,0.0
4,ENSG00000134539,193.79439,8.904872,0.0,0.0
5,ENSG00000077984,193.59116,10.43064,0.0,0.0
6,ENSG00000150045,193.19948,8.039869,0.0,0.0
7,ENSG00000145649,190.36737,11.865366,0.0,0.0
8,ENSG00000198821,186.78217,7.0217924,0.0,0.0
9,ENSG00000137441,182.52977,11.103833,0.0,0.0
10,ENSG00000172543,178.36015,6.924065,0.0,0.0
11,ENSG00000159674,174.92938,8.595412,0.0,0.0
12,ENSG00000203747,163.16887,3.9485533,0.0,0.0
13,ENSG00000171476,160.6175,5.5934815,0.0,0.0
14,ENSG00000197540,159.51167,4.789073,0.0,0.0
15,ENSG00000169583,159.02226,6.5028095,0.0,0.0
16,ENSG00000100385,158.43486,5.5726,0.0,0.0
17,ENSG00000211829,152.28426,5.088186,0.0,0.0
18,ENSG00000100450,151.36143,6.0087185,0.0,0.0
19,ENSG00000173762,149.83142,4.7325654,0.0,0.0
20,ENSG00000205336,145.09062,5.101863,0.0,0.0
21,ENSG00000129968,141.97028,4.018672,0.0,0.0
22,ENSG00000111796,141.4614,6.0001917,0.0,0.0
23,ENSG00000271503,140.48701,18.638636,0.0,0.0
24,ENSG00000163564,139.77562,4.055956,0.0,0.0
25,ENSG00000054654,134.19797,5.044489,0.0,0.0
26,ENSG00000188042,133.78978,5.5861716,0.0,0.0
27,ENSG00000164483,129.58212,3.5232935,0.0,0.0
28,ENSG00000131018,128.77052,3.7919772,0.0,0.0
29,ENSG00000007264,125.98766,3.930703,0.0,0.0
30,ENSG00000020633,123.958626,3.1843088,0.0,0.0
31,ENSG00000180739,123.830864,4.616736,0.0,0.0
32,ENSG00000185697,123.713806,3.6223922,0.0,0.0
33,ENSG00000275302,119.24845,-3.9265678,0.0,0.0
34,ENSG00000111670,114.35145,3.2107,0.0,0.0
35,ENSG00000148019,113.03909,3.6733842,0.0,0.0
36,ENSG00000116667,112.271286,3.879626,0.0,0.0
37,ENSG00000142634,111.013275,3.64586,0.0,0.0
38,ENSG00000162434,109.97335,3.7836833,0.0,0.0
39,ENSG00000133321,108.10268,2.724368,0.0,0.0
40,ENSG00000101474,107.976585,3.0266685,0.0,0.0
41,ENSG00000074966,105.23359,3.0014105,0.0,0.0
42,ENSG00000073861,102.822105,3.9020967,0.0,0.0
43,ENSG00000088179,100.622574,2.6411524,0.0,0.0
44,ENSG00000235162,100.10438,2.2575264,0.0,0.0
45,ENSG00000168329,99.878426,2.9719768,0.0,0.0
46,ENSG00000150687,98.57769,4.3966713,0.0,0.0
47,ENSG00000136213,97.24921,2.7705433,0.0,0.0
48,ENSG00000187118,96.34226,3.7177236,0.0,0.0
49,ENSG00000196139,96.08445,5.261361,0.0,0.0
50,ENSG00000185201,94.946465,3.1876175,0.0,0.0
51,ENSG00000126264,94.36727,4.033073,0.0,0.0
52,ENSG00000164674,93.61933,2.8363845,0.0,0.0
