,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000117632,39.32798,32.28465,0.0,0.0
1,ENSG00000145649,35.898964,20.575268,3.170426375799579e-282,3.260466484872287e-278
2,ENSG00000123416,34.689007,29.684414,1.1539373611154816e-263,7.911394547807743e-260
3,ENSG00000105374,34.43453,46.06811,7.675245670185676e-260,3.946611323609474e-256
4,ENSG00000124795,34.286804,14.430757,1.2343322724747862e-257,5.077549236052281e-254
5,ENSG00000164104,34.223763,22.91857,1.071676718884412e-256,3.673707792335765e-253
6,ENSG00000180644,33.908348,11.042402,5.018304923730907e-252,1.4745213667328186e-248
7,ENSG00000069275,33.561913,9.4461155,6.034483546151649e-247,1.551465719715589e-243
8,ENSG00000172543,33.536762,9.031249,1.4041401119140298e-246,3.208928202427529e-243
9,ENSG00000100453,33.335255,18.618956,1.1915369293544872e-243,2.4507531562963096e-240
10,ENSG00000198830,33.1396,16.31401,7.996567071357423e-241,1.495212650215268e-237
11,ENSG00000198821,32.864277,7.5541744,7.121860706833871e-237,1.2206869251513256e-233
12,ENSG00000176890,32.628067,13.117798,1.6406702288887544e-233,2.595792712906454e-230
13,ENSG00000132646,32.61467,10.199608,2.540719274714687e-233,3.7326795744522635e-230
14,ENSG00000134539,32.314167,8.428915,4.423767658387442e-229,6.06587021318086e-226
15,ENSG00000164032,32.185577,14.10277,2.809090349840108e-227,3.611085644719459e-224
16,ENSG00000187514,32.033314,69.726234,3.749295313481159e-225,4.53620623574591e-222
17,ENSG00000115523,32.008053,89.03672,8.424863097106503e-225,9.626810232293697e-222
18,ENSG00000189403,31.938349,30.782722,7.841262421470433e-224,8.488372920252835e-221
19,ENSG00000132780,31.826775,7.5740194,2.759390918418389e-222,2.837757620501472e-219
20,ENSG00000077984,31.816174,8.885119,3.867850067687047e-222,3.788282866294628e-219
21,ENSG00000198668,31.796902,18.023573,7.143914977620426e-222,6.678911057258951e-219
22,ENSG00000235162,31.629038,5.753702,1.4729625722544408e-219,1.3172127907012755e-216
23,ENSG00000150045,31.527744,6.907738,3.620367854053299e-218,3.102655250923677e-215
24,ENSG00000128951,31.393988,12.123474,2.4442918630074603e-216,2.0109678015334976e-213
25,ENSG00000130816,30.946774,7.081583,2.8076806975960766e-210,2.2210914072367735e-207
26,ENSG00000105968,30.74817,7.515319,1.293640684435583e-207,9.854667258322619e-205
27,ENSG00000136824,30.677668,6.8369126,1.1302848446194349e-206,8.302749530047335e-204
28,ENSG00000092853,30.553041,10.001242,5.152241239342968e-205,3.6541826831312466e-202
29,ENSG00000166803,30.487978,10.8453665,3.761374028732451e-204,2.5787980340989686e-201
30,ENSG00000155368,30.262922,6.5812407,3.527470386661797e-201,2.3404197068664465e-198
