,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000128815,21.240099,18.644356,4.0703821741199566e-100,4.988541127238107e-96
1,ENSG00000231389,21.222504,239.51006,5.918588509475993e-100,4.988541127238107e-96
2,ENSG00000019582,21.212793,404.1084,7.276168505306457e-100,4.988541127238107e-96
3,ENSG00000223865,21.193623,267.07605,1.0935164898102729e-99,5.622861790604423e-96
4,ENSG00000179344,21.129276,102.84609,4.280586658630663e-99,1.7608621278943096e-95
5,ENSG00000140968,21.100183,32.448105,7.922699831622546e-99,2.31135575531717e-95
6,ENSG00000196735,21.100014,67.29277,7.95137859322395e-99,2.31135575531717e-95
7,ENSG00000148908,21.094206,24.057608,8.990104065799961e-99,2.31135575531717e-95
8,ENSG00000204287,21.08553,386.89856,1.0799924627379092e-98,2.468142774843702e-95
9,ENSG00000112335,21.034502,44.05843,3.170894503941793e-98,6.14227110201296e-95
10,ENSG00000176788,21.032825,21.180738,3.2849563458840224e-98,6.14227110201296e-95
11,ENSG00000205542,20.967052,496.84708,1.3114160127093166e-97,2.247767045783769e-94
12,ENSG00000118292,20.956413,20.486635,1.639876726587264e-97,2.4347834147823096e-94
13,ENSG00000196126,20.952757,204.42,1.770789512625426e-97,2.4347834147823096e-94
14,ENSG00000101439,20.952625,399.24942,1.7756588497537265e-97,2.4347834147823096e-94
15,ENSG00000085719,20.85536,29.071037,1.3626818991844861e-96,1.751727581401657e-93
16,ENSG00000197992,20.850056,28.458452,1.5224257369613465e-96,1.8419560328129985e-93
17,ENSG00000084207,20.836899,45.285522,2.0040648318231633e-96,2.289978081163268e-93
18,ENSG00000187164,20.813686,18.456173,3.2533503065930954e-96,3.521837321368778e-93
19,ENSG00000184009,20.81055,100.81678,3.4733296989064175e-96,3.57197226235536e-93
20,ENSG00000075624,20.80143,253.02213,4.200929243148517e-96,4.114510127289462e-93
21,ENSG00000106066,20.79276,65.48057,5.033121244524151e-96,4.705510807153306e-93
22,ENSG00000138326,20.761957,156.82253,9.559416069112732e-96,8.548611726500463e-93
23,ENSG00000142534,20.728628,114.720955,1.9116274582116946e-95,1.6382647316874224e-92
24,ENSG00000034510,20.720795,190.33572,2.2494350020757828e-95,1.850655164907788e-92
25,ENSG00000197747,20.700457,62.14711,3.431054087377549e-95,2.714227710353132e-92
26,ENSG00000186468,20.665249,160.0195,7.119007900588588e-95,5.423102018492818e-92
27,ENSG00000204257,20.624893,21.346764,1.640927063129966e-94,1.205378136944898e-91
28,ENSG00000123685,20.596968,12.252217,2.921698322013261e-94,2.0721893478334052e-91
29,ENSG00000187239,20.591803,17.895336,3.2504878187033345e-94,2.2285344485030061e-91
30,ENSG00000092841,20.581945,43.22585,3.983671283381668e-94,2.643101643761101e-91
31,ENSG00000113387,20.5532,22.495024,7.205388588807802e-94,4.6312635154562146e-91
32,ENSG00000166441,20.543182,107.57011,8.856496338428804e-94,5.520012626933444e-91
33,ENSG00000158457,20.533697,10.276047,1.0766187994004997e-93,6.512910431196905e-91
34,ENSG00000187109,20.5046,43.087357,1.9587131922728453e-93,1.1510517982476538e-90
35,ENSG00000161016,20.36706,81.908424,3.2777298200195286e-92,1.872676303837824e-89
36,ENSG00000114942,20.29481,58.613804,1.4290715757432717e-91,7.944093018888544e-89
37,ENSG00000187514,20.274828,90.8855,2.1453952310786234e-91,1.1612233977059244e-88
38,ENSG00000143110,20.261623,19.223969,2.805605593601421e-91,1.479633226902411e-88
39,ENSG00000205581,20.253298,13.12268,3.3223032061429405e-91,1.7083283085987001e-88
40,ENSG00000101160,20.216864,19.112665,6.956861257239556e-91,3.4899688375342244e-88
41,ENSG00000124172,20.213972,42.070896,7.376693585723363e-91,3.61247223026567e-88
42,ENSG00000178127,20.199,8.661696,9.990158111372783e-91,4.7785481868538466e-88
43,ENSG00000173457,20.187332,10.617978,1.265154176946513e-90,5.914020707144517e-88
44,ENSG00000136942,20.166046,59.87749,1.9458468652742345e-90,8.893817405546769e-88
45,ENSG00000026025,20.150822,127.40884,2.646831286424331e-90,1.1834788238951227e-87
46,ENSG00000115738,20.148085,44.42604,2.7972470392335674e-90,1.2241229170841705e-87
47,ENSG00000137818,20.14389,185.98611,3.0445482050417482e-90,1.3045889058603892e-87
48,ENSG00000127184,20.131168,27.97312,3.935978694636437e-90,1.6521471385975966e-87
49,ENSG00000087460,20.128382,20.188427,4.163677466251714e-90,1.712770362517305e-87
50,ENSG00000115268,20.075703,80.9791,1.2036708432606633e-89,4.854333706703004e-87
51,ENSG00000023191,20.0717,11.14852,1.3046677573377754e-89,5.160462775562186e-87
52,ENSG00000180817,20.045458,13.899547,2.2114159809926373e-89,8.581962999444635e-87
53,ENSG00000145741,20.020294,24.76395,3.6654594557247996e-89,1.3961327793582903e-86
54,ENSG00000116251,20.00917,51.739918,4.582105317868503e-89,1.7135407668712615e-86
55,ENSG00000120675,20.007236,7.596411,4.7633033139108816e-89,1.7494932600092683e-86
56,ENSG00000196262,20.00081,22.182081,5.41849275510685e-89,1.9552203331059246e-86
57,ENSG00000142937,19.994047,129.0577,6.205369431303567e-89,2.200552387293996e-86
58,ENSG00000109684,19.9805,14.668092,8.140683859506594e-89,2.8379251800395194e-86
59,ENSG00000163466,19.978502,30.03065,8.472929165219387e-89,2.8831117669912823e-86
60,ENSG00000221983,19.978046,55.99157,8.550652362235911e-89,2.8831117669912823e-86
61,ENSG00000099337,19.963518,9.665304,1.1437084135932898e-88,3.794160427546256e-86
62,ENSG00000105640,19.943615,101.07768,1.7030190691133685e-88,5.559951779924407e-86
63,ENSG00000242574,19.934229,14.127581,2.0544748379852068e-88,6.602568510574958e-86
64,ENSG00000172757,19.907677,34.821007,3.4913901855937993e-88,1.104783282112204e-85
65,ENSG00000108107,19.85732,124.95019,9.525768210335174e-88,2.9685757659117255e-85
66,ENSG00000161970,19.85024,83.13256,1.0967398742702933e-87,3.3668277214912525e-85
67,ENSG00000105193,19.847399,73.15529,1.1605688405302585e-87,3.472396689594088e-85
68,ENSG00000115355,19.846642,15.495202,1.1781538379745656e-87,3.472396689594088e-85
69,ENSG00000075415,19.846489,14.035691,1.1817763918299598e-87,3.472396689594088e-85
70,ENSG00000158710,19.835665,18.63045,1.4656725481846593e-87,4.212345790618721e-85
71,ENSG00000130592,19.83536,15.787454,1.4745667878478604e-87,4.212345790618721e-85
72,ENSG00000171863,19.82609,67.25331,1.7730144382823556e-87,4.995528899533081e-85
73,ENSG00000175567,19.825218,13.095674,1.8039714543470877e-87,5.0140655233798516e-85
74,ENSG00000147403,19.82042,169.82529,1.9844877284132632e-87,5.442259146400533e-85
75,ENSG00000145425,19.803535,98.53865,2.775178450052927e-87,7.510509257985342e-85
76,ENSG00000171858,19.802052,60.347298,2.8580913668567484e-87,7.634444575780468e-85
77,ENSG00000174748,19.796108,73.03007,3.216029795833792e-87,8.480423184706338e-85
