,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000113088,23.411081,13.103972,3.2957366009774608e-121,6.778671040890441e-117
1,ENSG00000070081,22.673418,5.548038,8.197650411194638e-114,8.430463682872565e-110
2,ENSG00000139193,18.874945,5.4272437,1.8331314929175173e-79,9.425962136581875e-76
3,ENSG00000081059,18.55782,4.009461,7.05087429301439e-77,2.417039707645333e-73
4,ENSG00000167286,16.546352,5.3148737,1.70099779125257e-61,3.887346952275873e-58
5,ENSG00000277734,15.863514,4.1313562,1.1336908217519386e-56,2.11979571107217e-53
6,ENSG00000162894,15.691315,3.2513502,1.7342580684948713e-55,2.7438630732925012e-52
7,ENSG00000160654,14.758393,3.3035662,2.7167702315411755e-49,2.660882386778043e-46
8,ENSG00000182866,14.463362,3.0167298,2.0646126081607123e-47,1.6985980849859812e-44
9,ENSG00000198851,14.103017,3.2254522,3.6387453816879783e-45,2.494723833685278e-42
10,ENSG00000145220,13.514905,3.0949888,1.2772067134787571e-41,7.085167936404789e-39
11,ENSG00000125354,13.513095,3.903284,1.3090061337192824e-41,7.085167936404789e-39
12,ENSG00000138795,13.498701,2.1002655,1.5915697059433702e-41,8.18385142796081e-39
13,ENSG00000169508,13.308011,2.7276268,2.079430847907304e-40,9.946449692966843e-38
14,ENSG00000211772,13.243436,5.195712,4.924356984061326e-40,2.2018298793081163e-37
15,ENSG00000172183,13.239499,4.2033396,5.189366652628841e-40,2.2709551768355317e-37
16,ENSG00000111716,12.755175,3.0705857,2.917197835542617e-37,1.034498708300699e-34
17,ENSG00000134954,12.369395,3.3922882,3.826909562427498e-35,1.2493948552382347e-32
18,ENSG00000136732,12.209864,3.348756,2.7535124734185067e-34,8.090606364753121e-32
19,ENSG00000069493,12.198944,2.7021525,3.148819694657663e-34,8.995128261072056e-32
20,ENSG00000100100,11.912872,1.5828058,1.0142208374712973e-32,2.483392164894005e-30
21,ENSG00000161405,11.284325,2.0755956,1.5684142143069867e-29,3.0722993866539142e-27
22,ENSG00000117602,11.261513,1.6278149,2.0324054630177538e-29,3.943633543712185e-27
23,ENSG00000213658,11.074742,2.0804644,1.663580284360427e-28,3.139130209974795e-26
24,ENSG00000127152,11.002084,1.7141545,3.7340047529436936e-28,6.857233014155884e-26
25,ENSG00000115306,10.74289,2.842529,6.400831515202105e-27,9.898669368772698e-25
26,ENSG00000183918,10.68441,3.3390644,1.204120338717436e-26,1.7946628352710307e-24
27,ENSG00000111678,10.413096,1.778073,2.16077819486203e-25,2.885901682592353e-23
28,ENSG00000181847,10.325579,3.8715665,5.399237549100007e-25,6.940719869368059e-23
29,ENSG00000071073,10.317163,1.9975584,5.893858131571311e-25,7.529495282618555e-23
30,ENSG00000245164,10.159985,1.5816789,2.991235243231711e-24,3.475916750440104e-22
31,ENSG00000167106,10.010409,2.0547233,1.371838887737596e-23,1.4850516969993094e-21
32,ENSG00000165434,9.847035,4.1040916,7.05954350770096e-23,7.18815301318779e-21
33,ENSG00000149212,9.835131,2.7814546,7.946464388200864e-23,8.051373376183024e-21
34,ENSG00000246223,9.781011,3.0929253,1.358471502427707e-22,1.3498087856006316e-20
35,ENSG00000155657,9.754643,3.2799947,1.7621845238701897e-22,1.725933870807717e-20
36,ENSG00000114861,9.516334,1.9221745,1.7939760317358003e-21,1.6326769478204397e-19
37,ENSG00000142546,9.512268,2.2719874,1.8655053554134588e-21,1.6902957775393843e-19
38,ENSG00000065357,9.4960575,1.8704784,2.1798640204620526e-21,1.9664668058273464e-19
39,ENSG00000126353,9.493031,1.6819398,2.2441321548739267e-21,2.0156030638186428e-19
40,ENSG00000166750,9.31144,3.0825186,1.261101699236884e-20,1.0587077448940503e-18
41,ENSG00000266088,9.174269,6.5307302,4.546502421845188e-20,3.610519761100843e-18
42,ENSG00000162777,9.147525,2.7473288,5.825284824700388e-20,4.555682824123102e-18
43,ENSG00000118513,9.0292225,4.9168506,1.7289636330645547e-19,1.2931390547226094e-17
44,ENSG00000178562,9.019249,2.661996,1.8938307369947507e-19,1.3961401648210764e-17
45,ENSG00000008517,8.962949,2.9927619,3.1610893017454338e-19,2.2893410126162e-17
46,ENSG00000137731,8.634717,6.1103745,5.887248184012128e-18,3.7605254859863805e-16
47,ENSG00000104660,8.575122,1.3663661,9.898217734204791e-18,6.188040801128393e-16
48,ENSG00000125148,8.444872,4.140112,3.04378640563277e-17,1.814626051914632e-15
49,ENSG00000114423,8.442673,2.3628144,3.1016363314805565e-17,1.8437704065286727e-15
50,ENSG00000135127,8.395049,3.2966619,4.657000217654205e-17,2.6981740979355406e-15
51,ENSG00000077782,8.37353,4.539404,5.59170758322881e-17,3.1858792679182873e-15
52,ENSG00000054654,8.288738,3.2774734,1.1445651587345394e-16,6.311371631327616e-15
53,ENSG00000164687,8.088257,2.112471,6.052454417692305e-16,3.1278111171631993e-14
54,ENSG00000080822,8.070096,3.036722,7.024268924709812e-16,3.5939095334186914e-14
55,ENSG00000168421,8.04894,1.6532845,8.351413639083867e-16,4.2204392070928e-14
56,ENSG00000163346,7.988676,1.6182373,1.3639529914145135e-15,6.663606918625584e-14
57,ENSG00000107771,7.98039,1.6804256,1.458717827656051e-15,7.109693905030725e-14
58,ENSG00000162739,7.8831244,2.2422671,3.1929558330998586e-15,1.5062549443852727e-13
59,ENSG00000141293,7.802229,1.3854022,6.082315397991789e-15,2.8239517631127563e-13
60,ENSG00000136111,7.723149,1.9112175,1.1349043918815661e-14,5.187269673826678e-13
61,ENSG00000145649,7.6917787,3.2686596,1.451035782856776e-14,6.559319556439157e-13
62,ENSG00000179144,7.611491,1.4345719,2.709511401984946e-14,1.2018533125008699e-12
63,ENSG00000145247,7.6107736,1.3806415,2.724597562439013e-14,1.2051510250375403e-12
64,ENSG00000152465,7.5872097,2.012008,3.268676047918645e-14,1.436541216957066e-12
65,ENSG00000164543,7.537354,1.5916541,4.796038804153595e-14,2.0637013833437476e-12
66,ENSG00000065809,7.4331017,2.514692,1.0608047844313865e-13,4.390066963015042e-12
67,ENSG00000153283,7.352379,1.514174,1.947097753254012e-13,7.793309917185903e-12
68,ENSG00000013725,7.3523464,1.6847221,1.9475696700863255e-13,7.793309917185903e-12
69,ENSG00000211751,7.2888117,3.238314,3.127007237279125e-13,1.2227430581056473e-11
70,ENSG00000005059,7.24633,1.6910481,4.282169042598562e-13,1.6524512733239628e-11
71,ENSG00000081870,7.147749,1.7886556,8.821253748918207e-13,3.310867647951637e-11
72,ENSG00000198919,7.1457815,2.372039,8.948533616801842e-13,3.352521665398548e-11
73,ENSG00000213626,7.1146154,1.1197249,1.1222515609020174e-12,4.159003622456341e-11
74,ENSG00000133872,7.088781,1.680772,1.3529851449543494e-12,4.9782108159966116e-11
75,ENSG00000152495,7.0239887,1.3901594,2.156221338761271e-12,7.739818585626845e-11
76,ENSG00000155903,6.9683137,1.1626031,3.2076251530524764e-12,1.1277681050937322e-10
77,ENSG00000205531,6.8913174,1.8719618,5.527804248295589e-12,1.9108550887217422e-10
78,ENSG00000104964,6.8873134,2.6803308,5.685588317489874e-12,1.9621003441968411e-10
79,ENSG00000112339,6.8798614,1.8638661,5.9910774402631e-12,2.0606100466777835e-10
80,ENSG00000198743,6.8379254,1.8228593,8.03481641570974e-12,2.7180938164197026e-10
81,ENSG00000066294,6.8302937,1.739897,8.474106136425612e-12,2.8619936783908375e-10
82,ENSG00000177721,6.824277,1.7534071,8.836941138723968e-12,2.974766044865378e-10
83,ENSG00000149311,6.811958,1.5704478,9.627932072599951e-12,3.214729007617464e-10
84,ENSG00000198417,6.772213,2.6537378,1.2682720964889817e-11,4.193861813598935e-10
85,ENSG00000074706,6.739997,1.2831995,1.5839016509200835e-11,5.171061770813377e-10
86,ENSG00000101224,6.7073216,1.7779343,1.9822925729905447e-11,6.370592756448363e-10
87,ENSG00000135426,6.7066135,1.8199587,1.991927871888541e-11,6.391571368019269e-10
88,ENSG00000089012,6.644787,2.5889218,3.03655898674202e-11,9.579132705415623e-10
89,ENSG00000235532,6.6143703,2.4672139,3.731361542292921e-11,1.1645924765080547e-09
90,ENSG00000115687,6.569102,2.1053855,5.061961830460099e-11,1.5470197760609706e-09
91,ENSG00000172575,6.566561,1.543823,5.149043066148515e-11,1.5689706338450762e-09
92,ENSG00000154217,6.54106,1.510848,6.108425668622159e-11,1.8341328343389864e-09
93,ENSG00000136104,6.5019226,1.6440592,7.92998878621321e-11,2.367257029823415e-09
94,ENSG00000175463,6.4850016,1.5044186,8.873088299867673e-11,2.633501878090596e-09
95,ENSG00000068796,6.3501587,0.99834925,2.150927002052814e-10,6.127460744906133e-09
96,ENSG00000215252,6.285909,1.2316747,3.2594029232141473e-10,8.974484514681202e-09
97,ENSG00000009790,6.2656517,1.3987081,3.712694326258362e-10,1.0140832867538479e-08
98,ENSG00000078596,6.2541633,1.2313745,3.9965243654192034e-10,1.0815856993150286e-08
99,ENSG00000117632,6.2471795,1.2237682,4.17930300536943e-10,1.1266042492062704e-08
100,ENSG00000125910,6.246153,2.7784045,4.2068492177854516e-10,1.132545480515853e-08
101,ENSG00000166164,6.2200413,2.3129802,4.970245851335883e-10,1.3276365801334603e-08
102,ENSG00000187193,6.1950717,1.4340438,5.82585224629577e-10,1.5441511469305592e-08
