,Accuracy,Precision,F1-score,ROC-AUC
ASDC,0.9996909096528915,1.0,0.5,0.9996639660255221
B_intermediate,0.9848236639569746,0.14285714285714285,0.004056795131845843,0.978085163890403
B_memory,0.9858436621024326,0.6677908937605397,0.6335999999999999,0.9900741308027478
B_naive,0.9956109170710599,0.944233206590621,0.9545163356822549,0.999338688294602
CD14_Mono,0.9812691249652273,0.9506818181818182,0.9650478717268428,0.9970878433729744
CD16_Mono,0.9933545575371681,0.9062742060418281,0.9158512720156556,0.9982455687652151
CD4_CTL,0.9921800142181559,0.719626168224299,0.5490196078431373,0.9918466296214993
CD4_Naive,0.9492164559700801,0.7905299466917529,0.7542258788332087,0.9780739124011569
CD4_Proliferating,0.9994127283404939,0.6666666666666666,0.3870967741935484,0.999333597644816
CD4_TCM,0.9396964732791395,0.7093355075417855,0.6407659731172896,0.9620406098623954
CD4_TEM,0.9719655055172627,0.2892561983471074,0.07164790174002046,0.9434705471133729
CD8_Naive,0.9802491268197694,0.8693320331545588,0.848038049940547,0.989344589893539
CD8_Proliferating,0.9994745464099156,0.6,0.2608695652173913,0.9995000257718675
CD8_TCM,0.9821654869718419,0.0,0.0,0.9390077378739565
CD8_TEM,0.9784873118412512,0.875626423690205,0.8466960352422908,0.9896112138397778
Doublet,0.9962600067999876,0.0,0.0,0.9159592438293446
Eryth,0.9997836367570241,0.75,0.8108108108108107,0.9999527025060396
HSPC,0.9995054554446264,0.9166666666666666,0.8730158730158729,0.985390498662094
ILC,0.9992581831669397,0.6666666666666666,0.25,0.9973706189872242
MAIT,0.9930454671900597,0.8204633204633205,0.7906976744186047,0.9962763063361968
NK,0.9824745773189504,0.9069239500567536,0.918522776260957,0.9965678891465733
NK_CD56bright,0.9976818223966866,0.8202247191011236,0.7956403269754768,0.9978432293753771
NK_Proliferating,0.9984854572991686,0.7904761904761904,0.772093023255814,0.9968283461103609
Plasmablast,0.9999072728958674,1.0,0.9790209790209791,0.9993519885929623
Platelet,0.9970945507371805,0.8778467908902692,0.9002123142250531,0.9804864916779752
Treg,0.9845763916792879,0.625,0.019646365422396856,0.8947931087467161
cDC1,0.999598182548759,0.84,0.7636363636363636,0.9998762491105404
cDC2,0.9856891169288783,0.6412213740458015,0.2662440570522979,0.9800962546698898
dnT,0.9980218217785058,1.0,0.17948717948717946,0.9538438112723177
gdT,0.9914072883503848,0.8445121951219512,0.7994227994227995,0.984113912233986
pDC,0.9998454548264458,0.9771428571428571,0.9855907780979827,0.9999884374934509
