lambda,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
1e-05,0.18179031269160026,0.3154016212232867,0.3137074517019319,2965,0.9925794504181601,0.9041659999593199,0.8307896255713958,0.9012875536480687,0.8349900596421471,0.015613004565238953,0.04298213869333267,-11.512925464970229
1.5e-05,0.13905579399141632,0.38098747236551217,0.37902483900643974,2268,0.9931944444444445,0.9084066242498895,0.8314394195104182,0.8780487804878049,0.8372093023255814,0.017270592972636223,0.030493173748254776,-11.129161282804555
2.2e-05,0.12286940527283875,0.41046425939572584,0.406163753449862,2004,0.9935501792114696,0.9110793149572886,0.8301296779576424,0.8714859437751004,0.836223506743738,0.021198106929659843,0.02655794657766819,-10.745397100638879
3.2e-05,0.10852237890864501,0.4524686809137804,0.44710211591536336,1770,0.9925609318996416,0.8999094863392827,0.8288673979955934,0.8650793650793651,0.835249042145594,0.025096699595451355,0.0012088699731975794,-10.361632918473205
4.6e-05,0.08847332924586143,0.5128960943257185,0.5105795768169273,1443,0.991894265232975,0.9031737654506158,0.8168828356417142,0.8531746031746031,0.8237547892720306,0.02975391037762165,0.01757183112204075,-9.977868736307531
6.8e-05,0.0706928264868179,0.5983787767133383,0.5952161913523459,1153,0.9912813620071684,0.887037180161933,0.8247840626813225,0.8494208494208494,0.831758034026465,0.03460840880870819,0.0003685616247821599,-9.594104554141857
0.0001,0.03832004904966278,0.658069270449521,0.6568537258509659,625,0.9843587216248506,0.8459796605707545,0.8026593441992091,0.7894736842105263,0.8108108108108109,0.03971654176712036,0.0072486973367631435,-9.210340371976184
0.000147,0.027651747394236665,0.7059690493736183,0.7010119595216191,451,0.9926589008363202,0.9065985787430179,0.8192548365487811,0.8063380281690141,0.8267148014440433,0.045750200748443604,0.006743865553289652,-8.826576189810508
0.000215,0.025076640098099325,0.8039793662490788,0.8058877644894205,409,0.9946242532855437,0.9187611021531261,0.8460478371653083,0.8387096774193549,0.8524590163934426,0.0521278940141201,0.0008254664717242122,-8.442812007644834
0.000316,0.01655426118945432,0.8456153279292558,0.8445262189512419,270,0.9956893667861411,0.9205522192955446,0.8574625582714694,0.8494623655913979,0.8633879781420764,0.058900751173496246,0.00565739069133997,-8.05904782547916
0.000464,0.008890251379521767,0.8076639646278556,0.8058877644894205,145,0.9940937873357227,0.9092815559399717,0.825398341651394,0.8582677165354331,0.83206106870229,0.06683139503002167,0.014048364013433456,-7.6752836433134854
0.000681,0.009809932556713672,0.9904200442151805,0.9912603495860166,160,0.9909295101553167,0.8994283801832555,0.8129559034634274,0.8378378378378378,0.8204158790170132,0.0750589370727539,0.00035247739288024604,-7.291519461147811
0.001,0.005947271612507664,0.9661016949152542,0.9668813247470102,97,0.989284946236559,0.8785107379057698,0.817438870952845,0.8503937007874016,0.8244274809160306,0.08585946261882782,0.019712666049599648,-6.907755278982137
0.001468,0.003249540159411404,0.9609432571849669,0.9622815087396505,53,0.9872013142174432,0.8418793156506303,0.7886948924850032,0.8367346938775511,0.796116504854369,0.09669671952724457,0.04380100592970848,-6.523991096816463
0.002154,0.002575107296137339,0.9513633014001474,0.9494020239190433,42,0.9854982078853046,0.8165279875556565,0.7817032020717335,0.8596491228070176,0.7871485943775101,0.10997036844491959,0.005334349814802408,-6.140226914650788
0.003162,0.0015941140404659717,0.9185703758290347,0.921343146274149,26,0.9793853046594981,0.7971637388665678,0.7590580302872705,0.8604651162790697,0.7628865979381443,0.12464109063148499,0.002272462472319603,-5.756462732485113
0.004642,0.0011649294911097487,0.9233603537214443,0.921803127874885,19,0.9718614097968937,0.753726300724438,0.6872573654461583,0.817258883248731,0.6895074946466809,0.14073123037815094,0.004119019024074078,-5.3726985503194395
0.006813,0.0007357449417535254,0.9318349299926307,0.9346826126954921,12,0.9373590203106331,0.6424490248063048,0.5879042846323663,0.7848101265822784,0.5794392523364486,0.15735790133476257,0.0029654086101800203,-4.988934368153766
0.01,0.0006131207847946045,0.9436256448047162,0.9475620975160993,10,0.9400961768219833,0.6064300229677666,0.5450703898379371,0.7516778523489933,0.5346062052505968,0.17565780878067017,0.004513353109359741,-4.605170185988091
0.014678,0.0007970570202329859,0.9992630803242447,0.9990800367985281,13,0.9185997610513739,0.5403820786810759,0.5066456509869414,0.7982456140350878,0.4739583333333333,0.19481436908245087,0.018092021346092224,-4.221406003822416
0.021544,0.00030656039239730225,1.0,1.0,5,0.7828542413381122,0.12638880640302316,0.03815221317415623,0.2,0.021052631578947368,0.20874491333961487,0.0006215114844962955,-3.8376418216567423
0.031623,0.0002452483139178418,1.0,1.0,4,0.7805925925925926,0.12559297713769438,0.03629418437215823,0.1875,0.02097902097902098,0.2254759669303894,0.00023871209123171866,-3.4538776394910684
0.068129,0.002023298589822195,1.0,1.0,33,0.8111140979689367,0.1448893958372624,0.025156307606143246,0.15384615384615385,0.014134275618374558,0.2813107371330261,0.136887326836586,-2.686349275159719
0.1,0.002207234825260576,1.0,1.0,36,0.7989038231780167,0.13983891299735227,0.019034335182806932,0.16666666666666666,0.007246376811594203,0.3247401714324951,0.07261764258146286,-2.3025850929940455
