lambda,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
1e-05,0.07023527773910622,0.8081395348837209,0.8030018761726079,1009,0.9952708604704621,0.9850262672139078,0.9766329688939147,0.9933333333333333,0.9770491803278689,0.0026042277459055185,0.004212232772260904,-11.512925464970229
1.5e-05,0.05227620771265488,0.8284883720930233,0.8255159474671669,751,0.9928082139299671,0.9840920018867122,0.9669501698464996,0.967741935483871,0.967741935483871,0.0032404481898993254,0.003231712616980076,-11.129161282804555
2.2e-05,0.05874982597800362,0.8212209302325582,0.8161350844277674,844,0.9926718259137232,0.9844944419504201,0.9637644537452331,0.9615384615384616,0.9646302250803858,0.004432365298271179,0.004356252495199442,-10.745397100638879
3.2e-05,0.04698593902269247,0.8328488372093024,0.8311444652908068,675,0.992499169923122,0.9812029261328518,0.9669501698464996,0.967741935483871,0.967741935483871,0.005608610808849335,0.003957626409828663,-10.361632918473205
4.6e-05,0.03264652652095225,0.8386627906976745,0.8367729831144465,469,0.9941005797767731,0.9797830972928502,0.9537302377850995,0.9548387096774194,0.9548387096774195,0.006956904660910368,0.005838989280164242,-9.977868736307531
6.8e-05,0.023875817903382987,0.8372093023255814,0.8367729831144465,343,0.9945092330089648,0.9770956936826491,0.9474714168458033,0.9426751592356688,0.9487179487179487,0.008722461760044098,0.004159436095505953,-9.594104554141857
0.0001,0.010719754977029096,0.8444767441860465,0.8433395872420263,154,0.9949286133885016,0.9755351647332404,0.9413299944266457,0.9308176100628931,0.9426751592356688,0.010580377653241158,0.010164053179323673,-9.210340371976184
0.000147,0.007517750243630795,0.846656976744186,0.8442776735459663,108,0.9924843562434552,0.9554760368893122,0.9413299944266457,0.9308176100628931,0.9426751592356688,0.013013758696615696,0.007346669677644968,-8.826576189810508
0.000215,0.0057079214812752336,0.8575581395348837,0.8574108818011257,82,0.9934125098970705,0.9749811015554158,0.9537302377850995,0.9548387096774194,0.9548387096774195,0.01573706418275833,0.008777935057878494,-8.442812007644834
0.000316,0.004733398301545315,0.8575581395348837,0.8574108818011257,68,0.9956437565448368,0.97301583067192,0.9502739917022632,0.9545454545454546,0.9514563106796117,0.018774276599287987,0.005943165626376867,-8.05904782547916
0.000464,0.0031323959348461645,0.8590116279069767,0.8592870544090057,45,0.9952596225065767,0.9717796692455838,0.9433271134493595,0.9539473684210527,0.9446254071661238,0.02211463265120983,0.005673672072589397,-7.6752836433134854
0.000681,0.0022274815536683836,0.8633720930232558,0.8602251407129455,32,0.9950532526243201,0.974139178453725,0.9633469904128645,0.9736842105263158,0.964169381107492,0.025839027017354965,0.004913101438432932,-7.291519461147811
0.001,0.0016706111652512877,0.876453488372093,0.876172607879925,24,0.9954057160370853,0.9738993875406163,0.9569048589466213,0.961038961038961,0.9579288025889967,0.03026249073445797,0.004188238643109798,-6.907755278982137
0.001468,0.0011137407768341918,0.8938953488372093,0.8930581613508444,16,0.9950481444589175,0.9705284022221294,0.9433271134493595,0.9539473684210527,0.9446254071661238,0.03537245839834213,0.00014859536895528436,-6.523991096816463
0.002154,0.0009049143811777809,0.8619186046511628,0.8592870544090057,13,0.9898674431078078,0.9671374265285549,0.9494253444897061,0.9794520547945206,0.9501661129568107,0.04153681546449661,0.001821531797759235,-6.140226914650788
0.003162,0.0027147431435333427,0.9709302325581395,0.9699812382739212,39,0.9917104691849922,0.9635356366870207,0.9465310528827688,0.9602649006622517,0.9477124183006537,0.050666965544223785,0.05646532028913498,-5.756462732485113
0.004642,0.0004872615898649589,0.8604651162790697,0.8592870544090057,7,0.9801746992567619,0.9031078117854444,0.9282546760699535,0.9926470588235294,0.9278350515463918,0.05842781811952591,0.008119634352624416,-5.3726985503194395
0.006813,0.00020882639565641096,0.8604651162790697,0.8592870544090057,3,0.9634572063443414,0.897085728956706,0.9213139668327317,0.9782608695652174,0.9215017064846416,0.07097938656806946,0.0005919933319091797,-4.988934368153766
0.01,0.00027843519420854795,0.8633720930232558,0.8630393996247655,4,0.961549817383087,0.896194210928653,0.9213139668327317,0.9782608695652174,0.9215017064846416,0.0870295912027359,0.007247039116919041,-4.605170185988091
0.014678,0.00041765279131282193,0.8611918604651163,0.8592870544090057,6,0.9802206727453835,0.9029906315844709,0.9317821854343168,1.0,0.9310344827586207,0.10669032484292984,0.02265964448451996,-4.221406003822416
0.021544,0.00013921759710427398,0.9302325581395349,0.9296435272045028,2,0.964125865195515,0.892945208327827,0.9176391849598203,0.9851851851851852,0.9172413793103448,0.12595590949058533,0.00034285482252016664,-3.8376418216567423
