lambda,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
1e-05,0.1693756727664155,0.33195121951219514,0.33211678832116787,3147,0.998055313000006,0.9949049272958261,0.9712640689398642,0.9766871165644172,0.9784880147510755,0.019528739154338837,0.0007647899328731,-11.512925464970229
1.5e-05,0.14041980624327233,0.37109756097560975,0.37150243309002434,2609,0.9974390411877958,0.9937473133791037,0.9663700979853539,0.9718482252141983,0.9748311847759361,0.02487003430724144,0.0008681376348249614,-11.129161282804555
2.2e-05,0.12594187298170076,0.39445121951219514,0.3956812652068127,2340,0.9974095617938923,0.993157134595008,0.9667253371556513,0.9741856177012908,0.975084589357121,0.031305138021707535,0.0008623154717497528,-10.745397100638879
3.2e-05,0.11437029063509149,0.42329268292682926,0.4235097323600973,2125,0.9971847178822004,0.9924647068827638,0.9617956449664152,0.9704978488014752,0.9713934174100277,0.03840579092502594,0.0008684484637342393,-10.361632918473205
4.6e-05,0.07900968783638321,0.47304878048780485,0.4749087591240876,1468,0.9955003898395711,0.9875200392922164,0.9536206596639042,0.9632127529123238,0.9652841781874041,0.046880271285772324,0.010330257005989552,-9.977868736307531
6.8e-05,0.08094725511302475,0.5014024390243903,0.5041058394160584,1504,0.9953785967401889,0.9870022031021192,0.952023761286209,0.9608562691131498,0.9640994169990794,0.05717473477125168,0.0002729875559452921,-9.594104554141857
0.0001,0.06307857911733046,0.5756707317073171,0.575197688564477,1172,0.9913508474817482,0.9758919071718214,0.9310295178318188,0.9466257668711656,0.9483712354025815,0.0690905973315239,0.000259996420936659,-9.210340371976184
0.000147,0.052960172228202367,0.6174390243902439,0.618537104622871,984,0.9952630298921055,0.9865675127379667,0.9360135687860114,0.9492044063647491,0.9521178637200737,0.08314131200313568,0.0006161003257147968,-8.826576189810508
0.000215,0.044779332615715824,0.6595121951219513,0.6596715328467153,832,0.9954163354470399,0.9878013573540029,0.9362727878391094,0.9525569932224276,0.9522636279642747,0.09837757050991058,0.0003113718703389168,-8.442812007644834
0.000316,0.03584499461786868,0.7049390243902438,0.7067366180048662,666,0.9956146860241242,0.9885437634288959,0.9360733550733775,0.9481074481074481,0.9521765787860208,0.11534923315048218,0.00041231969953514636,-8.05904782547916
0.000464,0.021905274488697526,0.676219512195122,0.6767031630170316,407,0.9944160691159639,0.9840358335501613,0.9200986557698861,0.942998760842627,0.9400864731315627,0.13225094974040985,0.007641981355845928,-7.6752836433134854
0.000681,0.016684607104413347,0.7410975609756097,0.7397354014598541,310,0.9939883637716546,0.9833426238109807,0.9084323195063413,0.9364881693648817,0.9312693498452012,0.15081968903541565,0.0005405432893894613,-7.291519461147811
0.001,0.009741657696447793,0.720609756097561,0.7188260340632603,181,0.9928159225322191,0.9797702038946368,0.9091744860266938,0.9316923076923077,0.9319790704832256,0.1725994497537613,0.0018007014878094196,-6.907755278982137
0.001468,0.006889128094725512,0.7227439024390243,0.7204227493917275,128,0.9910597384669495,0.9745563902932738,0.8961101320950705,0.9208103130755064,0.9222256378727329,0.1975700557231903,0.002787311328575015,-6.523991096816463
0.002154,0.004843918191603875,0.7571951219512195,0.7592001216545012,90,0.9896096572461367,0.9702650579388621,0.886756041916594,0.9176470588235294,0.9150972522383451,0.22541166841983795,0.003584871534258127,-6.140226914650788
0.003162,0.004090419806243272,0.7698780487804878,0.7715936739659368,76,0.9884020186269108,0.9656796518814531,0.8742675176559119,0.9052890528905289,0.9058461538461539,0.2565818727016449,0.019739754498004913,-5.756462732485113
0.004642,0.0023143164693218516,0.8578048780487805,0.8546228710462287,43,0.9823593782084254,0.9495981731634207,0.8387966859080103,0.8831572405220633,0.8790596968759665,0.2865416407585144,0.0011746925301849842,-5.3726985503194395
0.006813,0.0016684607104413347,0.9046341463414634,0.906021897810219,31,0.9789072395292243,0.9376426372367493,0.8184659614943994,0.8658008658008658,0.8639308855291576,0.3187532424926758,0.0016768088098615408,-4.988934368153766
0.01,0.0011840688912809472,0.9471341463414633,0.9470802919708029,22,0.9602213699176,0.8769800554840693,0.7373492400663285,0.7876106194690266,0.8044591744501356,0.3508225679397583,0.002164275851100683,-4.605170185988091
0.014678,0.000968783638320775,0.9524390243902439,0.9511861313868613,18,0.9528614326172213,0.8541335089309678,0.7065533242724282,0.7676767676767676,0.7813728454792863,0.3859391212463379,0.0007977077621035278,-4.221406003822416
0.021544,0.0008073196986006459,0.9541463414634146,0.9527068126520681,15,0.950170421392688,0.8456888937053239,0.6857090169485087,0.7516301126259632,0.7659317426759287,0.4263038635253906,0.000924925843719393,-3.8376418216567423
0.031623,0.0004305705059203445,0.9276829268292683,0.9278436739659368,8,0.9383435935177863,0.8051478697978425,0.6648812734601549,0.7248283752860412,0.7514827995255041,0.4714142084121704,0.000763358490075916,-3.4538776394910684
0.046416,0.0003767491926803014,0.9046341463414634,0.906021897810219,7,0.9312718427060863,0.7731924063431823,0.643712022969499,0.7086659064994298,0.7359384251036116,0.5200322866439819,0.00014781468780711293,-3.0701134573253928
0.068129,0.00021528525296017224,0.9723780487804878,0.971411192214112,4,0.9199556945040244,0.7501114367181094,0.6179719040896443,0.6961069145845439,0.7162929745889387,0.5684574842453003,0.00011012167669832706,-2.686349275159719
0.1,0.00010764262648008612,0.9723780487804878,0.971411192214112,2,0.8912392705171499,0.661437549866688,0.5441830981048073,0.6374501992031872,0.6625258799171844,0.6079953908920288,0.00047035288298502564,-2.3025850929940455
