,Accuracy,Precision,F1-score,ROC-AUC
ASDC,0.9998516351047512,0.9005128205128206,0.8216719576719578,0.9992883063101073
B_intermediate,0.9878712172011499,0.6589619789259409,0.506678445135457,0.9884339166923798
B_memory,0.9895712236642259,0.7624156874079018,0.7334783177245333,0.9955814523988631
B_naive,0.9952399765531584,0.9478323717346543,0.9502400358369089,0.9993176009832574
CD14_Mono,0.9784624311765706,0.9402889331041642,0.9601155441715298,0.9958291300315834
CD16_Mono,0.9931134286594256,0.9000725135505844,0.9136808611822032,0.9980618618321355
CD4_CTL,0.9923097880245558,0.7580159375021266,0.5570034964688524,0.9900548724117352
CD4_Naive,0.9412354726390382,0.7554317081236807,0.7156207382791637,0.9689350743444486
CD4_Proliferating,0.9995425441844039,0.6943461538461538,0.6296546301122959,0.9976907717919957
CD4_TCM,0.9449136208274066,0.7344912729953854,0.6745788209812119,0.9660506156099882
CD4_TEM,0.9722064322327973,0.4390379642604336,0.08950195824267833,0.9466196938510981
CD8_Naive,0.9781472102318505,0.8598104346000879,0.8275012512267524,0.9890739471254635
CD8_Proliferating,0.9994250879417068,0.48111111111111116,0.30377514273166445,0.9963819569228857
CD8_TEM,0.976484271871956,0.861056165598215,0.8321578085539703,0.9889174392527135
Doublet,0.9963527107834895,0.6955555555555556,0.062267346049665676,0.8930225758338548
Eryth,0.9998145446452573,0.882077922077922,0.8095986562879602,0.9930869941772101
ILC,0.9991839965155643,0.0,0.0,0.9601728847999127
MAIT,0.9918461400837199,0.8033848014112287,0.7476395882791537,0.9952862780192211
NK,0.9832162783577783,0.9114134204348074,0.9220322788531817,0.9971876142870935
NK_CD56bright,0.9971192598123879,0.7961358461576925,0.7354918468366791,0.9978180380698202
NK_Proliferating,0.9985163560155815,0.8306809138386134,0.7629343038462617,0.9963990282261885
Plasmablast,0.9998330894928451,0.9915884194053209,0.9616998469830083,0.9995810760581033
Platelet,0.9970636252696247,0.8756843522878928,0.8992800467375772,0.9786376397231258
cDC1,0.9998887267107225,0.9422222222222223,0.9420779220779221,0.999722382294928
cDC2,0.9966432574294879,0.9001407877071328,0.8900753217662511,0.9981520600827751
dnT,0.9981763554872846,0.9064335664335665,0.30819825358773806,0.9353207233348261
gdT,0.9909806775578366,0.8303058483491819,0.7940034354028994,0.9864062465714492
pDC,0.9998639994829539,0.980570298586738,0.9873228613553211,0.9999673666348275
