names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000019582,99.151726,168.65666,0.0,0.0
ENSG00000223865,95.736206,94.46403,0.0,0.0
ENSG00000231389,95.62411,88.27599,0.0,0.0
ENSG00000196735,95.06473,36.012257,0.0,0.0
ENSG00000204287,94.41344,199.64424,0.0,0.0
ENSG00000204257,93.21155,14.4082365,0.0,0.0
ENSG00000142534,92.7622,69.92335,0.0,0.0
ENSG00000115355,92.558075,11.371033,0.0,0.0
ENSG00000179344,90.70097,43.08322,0.0,0.0
ENSG00000196126,90.58476,87.70945,0.0,0.0
ENSG00000174748,89.338135,54.978302,0.0,0.0
ENSG00000101439,89.29058,129.40315,0.0,0.0
ENSG00000101160,88.99775,11.424935,0.0,0.0
ENSG00000242574,88.92588,10.936855,0.0,0.0
ENSG00000138326,88.79332,89.771065,0.0,0.0
ENSG00000101347,88.71351,16.231104,0.0,0.0
ENSG00000087460,88.52949,13.488333,0.0,0.0
ENSG00000186468,88.17242,80.52613,0.0,0.0
ENSG00000171863,87.592476,45.056957,0.0,0.0
ENSG00000118640,87.53709,8.935767,0.0,0.0
ENSG00000125691,87.27458,41.773006,0.0,0.0
ENSG00000169567,87.0939,11.975181,0.0,0.0
ENSG00000089157,86.23437,30.684742,0.0,0.0
ENSG00000089009,86.15379,47.99894,0.0,0.0
ENSG00000197756,86.09099,57.82914,0.0,0.0
ENSG00000196262,85.99303,12.864938,0.0,0.0
ENSG00000051523,85.8933,24.185476,0.0,0.0
ENSG00000140988,85.8008,91.061874,0.0,0.0
ENSG00000161970,85.63879,61.83299,0.0,0.0
ENSG00000136942,85.638535,35.628918,0.0,0.0
ENSG00000106803,85.592766,9.670747,0.0,0.0
ENSG00000101608,85.57993,15.217265,0.0,0.0
ENSG00000113387,85.55446,9.180076,0.0,0.0
ENSG00000196531,85.50499,35.49396,0.0,0.0
ENSG00000005022,85.40511,9.0192795,0.0,0.0
ENSG00000110700,85.35192,52.249657,0.0,0.0
ENSG00000148303,85.05094,44.6312,0.0,0.0
ENSG00000145425,84.884605,63.367874,0.0,0.0
ENSG00000142937,84.83263,72.945885,0.0,0.0
ENSG00000221983,84.651665,36.907494,0.0,0.0
ENSG00000116288,84.47354,7.5980315,0.0,0.0
