names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000163131,314.78815,66.163246,0.0,0.0
ENSG00000085265,311.63113,35.27291,0.0,0.0
ENSG00000087086,311.54617,190.48822,0.0,0.0
ENSG00000163220,311.30917,245.07483,0.0,0.0
ENSG00000245532,310.5692,83.06361,0.0,0.0
ENSG00000197746,309.91895,24.693428,0.0,0.0
ENSG00000090382,308.95956,203.02281,0.0,0.0
ENSG00000197249,306.7865,12.640234,0.0,0.0
ENSG00000011600,306.66086,32.23887,0.0,0.0
ENSG00000163563,306.6419,21.384441,0.0,0.0
ENSG00000204472,306.32776,30.53438,0.0,0.0
ENSG00000130066,305.8066,43.675095,0.0,0.0
ENSG00000165168,304.92862,13.492794,0.0,0.0
ENSG00000204482,304.4352,21.381403,0.0,0.0
ENSG00000025708,302.82657,14.834321,0.0,0.0
ENSG00000167996,302.798,143.81987,0.0,0.0
ENSG00000163191,302.6854,27.16117,0.0,0.0
ENSG00000197956,302.31158,56.38614,0.0,0.0
ENSG00000127951,302.14313,13.851187,0.0,0.0
ENSG00000197766,302.10672,12.919476,0.0,0.0
ENSG00000101439,300.6064,37.754547,0.0,0.0
ENSG00000120129,300.39127,20.559187,0.0,0.0
ENSG00000163931,300.1074,14.817927,0.0,0.0
ENSG00000143546,299.8815,123.89173,0.0,0.0
ENSG00000164713,299.50375,12.473602,0.0,0.0
ENSG00000100300,298.4879,14.604092,0.0,0.0
ENSG00000084234,297.70038,13.169726,0.0,0.0
ENSG00000122862,295.71713,35.545956,0.0,0.0
ENSG00000103187,295.48767,18.324059,0.0,0.0
ENSG00000116701,293.92044,9.333403,0.0,0.0
ENSG00000030582,293.85727,11.205557,0.0,0.0
ENSG00000196154,292.48407,56.368256,0.0,0.0
ENSG00000121552,292.35883,9.564059,0.0,0.0
ENSG00000172216,292.07217,13.561707,0.0,0.0
ENSG00000172243,291.9864,8.770797,0.0,0.0
ENSG00000197629,291.59915,8.682115,0.0,0.0
ENSG00000066336,290.9061,9.01853,0.0,0.0
ENSG00000105835,290.5702,15.249178,0.0,0.0
ENSG00000185215,290.43356,14.829249,0.0,0.0
ENSG00000182287,290.1715,11.584398,0.0,0.0
ENSG00000038427,289.3693,33.470516,0.0,0.0
ENSG00000129226,288.47748,8.70288,0.0,0.0
ENSG00000104763,288.3081,8.604564,0.0,0.0
ENSG00000158869,287.7891,16.546959,0.0,0.0
ENSG00000221869,283.6597,13.674744,0.0,0.0
ENSG00000170458,283.59576,14.447047,0.0,0.0
ENSG00000170345,282.79617,37.38442,0.0,0.0
ENSG00000172322,282.18463,8.508585,0.0,0.0
ENSG00000028137,281.9391,8.587697,0.0,0.0
ENSG00000104870,280.97397,7.6349587,0.0,0.0
ENSG00000119535,280.40683,9.485483,0.0,0.0
ENSG00000107738,279.95483,7.1011443,0.0,0.0
ENSG00000104904,278.486,21.884686,0.0,0.0
ENSG00000110077,277.87286,9.9079,0.0,0.0
ENSG00000018280,275.9737,8.400327,0.0,0.0
ENSG00000113269,275.04013,6.78175,0.0,0.0
ENSG00000131981,274.94507,8.324633,0.0,0.0
ENSG00000100097,273.5725,16.57961,0.0,0.0
ENSG00000177156,273.28296,7.3679495,0.0,0.0
ENSG00000126759,272.9078,6.94621,0.0,0.0
ENSG00000164111,272.31326,8.073337,0.0,0.0
ENSG00000103490,271.67667,7.112665,0.0,0.0
ENSG00000131042,271.635,8.005941,0.0,0.0
