,names,scores,logfoldchanges,pvals,pvals_adj
0,CD79A,191.63934,12.194237,0.0,0.0
1,MS4A1,187.7213,12.17114,0.0,0.0
2,RALGPS2,180.13501,9.372694,0.0,0.0
3,BANK1,180.01515,11.090203,0.0,0.0
4,CD79B,176.54858,8.542881,0.0,0.0
5,CD74,175.91057,5.3299575,0.0,0.0
6,CD37,175.8695,3.0654197,0.0,0.0
7,HLA-DRA,161.58794,6.4778156,0.0,0.0
8,HLA-DQA1,160.91685,7.4127264,0.0,0.0
9,TNFRSF13C,160.1669,10.01285,0.0,0.0
10,HLA-DPB1,159.54361,5.4434986,0.0,0.0
11,LINC00926,155.23509,10.206191,0.0,0.0
12,IGHM,154.70207,9.893534,0.0,0.0
13,RPS11,151.645,0.935341,0.0,0.0
14,HLA-DQB1,151.42532,6.2180586,0.0,0.0
15,HLA-DPA1,145.22678,5.412188,0.0,0.0
16,MEF2C,143.97542,5.8553505,0.0,0.0
17,HLA-DRB1,139.531,5.624169,0.0,0.0
18,CD22,137.00911,9.69559,0.0,0.0
19,IGHD,135.10995,10.690292,0.0,0.0
20,IGKC,134.40808,7.285703,0.0,0.0
21,VPREB3,133.38171,10.910094,0.0,0.0
22,SWAP70,132.72018,5.9426923,0.0,0.0
23,RPL18A,127.57848,0.90147847,0.0,0.0
24,BCL11A,126.42644,6.0502596,0.0,0.0
25,AFF3,125.86542,7.2874374,0.0,0.0
26,RPL8,125.835686,0.83307284,0.0,0.0
27,HLA-DMB,122.37686,5.0044627,0.0,0.0
28,TSC22D3,120.17654,2.5761986,0.0,0.0
29,CXCR4,118.6833,3.2581294,0.0,0.0
30,RPS23,118.06027,0.79786944,0.0,0.0
31,TCF4,117.10651,5.7881093,0.0,0.0
32,ADAM28,116.89922,6.784609,0.0,0.0
33,PAX5,116.457115,10.127374,0.0,0.0
34,P2RX5,115.37297,7.2608504,0.0,0.0
35,LTB,114.22368,3.8878684,0.0,0.0
36,RPL13A,113.53912,0.79635346,0.0,0.0
37,HLA-DMA,113.08244,4.594634,0.0,0.0
38,BLK,112.805084,8.444148,0.0,0.0
39,HLA-DRB5,112.20366,5.0319757,0.0,0.0
40,BTG1,112.11252,1.2325287,0.0,0.0
41,EZR,109.92707,3.391823,0.0,0.0
42,RPS5,109.08852,1.2247304,0.0,0.0
43,STRBP,106.99038,5.5952826,0.0,0.0
44,MARCH1,105.26634,4.2959266,0.0,0.0
45,TCL1A,103.98858,8.837088,0.0,0.0
46,STX7,103.90379,3.9915092,0.0,0.0
47,FAM129C,103.71892,7.9367995,0.0,0.0
48,COBLL1,103.607315,8.419714,0.0,0.0
49,FAU,102.316826,0.50655997,0.0,0.0
50,PLPP5,101.88929,5.494503,0.0,0.0
51,FCRL1,101.84107,9.687877,0.0,0.0
52,BIRC3,101.71748,3.9705236,0.0,0.0
53,IRF8,100.81799,4.334841,0.0,0.0
54,CD52,98.956055,1.3174783,0.0,0.0
55,PDLIM1,98.22926,5.6409945,0.0,0.0
56,HLA-DOB,98.20123,7.934572,0.0,0.0
57,HVCN1,97.478775,4.264123,0.0,0.0
58,GNG7,97.40717,6.1876287,0.0,0.0
