,names,scores,logfoldchanges,pvals,pvals_adj
0,CTSS,318.00012,6.774851,0.0,0.0
1,FTL,314.61795,2.9706743,0.0,0.0
2,PSAP,313.8996,7.078225,0.0,0.0
3,FCN1,313.55637,10.100211,0.0,0.0
4,NEAT1,312.89227,4.4581003,0.0,0.0
5,LYZ,312.32443,8.054691,0.0,0.0
6,AIF1,310.71683,8.022471,0.0,0.0
7,MNDA,308.3341,9.728494,0.0,0.0
8,S100A9,308.19696,7.753193,0.0,0.0
9,LST1,307.6228,8.178963,0.0,0.0
10,SERPINA1,307.3855,10.069534,0.0,0.0
11,S100A6,306.55258,3.0262554,0.0,0.0
12,TYROBP,305.75677,7.720019,0.0,0.0
13,CYBB,305.72678,8.89305,0.0,0.0
14,S100A11,304.71494,5.3912396,0.0,0.0
15,TYMP,304.50922,8.1803665,0.0,0.0
16,TKT,304.00455,6.438023,0.0,0.0
17,FGL2,304.00412,8.974887,0.0,0.0
18,FTH1,302.9038,2.7721229,0.0,0.0
19,SAT1,302.3808,5.964895,0.0,0.0
20,CFD,301.4719,9.322865,0.0,0.0
21,BRI3,301.04663,6.3133926,0.0,0.0
22,CST3,300.3867,9.163955,0.0,0.0
23,COTL1,298.1849,5.942002,0.0,0.0
24,GRN,296.1551,8.272916,0.0,0.0
25,NCF2,295.32388,9.066833,0.0,0.0
26,TSPO,295.32153,5.014636,0.0,0.0
27,APLP2,294.5221,7.1750135,0.0,0.0
28,S100A8,293.5614,8.410488,0.0,0.0
29,CSTA,293.01758,9.30831,0.0,0.0
30,SPI1,292.85376,8.589108,0.0,0.0
31,DUSP1,292.65695,6.313013,0.0,0.0
32,MPEG1,291.91534,8.853403,0.0,0.0
33,CLEC7A,291.8943,9.143243,0.0,0.0
34,TNFAIP2,290.31662,9.058481,0.0,0.0
35,VCAN,288.4393,9.576798,0.0,0.0
36,AP1S2,287.53644,6.988147,0.0,0.0
37,NAMPT,287.32413,8.106435,0.0,0.0
38,CD68,286.41672,8.800019,0.0,0.0
39,CEBPB,284.0711,6.253231,0.0,0.0
40,SRGN,283.53357,4.4854345,0.0,0.0
41,CD14,282.97702,9.679686,0.0,0.0
42,CLEC12A,281.74326,8.992386,0.0,0.0
43,CEBPD,280.29782,8.015565,0.0,0.0
44,CSF3R,279.71893,8.967301,0.0,0.0
45,FCGRT,278.2643,7.278799,0.0,0.0
46,MS4A6A,277.9286,9.119116,0.0,0.0
