,names,scores,logfoldchanges,pvals,pvals_adj
0,CAVIN2,77.244514,11.61738,0.0,0.0
1,H3F3A,76.39586,1.9649365,0.0,0.0
2,GNG11,75.88458,11.26637,0.0,0.0
3,PF4,74.01013,11.261691,0.0,0.0
4,PPBP,73.84505,11.410953,0.0,0.0
5,NRGN,73.366295,8.677813,0.0,0.0
6,TUBB1,72.23193,11.412862,0.0,0.0
7,HIST1H2AC,71.0634,7.9954557,0.0,0.0
8,CLU,70.76305,10.159688,0.0,0.0
9,PRKAR2B,69.62456,9.669924,0.0,0.0
10,OAZ1,69.55311,2.4667645,0.0,0.0
11,TAGLN2,69.10117,3.924007,0.0,0.0
12,RGS18,67.92992,7.297206,0.0,0.0
13,GNAS,67.28785,2.3806617,0.0,0.0
14,SPARC,67.12251,10.454697,0.0,0.0
15,LIMS1,66.41946,5.481904,0.0,0.0
16,MTURN,65.81909,7.7740693,0.0,0.0
17,TSC22D1,65.14934,7.8943577,0.0,0.0
18,FTH1,64.79261,2.0151808,0.0,0.0
19,NAP1L1,64.7521,2.0322719,0.0,0.0
20,PGRMC1,63.61327,7.0093155,0.0,0.0
21,GP9,63.245018,11.469837,0.0,0.0
22,TLN1,62.85577,3.464565,0.0,0.0
23,F13A1,62.824833,6.9808836,0.0,0.0
24,OST4,61.90031,2.5167685,0.0,0.0
25,TREML1,60.21553,10.908797,0.0,0.0
26,MAP3K7CL,60.177933,7.8910103,0.0,0.0
27,SH3BGRL3,59.875256,1.8117281,0.0,0.0
28,MTPN,59.85597,2.9514515,0.0,0.0
29,RUFY1,59.77646,5.922644,0.0,0.0
30,VCL,59.43096,5.318902,0.0,0.0
31,MT-ND2,59.358788,1.0989165,0.0,0.0
32,ACRBP,58.50981,8.943744,0.0,0.0
33,MMD,58.341274,7.2109027,0.0,0.0
34,BEX3,58.07427,6.6139135,0.0,0.0
35,TPM4,57.555943,4.4154677,0.0,0.0
36,CALM3,56.89797,3.6382833,0.0,0.0
37,ITGA2B,56.73484,10.533892,0.0,0.0
38,NCOA4,56.71547,4.438483,0.0,0.0
