,names,scores,logfoldchanges,pvals,pvals_adj
0,MS4A1,90.69461,10.19688,0.0,0.0
1,BANK1,90.540726,9.63733,0.0,0.0
2,CD79A,88.09032,9.565574,0.0,0.0
3,RALGPS2,85.19865,8.183031,0.0,0.0
4,TNFRSF13C,81.01352,8.323458,0.0,0.0
5,CD74,80.85187,4.883883,0.0,0.0
6,CD37,80.51013,2.6542115,0.0,0.0
7,HLA-DQA1,79.03458,7.056907,0.0,0.0
8,CD79B,78.351715,7.0942874,0.0,0.0
9,HLA-DPB1,78.02457,5.242046,0.0,0.0
10,HLA-DRA,77.17377,6.155593,0.0,0.0
11,RPS11,74.68836,0.9111875,0.0,0.0
12,BLK,73.74394,8.07349,0.0,0.0
13,LINC00926,72.2725,7.523671,0.0,0.0
14,HLA-DQB1,69.71289,5.739492,0.0,0.0
15,LTB,69.58023,4.3692946,0.0,0.0
16,HLA-DPA1,69.007126,5.098247,0.0,0.0
17,AIM2,67.77741,7.5900784,0.0,0.0
18,RPL13A,67.14532,0.9096268,0.0,0.0
19,SWAP70,64.82698,5.5055876,0.0,0.0
20,HLA-DRB1,64.16015,5.211822,0.0,0.0
21,EZR,62.710186,3.8247685,0.0,0.0
22,RPL8,62.319477,0.81708205,0.0,0.0
23,VPREB3,61.58493,7.090419,0.0,0.0
24,MEF2C,61.274025,4.941642,0.0,0.0
25,RPS23,59.696365,0.8123266,0.0,0.0
26,IGKC,59.570683,6.3016343,0.0,0.0
27,RPL41,58.927235,0.61412096,0.0,0.0
28,GNG7,58.627075,6.17317,0.0,0.0
29,TNFRSF13B,58.458015,8.0967865,0.0,0.0
30,IGHA1,58.131355,6.2083015,0.0,0.0
31,RPL27A,57.851307,0.76134205,0.0,0.0
32,TCF4,57.776173,5.3339972,0.0,0.0
33,LINC01781,57.617126,8.890717,0.0,0.0
34,COBLL1,57.264286,6.7150164,0.0,0.0
35,ADAM28,56.69978,5.7864113,0.0,0.0
36,P2RX5,56.391155,6.041152,0.0,0.0
37,RPLP1,56.091305,0.61701345,0.0,0.0
38,POU2AF1,55.890022,6.9614453,0.0,0.0
39,HLA-DMB,55.698288,4.5648,0.0,0.0
40,RPS20,55.34811,0.8708185,0.0,0.0
41,RPLP2,54.952858,0.7312847,0.0,0.0
42,JCHAIN,54.890133,6.0319104,0.0,0.0
43,TSC22D3,54.0148,2.394998,0.0,0.0
44,SEL1L3,53.91843,5.2759566,0.0,0.0
45,SPIB,53.834778,6.2889137,0.0,0.0
46,PDLIM1,53.74968,5.467138,0.0,0.0
47,RPS2,53.664814,0.65918946,0.0,0.0
48,IGHG1,53.582478,7.22887,0.0,0.0
49,BCL11A,53.14265,4.793643,0.0,0.0
50,CD22,53.074894,5.889852,0.0,0.0
51,RPS18,52.650944,0.79049927,0.0,0.0
52,CXXC5,51.903282,4.399257,0.0,0.0
53,RPS8,51.610554,0.78553754,0.0,0.0
54,RPL23A,51.5739,0.77123064,0.0,0.0
55,ARID5B,51.521965,4.2797413,0.0,0.0
56,CD82,51.275257,4.6729846,0.0,0.0
57,HLA-DMA,51.11301,4.2040186,0.0,0.0
58,EEF1B2,50.91344,1.1834806,0.0,0.0
59,HLA-DRB5,50.669167,4.669552,0.0,0.0
60,SP140,50.612278,4.3427854,0.0,0.0
61,RPL39,50.567467,0.6250342,0.0,0.0
62,IGHG3,50.17764,7.0745897,0.0,0.0
63,CPNE5,50.009148,6.521826,0.0,0.0
64,CD40,49.67271,5.0828123,0.0,0.0
65,RPS21,49.39977,0.7643846,0.0,0.0
66,RPS27,48.75783,0.80366117,0.0,0.0
67,RPL18A,48.746468,0.69666374,0.0,0.0
68,OSBPL10,48.68788,5.994002,0.0,0.0
69,CCDC50,47.94992,4.2581186,0.0,0.0
70,FAU,47.821,0.4821706,0.0,0.0
71,RPS5,47.452217,1.1003294,0.0,0.0
72,MARCH1,47.049347,3.8809402,0.0,0.0
73,CD24,46.764282,6.3818226,0.0,0.0
74,CD52,46.693027,1.2703104,0.0,0.0
75,EEF1A1,46.675175,0.50146204,0.0,0.0
76,PRKCB,46.40531,2.7821155,0.0,0.0
77,PAX5,46.344166,5.6214976,0.0,0.0
