,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHM,146.08179,11.78197,0.0,0.0
1,IGHD,144.33008,12.412982,0.0,0.0
2,CD79A,142.19029,10.784219,0.0,0.0
3,CD37,140.96895,3.3052127,0.0,0.0
4,MS4A1,140.47885,10.831442,0.0,0.0
5,CD74,136.05255,5.3172626,0.0,0.0
6,TCL1A,135.31883,12.222044,0.0,0.0
7,CD79B,133.86528,8.337466,0.0,0.0
8,RALGPS2,130.78839,8.587371,0.0,0.0
9,BANK1,129.84036,9.438895,0.0,0.0
10,HLA-DRA,124.52308,6.458109,0.0,0.0
11,CXCR4,123.05108,4.267909,0.0,0.0
12,BTG1,122.844635,1.7647511,0.0,0.0
13,LINC00926,121.11815,9.054376,0.0,0.0
14,HLA-DPB1,120.97127,5.3647757,0.0,0.0
15,HLA-DQA1,118.79918,7.086345,0.0,0.0
16,MEF2C,118.165886,6.178525,0.0,0.0
17,RPS11,117.51333,0.95567286,0.0,0.0
18,HLA-DQB1,117.275116,6.2202544,0.0,0.0
19,TNFRSF13C,116.13646,8.472465,0.0,0.0
20,RPL18A,113.512535,1.0477189,0.0,0.0
21,CD22,111.957184,8.715312,0.0,0.0
22,HLA-DPA1,110.370514,5.334221,0.0,0.0
23,HLA-DRB1,108.81934,5.6187572,0.0,0.0
24,VPREB3,107.973694,8.8616905,0.0,0.0
25,PLPP5,104.94576,6.918054,0.0,0.0
26,AFF3,104.86516,7.381086,0.0,0.0
27,IGKC,104.29967,7.232387,0.0,0.0
28,HLA-DMB,99.316605,5.2020087,0.0,0.0
29,BCL11A,99.242645,6.0667725,0.0,0.0
30,TSC22D3,99.21791,2.7347074,0.0,0.0
31,RPL8,98.15396,0.8569605,0.0,0.0
32,FCER2,97.92105,8.813099,0.0,0.0
33,TXNIP,96.367836,1.3416218,0.0,0.0
34,SWAP70,95.594475,5.518405,0.0,0.0
35,RPS23,93.29718,0.82909983,0.0,0.0
36,FCRL1,92.79112,8.39864,0.0,0.0
37,PAX5,92.60997,7.923934,0.0,0.0
38,IL4R,91.30882,5.3717656,0.0,0.0
39,STX7,90.41982,4.433133,0.0,0.0
40,HVCN1,89.83351,4.9939356,0.0,0.0
41,BIRC3,89.65996,4.468429,0.0,0.0
42,RPS5,89.29662,1.2938085,0.0,0.0
43,HLA-DMA,88.24873,4.5771155,0.0,0.0
44,FAM129C,87.43769,7.354594,0.0,0.0
45,HLA-DRB5,86.745514,4.9673924,0.0,0.0
46,ADAM28,86.3882,6.2249117,0.0,0.0
47,FAU,85.122635,0.5598357,0.0,0.0
48,RPL15,84.897514,0.63393784,0.0,0.0
49,STRBP,84.847885,5.6028895,0.0,0.0
50,MARCH1,83.642746,4.3704753,0.0,0.0
51,BCL7A,82.77621,6.626651,0.0,0.0
52,RPL13A,82.29469,0.77096987,0.0,0.0
