,names,scores,logfoldchanges,pvals,pvals_adj
0,LST1,133.12682,7.4719515,0.0,0.0
1,AIF1,130.64154,6.9367695,0.0,0.0
2,FCGR3A,128.53087,9.124152,0.0,0.0
3,MS4A7,127.63864,8.233611,0.0,0.0
4,COTL1,127.59018,5.2798533,0.0,0.0
5,FCER1G,126.76374,6.6707506,0.0,0.0
6,TCF7L2,121.658295,8.124555,0.0,0.0
7,CFD,120.95065,7.4005656,0.0,0.0
8,IFITM3,119.55161,7.361804,0.0,0.0
9,FTL,119.06081,2.6599565,0.0,0.0
10,SMIM25,118.38415,7.74967,0.0,0.0
11,CDKN1C,117.98926,10.46105,0.0,0.0
12,LRRC25,117.83774,7.021859,0.0,0.0
13,LYN,116.70222,5.9454026,0.0,0.0
14,SERPINA1,116.529655,7.1372166,0.0,0.0
15,S100A11,116.38198,4.4873013,0.0,0.0
16,CSF1R,115.95889,7.094512,0.0,0.0
17,PSAP,112.156204,5.4475102,0.0,0.0
18,SAT1,112.0787,5.004507,0.0,0.0
19,PILRA,111.88988,6.552794,0.0,0.0
20,NAP1L1,111.62678,2.4612234,0.0,0.0
21,BID,111.480644,5.810708,0.0,0.0
22,LILRB2,111.42078,6.649653,0.0,0.0
23,FTH1,110.68648,2.4909203,0.0,0.0
24,TNFRSF1B,110.08962,5.3529735,0.0,0.0
25,SPI1,109.6328,6.368105,0.0,0.0
26,ARPC3,109.59556,1.9132359,0.0,0.0
27,NPC2,109.576385,5.2681184,0.0,0.0
28,HES4,109.24194,8.834725,0.0,0.0
29,CEBPB,108.95205,5.2091374,0.0,0.0
30,HLA-DPA1,108.55336,5.660697,0.0,0.0
31,HMOX1,108.5444,6.807106,0.0,0.0
32,PECAM1,108.47631,6.0660305,0.0,0.0
33,CST3,108.11661,6.907813,0.0,0.0
34,OAZ1,107.71701,1.773963,0.0,0.0
35,WARS,106.63044,6.1699853,0.0,0.0
36,TIMP1,106.36647,5.359573,0.0,0.0
37,CD68,106.181465,6.3249474,0.0,0.0
38,VASP,105.296715,4.6773834,0.0,0.0
39,ASAH1,104.38948,5.251695,0.0,0.0
40,YBX1,104.30635,1.6257604,0.0,0.0
41,DRAP1,103.690605,3.8128245,0.0,0.0
42,MTSS1,103.41888,6.261868,0.0,0.0
43,RHOC,102.871635,6.433202,0.0,0.0
44,TYROBP,102.51402,5.6872296,0.0,0.0
45,SIGLEC10,102.47564,6.875297,0.0,0.0
46,RNASET2,101.59342,3.74687,0.0,0.0
47,RRAS,101.57467,6.26418,0.0,0.0
48,IFITM2,101.43518,2.9298735,0.0,0.0
49,LMO2,101.1042,5.9486895,0.0,0.0
50,STXBP2,100.69166,5.4968123,0.0,0.0
51,CALM2,100.51143,2.4756644,0.0,0.0
52,IER5,100.300674,5.446056,0.0,0.0
53,PTPN6,99.811485,4.584082,0.0,0.0
54,HSBP1,99.27664,5.166362,0.0,0.0
55,POU2F2,98.989815,4.930308,0.0,0.0
56,BRI3,98.73677,4.711605,0.0,0.0
57,PRELID1,98.42416,3.5461938,0.0,0.0
58,CTSC,98.39688,4.6317687,0.0,0.0
59,PTP4A2,98.36684,2.5510838,0.0,0.0
60,PYCARD,98.1846,4.718331,0.0,0.0
61,S100A4,97.72592,2.421813,0.0,0.0
62,HCK,97.1235,5.7652473,0.0,0.0
63,ANXA5,96.98431,4.793008,0.0,0.0
64,NAAA,96.51802,5.30107,0.0,0.0
65,TYMP,96.0142,5.8032627,0.0,0.0
66,ARPC2,95.498314,1.6940993,0.0,0.0
67,CPPED1,94.52917,5.5921383,0.0,0.0
68,ABI3,94.4861,5.726519,0.0,0.0
69,LILRB1,94.33565,5.5789824,0.0,0.0
70,CASP1,94.18191,4.8504896,0.0,0.0
71,ACTB,93.91765,1.2691197,0.0,0.0
72,CTSS,93.713684,4.838574,0.0,0.0
73,LYST,93.65353,4.8019743,0.0,0.0
74,CTSL,93.62767,7.1571817,0.0,0.0
75,IFI30,93.47875,6.0049176,0.0,0.0
76,MTPN,93.43942,3.1618342,0.0,0.0
77,FKBP1A,92.877205,4.0841336,0.0,0.0
78,MYL6,92.66587,1.3543999,0.0,0.0
79,LILRA5,92.60062,5.681596,0.0,0.0
80,MARCKS,92.55502,5.972665,0.0,0.0
81,CAMK1,91.40818,5.8970685,0.0,0.0
82,SLC7A7,91.35299,5.482728,0.0,0.0
83,TMSB4X,91.12784,0.6849398,0.0,0.0
84,GNAI2,91.08334,2.6836333,0.0,0.0
85,CALHM6,90.69577,5.7577114,0.0,0.0
86,OAS1,90.682495,5.5045867,0.0,0.0
87,MBD2,90.65828,4.140547,0.0,0.0
88,CSTB,90.58499,3.5752196,0.0,0.0
89,MAPKAPK3,89.89397,5.149525,0.0,0.0
90,ATG3,89.88163,4.697743,0.0,0.0
91,VSIR,89.45295,4.517108,0.0,0.0
92,CARD16,89.41507,4.135817,0.0,0.0
93,C5AR1,89.380226,5.7403665,0.0,0.0
94,C19orf38,89.278114,5.316445,0.0,0.0
95,FGL2,89.00698,5.9412513,0.0,0.0
96,RNH1,88.69489,4.271456,0.0,0.0
97,CFP,88.432365,5.445927,0.0,0.0
98,MAFB,88.361725,5.742189,0.0,0.0
99,IGSF6,88.148026,5.5920186,0.0,0.0
100,S100A6,87.95699,2.0798411,0.0,0.0
101,MS4A4A,87.79159,7.120755,0.0,0.0
102,SCIMP,87.473526,5.239434,0.0,0.0
103,CTSZ,87.341286,4.9747386,0.0,0.0
104,ARPC5,87.195404,2.4038613,0.0,0.0
105,TNFSF10,87.01538,4.913133,0.0,0.0
106,EMP3,86.929474,1.9325273,0.0,0.0
107,CLEC12A,86.451065,5.5093346,0.0,0.0
108,BCL2A1,86.26883,5.3942285,0.0,0.0
109,LGALS9,86.05004,4.8608375,0.0,0.0
110,H3F3A,85.543564,1.0023971,0.0,0.0
111,GPBAR1,84.93595,5.620201,0.0,0.0
112,LY6E,84.81427,3.4871159,0.0,0.0
113,CMTM6,84.70571,4.130962,0.0,0.0
114,GNG5,84.471146,3.1883986,0.0,0.0
115,SNX18,84.45161,5.091918,0.0,0.0
116,HLA-DRB1,84.311966,5.132918,0.0,0.0
117,ANXA2,84.22904,4.244935,0.0,0.0
118,SPN,84.20865,4.361149,0.0,0.0
119,TBXAS1,84.10978,5.0082574,0.0,0.0
120,RGS19,83.860985,4.2955832,0.0,0.0
121,ADGRE2,83.62628,5.2965016,0.0,0.0
122,ARPC1B,83.612144,2.5047185,0.0,0.0
123,SECTM1,83.48118,5.2409134,0.0,0.0
124,CLEC7A,83.18086,5.4366508,0.0,0.0
125,JPT1,82.949295,4.3273535,0.0,0.0
126,CYBB,82.94051,5.6480374,0.0,0.0
127,LGALS1,82.81864,4.4459343,0.0,0.0
128,MYD88,82.71513,4.686419,0.0,0.0
129,CXCL16,82.54893,5.4138417,0.0,0.0
130,RHOA,82.48515,2.43489,0.0,0.0
131,NFKBIZ,82.098015,4.6622505,0.0,0.0
132,FGR,82.09451,4.7395887,0.0,0.0
133,C1orf162,82.033134,4.1169605,0.0,0.0
134,RHOG,81.97949,3.9844382,0.0,0.0
135,HLA-DPB1,81.80049,4.3498025,0.0,0.0
136,TUBA1B,81.50705,3.8019018,0.0,0.0
137,LILRA1,81.349236,5.25938,0.0,0.0
138,ZFAND5,81.17323,4.380317,0.0,0.0
139,SLC2A6,81.16512,5.1245155,0.0,0.0
140,NCF2,80.958725,5.4148827,0.0,0.0
141,HLA-DRB5,80.76538,4.969084,0.0,0.0
142,RAB10,80.29142,4.3708067,0.0,0.0
143,LGALS3,79.21596,4.883156,0.0,0.0
144,PIK3AP1,79.19667,4.660248,0.0,0.0
145,RXRA,78.97956,4.766371,0.0,0.0
146,TKT,78.914375,4.2765765,0.0,0.0
147,HLA-DRA,78.712,5.335404,0.0,0.0
148,SYNGR2,78.47391,4.3139334,0.0,0.0
149,TPM3,78.400246,1.6932396,0.0,0.0
150,NEAT1,78.358444,2.7550879,0.0,0.0
151,TCIRG1,78.25152,4.432008,0.0,0.0
152,UNC119,78.06888,4.7441907,0.0,0.0
153,ITGAX,77.736534,4.660789,0.0,0.0
154,C3AR1,77.65199,5.34669,0.0,0.0
155,PGK1,77.54272,3.226531,0.0,0.0
156,CYBA,77.390785,1.5510651,0.0,0.0
157,CUX1,77.25161,4.297429,0.0,0.0
158,CD300E,76.97138,4.863399,0.0,0.0
159,STX11,76.84632,4.7154493,0.0,0.0
160,ZEB2,76.734764,4.467977,0.0,0.0
161,LFNG,76.688545,4.5430856,0.0,0.0
162,ARRB2,76.64576,3.8466246,0.0,0.0
163,FAM110A,76.44189,5.1672835,0.0,0.0
164,PFN1,76.217545,1.1224735,0.0,0.0
165,FGD2,76.08639,4.658337,0.0,0.0
166,GRK3,75.76879,4.5319157,0.0,0.0
167,BLVRA,75.69996,4.4926353,0.0,0.0
168,PSME2,75.664116,2.9739866,0.0,0.0
169,MSN,75.57495,2.299365,0.0,0.0
170,TESC,75.54793,4.7410817,0.0,0.0
171,SLC8A1,75.4053,4.711027,0.0,0.0
172,RBX1,75.324326,3.1605377,0.0,0.0
173,CHCHD10,75.177925,3.711033,0.0,0.0
174,UNC93B1,75.13405,4.4759264,0.0,0.0
175,KDM1B,74.97176,4.7285256,0.0,0.0
176,MIDN,74.83841,4.157542,0.0,0.0
177,CAPZA2,74.69884,3.858084,0.0,0.0
178,SH3BGRL,74.649216,2.8414097,0.0,0.0
179,ZBTB7A,74.433075,3.660902,0.0,0.0
180,PSMA4,74.35155,3.5910401,0.0,0.0
181,MYOF,74.30739,5.3747277,0.0,0.0
182,CX3CR1,74.28518,4.6729817,0.0,0.0
183,WSB1,74.07289,3.7151399,0.0,0.0
184,CFL1,73.9954,1.0748894,0.0,0.0
185,SH3BP2,73.94311,4.316026,0.0,0.0
186,LILRA2,73.78141,4.5521374,0.0,0.0
187,DUSP1,73.750786,4.061824,0.0,0.0
188,CORO1A,73.69537,1.5762187,0.0,0.0
189,CD300A,73.613716,4.419376,0.0,0.0
190,SEC14L1,73.46003,4.1614842,0.0,0.0
191,ATP1B3,73.45475,4.060134,0.0,0.0
192,ADGRE5,73.45388,3.767138,0.0,0.0
193,SLC11A1,73.24368,4.7722445,0.0,0.0
194,COX5B,73.17292,2.1357527,0.0,0.0
195,RAB8A,73.14328,3.7154405,0.0,0.0
196,PTPRC,73.1415,0.9096573,0.0,0.0
197,BLOC1S1,73.13726,3.1985695,0.0,0.0
198,GDI2,73.12014,3.4524,0.0,0.0
199,LYL1,72.96302,4.4410133,0.0,0.0
200,NINJ1,72.82103,4.4189672,0.0,0.0
201,APOBEC3A,72.60661,4.9056497,0.0,0.0
202,BTK,72.452065,4.3816285,0.0,0.0
203,NAMPT,72.31122,4.8039284,0.0,0.0
204,CD300LF,72.29173,4.7095394,0.0,0.0
205,PAK1,72.27973,4.3615484,0.0,0.0
206,COX7B,71.993195,2.6861632,0.0,0.0
207,CSK,71.965126,3.5806384,0.0,0.0
208,EVI2B,71.93586,2.8943145,0.0,0.0
209,CAP1,71.500465,2.6623101,0.0,0.0
210,FAM49A,71.49404,4.3557444,0.0,0.0
211,FCGRT,71.459145,4.5307803,0.0,0.0
212,FCN1,71.30711,5.693929,0.0,0.0
213,SEC11A,71.18294,3.2040548,0.0,0.0
214,NR4A1,71.153076,4.59749,0.0,0.0
215,GMFG,71.10511,1.5145361,0.0,0.0
216,BATF3,70.9994,5.5625353,0.0,0.0
217,RNF149,70.9288,3.9200652,0.0,0.0
218,SIDT2,70.53736,4.7711287,0.0,0.0
219,RNF13,70.40187,3.9424717,0.0,0.0
220,MYO1G,70.21235,3.6083167,0.0,0.0
221,ATP5F1B,70.18421,3.2734373,0.0,0.0
222,GNB2,70.15017,3.5407403,0.0,0.0
223,MIS18BP1,69.98777,3.7112675,0.0,0.0
224,ATP6V0B,69.96069,3.6527417,0.0,0.0
225,PTGES3,69.91992,2.3771355,0.0,0.0
226,PLXNB2,69.907196,4.3394427,0.0,0.0
227,CD86,69.82842,4.354802,0.0,0.0
228,RABGAP1L,69.82171,3.9533744,0.0,0.0
229,SLC25A6,69.77185,1.465465,0.0,0.0
230,CD79B,69.74228,4.594268,0.0,0.0
231,VPS35,69.68792,3.7339694,0.0,0.0
232,RAP1B,69.56037,2.0822356,0.0,0.0
233,THEMIS2,69.34571,4.0836053,0.0,0.0
234,TUBA1A,69.26593,3.5958095,0.0,0.0
235,PGLS,69.2189,3.4658537,0.0,0.0
236,CD74,69.066864,3.7256322,0.0,0.0
237,IFNGR2,69.0358,4.1818585,0.0,0.0
238,HOTAIRM1,69.01002,4.1563067,0.0,0.0
239,TPI1,68.74045,3.0055852,0.0,0.0
240,RARA,68.631615,4.205654,0.0,0.0
241,EHBP1L1,68.590996,3.9479787,0.0,0.0
242,SNX2,68.29597,3.7836432,0.0,0.0
243,PLAGL2,68.235176,4.5747848,0.0,0.0
244,CAPNS1,68.23383,3.341227,0.0,0.0
245,CDH23,68.11502,5.381519,0.0,0.0
246,CKB,68.09632,7.523036,0.0,0.0
247,PLXNC1,68.02295,4.1640663,0.0,0.0
248,ZNF706,67.99921,3.1923862,0.0,0.0
249,IRAK3,67.96384,4.334892,0.0,0.0
250,C15orf39,67.90334,4.244591,0.0,0.0
251,COX8A,67.77401,2.3621385,0.0,0.0
252,ADA,67.73097,4.714541,0.0,0.0
253,RGS18,67.70595,4.221813,0.0,0.0
254,RELT,67.67778,4.2198124,0.0,0.0
255,CPVL,67.640465,4.6887527,0.0,0.0
256,C9orf72,67.55822,4.0509477,0.0,0.0
257,ITM2B,67.54032,1.0413145,0.0,0.0
258,RHOB,67.53818,4.3813653,0.0,0.0
259,P2RY13,67.1871,4.407115,0.0,0.0
260,LRRFIP1,67.047966,2.3212266,0.0,0.0
261,AP2A1,67.04423,4.0645156,0.0,0.0
262,TNFAIP2,66.76423,4.630257,0.0,0.0
263,LILRB3,66.65319,4.233238,0.0,0.0
264,ACTR3,66.63266,2.420076,0.0,0.0
265,AP2S1,66.426994,3.3444846,0.0,0.0
266,MOB1A,66.30647,3.0725093,0.0,0.0
267,SLC31A2,66.234856,4.3404884,0.0,0.0
268,CDC42,65.97343,1.3537669,0.0,0.0
269,PKN1,65.7513,3.6042888,0.0,0.0
270,TNFSF13B,65.731804,4.3037934,0.0,0.0
271,UBC,65.53761,0.9536813,0.0,0.0
272,DOCK5,65.52241,4.211561,0.0,0.0
273,ARRB1,65.309044,4.295089,0.0,0.0
274,VPS29,65.27662,3.4568522,0.0,0.0
275,TIMP2,65.05633,4.132324,0.0,0.0
276,NAGK,65.028564,3.8530805,0.0,0.0
277,WASF2,64.97247,2.655328,0.0,0.0
278,SNX10,64.948364,3.8611398,0.0,0.0
279,PRAM1,64.89508,4.0518627,0.0,0.0
280,OAZ2,64.87402,3.8682005,0.0,0.0
281,COX6B1,64.50031,1.673127,0.0,0.0
282,PLEKHO1,64.45852,3.6611912,0.0,0.0
283,MT2A,64.37192,3.4234471,0.0,0.0
284,SLC16A3,64.36903,3.9879591,0.0,0.0
285,FCGR2A,64.33307,4.073723,0.0,0.0
286,NUDT16,64.242134,4.0144796,0.0,0.0
287,LY96,64.04827,3.8999858,0.0,0.0
288,INSIG1,63.99654,4.2457275,0.0,0.0
289,VAMP5,63.97844,3.5908728,0.0,0.0
290,LAPTM4A,63.8581,3.5732071,0.0,0.0
291,DUSP6,63.819138,4.1957817,0.0,0.0
292,GCH1,63.81204,4.0372033,0.0,0.0
293,TMBIM4,63.747124,2.9247198,0.0,0.0
294,LPCAT2,63.746334,4.2228513,0.0,0.0
295,ITGAL,63.706264,3.4734428,0.0,0.0
296,LCP1,63.63335,1.9479336,0.0,0.0
297,EPB41L3,63.587864,4.15379,0.0,0.0
298,SKAP2,63.57829,3.8259192,0.0,0.0
299,MYL12B,63.46665,1.3784562,0.0,0.0
300,PRKACA,63.39012,3.8021414,0.0,0.0
301,C20orf27,63.08276,3.826725,0.0,0.0
302,ZNF703,62.793995,5.380332,0.0,0.0
303,SMCO4,62.734173,3.9891107,0.0,0.0
304,TTYH3,62.68659,4.148869,0.0,0.0
305,HLA-DQA1,62.565987,4.2112374,0.0,0.0
306,CEBPA,62.556168,4.20494,0.0,0.0
307,CAPZA1,62.456383,2.9213908,0.0,0.0
308,ACAA1,62.36746,3.5837796,0.0,0.0
309,ACTR2,62.33664,2.1482904,0.0,0.0
310,FBP1,62.22773,4.0448766,0.0,0.0
311,PLEK,62.10085,3.7538962,0.0,0.0
312,RNF144B,62.08963,4.0732746,0.0,0.0
313,MARCKSL1,61.939346,3.8017766,0.0,0.0
314,MNDA,61.886925,5.0033565,0.0,0.0
315,GNS,61.6962,3.8013217,0.0,0.0
316,RNF130,61.62597,4.1605124,0.0,0.0
317,RAC1,61.483402,2.904997,0.0,0.0
318,METRNL,61.38706,3.7530954,0.0,0.0
319,SLC25A5,61.275734,2.694642,0.0,0.0
320,HRH2,61.26179,3.8739977,0.0,0.0
321,PTP4A3,61.23565,5.2842617,0.0,0.0
322,ISG15,61.080975,3.4235234,0.0,0.0
323,RAB32,61.043644,3.861893,0.0,0.0
324,CNIH4,61.030575,3.755407,0.0,0.0
325,TRIM8,60.952145,3.56759,0.0,0.0
326,UBE2R2,60.95004,3.4485872,0.0,0.0
327,PSMB9,60.838444,2.5339417,0.0,0.0
328,RALB,60.559887,3.7829366,0.0,0.0
329,ZNF106,60.543396,3.3987155,0.0,0.0
330,SUPT4H1,60.51039,3.3560364,0.0,0.0
331,VMP1,60.46002,3.7119577,0.0,0.0
332,CLIC1,60.298023,2.2363744,0.0,0.0
333,DOCK2,60.213524,3.1522634,0.0,0.0
334,TMPO,60.197887,2.9940262,0.0,0.0
335,TSPAN14,60.022636,3.4107995,0.0,0.0
336,PAG1,59.945038,3.5519516,0.0,0.0
337,H2AFY,59.882618,3.3843815,0.0,0.0
338,SH2B3,59.876038,3.738053,0.0,0.0
339,H2AFZ,59.867027,2.6158397,0.0,0.0
340,RPS19,59.806633,0.6416781,0.0,0.0
341,ARAP1,59.71536,3.6892562,0.0,0.0
342,IFIT3,59.538734,4.6926193,0.0,0.0
343,MPEG1,59.48617,4.2882423,0.0,0.0
344,HCLS1,59.45983,2.4785867,0.0,0.0
345,CSTA,59.291897,4.3803916,0.0,0.0
346,POMP,59.285355,2.961826,0.0,0.0
347,SNN,59.244526,3.6942263,0.0,0.0
348,TMEM176B,59.13934,4.051106,0.0,0.0
349,ICAM2,59.01783,3.528506,0.0,0.0
350,ADAP2,58.86404,3.8923616,0.0,0.0
351,PDLIM5,58.783363,3.7699466,0.0,0.0
352,CHST15,58.73629,4.018233,0.0,0.0
353,UTRN,58.61574,2.6410768,0.0,0.0
354,SRGN,58.486244,2.5880764,0.0,0.0
355,ATP5F1E,58.452267,0.6341339,0.0,0.0
356,YPEL2,58.387333,3.612943,0.0,0.0
357,MARCH1,58.352806,3.7865455,0.0,0.0
358,KIAA0930,58.348724,3.6300232,0.0,0.0
359,CAPZB,58.29939,2.451309,0.0,0.0
360,NMI,58.132915,3.3859587,0.0,0.0
361,AP1S2,58.081284,3.9158344,0.0,0.0
362,LTA4H,58.039715,3.4096487,0.0,0.0
363,CTSB,57.917114,3.7410877,0.0,0.0
364,CD4,57.828896,3.5218232,0.0,0.0
365,ST3GAL5,57.740204,3.6679623,0.0,0.0
366,SELPLG,57.541622,3.2468843,0.0,0.0
367,RTN4,57.468754,3.0071669,0.0,0.0
368,ELOB,57.433743,1.7337716,0.0,0.0
369,AMPD2,57.30951,3.710762,0.0,0.0
370,M6PR,57.24643,3.0109544,0.0,0.0
371,TMSB10,57.155796,0.4458547,0.0,0.0
372,FAM45A,57.153248,3.4891167,0.0,0.0
373,PLAUR,57.144333,3.767287,0.0,0.0
374,EFHD2,57.107677,3.4509325,0.0,0.0
375,NDUFA4,57.037045,1.5793076,0.0,0.0
376,GLUL,56.988712,3.5368528,0.0,0.0
377,NACA,56.961895,0.51268023,0.0,0.0
378,PHF19,56.791164,3.8974376,0.0,0.0
379,PPP1CA,56.751236,2.5574424,0.0,0.0
380,SERF2,56.7189,0.66666394,0.0,0.0
381,LCP2,56.709904,3.1680675,0.0,0.0
382,BACH1,56.6489,3.4640925,0.0,0.0
383,GRK2,56.639088,2.965857,0.0,0.0
384,TSPO,56.489178,2.7961507,0.0,0.0
385,NAPRT,56.462517,3.4876325,0.0,0.0
386,FGD4,56.34677,3.7244167,0.0,0.0
387,MPC1,56.161327,3.3707893,0.0,0.0
388,PHTF2,56.10527,3.7687006,0.0,0.0
389,RILPL2,55.999794,3.4242861,0.0,0.0
390,REEP5,55.804565,3.1295135,0.0,0.0
391,LAMTOR4,55.78979,2.1884983,0.0,0.0
392,LSP1,55.596134,2.339189,0.0,0.0
393,ENY2,55.56119,3.0097933,0.0,0.0
394,SCLT1,55.53835,3.4406953,0.0,0.0
395,SERP1,55.46128,1.9153916,0.0,0.0
396,KYNU,55.41221,3.5842383,0.0,0.0
397,MEF2C,55.362797,3.5521088,0.0,0.0
398,MT-CO1,55.175106,0.45542327,0.0,0.0
399,ITGB2,55.111576,2.913522,0.0,0.0
400,EIF4E2,55.093525,3.284843,0.0,0.0
401,PTPN18,54.900642,3.236237,0.0,0.0
