,names,scores,logfoldchanges,pvals,pvals_adj
0,STMN1,17.642569,9.8071165,1.1606227789878195e-69,3.892496676169349e-65
1,MKI67,17.560308,12.706242,4.960547696062214e-69,8.318342431526726e-65
2,HMGB1,17.440474,2.292877,4.066918668349427e-68,4.546543943303436e-64
3,HMGB2,17.401999,6.2869396,7.967448203946784e-68,6.680306946599181e-64
4,HMGN2,17.386957,4.088744,1.0359030240892023e-67,6.948423124380734e-64
5,ACTG1,17.22999,2.6327133,1.581810380875638e-66,8.307183274000291e-63
6,TYMS,17.22468,12.435179,1.7338625713519602e-66,8.307183274000291e-63
7,H2AFZ,17.211336,5.1118217,2.1833434864615717e-66,9.153121731118524e-63
8,TUBA1B,17.112345,6.372248,1.2006728432210413e-65,4.474240646216365e-62
9,PCLAF,17.07487,12.047128,2.283403908692484e-65,7.658080028972852e-62
10,TUBB,17.00252,6.7394238,7.866592379832964e-65,2.3984525021348902e-61
11,CFL1,16.960897,1.9736483,1.5988455288961525e-64,4.4685067790099306e-61
12,DUT,16.89494,6.6381574,4.9022292760093336e-64,1.2646997342984695e-60
13,GAPDH,16.75621,2.7828064,5.101208317984279e-63,1.2220308897754053e-59
14,PFN1,16.703033,2.079703,1.2456847740821476e-62,2.785185063544471e-59
15,TOP2A,16.691584,11.889961,1.5091165284321389e-62,3.163296883159817e-59
16,PTTG1,16.667673,9.577788,2.251940764732475e-62,4.4426817275057495e-59
17,ACTB,16.577356,1.8867586,1.0160205889291349e-61,1.8930721395280737e-58
18,ANP32B,16.558363,3.333945,1.3933370706158868e-61,2.4594599302271377e-58
19,RAN,16.510841,4.01831,3.0657681773604102e-61,5.1409866566156715e-58
20,H2AFV,16.504108,4.9772387,3.427570436510556e-61,5.473993204747192e-58
21,ANP32E,16.465279,5.676848,6.51627294323221e-61,9.93376190773281e-58
22,PTMA,16.293037,1.0785612,1.1059810972686016e-59,1.5455164183414316e-56
23,SLC25A5,16.234785,4.1517053,2.862457522860455e-59,3.8400440160677574e-56
24,SMC2,16.11845,8.002736,1.893002719303222e-58,2.4418278923073638e-55
25,NUSAP1,16.091625,10.383101,2.9207192119497785e-58,3.488107123637339e-55
