,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,148.6001,7.483705,0.0,0.0
1,CD8A,145.03123,7.7426796,0.0,0.0
2,IL32,130.12144,4.7056904,0.0,0.0
3,NKG7,129.64528,7.152568,0.0,0.0
4,B2M,128.75523,0.77274674,0.0,0.0
5,CST7,127.68415,6.8606052,0.0,0.0
6,CD3G,127.43295,5.429598,0.0,0.0
7,CD3D,123.49972,5.135219,0.0,0.0
8,GZMA,118.48848,6.602759,0.0,0.0
9,CD8B,117.9081,6.595328,0.0,0.0
10,GZMM,110.03606,4.9394546,0.0,0.0
11,GZMH,108.33749,6.328484,0.0,0.0
12,CD2,108.311424,4.3818183,0.0,0.0
13,MALAT1,108.21924,0.7017547,0.0,0.0
14,PPP2R5C,107.43533,2.9621367,0.0,0.0
15,SYNE2,106.78053,4.6371794,0.0,0.0
16,TRAC,105.82686,4.7213235,0.0,0.0
17,KLRD1,105.49472,5.987907,0.0,0.0
18,CD3E,105.08673,4.4473042,0.0,0.0
19,HCST,103.04324,2.1927254,0.0,0.0
20,PTPRC,102.18591,0.99920243,0.0,0.0
21,CTSW,100.54799,5.1155305,0.0,0.0
22,HLA-A,100.09939,0.72865003,0.0,0.0
23,HLA-B,99.399994,0.6782732,0.0,0.0
24,HLA-C,98.54695,0.78793997,0.0,0.0
25,CALM1,95.38185,1.0981479,0.0,0.0
26,ARL4C,92.9992,3.0357406,0.0,0.0
27,TRBC2,91.90107,3.6941075,0.0,0.0
28,LYAR,90.822945,3.7700043,0.0,0.0
29,PRF1,88.05705,4.9570093,0.0,0.0
30,SAMD3,86.95767,4.2480536,0.0,0.0
31,CD99,86.85971,2.441846,0.0,0.0
32,SYNE1,85.71805,3.6144161,0.0,0.0
33,FGFBP2,85.53694,5.1404476,0.0,0.0
34,TRGC2,85.05484,5.172754,0.0,0.0
35,PYHIN1,82.13787,4.097778,0.0,0.0
36,C12orf75,81.81022,3.8724408,0.0,0.0
37,CD81,78.578224,2.6011446,0.0,0.0
38,CLEC2D,78.252884,2.9208434,0.0,0.0
39,RUNX3,78.17758,3.080218,0.0,0.0
40,MYBL1,77.04153,3.9938452,0.0,0.0
41,PIK3R1,76.63074,2.5361233,0.0,0.0
42,GNLY,76.597275,4.55651,0.0,0.0
43,RARRES3,75.675964,2.3907628,0.0,0.0
44,ABHD17A,75.22471,2.278091,0.0,0.0
45,LITAF,75.02669,2.2346282,0.0,0.0
46,GZMB,74.475136,4.4818387,0.0,0.0
47,ITGB1,73.3622,2.2666407,0.0,0.0
48,SEPT7,73.04661,1.1104372,0.0,0.0
49,IL2RG,68.63787,2.4610393,0.0,0.0
50,LCK,68.49653,2.8879726,0.0,0.0
51,KLRG1,68.04411,4.0735254,0.0,0.0
52,RNF213,67.53681,1.3821065,0.0,0.0
53,LINC01871,67.43853,3.7045496,0.0,0.0
54,HLA-E,67.02322,0.5386424,0.0,0.0
55,DUSP2,66.053345,2.747099,0.0,0.0
56,MBP,65.31614,1.8834496,0.0,0.0
57,IKZF3,65.16762,2.9233525,0.0,0.0
58,DDX5,64.42661,0.5192199,0.0,0.0
59,KIAA1551,63.848255,1.6786219,0.0,0.0
60,CD52,63.752678,0.99918276,0.0,0.0
61,OPTN,63.282078,2.856774,0.0,0.0
62,ITGA4,62.698814,1.9366413,0.0,0.0
63,ADGRG1,62.07727,3.8085966,0.0,0.0
64,HSP90AA1,61.835873,0.75014216,0.0,0.0
65,CLEC2B,61.21879,1.8677446,0.0,0.0
66,FCRL6,61.06672,4.248075,0.0,0.0
67,KLF2,60.746468,1.1187817,0.0,0.0
68,MYL12A,59.504192,0.5005952,0.0,0.0
69,ZBTB38,59.324284,2.7202,0.0,0.0
70,ITGAL,58.91125,1.9885292,0.0,0.0
71,CCL4,58.73881,2.8124313,0.0,0.0
72,RORA,58.65239,2.704204,0.0,0.0
73,PTPN4,58.32936,2.623334,0.0,0.0
74,FYN,58.317898,1.6379639,0.0,0.0
75,APOBEC3G,58.317192,2.482025,0.0,0.0
76,MATK,57.718746,3.214058,0.0,0.0
77,SKAP1,57.65751,2.5135992,0.0,0.0
78,AES,57.053703,1.1716126,0.0,0.0
79,MT-ATP6,55.522305,0.31945157,0.0,0.0
80,PRKCH,54.941784,2.5529943,0.0,0.0
81,C1orf21,54.89705,3.448303,0.0,0.0
82,ETS1,54.265022,2.3108356,0.0,0.0
83,HOPX,53.684742,2.8921885,0.0,0.0
84,BTN3A2,53.359814,1.7554934,0.0,0.0
85,HLA-F,52.927002,1.0335814,0.0,0.0
86,TGFBR3,52.52331,3.2941883,0.0,0.0
87,MYL12B,52.5215,0.58057296,0.0,0.0
88,STK17A,52.399643,1.9738268,0.0,0.0
89,GZMK,52.14355,3.8314538,0.0,0.0
90,CD247,52.033714,2.463769,0.0,0.0
91,EMB,51.907036,1.512921,0.0,0.0
92,SLC9A3R1,51.540203,1.807851,0.0,0.0
93,EVL,50.584423,1.6097183,0.0,0.0
94,RAP1B,50.55868,0.8529256,0.0,0.0
95,SUN2,50.086464,1.5239103,0.0,0.0
96,RASGRP1,50.066383,2.2841952,0.0,0.0
97,DDX24,50.00195,0.96853757,0.0,0.0
98,DSTN,49.63462,1.5739244,0.0,0.0
99,PIP4K2A,49.539246,1.5503974,0.0,0.0
100,TPST2,49.26003,2.2219152,0.0,0.0
101,PAXX,49.03337,1.6270087,0.0,0.0
102,CEP78,48.833725,2.7236977,0.0,0.0
103,PFN1,48.29068,0.4590618,0.0,0.0
104,ZFP36L2,47.778286,0.8469581,0.0,0.0
105,ARAP2,47.451157,1.9892709,0.0,0.0
106,GUK1,47.380676,0.91734856,0.0,0.0
107,TMSB4X,47.279926,0.2187596,0.0,0.0
108,SYTL3,46.77227,2.4402583,0.0,0.0
109,TRBC1,46.76714,2.2692032,0.0,0.0
110,KIF2A,46.067303,1.5723042,0.0,0.0
111,SRSF7,45.963573,0.86668444,0.0,0.0
112,CHST12,45.927284,2.386731,0.0,0.0
113,LAT,45.758575,2.071279,0.0,0.0
114,PSMB9,45.523636,1.017656,0.0,0.0
115,EZR,45.467106,1.4104052,0.0,0.0
116,UBB,45.215965,0.53915954,0.0,0.0
117,ZAP70,44.905685,2.2477553,0.0,0.0
118,MT-ND5,44.821644,0.3778955,0.0,0.0
119,CMC1,44.793415,2.3307416,0.0,0.0
120,CD7,44.324776,2.0739872,0.0,0.0
121,APMAP,43.991703,2.2005203,0.0,0.0
122,TRG-AS1,43.906425,2.5976937,0.0,0.0
123,AAK1,43.78226,1.3122482,0.0,0.0
124,NCL,43.710392,0.5990317,0.0,0.0
125,TBX21,43.585968,2.929915,0.0,0.0
126,MACF1,43.38261,1.1872854,0.0,0.0
127,PTPN22,43.225407,2.0974,0.0,0.0
128,CYTOR,42.981033,1.9984431,0.0,0.0
129,HSP90B1,42.941643,0.97685575,0.0,0.0
130,SH2D1A,42.898926,2.50759,0.0,0.0
131,DDX6,42.71949,1.1118757,0.0,0.0
132,TIGIT,42.695457,3.1659193,0.0,0.0
133,SLAMF7,42.535454,2.6033597,0.0,0.0
134,ZNF683,42.29301,4.461334,0.0,0.0
135,AKNA,42.267696,1.2376986,0.0,0.0
136,RNF19A,42.05636,1.5495456,0.0,0.0
137,PPDPF,41.894,0.6448197,0.0,0.0
138,YWHAQ,41.872673,1.3238195,0.0,0.0
139,SLFN5,41.865456,1.5589219,0.0,0.0
140,ARPC5L,41.806786,1.6457026,0.0,0.0
141,PRDM1,41.80242,2.0521343,0.0,0.0
142,S1PR5,41.795334,2.8144825,0.0,0.0
143,BIN2,41.620125,0.9477444,0.0,0.0
144,ATP2B4,41.56481,2.0028214,0.0,0.0
145,ACAP1,41.535477,1.3575568,0.0,0.0
146,SPN,41.46194,1.4794432,0.0,0.0
147,HIST1H1E,41.312317,1.3044252,0.0,0.0
148,CCDC88C,41.26444,1.4889656,0.0,0.0
149,TBC1D10C,41.20131,1.4064676,0.0,0.0
150,CDC42SE2,41.00709,0.9673223,0.0,0.0
151,HSPA8,40.8806,0.7673092,0.0,0.0
152,UBC,40.50977,0.35995287,0.0,0.0
153,CALR,40.43418,0.935188,0.0,0.0
154,ANKRD12,40.30073,0.7152973,0.0,0.0
155,ANXA6,39.60274,1.2829567,0.0,0.0
156,PARP8,39.58856,1.4754814,0.0,0.0
157,CCSER2,39.278744,1.6066277,0.0,0.0
158,STAT4,39.260544,2.2013097,0.0,0.0
159,SLFN12L,39.222843,2.2919257,0.0,0.0
160,GIMAP7,38.78843,1.316815,0.0,0.0
161,PRSS23,38.757824,2.9782245,0.0,0.0
162,PATL2,38.68697,2.8746855,0.0,0.0
163,RPL36AL,38.498642,0.22857974,0.0,0.0
164,MT2A,38.244537,1.2952504,0.0,0.0
165,STOM,38.233387,1.9566568,0.0,0.0
166,IQGAP2,38.20945,1.2261825,0.0,0.0
167,STK4,38.1616,0.5402888,0.0,0.0
168,PRMT2,38.151123,0.9652709,0.0,0.0
169,ANXA1,38.147476,1.3771051,0.0,0.0
170,CASP8,38.111355,1.3527441,0.0,0.0
171,YWHAZ,38.106804,0.42351508,0.0,0.0
172,ARL6IP5,37.956005,0.5786965,0.0,0.0
173,BIN1,37.79044,1.4926189,0.0,0.0
174,SPOCK2,37.776085,1.7247005,0.0,0.0
175,MT-CYB,37.65738,0.25326413,2.4776304660559e-310,1.8928193751841315e-308
176,CD84,37.55991,1.7391891,9.70847663661733e-309,7.349952357536615e-307
177,CD96,37.54511,1.8418082,1.693146223963239e-308,1.2789355418756557e-306
178,KMT2A,36.894245,0.96306676,5.715403428057544e-298,4.212817586158108e-296
179,F2R,36.817623,2.970134,9.646602985327094e-297,7.079382295884028e-295
180,SLC38A1,36.80364,1.581072,1.614778575271717e-296,1.1824551060581407e-294
181,GOLGA4,36.753304,0.9831215,1.0295761916292135e-295,7.506505720621862e-294
182,HMGB1,36.56912,0.2420028,8.859967158644687e-293,6.390227496056463e-291
183,SYTL2,36.40898,2.462611,3.069089843751596e-290,2.1993832303363465e-288
184,MIAT,36.19583,3.0914676,7.080502354231513e-287,5.020420464190624e-285
185,ATM,36.002342,0.80204755,7.688281338591367e-284,5.394342668068562e-282
186,NUCB2,35.88916,1.4913679,4.508990206353246e-282,3.1504690320973987e-280
187,CNOT6L,35.834377,1.1322556,3.2207220594897886e-281,2.241007809775281e-279
188,PPIB,35.567467,0.5967069,4.46245396052627e-277,3.0605681171396736e-275
189,RPS3,35.41383,0.35544014,1.0459286253677797e-274,7.1297467962570315e-273
190,ITGB7,35.310184,1.7380518,4.0974301305122035e-273,2.7649821271049957e-271
191,PDIA3,35.169785,0.72257066,5.794572989412103e-271,3.8790097588603416e-269
192,AHNAK,35.043705,1.3099678,4.862714824451025e-269,3.2294203917314553e-267
193,ARID5B,35.028313,1.6498916,8.341924743286428e-269,5.5073124417389805e-267
194,IL2RB,34.87229,2.066329,1.9561239972442034e-266,1.2788398951184424e-264
195,EML4,34.84917,1.1597056,4.3825761796182205e-266,2.854035726447299e-264
196,GBP5,34.798344,1.7222129,2.576771125755876e-265,1.671561895853009e-263
197,PRRC2C,34.788013,0.4033312,3.692016770315741e-265,2.385796887145459e-263
198,PTPN7,34.77628,1.7863415,5.554670476325614e-265,3.5825488160578546e-263
199,FLNA,34.769928,0.9924075,6.928679675860984e-265,4.460154682706827e-263
200,SH3BGRL3,34.316784,0.41492796,4.409831428432849e-258,2.7800174144131747e-256
201,LAG3,34.058144,3.463984,3.0749394799460117e-254,1.920434269616934e-252
202,TXNIP,34.019436,0.4462636,1.1496332341817131e-253,7.126876045838501e-252
203,TMA7,33.971462,0.15983927,5.88092182447348e-253,3.6256315468601394e-251
204,SRP14,33.9466,0.21238956,1.368971874538442e-252,8.393524447581402e-251
205,KIF21A,33.902603,2.7874236,6.098718102715497e-252,3.732459995052415e-250
206,FNBP1,33.75829,0.5815331,8.079543735461596e-250,4.9089082934766486e-248
207,SLAMF6,33.655846,2.271181,2.5605291508545294e-248,1.5445148680100578e-246
208,PPP2R2B,33.54442,2.9108346,1.0858990042724255e-246,6.4458196115555056e-245
209,CD69,33.306293,1.4964948,3.1303067382308e-243,1.8450655076763543e-241
210,VAMP2,33.20674,0.6670191,8.604961212621367e-242,5.036530351638663e-240
211,PRKACB,33.07513,1.4092491,6.77171604771492e-240,3.929235515713893e-238
212,RASAL3,33.006126,1.4348676,6.634223284981123e-239,3.809907200885221e-237
213,ODF2L,32.964493,1.4852222,2.6228256156497594e-238,1.501097704738253e-236
214,PPP1R12A,32.9554,0.76559883,3.540218753079477e-238,2.0226892085311668e-236
215,TSC22D3,32.867863,0.7117626,6.329418131799302e-237,3.6101364847667514e-235
216,CXCR4,32.823177,0.9973659,2.750418809798869e-236,1.5634499329327875e-234
217,PTGDR,32.80372,2.5030932,5.211358469525719e-236,2.9573357081379627e-234
218,NUCKS1,32.697178,0.65695846,1.712943405104057e-234,9.655243011828549e-233
219,DIP2A,32.60258,1.3668299,3.7700162182017293e-233,2.117902913334164e-231
220,TSEN54,32.597725,2.0426931,4.417426987712535e-233,2.4774526139448662e-231
221,BUB3,32.541935,1.0927036,2.722842914170975e-232,1.5245192930795688e-230
222,UTRN,32.419395,0.77697176,1.462991761739083e-230,8.123479752517444e-229
223,TC2N,32.3854,1.7025747,4.406306672757799e-230,2.4426233585281164e-228
224,GPR174,32.21276,2.0140622,1.1696444926034231e-227,6.420218820447399e-226
225,RAB29,32.144047,1.4804561,1.0697047191496885e-226,5.833456401762967e-225
226,CBLB,32.099167,1.7290986,4.5285536685272246e-226,2.461566173988105e-224
227,CDC25B,32.047226,1.6986655,2.3997236265293538e-225,1.3022966179052018e-223
228,SIGIRR,32.024113,1.0480007,5.0352149908392095e-225,2.7237264574639584e-223
229,PPIA,31.993275,0.23494354,1.3525432939623834e-224,7.269486697581797e-223
230,EOMES,31.967873,2.9237573,3.050003379876232e-224,1.6340417468736275e-222
231,SYNRG,31.856894,1.0877397,1.056574839550698e-222,5.606868191273941e-221
232,PCM1,31.843729,0.7581309,1.6075421316786228e-222,8.517179780764241e-221
233,JAK1,31.630198,0.44062477,1.4198374032571736e-219,7.40567757860639e-218
234,SON,31.573757,0.28486383,8.465276992876506e-219,4.3745525390923306e-217
235,CYFIP2,31.573288,1.2298883,8.59148942797695e-219,4.4329441913152454e-217
236,RNF125,31.563482,1.260465,1.1712521956935102e-218,6.015536927897236e-217
237,AKAP13,31.42873,0.5824589,8.198232476643566e-217,4.1849668310756757e-215
238,SPON2,31.426136,1.9586358,8.8953790980408e-217,4.533939577357026e-215
239,ITM2A,31.340973,1.5473711,1.2914910182302532e-215,6.572689798088958e-214
240,KMT2E,31.111563,0.4871278,1.680276999998737e-212,8.461430934828475e-211
241,ARGLU1,31.08869,0.36981377,3.4248543065933703e-212,1.7195024511156953e-210
242,PRR5,31.029423,1.921379,2.1623179592008575e-211,1.0823853688907219e-209
243,WIPF1,30.930801,0.6547992,4.60466546495598e-210,2.294669693368405e-208
244,SH2D2A,30.905834,2.2100422,9.97215838867093e-210,4.954759230211047e-208
245,PTPRA,30.765177,0.9690081,7.663072661208197e-208,3.7906213998761134e-206
246,CX3CR1,30.729254,1.558581,2.31533237473569e-207,1.1385867622270612e-205
247,PRPF4B,30.709183,0.5471696,4.2919892109862125e-207,2.104455177749351e-205
248,DNAJC1,30.69095,1.3576653,7.516339942562958e-207,3.6746794313947005e-205
249,LINC00623,30.65396,1.4663894,2.3404130377670023e-206,1.140883320648688e-204
250,ATRX,30.545607,0.48939848,6.46764177229778e-205,3.121032658407524e-203
251,NAP1L4,30.512339,0.9609989,1.7877403536661677e-204,8.577573101753353e-203
252,USP28,30.445055,1.9118932,1.3927963702286382e-203,6.663566999247941e-202
253,DGKZ,30.343239,0.90906674,3.0853439076394393e-202,1.4698332950910727e-200
254,EPB41,30.340439,0.86288786,3.359305652867184e-202,1.598076496253328e-200
255,ARHGAP25,30.138739,1.2865828,1.506782916230164e-199,7.137639187080119e-198
256,PTMS,30.137527,2.1482747,1.5627989835114854e-199,7.392546164881269e-198
257,SSBP4,30.135923,1.0343771,1.6403091831762856e-199,7.748266110614967e-198
258,TRGC1,30.115578,2.2324886,3.029726239730102e-199,1.4271202054503954e-197
259,PLEKHA1,30.108913,1.4727889,3.703890778419565e-199,1.7422312612431328e-197
260,MPHOSPH8,29.915539,0.63192624,1.2357648009498318e-196,5.780345870886396e-195
261,BPTF,29.895626,0.49995863,2.24298487535304e-196,1.0477051079330119e-194
262,RAC2,29.885729,0.31460536,3.016148577113085e-196,1.404938763600259e-194
263,FCGR3A,29.854431,1.7086087,7.689856546224708e-196,3.5671149218158266e-194
264,KLRC4,29.774889,3.214008,8.260634364950193e-195,3.8213124873337873e-193
