,names,scores,logfoldchanges,pvals,pvals_adj
0,HBA1,15.568078,17.383263,1.199574537253907e-54,2.827187764919828e-50
1,HBB,15.546289,17.595142,1.6859608592759425e-54,2.827187764919828e-50
2,HBA2,14.948916,16.923061,1.583037166204252e-50,1.7697300160052734e-46
3,SLC25A37,14.631436,7.399848,1.7701002832469188e-48,1.1873124659907033e-44
4,SNCA,14.301021,9.919131,2.156246770402004e-46,9.039525523217802e-43
5,SLC25A39,13.26033,6.7691894,3.931630470975535e-40,3.06338447317125e-37
6,HBM,12.917902,15.264799,3.567378882018346e-38,1.933351030351979e-35
7,ALAS2,12.729593,15.273434,4.0494149801101486e-37,1.7411446102940275e-34
8,YBX3,12.567468,5.7207947,3.187706489144791e-36,1.1748274750872307e-33
9,FKBP8,11.802052,4.3538423,3.8090824788940485e-32,9.75183268527852e-30
10,FAM210B,11.785331,6.229448,4.645936697217755e-32,1.1715445485059327e-29
11,HBD,11.768265,14.085494,5.688248732160339e-32,1.4131295257718033e-29
12,AHSP,11.589562,15.230963,4.655051374050123e-31,1.1231734746970722e-28
13,BNIP3L,11.4626255,4.8925905,2.032591992299044e-30,4.733963210953148e-28
14,SLC4A1,11.201649,12.969629,4.00214096965686e-29,8.948253589356786e-27
15,MKRN1,10.758193,4.5324025,5.4222848242756446e-27,1.088937655308722e-24
16,MXI1,10.597082,5.3975277,3.074228932433817e-26,5.825055928585613e-24
17,DCAF12,10.474317,6.127389,1.1335304435764268e-25,2.1120191120370112e-23
18,TRIM58,10.300848,7.8304768,6.984284055513591e-25,1.2328364139674466e-22
19,BCL2L1,10.225057,5.9835,1.5313868181750314e-24,2.6338282619463696e-22
20,STRADB,10.120468,6.229363,4.482668546287427e-24,7.592916045726652e-22
21,TENT5C,9.915762,5.844615,3.555334420765746e-23,5.6780383716019806e-21
22,ADIPOR1,9.908094,4.903647,3.838966940131773e-23,6.101956077636938e-21
23,DMTN,9.855684,6.94407,6.477400580268982e-23,1.005736391949357e-20
24,GLRX5,9.703805,4.4227037,2.904604487740289e-22,4.348867201331867e-20
25,SELENBP1,9.686645,12.922283,3.4363158991556085e-22,5.0994319745964957e-20
26,RNF10,9.676595,4.679513,3.791330464659267e-22,5.576914084374671e-20
27,FBXO7,9.328543,4.4632664,1.0733629263235328e-20,1.463351456221083e-18
28,CA1,9.119997,14.116629,7.512617202441806e-20,9.543869535435352e-18
29,FECH,8.781568,6.102284,1.6121216246052338e-18,1.9037794030285327e-16
30,MARCH8,8.707168,4.9259496,3.1156210221498926e-18,3.5784828027692844e-16
31,GMPR,8.530638,6.679738,1.455432418083429e-17,1.5848146895351311e-15
32,UBB,8.503048,2.060144,1.8467632001154974e-17,1.991535183455741e-15
33,BPGM,8.301841,5.5234585,1.0251079635520075e-16,1.0546034012762953e-14
34,HEMGN,8.225262,7.027321,1.9476584890161563e-16,1.979411224382541e-14
35,GSPT1,8.203842,3.8116055,2.3282345698520123e-16,2.3378542216675684e-14
36,BLVRB,7.9922333,4.039131,1.3251607866421614e-15,1.2554588266216048e-13
37,IFI27,7.827687,5.9129043,4.969272563217063e-15,4.5287897615536376e-13
38,TNS1,7.092877,7.4567604,1.313520982271286e-12,9.989312177644985e-11
39,GYPB,7.0284734,12.536313,2.08805559870761e-12,1.5357282602950838e-10
40,PDZK1IP1,7.006253,6.608651,2.447857822719656e-12,1.7845874981496002e-10
41,HBQ1,6.914129,7.6312423,4.7074734865373556e-12,3.316790877972475e-10
42,MPP1,6.9132295,3.663765,4.737426455561389e-12,3.330897452130354e-10
43,GYPC,6.904255,3.0857592,5.046752072353075e-12,3.540961736455595e-10
44,EPB42,6.8415146,14.45653,7.836011226577887e-12,5.385330830265762e-10
45,RIOK3,6.7490726,3.327826,1.4879334517983205e-11,1.0006460342166607e-09
46,NFIX,6.688995,5.464059,2.247088658874376e-11,1.4690615875502696e-09
47,PITHD1,6.684859,3.449949,2.3114703411486355e-11,1.5052833456590862e-09
48,KRT1,6.6650496,7.034139,2.6457626628327277e-11,1.7097030479014262e-09
49,MYL4,6.618781,9.067213,3.621723873456696e-11,2.3269228978542275e-09
50,YOD1,6.589614,4.4177747,4.409713350574292e-11,2.801003150597739e-09
51,EIF1AY,6.394852,3.4553864,1.6070283633140291e-10,9.676214945929247e-09
52,BAG1,6.117875,3.0085347,9.483128129160564e-10,5.2743806168455553e-08
53,IFIT1B,6.080906,13.8203945,1.1950551223839192e-09,6.581241164944481e-08
54,FOXO3,5.946098,3.1964283,2.7460969462972324e-09,1.4278852617816525e-07
55,NCOA4,5.7138224,2.6874373,1.1046632063494594e-08,5.353785348923145e-07
56,CDC34,5.5878644,3.1622963,2.2987909914132003e-08,1.0737723157383832e-06
57,TSPAN5,5.581887,3.9221637,2.3792355823212488e-08,1.108261152220695e-06
58,GUK1,5.569538,2.0971115,2.5541519958209053e-08,1.1864425157318769e-06
59,RPIA,5.382762,3.0117443,7.335148576659766e-08,3.1948858826495484e-06
60,RBM38,5.3144403,2.8635318,1.069857994076878e-07,4.530416339059385e-06
61,MBNL3,5.1750865,3.0039318,2.2780556275733978e-07,9.193914517154828e-06
62,AC130456.3,5.1292663,12.0875025,2.9087401207812254e-07,1.1599682065488792e-05
63,TMCC2,5.0550838,7.260424,4.3020175810604815e-07,1.662224258451687e-05
64,SESN3,4.9852314,2.7473376,6.188774748014612e-07,2.341336279369431e-05
65,TMOD1,4.973606,5.985691,6.571881063055711e-07,2.4737120885831924e-05
66,NPRL3,4.8737845,3.0603702,1.0948039847192874e-06,4.030464987872169e-05
67,UBXN6,4.87117,2.7018566,1.1093930420408576e-06,4.079695596926127e-05
68,RNF11,4.794396,2.7026987,1.6316593265896756e-06,5.821552180336653e-05
69,TRAK2,4.7557416,2.729118,1.9771918218179016e-06,6.97277174764761e-05
70,LINC00570,4.7503715,12.830885,2.0304314505268532e-06,7.147161322123596e-05
71,GYPA,4.7503247,12.890403,2.0309036734402136e-06,7.147161322123596e-05
72,UBE2H,4.7239237,2.500919,2.3133737046287763e-06,8.056690270596044e-05
73,ISCA1,4.676032,2.5893316,2.924791363182531e-06,0.00010054002604360938
74,HAGH,4.6556273,2.511699,3.229955021720938e-06,0.00011008763365698863
75,OSBP2,4.4983826,7.00345,6.847234321154439e-06,0.0002195435417427128
76,ANK1,4.439176,4.822976,9.030388113828451e-06,0.0002817313084293754
77,SLC6A8,4.2994614,6.7262573,1.7121354101225e-05,0.0005063632926339365
78,FAM104A,4.1312532,2.332701,3.60790475003424e-05,0.0010159690134899106
79,TUBB2A,3.962233,4.2598734,7.425201142533314e-05,0.0019732677964998595
80,USP12,3.9554148,2.261837,7.640200140865035e-05,0.002025589188334637
81,UBE2O,3.8854327,2.4956303,0.00010214773845070078,0.002633228940937435
82,EMC3,3.8821294,2.2312503,0.00010354572497854473,0.0026631261689650564
83,R3HDM4,3.8677652,2.1969805,0.00010983738177298412,0.0028098597329537307
84,GABARAPL2,3.7955873,1.8342817,0.0001472943754806626,0.0036349954119723788
85,MICAL2,3.7874863,2.2929604,0.0001521790230632887,0.0037472687778976332
86,MAP2K3,3.723975,2.11747,0.00019611047502957952,0.004687920963322907
87,PCGF5,3.6710951,2.2152293,0.00024151335905155469,0.005636656253215756
88,DPM2,3.6566122,2.0943313,0.0002555706444224573,0.005923516428915254
89,PIM1,3.6057158,2.1205416,0.0003112938295080863,0.007078083019689626
90,SLC14A1,3.5805538,3.824489,0.00034286687134061305,0.0077434808963107605
91,KLF1,3.5632374,6.9638066,0.00036630898510407663,0.008239618204172048
92,CISD2,3.560428,2.040715,0.00037025099708629854,0.008312458008092279
93,CHPT1,3.5167942,1.8916639,0.00043679244563298497,0.009624931039184659
94,BSG,3.4842532,1.7899387,0.0004935126282534333,0.010740705078756421
95,GUCD1,3.4655898,2.059981,0.0005290700933676173,0.011462501803206168
96,PHOSPHO1,3.4090116,8.729565,0.0006519869481243282,0.013804506481182902
97,TESC,3.3901107,1.9702269,0.0006986438499252987,0.014698925785032645
98,ASCC2,3.3304622,1.9574534,0.0008670194125376269,0.01771974226550087
99,LGALS3,3.283156,2.2057757,0.0010265187102732522,0.020602863258614205
100,EPB41,3.2737148,1.937593,0.0010614364841416669,0.02124498950405412
101,SLC2A1,3.227931,2.59121,0.001246890444879458,0.024440801718508043
