,names,scores,logfoldchanges,pvals,pvals_adj
0,KLRB1,16.471766,7.6654353,5.853760564910191e-61,1.9632342182595797e-56
1,FXYD5,15.5451145,2.695657,1.7171460220654876e-54,2.879482164401616e-50
2,TNFRSF18,14.87104,8.314053,5.081738952235492e-50,5.6810453660024646e-46
3,DDIT4,13.630465,4.5022817,2.6389552057616432e-42,2.2126319922708496e-38
4,GATA3,13.018813,6.2558837,9.564613341848785e-39,6.415560045178491e-35
5,TSC22D3,12.884542,2.543623,5.500086574854734e-38,3.0743650591246343e-34
6,IL7R,12.848148,5.2725773,8.809410563416815e-38,4.2207144496553304e-34
7,TNFRSF4,12.580133,7.2283344,2.7157155674211276e-36,1.1384958587521221e-32
8,JUND,12.485485,1.8360573,8.959529880757788e-36,3.3387190348983855e-32
9,TRDC,12.262555,6.3420787,1.4389014389129593e-34,4.825787645826282e-31
10,PTMA,11.796346,0.61849576,4.076326263646121e-32,1.2428348202742145e-28
11,KLF2,11.704306,1.931069,1.211471922262953e-31,3.38586211073791e-28
12,IFITM2,11.645744,2.3582299,2.412069354852154e-31,6.222767847925503e-28
13,LTB,11.594043,3.8066666,4.417761883867917e-31,1.058306414722587e-27
14,CD7,11.21319,4.1656966,3.513007877472454e-29,7.854617212978078e-26
15,ANXA1,10.863698,2.8968294,1.716539936716821e-27,3.598082274850546e-24
16,ZFP36L2,10.690801,1.5584813,1.1239597344012465e-26,2.2173742101381765e-23
17,TPT1,10.525674,0.57672477,6.578887815138677e-26,1.1032136977206046e-22
18,RRBP1,10.496365,3.961073,8.977117394245212e-26,1.4336883960390282e-22
19,CD69,9.9404,3.6514509,2.777097818958423e-23,4.233559393283072e-20
20,AREG,9.904472,5.824459,3.9806757862793847e-23,5.56266268834325e-20
21,CTSW,9.832283,4.498252,8.17444318458143e-23,1.096617902097968e-19
22,ITGB1,9.66839,2.914232,4.107886491621481e-22,5.298857582923125e-19
23,GPR183,9.633476,3.8495157,5.774216944104136e-22,7.172432884124612e-19
24,INPP4B,9.016061,4.273588,1.94974796259085e-19,2.0434577240428726e-16
25,C16orf54,8.761302,3.5459204,1.930071761427892e-18,1.7980762981880178e-15
26,EEF1A1,8.745981,0.48109412,2.2108525730075992e-18,2.0039884755007803e-15
27,IL2RG,8.466066,2.7791936,2.538191438551468e-17,2.2401543280562932e-14
28,TNFAIP3,8.446344,3.215724,3.005668014012714e-17,2.5847203552297023e-14
29,TRGC1,8.41808,4.4960537,3.827021790957496e-17,3.208766420628313e-14
30,CDC14A,8.30456,3.540624,1.0019022771483987e-16,8.00042823119119e-14
31,KIT,8.23232,8.932751,1.8362281487318462e-16,1.399623173912924e-13
32,CCND2,8.187811,3.3073957,2.660198483594228e-16,1.9826163720618492e-13
33,TCF7,8.11115,3.1401901,5.014302984425216e-16,3.578078584928785e-13
34,ETS1,7.8605323,2.7996035,3.825049601669063e-15,2.6180512967505515e-12
35,HNRNPA1,7.701963,0.7048411,1.3399158688742414e-14,8.811391845157708e-12
36,RPL8,7.5803933,0.5279108,3.4450871172620236e-14,2.139654291458032e-11
37,AES,7.5742464,1.4908147,3.612177545785991e-14,2.2026401914649192e-11
38,PIK3R1,7.5448465,2.3712163,4.5282011591547887e-14,2.711907329923809e-11
39,SSBP2,7.4817348,3.6295292,7.334790920053844e-14,4.315688032925716e-11
40,UBB,7.479376,1.1127602,7.46763887469407e-14,4.31809780309465e-11
41,SEPT11,7.449442,3.5801635,9.373603656073974e-14,5.2947973538088124e-11
42,MDFIC,7.448057,2.7666926,9.472474244991614e-14,5.2947973538088124e-11
43,RPS6KA3,7.32443,2.2812092,2.399164655634563e-13,1.3190685937815078e-10
44,TMEM123,7.3052573,1.8240752,2.767361868026251e-13,1.4589484515987245e-10
45,H3F3B,7.304447,0.62716115,2.7840867345196007e-13,1.4589484515987245e-10
