,names,scores,logfoldchanges,pvals,pvals_adj
0,KLRB1,85.64819,8.83837,0.0,0.0
1,GZMK,80.39568,9.531396,0.0,0.0
2,DUSP2,75.8244,6.177459,0.0,0.0
3,IL7R,75.04516,6.2984433,0.0,0.0
4,ZFP36L2,68.37656,2.332977,0.0,0.0
5,ARL4C,67.63914,3.8960938,0.0,0.0
6,CXCR4,63.7454,3.6898453,0.0,0.0
7,CD69,63.117203,4.9941792,0.0,0.0
8,NCR3,60.38836,6.28956,0.0,0.0
9,GZMA,58.777092,6.5905952,0.0,0.0
10,RORA,58.05292,4.9252243,0.0,0.0
11,LYAR,56.116554,4.5570536,0.0,0.0
12,KLRG1,55.87108,5.973451,0.0,0.0
13,SPOCK2,54.559776,4.4962096,0.0,0.0
14,IL32,53.851475,4.1827836,0.0,0.0
15,CCL5,53.428276,5.7517476,0.0,0.0
16,PHACTR2,52.255264,4.255024,0.0,0.0
17,NKG7,52.114452,5.795429,0.0,0.0
18,SLC4A10,49.787994,9.006206,0.0,0.0
19,MYBL1,47.258385,4.704725,0.0,0.0
20,BTG1,47.057896,1.0897968,0.0,0.0
21,HCST,46.852764,2.0135894,0.0,0.0
22,CST7,46.22798,5.106055,0.0,0.0
23,LINC01871,45.835625,4.719648,0.0,0.0
24,CD3D,45.535942,4.2387233,0.0,0.0
25,CD3E,44.88014,3.9239075,0.0,0.0
26,SYNE2,44.850006,3.9757473,0.0,0.0
27,LTB,43.56664,3.428093,0.0,0.0
28,ID2,42.722466,3.0633461,0.0,0.0
29,CTSW,42.411427,4.3305974,0.0,0.0
30,HLA-C,41.68081,0.6474012,0.0,0.0
31,GPR65,40.727177,3.214109,0.0,0.0
32,ERN1,40.15091,3.8270047,0.0,0.0
33,CALM1,40.034267,0.959981,0.0,0.0
34,B2M,39.847668,0.39053226,0.0,0.0
35,TRGC2,39.75813,4.5196667,0.0,0.0
36,TRBC2,39.03385,3.337819,0.0,0.0
37,ODF2L,37.915806,3.2367992,0.0,0.0
38,DDIT4,37.348232,2.6268573,2.7087931537514393e-305,1.682361199824366e-302
39,RPLP0,37.09912,0.83387065,2.902535653715678e-301,1.7699134682602982e-298
40,HSP90AA1,37.047085,0.92806435,2.0008365465071653e-300,1.1982867160135234e-297
41,PRF1,36.935802,4.071604,1.2311756913417676e-298,7.244064971266702e-296
42,MAF,36.872498,3.8535783,1.275389998362194e-297,7.374832718115735e-295
43,RPL10,36.821278,0.5329843,8.430556515335396e-297,4.792271261208788e-294
44,PDCD4,36.470303,2.0061755,3.279697046259463e-291,1.8031881891385228e-288
45,FKBP11,36.467392,3.39625,3.6471256995599525e-291,1.9728597050297047e-288
46,CD81,36.087097,2.3662858,3.614484474630432e-285,1.8941028173461788e-282
47,RPL28,35.985493,0.4014301,1.4106281464470693e-283,7.278407196237201e-281
48,RPL14,35.33799,0.576734,1.533359300074722e-273,7.791788516046369e-271
49,AQP3,35.160908,3.8062172,7.919194165833759e-271,3.849187448314965e-268
50,TRAC,34.926685,3.3863645,2.926335467039801e-267,1.4020491270511547e-264
51,RPS3,34.794895,0.6323099,2.9056500843748104e-265,1.3534679518022553e-262
52,PRDM1,34.707687,3.2259505,6.032470031758043e-264,2.7340132422310977e-261
53,SRSF7,34.542984,1.4638442,1.8166337293492622e-261,8.123501601988741e-259
54,RPL36AL,34.400436,0.6155855,2.4838361183715148e-259,1.0960907333939983e-256
55,PIK3R1,34.392735,2.225312,3.23808998298709e-259,1.4103774266158573e-256
56,RPL6,33.933914,0.46346465,2.1065724485262837e-252,8.722250219589444e-250
57,TC2N,33.711033,3.23457,3.9839378761296146e-249,1.5906346248766074e-246
58,RPL3,33.336235,0.64800644,1.153151532130029e-243,4.4453328832847026e-241
59,TPT1,33.2232,0.38042033,4.977966957157739e-242,1.8758545596534407e-239
60,EEF1A1,32.862335,0.3946777,7.592142914423905e-237,2.7087796708930736e-234
61,ALOX5AP,32.791603,2.8128512,7.757264079379458e-236,2.7385591862550346e-233
62,RPL13,32.66454,0.5471033,4.9817977111823755e-234,1.7048931799758623e-231
63,HSP90AB1,32.57547,1.0773853,9.12856750024435e-233,3.092463604274697e-230
64,SYTL2,32.160263,3.763848,6.347477902133032e-227,2.0469395565551694e-224
65,RPS27A,32.010002,0.53386146,7.914324799887653e-225,2.50406250130785e-222
66,GPR171,31.734455,4.0307555,5.203255025571174e-221,1.6009795141982205e-218
67,CD3G,31.678778,3.338482,3.046021218142788e-220,9.287041783097529e-218
68,RPS7,31.230497,0.4325655,4.108385857858942e-214,1.2086582886041508e-211
69,PARP8,31.143627,2.3236623,6.18707051518557e-213,1.8043649646808143e-210
70,RPL34,31.11684,0.45708382,1.4255818113535438e-212,4.121651964584065e-210
71,PPP2R5C,31.018955,1.6394808,2.992804341286186e-211,8.434678319164379e-209
72,FAM107B,30.962776,1.5423082,1.7099837721378958e-210,4.7791196458300625e-208
73,RPS12,30.895185,0.5628189,1.386287030076799e-209,3.7799426353427384e-207
74,RPL23A,30.859224,0.5580844,4.2128098926343285e-209,1.1394291788642751e-206
75,RPL35,30.78606,0.46904066,4.027125038100894e-208,1.0804937562226223e-205
76,RPL10A,30.643692,0.6371743,3.2069108613014617e-206,8.482234614173087e-204
77,RPL17,30.581244,1.2780224,2.1738068168806297e-205,5.651560699576942e-203
78,MT-CYB,30.310198,0.40444657,8.413191731230588e-202,2.137588062742511e-199
