,names,scores,logfoldchanges,pvals,pvals_adj
0,GNLY,46.605278,9.348359,0.0,0.0
1,XCL2,46.019863,9.29158,0.0,0.0
2,KLRD1,45.968952,8.415076,0.0,0.0
3,IL2RB,45.950134,8.091364,0.0,0.0
4,CTSW,45.41471,7.442194,0.0,0.0
5,CMC1,43.903534,7.2733235,0.0,0.0
6,GZMK,42.630836,8.523442,0.0,0.0
7,KLRF1,42.54012,7.9748464,0.0,0.0
8,KLRC1,41.72932,8.751856,0.0,0.0
9,XCL1,41.50714,9.772651,0.0,0.0
10,JAK1,41.17477,2.8600118,0.0,0.0
11,HOPX,40.306778,6.7946773,0.0,0.0
12,SELL,40.283447,4.053885,0.0,0.0
13,CD7,39.453934,5.4456396,0.0,0.0
14,TRDC,37.53781,7.104717,2.227256183821739e-308,4.668607368313342e-305
15,IFITM2,36.659557,2.6062593,3.222546557401617e-294,6.35751567306679e-291
16,NKG7,35.563694,6.9617376,5.103949627007247e-277,9.509792366142726e-274
17,NCAM1,34.291664,7.253933,1.0446882600407473e-257,1.8440397297498204e-254
18,ARL4C,33.976543,3.4834657,4.947597714638214e-253,8.296626607676821e-250
19,AREG,33.921825,6.9112425,3.1759865072147325e-252,5.072201689474652e-249
20,MATK,33.651047,5.718452,3.009737437669839e-248,4.588207917480502e-245
21,RUNX3,33.146667,4.35003,6.325758964798747e-241,9.22405670267045e-238
22,DUSP2,32.555683,4.5434785,1.739943997404553e-232,2.4314267410397456e-229
23,PLAC8,32.053253,3.1970716,1.977797173914174e-225,2.6532544647493426e-222
24,STK17A,31.374762,3.8274465,4.4715219037938087e-216,5.767919292670645e-213
25,SAMD3,31.040636,4.985528,1.5262228540844628e-211,1.8957948918623968e-208
26,CD63,30.993914,3.533598,6.51115711499065e-211,7.798970975805587e-208
27,CD2,30.16541,4.038048,6.736042682111373e-200,7.530446649088374e-197
28,ID2,30.130749,3.611349,1.9173830020967623e-199,2.0743610040103618e-196
29,ZFP36L2,30.122356,1.7233515,2.4697436339695856e-199,2.5884456873772485e-196
30,TXK,29.35838,4.73697,1.8679368055315176e-189,1.8983898358762438e-186
31,PRF1,29.231848,5.439353,7.639319244352951e-188,7.535514376973801e-185
32,HCST,28.567244,2.068027,1.7155895445831217e-179,1.643926918463678e-176
33,IL18R1,28.238409,5.989613,1.9754682873938687e-175,1.790628524935556e-172
34,GZMA,28.168076,5.247679,1.4395597367359915e-174,1.2705251171224128e-171
35,KLRB1,27.411074,4.859735,2.0238058216184563e-165,1.6968599911359946e-162
36,SPTSSB,26.948982,9.714873,5.863009017128223e-160,4.6817522956296744e-157
37,SEPT7,26.688862,1.5405642,6.339320564803637e-157,4.944375188427544e-154
38,RPS24,26.221561,0.4274007,1.5089199293898096e-151,1.1501399225426235e-148
39,GATA3,26.099783,4.6711726,3.6665855659203454e-150,2.673259711083403e-147
