,names,scores,logfoldchanges,pvals,pvals_adj
0,NKG7,204.23198,9.095056,0.0,0.0
1,PRF1,202.19981,9.597447,0.0,0.0
2,GZMB,198.44887,9.983103,0.0,0.0
3,CST7,197.13556,8.694963,0.0,0.0
4,KLRD1,196.58862,9.30738,0.0,0.0
5,GNLY,196.04547,9.875664,0.0,0.0
6,KLRF1,194.6703,10.08202,0.0,0.0
7,GZMA,194.07243,8.791066,0.0,0.0
8,CD247,194.0015,6.9061007,0.0,0.0
9,FGFBP2,184.37926,9.344937,0.0,0.0
10,CTSW,183.96022,7.6948223,0.0,0.0
11,SPON2,176.31227,9.051514,0.0,0.0
12,FCGR3A,169.57338,7.7000513,0.0,0.0
13,GZMM,168.3224,6.191558,0.0,0.0
14,ABHD17A,165.86436,4.33893,0.0,0.0
15,EFHD2,165.14612,4.58054,0.0,0.0
16,HOPX,164.95415,7.176568,0.0,0.0
17,ARL4C,164.19833,4.06363,0.0,0.0
18,CD7,162.02594,5.627034,0.0,0.0
19,B2M,161.77547,0.8310051,0.0,0.0
20,CLIC3,161.47522,8.059701,0.0,0.0
21,HLA-C,161.2531,1.140361,0.0,0.0
22,IL2RB,161.24524,7.489867,0.0,0.0
23,JAK1,154.46393,2.6089294,0.0,0.0
24,TRDC,153.73523,7.9825864,0.0,0.0
25,GZMH,152.9631,7.55599,0.0,0.0
26,HLA-A,152.4906,0.95217234,0.0,0.0
27,CALM1,149.20044,1.5261874,0.0,0.0
28,SYNE2,148.05867,5.277699,0.0,0.0
29,HCST,146.89632,2.5368094,0.0,0.0
30,ADGRG1,146.54613,7.408916,0.0,0.0
31,KLRB1,146.35216,6.4898505,0.0,0.0
32,PYHIN1,145.17648,5.998703,0.0,0.0
33,CCL5,144.00642,6.166593,0.0,0.0
34,RUNX3,143.21072,4.6436324,0.0,0.0
35,HLA-B,141.74948,0.80614084,0.0,0.0
36,SYNE1,141.72437,4.9839435,0.0,0.0
37,IFITM2,141.10728,2.4688764,0.0,0.0
38,SAMD3,136.3126,5.5319867,0.0,0.0
39,SEPT7,135.06444,1.881884,0.0,0.0
40,RARRES3,134.13797,3.5056794,0.0,0.0
41,RNF213,133.04532,2.2818503,0.0,0.0
42,HLA-E,132.26517,0.91374683,0.0,0.0
43,GNPTAB,130.73758,4.5979686,0.0,0.0
44,UBB,130.58409,1.7236533,0.0,0.0
45,PLAC8,130.36305,3.1663287,0.0,0.0
46,MATK,129.68045,5.8741136,0.0,0.0
47,CCL4,129.12186,5.22765,0.0,0.0
48,MYBL1,128.24918,5.5366592,0.0,0.0
49,RAP1B,128.19492,2.0976877,0.0,0.0
50,S1PR5,125.0798,6.6105013,0.0,0.0
51,PFN1,123.66865,1.1209165,0.0,0.0
52,LITAF,123.3449,3.1127112,0.0,0.0
53,CEP78,118.06094,5.29677,0.0,0.0
54,APMAP,117.37193,4.7251744,0.0,0.0
55,MYL12A,115.0349,0.9537164,0.0,0.0
56,UTRN,115.02593,2.5696297,0.0,0.0
57,MBP,114.46979,2.8035707,0.0,0.0
58,C1orf21,114.25529,5.8578553,0.0,0.0
59,CYBA,113.51706,1.5262145,0.0,0.0
60,CX3CR1,112.931274,4.5910945,0.0,0.0
61,TXK,111.83538,4.6635504,0.0,0.0
62,PTPN4,111.20611,4.0904307,0.0,0.0
63,ITGAL,110.27215,3.1466248,0.0,0.0
64,ID2,109.62635,3.3130043,0.0,0.0
65,BIN2,109.58155,2.3222368,0.0,0.0
66,CD63,108.44319,3.048117,0.0,0.0
67,C12orf75,107.52153,4.290756,0.0,0.0
68,RAC2,107.19626,1.6524044,0.0,0.0
69,CD99,107.18388,2.507595,0.0,0.0
70,ARPC2,107.180664,1.2247372,0.0,0.0
71,IL2RG,106.94553,3.1267886,0.0,0.0
72,PIP4K2A,106.50989,2.8660922,0.0,0.0
73,MALAT1,105.95116,0.56128067,0.0,0.0
74,APOBEC3G,105.73931,3.752233,0.0,0.0
75,CD81,105.4793,2.8668075,0.0,0.0
76,PTPRC,105.17637,0.8551566,0.0,0.0
77,PDIA3,104.95953,2.2186358,0.0,0.0
78,CHST12,104.680954,4.388086,0.0,0.0
79,TBX21,104.38956,5.5891695,0.0,0.0
80,CMC1,102.910774,4.3244076,0.0,0.0
81,CFL1,100.35201,0.8572728,0.0,0.0
82,SYTL3,100.13609,4.241513,0.0,0.0
83,EVL,99.726364,2.4759548,0.0,0.0
84,AES,99.65821,1.6929528,0.0,0.0
85,PRSS23,99.31235,6.042432,0.0,0.0
86,ZAP70,98.76529,3.9735358,0.0,0.0
87,TFDP2,98.41912,4.131543,0.0,0.0
88,PTPN12,98.2259,3.3478236,0.0,0.0
89,PPP2R5C,97.940956,2.2116995,0.0,0.0
90,MSN,97.48962,1.6895427,0.0,0.0
91,AKR1C3,96.96067,6.53767,0.0,0.0
92,ARPC5L,96.12369,3.1589086,0.0,0.0
93,DBI,95.901085,1.8827096,0.0,0.0
94,TTC38,94.957466,5.373345,0.0,0.0
95,NCR3,94.864235,4.6605997,0.0,0.0
96,CLEC2B,94.69772,2.404851,0.0,0.0
97,GNG2,94.47174,3.0794048,0.0,0.0
98,PRKCH,94.31597,3.5977201,0.0,0.0
99,IGFBP7,94.19252,4.5152016,0.0,0.0
100,TGFBR3,93.946014,4.857938,0.0,0.0
101,PTGDR,93.04289,5.4873853,0.0,0.0
102,SKAP1,92.85987,3.287074,0.0,0.0
103,MACF1,92.16587,2.256916,0.0,0.0
104,SUN2,91.90707,2.3856304,0.0,0.0
105,RORA,91.42733,3.4665666,0.0,0.0
106,PRMT2,91.178406,2.0760708,0.0,0.0
107,YWHAZ,89.8716,1.0738432,0.0,0.0
108,PLEK,89.78306,3.1422892,0.0,0.0
109,DIP2A,89.352776,3.129177,0.0,0.0
110,CTSC,89.073746,2.528643,0.0,0.0
111,TPST2,89.03698,3.3275063,0.0,0.0
112,ITGB2,88.611206,2.5847452,0.0,0.0
113,RHOC,88.54432,3.7314203,0.0,0.0
114,BTN3A2,88.025185,2.424376,0.0,0.0
115,FYN,87.84463,2.0777504,0.0,0.0
116,RBM39,87.04299,1.0221407,0.0,0.0
117,SPN,86.881454,2.6129107,0.0,0.0
118,SH2D1B,86.653435,6.7893577,0.0,0.0
119,SLC9A3R1,85.73077,2.5473652,0.0,0.0
120,DHRS7,85.7117,2.4012027,0.0,0.0
121,CLIC1,85.35748,1.8548692,0.0,0.0
122,NCL,84.667336,1.0521489,0.0,0.0
123,ACTN4,84.6577,2.4304419,0.0,0.0
124,OSTF1,84.4509,2.0662296,0.0,0.0
125,CHST2,82.98748,4.329547,0.0,0.0
126,NDUFB2,82.52359,1.5319387,0.0,0.0
127,DSTN,82.20297,2.2615738,0.0,0.0
128,CCND3,82.06609,1.8278804,0.0,0.0
129,ATM,81.63417,1.6795061,0.0,0.0
130,LY6E,80.24517,1.9037203,0.0,0.0
131,TLN1,80.18688,1.5195312,0.0,0.0
132,FAM49B,79.82978,1.7540357,0.0,0.0
133,ETS1,79.37138,2.6223023,0.0,0.0
134,SLAMF7,79.29818,3.951857,0.0,0.0
135,CD160,79.142204,5.7210393,0.0,0.0
136,IGF2R,79.11742,2.9272363,0.0,0.0
137,MYO1F,78.90973,2.57444,0.0,0.0
138,DDIT4,78.57009,2.3086767,0.0,0.0
139,CALR,78.43559,1.6529734,0.0,0.0
140,HLA-F,78.316635,1.2583058,0.0,0.0
141,MCTP2,78.14178,4.0041823,0.0,0.0
142,MYL12B,78.0779,0.81789136,0.0,0.0
143,AKNA,77.78886,1.9689121,0.0,0.0
144,TGFB1,77.608154,1.7306145,0.0,0.0
145,FCRL6,77.44668,4.763269,0.0,0.0
146,STK17A,77.02469,2.3882685,0.0,0.0
147,PSME1,76.60388,0.99465615,0.0,0.0
148,GPR65,75.914536,2.5486586,0.0,0.0
149,ARAP2,75.611435,2.6288853,0.0,0.0
150,HMGB1,75.300125,0.50128746,0.0,0.0
151,IQGAP2,75.25998,2.039565,0.0,0.0
152,STAT4,75.08271,3.4065,0.0,0.0
153,KLRC1,75.02493,5.4419994,0.0,0.0
154,NCAM1,74.77469,5.886555,0.0,0.0
155,DDX5,74.39006,0.50238544,0.0,0.0
156,PAXX,74.04754,2.0433276,0.0,0.0
157,NDUFB7,73.95771,1.5131063,0.0,0.0
158,ANXA6,73.92595,2.0512419,0.0,0.0
159,TCF25,73.82454,1.2014413,0.0,0.0
160,TRGC1,73.695435,4.123733,0.0,0.0
161,HSP90B1,73.55336,1.3492341,0.0,0.0
162,FLNA,73.11511,1.7209935,0.0,0.0
163,CD300A,73.11401,2.8067613,0.0,0.0
164,OPTN,72.98314,2.7588434,0.0,0.0
165,SLFN5,72.8412,2.1883948,0.0,0.0
166,AKAP13,72.76012,1.2321733,0.0,0.0
167,ALOX5AP,72.554924,2.645064,0.0,0.0
168,TBC1D10C,72.52307,2.0387225,0.0,0.0
169,FCER1G,72.4515,3.5900009,0.0,0.0
170,IRF1,72.34739,2.0149589,0.0,0.0
171,PPIB,71.815056,1.1137979,0.0,0.0
172,STOM,71.66198,3.0011883,0.0,0.0
173,METRNL,71.48102,2.5698752,0.0,0.0
174,LCP1,71.40493,1.4299436,0.0,0.0
175,CD47,71.15521,1.6166309,0.0,0.0
176,PIK3R1,70.76495,1.861566,0.0,0.0
177,XCL2,70.26363,4.8753657,0.0,0.0
178,CDC42SE1,69.546455,1.3806661,0.0,0.0
179,SH2D2A,69.32128,3.9134402,0.0,0.0
180,TRBC1,68.782524,2.8897295,0.0,0.0
181,PSMB9,68.652245,1.281881,0.0,0.0
182,XBP1,68.58766,1.9213872,0.0,0.0
183,DDX6,68.35328,1.5020624,0.0,0.0
184,DOK2,68.10145,2.0214612,0.0,0.0
185,UBC,67.93772,0.54177463,0.0,0.0
186,ATP2B4,67.67397,2.7009702,0.0,0.0
187,PRDM1,67.44296,2.7399619,0.0,0.0
188,H3F3B,66.94983,0.49799582,0.0,0.0
189,ADGRE5,66.94921,1.8685156,0.0,0.0
190,STK10,66.74893,1.6249893,0.0,0.0
191,MYOM2,66.54041,5.901305,0.0,0.0
192,MYL6,66.488396,0.5745337,0.0,0.0
193,RNF125,66.24075,2.2119796,0.0,0.0
194,GK5,66.21894,3.2503545,0.0,0.0
195,PPIA,66.09777,0.56308854,0.0,0.0
196,TMSB4X,65.80676,0.27174065,0.0,0.0
197,CAST,65.80117,1.3878056,0.0,0.0
198,HSH2D,65.772385,2.8859246,0.0,0.0
199,CXXC5,65.69197,2.7410924,0.0,0.0
200,HIPK2,65.55008,2.5282733,0.0,0.0
201,TYROBP,65.52119,4.407706,0.0,0.0
202,HSP90AA1,65.52107,0.6428924,0.0,0.0
203,PPP1CA,65.46043,1.2215731,0.0,0.0
204,GUK1,65.14065,1.0650367,0.0,0.0
205,DGKZ,64.80877,1.7137132,0.0,0.0
206,NCR1,64.60193,5.8416033,0.0,0.0
207,PPP1R12A,64.59606,1.3995671,0.0,0.0
208,GBP5,64.34649,2.6064517,0.0,0.0
209,WIPF1,64.30854,1.3053594,0.0,0.0
210,PTPN22,64.24373,2.591085,0.0,0.0
211,IFITM1,64.15264,2.7420952,0.0,0.0
212,USP28,64.13712,3.2033205,0.0,0.0
213,BZW1,63.845505,1.2856263,0.0,0.0
214,HIST1H1E,63.755257,1.698552,0.0,0.0
215,SSBP3,63.743168,2.402079,0.0,0.0
216,IKZF3,63.519543,2.4024842,0.0,0.0
217,CD38,63.40073,4.0079536,0.0,0.0
218,STK4,63.15813,0.78599316,0.0,0.0
219,MAP3K8,63.077026,2.3085058,0.0,0.0
220,NFATC2,62.83955,3.073126,0.0,0.0
221,C1orf56,62.653873,1.6055495,0.0,0.0
222,CD53,62.56886,1.0462306,0.0,0.0
223,DIAPH1,62.545753,1.4803412,0.0,0.0
224,MLLT6,62.543686,2.0298166,0.0,0.0
225,YPEL1,62.509396,3.8722856,0.0,0.0
226,CTBP2,62.490463,2.5768938,0.0,0.0
227,PTPRA,62.162193,1.7205735,0.0,0.0
228,IQGAP1,62.147213,1.5429819,0.0,0.0
229,HSPA5,62.126503,1.5313684,0.0,0.0
230,DENND2D,62.03287,2.5017123,0.0,0.0
231,CD226,61.71146,2.800599,0.0,0.0
232,CCDC88C,61.27739,1.8347496,0.0,0.0
233,APOBEC3C,61.251698,2.0091164,0.0,0.0
234,TES,60.945595,1.6493334,0.0,0.0
235,PRKACB,60.646614,2.133085,0.0,0.0
236,SLFN12L,60.58106,2.9242592,0.0,0.0
237,CD164,60.13747,1.2984769,0.0,0.0
238,PLEKHF1,59.359596,4.0985312,0.0,0.0
239,SIGIRR,59.332947,1.6651666,0.0,0.0
240,F2R,59.321095,4.0018587,0.0,0.0
241,TRAPPC10,59.15701,1.8957771,0.0,0.0
242,RAB29,58.85307,2.235865,0.0,0.0
243,CNOT6L,58.529232,1.565146,0.0,0.0
244,MT-ATP6,58.476105,0.2707905,0.0,0.0
245,PLA2G16,58.368397,2.866023,0.0,0.0
246,AC245297.3,58.08225,1.7343516,0.0,0.0
247,APOL6,58.018402,1.8631321,0.0,0.0
