,names,scores,logfoldchanges,pvals,pvals_adj
0,STMN1,39.39985,10.066005,0.0,0.0
1,DEK,36.31424,3.8857303,9.64422846438638e-289,1.6172406711929522e-284
2,PTMA,36.04355,1.3405917,1.7406241253094525e-284,1.945901730487614e-280
3,TUBA1B,35.886887,5.943783,4.8925208900550704e-282,4.102134140266674e-278
4,HMGB2,34.870487,5.334461,2.0831476064135814e-266,1.3972920884779737e-262
5,HMGN2,34.752388,3.602994,1.2755240316939401e-264,7.129754162491894e-261
6,HMGB1,34.37157,1.9002908,6.707176893768702e-259,3.2135042666173534e-255
7,NUCKS1,33.742474,3.9423573,1.3785720656988226e-249,5.779318742425888e-246
8,H2AFZ,33.652782,4.288405,2.838838527486833e-248,1.0578774059428156e-244
9,GZMA,33.067135,7.7280717,8.824054852428019e-240,2.9594115164073087e-236
10,PCNA,32.71172,7.9126883,1.0641559443735468e-234,3.2445147329454554e-231
11,TYMS,32.661526,11.828144,5.497940857398757e-234,1.5365828372953295e-230
12,NASP,32.113926,5.3374844,2.8180496972852172e-226,6.75083933911083e-223
13,HNRNPA2B1,31.875647,1.6163293,5.809258787821816e-223,1.2988728081731204e-219
14,PFN1,31.670452,1.633162,3.966133975344697e-220,8.313512579069402e-217
15,CFL1,31.582884,1.48564,6.343489230488329e-219,1.2514584812477504e-215
16,DUT,31.55075,5.575996,1.751072392334651e-218,3.262636994117751e-215
17,H2AFV,31.534393,4.30596,2.9350296769809943e-218,5.180790805609926e-215
18,GZMB,31.464565,8.044405,2.653404735016196e-217,4.449494400148658e-214
19,PRF1,31.458475,7.586229,3.2144317239566775e-217,5.133600531336146e-214
20,CTSW,31.144732,6.735275,5.977372195133348e-213,9.112232212744646e-210
21,DNMT1,31.09855,5.2163763,2.5197179488128227e-212,3.6741869811862805e-209
22,SMC2,30.679092,7.103178,1.0819511017178872e-206,1.45145904197658e-203
23,DBI,30.641932,3.3477724,3.384944175237934e-206,4.3663176057357625e-203
24,CLSPN,30.572586,10.474197,2.8333077626128727e-205,3.5193879904633524e-202
25,PCLAF,30.526754,10.363609,1.1508541715364067e-204,1.378476685892429e-201
26,HSP90AA1,30.488668,1.8327718,3.682938063044782e-204,4.2592543709791696e-201
