,names,scores,logfoldchanges,pvals,pvals_adj
0,HLA-DRA,84.20669,7.3426337,0.0,0.0
1,HLA-DPB1,83.73995,6.686652,0.0,0.0
2,HLA-DPA1,83.29167,6.8663554,0.0,0.0
3,HLA-DQA1,82.84686,8.801661,0.0,0.0
4,CD74,82.22105,5.5379157,0.0,0.0
5,CST3,81.80543,7.6316338,0.0,0.0
6,HLA-DQB1,81.051216,7.257888,0.0,0.0
7,FCER1A,80.024994,12.709262,0.0,0.0
8,HLA-DRB1,79.84929,6.8937035,0.0,0.0
9,HLA-DMA,78.60297,6.5742826,0.0,0.0
10,CLEC10A,75.937744,10.010982,0.0,0.0
11,HLA-DMB,72.54015,6.345916,0.0,0.0
12,HLA-DRB5,71.25287,6.4818497,0.0,0.0
13,CD1C,70.556656,9.0189085,0.0,0.0
14,CCDC88A,69.63856,6.156024,0.0,0.0
15,SAMHD1,69.238075,3.7526445,0.0,0.0
16,CTSZ,68.94147,5.5876746,0.0,0.0
17,CPVL,68.20882,6.596327,0.0,0.0
18,CIITA,67.39745,6.3172092,0.0,0.0
19,GSTP1,66.96409,4.08389,0.0,0.0
20,ACTB,66.12945,1.4084888,0.0,0.0
21,ACTG1,66.00402,1.6247748,0.0,0.0
22,JAML,65.03616,5.433796,0.0,0.0
23,ALDH2,64.954346,6.06928,0.0,0.0
24,ENHO,64.231804,10.104758,0.0,0.0
25,GSN,64.04042,6.1999626,0.0,0.0
26,ANXA2,62.955025,4.597075,0.0,0.0
27,CTSH,62.692875,5.5306244,0.0,0.0
28,IL13RA1,62.45488,5.914848,0.0,0.0
29,VIM,62.2629,2.140533,0.0,0.0
30,LGALS2,62.163403,6.441527,0.0,0.0
31,YBX1,62.09562,1.4837193,0.0,0.0
32,PAK1,61.729908,5.5589075,0.0,0.0
33,PLD4,61.315163,6.6751227,0.0,0.0
34,AP2S1,61.19976,4.1567197,0.0,0.0
35,TMSB10,60.67224,0.75209665,0.0,0.0
36,TUBA1B,60.18476,4.2893343,0.0,0.0
37,C1orf162,59.989204,4.5012097,0.0,0.0
38,KCNK6,58.972008,5.688695,0.0,0.0
39,SPINT2,58.858974,5.2427535,0.0,0.0
40,H2AFY,58.75389,4.237789,0.0,0.0
41,RNASE6,58.503357,5.496358,0.0,0.0
42,GAPDH,58.419613,1.9445935,0.0,0.0
43,COTL1,58.3608,4.228071,0.0,0.0
44,IGSF6,58.123005,5.7981124,0.0,0.0
45,IL18,58.075603,5.816876,0.0,0.0
46,SLC25A5,58.012123,3.4041665,0.0,0.0
47,S100A10,57.901463,2.573349,0.0,0.0
48,LY86,57.644794,5.3144817,0.0,0.0
49,FCGRT,57.503742,5.2285194,0.0,0.0
50,RPS24,56.95311,0.5584561,0.0,0.0
51,LGALS1,56.795925,4.562904,0.0,0.0
52,ANXA5,56.70426,4.583661,0.0,0.0
53,RAC1,56.329643,3.439289,0.0,0.0
54,PPA1,56.247604,4.266059,0.0,0.0
55,CSTB,56.174053,3.4678273,0.0,0.0
56,CD33,56.097588,5.28867,0.0,0.0
57,CFP,55.558773,5.436167,0.0,0.0
58,RNH1,55.468033,4.2775335,0.0,0.0
59,CLEC4A,54.89029,5.1663923,0.0,0.0
60,BASP1,54.774338,5.3698087,0.0,0.0
61,PHACTR1,54.71604,5.4036407,0.0,0.0
62,DPYSL2,54.507298,4.9830227,0.0,0.0
63,YWHAE,54.368385,4.318294,0.0,0.0
64,RNF130,53.71242,5.1350207,0.0,0.0
65,CAPG,53.592533,4.928027,0.0,0.0
66,SLC25A6,53.541653,1.6532692,0.0,0.0
67,PRCP,53.338,4.9497695,0.0,0.0
68,GDI2,52.778015,3.7878897,0.0,0.0
69,CD1D,52.575623,5.1101317,0.0,0.0
70,SHTN1,52.319057,5.055483,0.0,0.0
71,CD86,52.10862,4.9310036,0.0,0.0
72,RPS11,52.069893,0.6815918,0.0,0.0
73,CSF2RA,51.753468,5.027566,0.0,0.0
74,RAB32,51.684128,4.920214,0.0,0.0
75,SPECC1,51.64152,4.934591,0.0,0.0
76,MAT2A,51.573776,4.699729,0.0,0.0
77,LMO2,51.52064,4.92863,0.0,0.0
78,GRN,51.495266,5.4286294,0.0,0.0
79,ARPC1B,51.444305,2.4242814,0.0,0.0
80,TMEM14C,51.402348,4.4603977,0.0,0.0
81,ARPC3,51.154846,1.4803087,0.0,0.0
82,MGST2,50.969986,4.9429803,0.0,0.0
83,ITGAX,50.64709,4.766319,0.0,0.0
84,CACNA2D3,50.575275,6.0550866,0.0,0.0
85,LYZ,50.449543,5.4032297,0.0,0.0
86,NDRG2,50.231785,6.996744,0.0,0.0
87,RBPJ,49.808964,4.2707763,0.0,0.0
88,SLC25A3,49.664047,2.6976159,0.0,0.0
89,PEA15,49.48795,4.814758,0.0,0.0
90,GPAT3,49.19887,5.4277825,0.0,0.0
91,MEF2C,49.168125,4.78037,0.0,0.0
92,AP1S2,49.08052,4.6428566,0.0,0.0
93,PLEKHO1,48.96127,4.219591,0.0,0.0
94,LGALS9,48.84719,4.5787306,0.0,0.0
95,PRELID1,48.677803,3.075435,0.0,0.0
96,SPI1,48.580654,5.25352,0.0,0.0
97,ATP5F1B,48.36208,3.5493884,0.0,0.0
98,RCC2,48.2167,4.5151544,0.0,0.0
99,PGLS,48.1755,3.75739,0.0,0.0
100,CFL1,48.14056,1.0849719,0.0,0.0
101,ALCAM,48.083996,5.358595,0.0,0.0
102,TPI1,48.065804,3.225785,0.0,0.0
103,EIF2AK4,47.983727,4.5218887,0.0,0.0
104,RUFY3,47.860306,4.610637,0.0,0.0
105,TNFSF13B,47.71674,4.9079604,0.0,0.0
106,SLC8A1,47.646908,4.601376,0.0,0.0
