,names,scores,logfoldchanges,pvals,pvals_adj
0,TRDC,91.653625,9.290941,0.0,0.0
1,TRGC1,70.1624,7.1326075,0.0,0.0
2,CCL5,65.43243,5.7798786,0.0,0.0
3,CD3G,63.434956,4.8481956,0.0,0.0
4,IL32,62.76318,4.063979,0.0,0.0
5,CD3D,61.528328,4.6526175,0.0,0.0
6,TRGC2,59.87171,5.848979,0.0,0.0
7,NKG7,59.342865,5.7749305,0.0,0.0
8,PPP2R5C,58.55914,2.867887,0.0,0.0
9,CST7,57.46731,5.3837724,0.0,0.0
10,KLRD1,56.333244,5.510575,0.0,0.0
11,SYNE2,56.272846,4.206624,0.0,0.0
12,CD3E,55.488895,4.1707554,0.0,0.0
13,ARL4C,54.891445,3.0409985,0.0,0.0
14,GZMA,54.61686,5.31349,0.0,0.0
15,B2M,52.581135,0.533231,0.0,0.0
16,HCST,52.298416,2.0071778,0.0,0.0
17,GZMM,52.253963,4.098583,0.0,0.0
18,CTSW,51.61835,4.5576644,0.0,0.0
19,LYAR,51.003178,3.660979,0.0,0.0
20,PIK3R1,49.92733,2.8833923,0.0,0.0
21,DUSP2,48.231636,3.4853883,0.0,0.0
22,MALAT1,47.623524,0.56596756,0.0,0.0
23,HLA-B,46.618023,0.5594642,0.0,0.0
24,HLA-A,46.61663,0.61898565,0.0,0.0
25,GNLY,45.317074,4.654427,0.0,0.0
26,PRF1,45.119236,4.400404,0.0,0.0
27,KLRG1,43.28483,4.33475,0.0,0.0
28,SAMD3,43.053753,3.6599975,0.0,0.0
29,SYNE1,41.97983,3.1010194,0.0,0.0
30,CALM1,41.617245,0.8440347,0.0,0.0
31,PTPRC,40.410923,0.7277091,0.0,0.0
32,HLA-C,40.30383,0.58219326,0.0,0.0
33,CD247,40.30033,3.1982787,0.0,0.0
34,MYBL1,39.442566,3.5424674,0.0,0.0
35,GZMH,38.8175,3.9768624,0.0,0.0
36,CD7,38.40423,3.0273552,0.0,0.0
37,ZFP36L2,38.382484,1.1329753,0.0,0.0
38,LITAF,38.361122,2.0140316,0.0,0.0
39,PYHIN1,38.200188,3.3330019,0.0,0.0
40,SEPT7,37.832573,1.0562688,0.0,0.0
41,RUNX3,37.58564,2.5954165,3.689499131945343e-309,2.6899656931996287e-306
42,LCK,37.128765,2.7644944,9.652686700483993e-302,6.606771562465961e-299
43,MT-ATP6,36.831665,0.3800815,5.749225585231259e-297,3.856350553549719e-294
44,ABHD17A,36.48027,1.9304129,2.279427986153637e-291,1.4701433807619361e-288
45,FGFBP2,35.94108,3.7544017,6.976582020381758e-283,4.332974218510433e-280
46,ETS1,35.917255,2.5395064,1.643017476960542e-282,1.0018821844055028e-279
47,CD99,35.7823,1.7574453,2.0818946928617993e-280,1.246831860878554e-277
48,HOPX,35.764343,3.2737398,3.9600083536184835e-280,2.330013336204504e-277
49,RARRES3,35.47774,2.0101657,1.0836966562122443e-275,6.160172619668856e-273
50,MATK,34.50609,3.2605312,6.500473086811467e-261,3.516336554604564e-258
51,HLA-E,34.342827,0.50395596,1.8022670542925366e-258,9.158247343464106e-256
52,RORA,34.246613,2.6994665,4.898451103882182e-257,2.41594489885295e-254
53,C12orf75,33.93116,2.8437119,2.313167048260638e-252,1.0627259789666476e-249
54,GZMB,33.683506,3.500552,1.0081466810521754e-248,4.508163118550381e-246
55,CLEC2D,33.66539,2.25349,1.856500670695734e-248,8.192542038657044e-246
56,LINC01871,32.70912,3.1245706,1.158644026438782e-234,4.6817594408076954e-232
57,KLRB1,32.615738,3.0421743,2.4537012305997617e-233,9.568864171145909e-231
58,SPOCK2,32.444397,2.5108604,6.497751356386054e-231,2.4485571347244435e-228
59,IL2RG,32.23781,2.0602288,5.2144049945948956e-228,1.9217660957002596e-225
60,HSP90AA1,31.900566,0.6824601,2.6222833151800276e-223,8.974095696378343e-221
61,KLRC1,31.531353,4.2348347,3.230643841243965e-218,1.06224836419255e-215
62,PTPN4,31.304848,2.462286,4.0086789451527845e-215,1.2448432820605008e-212
63,MBP,31.212694,1.5748535,7.1664848115098385e-214,2.184996069167427e-211
64,MT-CYB,30.918455,0.35753688,6.748129859725237e-210,1.9510239589264224e-207
65,AES,30.632309,1.0843247,4.546960128395305e-206,1.3033841776591603e-203
66,CD81,30.41675,1.7577052,3.2989059716376287e-203,9.219892373065232e-201
67,CD2,30.292408,2.373187,1.4431342887107948e-201,3.934946160551434e-199
68,RNF213,30.139896,1.0807395,1.4550198725309277e-199,3.7828260841040504e-197
69,EVL,30.040915,1.6831646,2.8694815220004946e-198,7.346310785103251e-196
70,BTN3A2,29.602316,1.7315193,1.3951280985001307e-192,3.3905656643114043e-190
71,TRBC1,29.497679,2.6657946,3.083252385952818e-191,7.386151322863257e-189
72,SKAP1,29.402971,2.2748299,5.031680283635352e-190,1.188397840511003e-187
73,DDX5,29.322285,0.42698053,5.393012895052137e-189,1.2648312340857243e-186
74,PRKCH,29.203594,2.3810422,1.7458014141422463e-187,4.037978470862252e-185
75,APOBEC3G,28.641542,2.124709,2.0430737916362013e-180,4.4206844402512853e-178
76,CCL4,28.584646,2.3901606,1.0427447944505815e-179,2.22748884817093e-177
77,MT-ND5,28.32427,0.4400536,1.7369090418040134e-176,3.595830582964383e-174
78,NCR3,28.016989,2.8634555,1.0089859392384558e-172,2.0263096065975647e-170
79,TRG-AS1,27.67506,2.7305212,1.3940043809749566e-168,2.6715496530936054e-166
80,C1orf21,27.661633,2.9870136,2.0222649850480005e-168,3.8535638107124906e-166
81,IL7R,27.638428,2.4111645,3.8444360423354612e-168,7.284446101008289e-166
82,RASGRP1,27.5206,2.1833868,9.954011695716016e-167,1.8650147723515294e-164
83,CD69,27.47777,2.1013577,3.237156079652946e-166,6.031541144411139e-164
84,ATM,27.305107,1.2041081,3.68889754543817e-164,6.797705817522272e-162
85,IKZF3,27.233772,2.1898298,2.5872775310977865e-163,4.69038453178149e-161
86,ADGRG1,27.070143,2.9279218,2.2129379489706098e-161,3.9268525361151484e-159
87,MYL12A,27.06348,0.3331338,2.650907227726584e-161,4.679269821236536e-159
88,MACF1,26.868961,1.3613162,5.064932809543151e-159,8.80143609152633e-157
89,CXCR4,26.82947,1.3637755,1.4645589958333883e-158,2.518891261654368e-156
90,NCL,26.81987,0.6922756,1.8953421965489726e-158,3.2431625810132366e-156
91,DDX24,26.773226,0.9321834,6.626397173486976e-158,1.128102073118813e-155
92,HLA-F,26.639193,0.93708366,2.3879013126638183e-156,4.004271711205957e-154
93,ODF2L,26.274315,2.0497005,3.7707975543064125e-152,6.080048479631176e-150
94,OPTN,26.103386,2.0839858,3.337006623615868e-150,5.2542970959074635e-148
95,AAK1,25.87486,1.417311,1.2779664184878416e-147,1.975135379873052e-145
96,KIAA1551,25.761276,1.1399822,2.409886043745538e-146,3.640664780862066e-144
97,PRMT2,25.676659,1.2206947,2.130880984352703e-145,3.1621896660717236e-143
98,GZMK,25.64108,3.173182,5.316556279878624e-145,7.854919141610982e-143
99,S1PR5,25.573984,2.8747904,2.971439607368918e-144,4.3141186819021115e-142
100,FYN,25.325891,1.2211697,1.6568889936991498e-141,2.364627364709876e-139
101,IKZF2,24.700647,3.3104315,1.0524914596786358e-134,1.43489669002854e-132
102,EMB,24.66245,1.3102654,2.705986495018921e-134,3.674225711333788e-132
103,CD96,24.273033,2.0594678,3.777823348495407e-130,5.068025578473559e-128
104,SUN2,24.235235,1.3133773,9.463703162738337e-130,1.259498716952057e-127
105,KIF2A,24.1197,1.4691665,1.5533513210982247e-128,2.035011586210635e-126
106,TGFBR3,24.022308,2.6381686,1.6260844857870906e-127,2.1220086180672158e-125
107,SLFN5,23.572721,1.5483404,7.342686017121536e-123,9.188768792620226e-121
108,HSP90B1,23.536127,0.97467077,1.741303089718731e-122,2.1629564082587703e-120
109,SLC38A1,23.263042,1.7726597,1.0497505368816608e-119,1.26642206855889e-117
110,SYTL2,23.099783,2.5956557,4.653260797630244e-118,5.514525110633326e-116
111,UBB,22.887663,0.4812889,6.165957070857682e-116,7.180342647306421e-114
112,PAXX,22.865837,1.3309159,1.016853521835035e-115,1.1719324197698765e-113
113,PDCD4,22.863842,1.0415536,1.064362779909134e-115,1.2224862641298814e-113
114,SRSF7,22.78055,0.76565623,7.148825592767494e-115,8.127366533228347e-113
115,TBX21,22.664545,2.613009,1.002788253348116e-113,1.1210504146929705e-111
116,JAK1,22.65367,0.7239516,1.2836385156549102e-113,1.4302547687054611e-111
117,KLRC2,22.649544,3.4572716,1.409656915890856e-113,1.5654660147399845e-111
118,ZAP70,22.533207,1.9774059,1.962218951575567e-112,2.1228677160626246e-110
119,CD52,22.516108,0.6732322,2.8863741942006667e-112,3.11264365675569e-110
120,NCOA7,22.47444,1.7089003,7.383065634985904e-112,7.910966621921957e-110
121,DDX6,22.410526,0.99001646,3.1073822932212427e-111,3.3189613805749696e-109
122,STK17A,22.37312,1.5367278,7.192649181429128e-111,7.633767982492723e-109
123,ITGAL,22.347961,1.3055822,1.2638195493584305e-110,1.337097162346468e-108
124,CCSER2,22.300844,1.5985692,3.625897093535675e-110,3.812079521097162e-108
125,DIP2A,22.297855,1.6471429,3.8763307416286895e-110,4.0626368878982186e-108
126,SLC9A3R1,22.295786,1.3602692,4.05973024903949e-110,4.241596046488673e-108
127,CLEC2B,22.278507,1.1778764,5.97141583607389e-110,6.21954485435547e-108
128,MT-ND3,22.217285,0.25805148,2.3378430944246203e-109,2.4125102061788587e-107
129,ARAP2,22.162748,1.6199868,7.86036924948904e-109,8.037227557602543e-107
130,ACAP1,22.095875,1.2828242,3.462925111967203e-108,3.508748713146709e-106
131,IL2RB,22.0246,2.2214284,1.673824951720623e-107,1.680740755413361e-105
132,PARP8,21.950752,1.4618496,8.51800835443642e-107,8.502290600925258e-105
133,HIST1H1E,21.824945,1.2497499,1.3449527245513316e-105,1.3227866415250016e-103
134,DSTN,21.571949,1.2156222,3.295151953094666e-103,3.184807095184118e-101
135,RAP1B,21.5363,0.60800725,7.116793923983076e-103,6.81951527492984e-101
136,SYTL3,21.49909,1.974751,1.5877179181422351e-102,1.5084669557692433e-100
137,CHST12,21.462324,1.9629091,3.503528037901795e-102,3.2913535948221404e-100
138,TPST2,21.42126,1.6979585,8.466736729696942e-102,7.909677338177605e-100
139,TC2N,21.249414,1.9065115,3.3380455345584604e-100,3.050446080055086e-98
