,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9999690909652892,1.0,0.9333333333333333,0.9655172413793104,0.9999979384418743,0.9958333333333333,0.9660768460179819
B_intermediate,0.9860291163106976,0.717948717948718,0.11522633744855967,0.19858156028368795,0.9833211750329075,0.45657867587940293,0.2840862336211628
B_memory,0.9902945631007943,0.7834710743801653,0.7214611872146118,0.7511885895404119,0.9949790801810502,0.83400470723976,0.7469076870281569
B_naive,0.9940036472660959,0.9458388375165125,0.927461139896373,0.9365598430346631,0.9989193614274277,0.9715126591146735,0.9334627496189069
CD14_Mono,0.9886254752264086,0.9719269870609981,0.985359568985711,0.9785971850645575,0.9984053997868615,0.9947862745167583,0.970894676396674
CD16_Mono,0.9935709207801441,0.9131455399061033,0.9232594936708861,0.918174665617624,0.9981430659873592,0.9497802115274969,0.9148438158804788
CD4_CTL,0.9917163786974933,0.6652719665271967,0.45821325648414984,0.5426621160409556,0.9899021995335529,0.6155411084707818,0.548184049433954
CD4_Naive,0.9570982598213458,0.8153800119688809,0.7794622425629291,0.7970166715413863,0.9829841721694182,0.8726273136479179,0.7732898537459998
CD4_Proliferating,0.9995363644793374,0.64,0.7272727272727273,0.6808510638297872,0.9694312523021812,0.7415370755770962,0.6820128003508662
CD4_TCM,0.9218928692856923,0.632413388138579,0.36165211551376764,0.4601580858790857,0.9358884872040352,0.5527012290294233,0.4405990947043105
CD4_TEM,0.9736964114610701,0.5149700598802395,0.10046728971962617,0.1681329423264907,0.9474274956908816,0.32915734603547897,0.2192517068626433
CD8_Naive,0.9796927641949742,0.8614196040560116,0.8282265552460538,0.8444970414201183,0.9831930552405348,0.8944494446316791,0.833822782225082
CD8_Proliferating,0.9993818193057831,0.42857142857142855,0.3333333333333333,0.375,0.9977750287785854,0.34935642348914997,0.3776605779991632
CD8_TCM,0.9882854758445894,0.728110599078341,0.5476603119584056,0.6251236399604353,0.9830850725442046,0.689650335245068,0.6257840029658188
CD8_TEM,0.9802800358544803,0.8853273137697517,0.8362473347547974,0.8600877192982456,0.9915465328648678,0.9276486576456227,0.8498892450472376
Doublet,0.996198188730566,0.0,0.0,0.0,0.9162741098113059,0.23146725299183613,-0.00048174831129402967
Eryth,0.9997218186876023,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.9999054050120789,0.8535700474198074,0.7755011998997595
HSPC,0.9996909096528915,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9992810691234205,0.9478706576828011,0.9240875631528216
ILC,0.999196365097518,0.5,0.038461538461538464,0.07142857142857144,0.9644700429029318,0.35041686408005995,0.13851210822700388
MAIT,0.9934472846413006,0.8248587570621468,0.7863554757630161,0.8051470588235293,0.99658030898504,0.872542407250299,0.802053548889192
NK,0.9809600346181189,0.8944864259725721,0.9304221251819506,0.9121004566210046,0.9959259092592586,0.9603612173764892,0.9016486846399929
NK_CD56bright,0.9980527308132167,0.8539325842696629,0.8042328042328042,0.8283378746594006,0.9985507475247557,0.8987230550107296,0.827735711109008
NK_Proliferating,0.9988254566809879,0.8333333333333334,0.8181818181818182,0.8256880733944955,0.9991282110563815,0.8967847572455782,0.8251338270654232
Plasmablast,0.9998454548264458,1.0,0.9315068493150684,0.9645390070921985,0.9997623533805231,0.9714101973942961,0.9650712855603543
Platelet,0.9982381850214818,0.9527027027027027,0.9215686274509803,0.9368770764119602,0.9812070156685962,0.9532302837570661,0.9361167953245566
Treg,0.9845145736098662,0.0,0.0,0.0,0.860394807521714,0.0896953968573373,0.0
cDC1,0.9999690909652892,0.967741935483871,1.0,0.9836065573770492,0.9999989687425879,0.9989247311827957,0.98372353624001
cDC2,0.9979290946743733,0.9427402862985685,0.922,0.9322548028311426,0.999465168116033,0.9784346133289263,0.9312628155897154
dnT,0.9985472753685902,1.0,0.3380281690140845,0.5052631578947369,0.9684579816424101,0.5305438573276714,0.5809791240814725
gdT,0.9916854696627825,0.8508371385083714,0.7657534246575343,0.8060562364816151,0.985409310632672,0.8523145690342498,0.8029820528287023
pDC,0.9996600006181807,0.9653179190751445,0.9709302325581395,0.9681159420289854,0.9999920507767476,0.9985268070655902,0.9679491423937625
