,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9997836300692384,0.9,0.6,0.7200000000000001,0.7999845378359155,0.5401854599406528,0.7347522463192808
B_intermediate,0.9849777448071216,0.0,0.0,0.0,0.5,0.015022255192878338,0.0
B_memory,0.9907579129574678,0.7832278481012658,0.7534246575342466,0.7680372381691233,0.8745511045992734,0.5951105916246071,0.7634735788383511
B_naive,0.9941271018793274,0.9390402075226978,0.9378238341968912,0.9384316267012314,0.9673863393264382,0.8836216469344259,0.9353483301038781
CD14_Mono,0.9900778931750742,0.9754658025691471,0.98723354415554,0.981314395482857,0.989165608896448,0.9663817503947268,0.974592856500949
CD16_Mono,0.9933852621167161,0.8983308042488619,0.9367088607594937,0.91711851278079,0.9661992579659539,0.8439472234418154,0.9138920916249044
CD4_CTL,0.9930143422354105,0.8538011695906432,0.4207492795389049,0.5637065637065637,0.7099840757950735,0.3654491349866069,0.5966122785431379
CD4_Naive,0.9584569732937686,0.829454990814452,0.7748855835240275,0.8012422360248447,0.8777914194304363,0.6670588767798016,0.7786383176412324
CD4_Proliferating,0.9996290801186943,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.7726963417034558,0.4678415674335555,0.6836013378515942
CD4_TCM,0.9267124134520277,0.7003300330033003,0.3562793821356615,0.472290229245493,0.6704117684151447,0.308767602488039,0.4663705242042122
CD4_TEM,0.9735410484668645,0.0,0.0,0.0,0.5,0.02645895153313551,0.0
CD8_Naive,0.9790739366963402,0.8491725768321513,0.8337975858867224,0.8414148512532209,0.9116169862011928,0.7191038210228066,0.8302534486419321
CD8_Proliferating,0.9994745301681504,1.0,0.05555555555555555,0.10526315789473684,0.5277777777777778,0.056081025387405205,0.23564032312985692
CD8_TCM,0.9879760138476755,0.8790322580645161,0.3778162911611785,0.5284848484848484,0.6884360763437678,0.3432093940020317,0.5718989784163435
CD8_TEM,0.983834075173096,0.8985126859142607,0.8759061833688699,0.8870654286331245,0.9340873270295211,0.7960076245493339,0.878443585151846
Doublet,0.9962598911968348,0.0,0.0,0.0,0.5,0.003740108803165183,0.0
Eryth,0.9998763600395648,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9705418459327445,0.7926005694328332,0.8902035857098856
HSPC,0.9997218100890207,1.0,0.8636363636363636,0.9268292682926829,0.9318181818181819,0.8639145535473429,0.9291908763372181
ILC,0.9991963402571711,0.0,0.0,0.0,0.5,0.0008036597428288823,0.0
MAIT,0.994343471810089,0.8339285714285715,0.8384201077199281,0.8361683079677708,0.9177475597571177,0.701964381797661,0.8332934942764164
NK,0.986337784371909,0.9193051274866909,0.9551673944687045,0.9368932038834952,0.9726039275487002,0.8828504218199384,0.9294499481514893
NK_CD56bright,0.9974035608308606,0.8260869565217391,0.7037037037037037,0.76,0.851416569073504,0.5830514103317613,0.7611692504272791
NK_Proliferating,0.9988563303659743,0.8476190476190476,0.8090909090909091,0.8279069767441859,0.9042973309799189,0.6864499755931506,0.8275588568433236
Plasmablast,0.9997218100890207,0.9848484848484849,0.8904109589041096,0.935251798561151,0.9451899895050304,0.8771671636900693,0.9363059062573297
Platelet,0.9988872403560831,0.9862068965517241,0.934640522875817,0.959731543624161,0.9672261969096421,0.9226762291601043,0.9595233545897964
Treg,0.9845140949554896,0.0,0.0,0.0,0.5,0.015485905044510386,0.0
cDC1,0.9999690900098912,1.0,0.9666666666666667,0.983050847457627,0.9833333333333334,0.9666975766567755,0.9831768712707363
cDC2,0.997496290801187,0.9337474120082816,0.902,0.9175991861648015,0.9504976767549919,0.8437547551468013,0.9164697263311182
dnT,0.9983617705242335,1.0,0.2535211267605634,0.40449438202247184,0.6267605633802817,0.25515935623632996,0.5030959846495006
gdT,0.9935089020771514,0.8869047619047619,0.8164383561643835,0.8502139800285307,0.9070174830597391,0.7282450045584673,0.8476604770503162
pDC,0.9997836300692384,0.9824561403508771,0.9767441860465116,0.9795918367346939,0.9883254802202726,0.95973196309385,0.9794872833953936
