,names,scores,logfoldchanges,pvals,pvals_adj
0,CTSS,318.00012,4.686052,0.0,0.0
1,FTL,314.61798,2.924538,0.0,0.0
2,PSAP,313.8996,4.1630225,0.0,0.0
3,FCN1,313.55637,6.1403203,0.0,0.0
4,NEAT1,312.89227,3.5288045,0.0,0.0
5,LYZ,312.32443,5.9504128,0.0,0.0
6,AIF1,310.71683,4.6409197,0.0,0.0
7,MNDA,308.3341,5.6390567,0.0,0.0
8,S100A9,308.19696,5.8197618,0.0,0.0
9,LST1,307.6228,4.5824637,0.0,0.0
10,SERPINA1,307.3855,5.9304914,0.0,0.0
11,S100A6,306.55258,2.5882308,0.0,0.0
12,TYROBP,305.75677,4.164611,0.0,0.0
13,CYBB,305.72678,4.929951,0.0,0.0
14,S100A11,304.71494,3.3002899,0.0,0.0
15,TYMP,304.50922,4.498185,0.0,0.0
16,TKT,304.00455,3.5722384,0.0,0.0
17,FGL2,304.00412,4.909005,0.0,0.0
18,FTH1,302.9038,2.700568,0.0,0.0
19,SAT1,302.3808,3.8770063,0.0,0.0
20,CFD,301.4719,5.4033947,0.0,0.0
21,BRI3,301.04663,3.4233503,0.0,0.0
22,CST3,300.3867,5.273642,0.0,0.0
23,COTL1,298.1849,3.3277857,0.0,0.0
24,GRN,296.1551,4.4514976,0.0,0.0
25,NCF2,295.32388,5.1708508,0.0,0.0
26,TSPO,295.32153,2.8950143,0.0,0.0
27,APLP2,294.5221,3.8060212,0.0,0.0
28,S100A8,293.5614,5.7736278,0.0,0.0
29,CSTA,293.01758,5.26599,0.0,0.0
30,SPI1,292.85376,4.6960416,0.0,0.0
31,DUSP1,292.65695,3.5584853,0.0,0.0
32,MPEG1,291.91534,4.9398217,0.0,0.0
33,CLEC7A,291.89426,5.270626,0.0,0.0
34,TNFAIP2,290.31662,5.2950706,0.0,0.0
35,VCAN,288.4393,6.010104,0.0,0.0
36,AP1S2,287.53644,3.6751602,0.0,0.0
37,NAMPT,287.32416,4.6919723,0.0,0.0
38,CD68,286.41672,4.972753,0.0,0.0
39,CEBPB,284.0711,3.3653636,0.0,0.0
40,SRGN,283.53357,2.8525262,0.0,0.0
41,CD14,282.97702,6.095287,0.0,0.0
42,CLEC12A,281.74326,5.2947736,0.0,0.0
43,CEBPD,280.29782,4.38991,0.0,0.0
44,CSF3R,279.71893,5.413785,0.0,0.0
45,FCGRT,278.2643,3.7172484,0.0,0.0
46,MS4A6A,277.9286,5.2613835,0.0,0.0
47,ASAH1,277.4131,3.3007073,0.0,0.0
48,S100A4,276.72784,2.3528636,0.0,0.0
49,FOS,275.4944,4.5618057,0.0,0.0
50,OAZ1,274.1218,1.5789021,0.0,0.0
51,FCER1G,273.0654,3.7450716,0.0,0.0
52,SLC11A1,272.91724,5.3932123,0.0,0.0
53,CFP,272.3939,4.6086564,0.0,0.0
54,RNF130,271.58682,3.789274,0.0,0.0
55,CPVL,271.57544,4.9606504,0.0,0.0
56,LILRB2,271.23477,5.3131475,0.0,0.0
57,IGSF6,271.0082,4.90276,0.0,0.0
58,LGALS3,270.7487,3.8604653,0.0,0.0
59,TNFSF13B,268.23206,4.436561,0.0,0.0
60,TNFRSF1B,267.0989,3.0992608,0.0,0.0
61,ANXA5,265.5986,2.9675963,0.0,0.0
62,VSIR,265.12274,2.92139,0.0,0.0
63,NPC2,262.35495,3.0148304,0.0,0.0
64,PYCARD,261.40588,2.8516266,0.0,0.0
65,PILRA,260.5328,5.2072783,0.0,0.0
66,S100A12,259.6445,5.657924,0.0,0.0
67,TALDO1,259.10156,2.689488,0.0,0.0
68,CTSB,258.61176,3.5856643,0.0,0.0
69,DMXL2,257.41626,5.2901926,0.0,0.0
70,TIMP2,257.13998,4.8555827,0.0,0.0
71,LGALS1,256.87894,3.0047953,0.0,0.0
72,CTSZ,256.82266,3.2136,0.0,0.0
73,CD36,256.6093,5.026369,0.0,0.0
74,IRAK3,255.68416,5.212221,0.0,0.0
75,LRP1,255.27533,5.37799,0.0,0.0
76,BLVRB,254.31854,3.9035707,0.0,0.0
77,HCK,253.43471,4.8627963,0.0,0.0
78,LILRB3,252.89824,5.192229,0.0,0.0
79,CPPED1,252.6894,4.361036,0.0,0.0
80,GNAI2,252.0652,1.8347982,0.0,0.0
81,SDCBP,250.60371,2.648514,0.0,0.0
82,GSTP1,250.58388,2.3948545,0.0,0.0
83,MARCKS,250.40169,4.3358684,0.0,0.0
84,CD302,249.81697,4.8425603,0.0,0.0
85,C5AR1,249.2542,5.843811,0.0,0.0
86,VMP1,249.16174,3.1001546,0.0,0.0
87,ATP2B1-AS1,249.04126,3.9054224,0.0,0.0
88,ZEB2,248.67555,2.8665395,0.0,0.0
89,FPR1,248.25235,5.7679415,0.0,0.0
90,FGR,247.44662,3.1287394,0.0,0.0
91,JAML,246.94336,3.173468,0.0,0.0
92,ZFP36,246.54504,2.7053561,0.0,0.0
93,ACTB,246.54173,1.3602139,0.0,0.0
94,VIM,246.36024,1.7733226,0.0,0.0
95,KCTD12,245.67181,4.8039303,0.0,0.0
96,SLC7A7,245.08525,5.055591,0.0,0.0
97,PLBD1,244.38051,5.1934032,0.0,0.0
98,LYN,243.8646,3.0322227,0.0,0.0
99,EVI2B,243.58752,2.050225,0.0,0.0
100,ANXA2,242.94841,2.5477147,0.0,0.0
101,PECAM1,242.90607,3.5842857,0.0,0.0
102,H3F3A,242.85799,1.0913646,0.0,0.0
103,TGFBI,242.18489,4.6590157,0.0,0.0
104,GCA,241.9224,3.8825536,0.0,0.0
105,ITGB2,240.95152,2.1768177,0.0,0.0
106,CTSD,240.34186,2.6995041,0.0,0.0
