Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	Clus_ASDC	Plasmacytoid dendritic cell	3.27020820204617e-15	2.14212903698532e-16	0.00307017449684551	6/93	9/295	PLAC8,CST3,SOX4,TCF4,IRF8,CCDC50	PLAC8,SOX4,TCF4,C12orf75,IRF8,TXN,APP,PLP2,CCDC50
2	Clus_ASDC	Monocyte	2.94406294060724e-09	7.15296205727584e-12	0.187827911857293	8/218	10/365	CST3,TXN,ANXA2,MALAT1,FTL,S100A9,CD52,SAT1	S100A10,PLAC8,CST3,SAMHD1,FCGRT,ANXA2,FTL,S100A9,CD52,SAT1
3	Clus_ASDC	Suppressor macrophage	8.11085308745236e-09	1.39842294611248e-10	NA	2/16	0/1	CST3,S100A9	
4	Clus_ASDC	Macrophage	5.35453126065358e-07	2.99409999221115e-09	0.172172172172172	8/281	14/653	CST3,FTL,S100A9,CD52,B2M,MT-ND2,SAT1,MT-CO3	S100A10,PLAC8,CST3,AXL,IRF8,SAMHD1,FCGRT,ANXA2,TMSB4X,FTL,S100A9,CD52,B2M,SAT1
5	Clus_ASDC	CD1c-positive myeloid dendritic cell	1.05522052650098e-05	2.72901860301978e-07	NA	2/15	2/35	CST3,S100A9	CST3,S100A9
6	Clus_ASDC	Classical monocyte	4.5709747510948e-05	1.57619819003269e-06	NA	3/122	2/66	PLAC8,CST3,S100A9	CST3,S100A9
7	Clus_ASDC	Monocyte-derived dendritic cell	0.000353041885780282	1.11097589599578e-05	0.0926315789473684	2/26	8/577	CST3,S100A9	PPP1R14A,TXN,ANXA2,CCDC50,TMSB4X,FTL,B2M,SAT1
8	Clus_ASDC	Neutrophil	0.00159623841564834	7.56837179833264e-05	NA	3/117	4/280	PLAC8,CST3,S100A9	PLAC8,TXN,S100A9,RPLP1
9	Clus_ASDC	Conventional dendritic cell	0.00211581798685624	0.000109438861389116	NA	2/22	4/99	CST3,IRF8	CST3,IRF8,S100A9,SAT1
10	Clus_ASDC	Memory B cell	0.00443119242051726	0.000248299575287605	NA	2/39	2/44	S100A10,IRF8	PLAC8,CD52
1	Clus_B_intermediate	Naive B cell	9.54768646613285e-18	3.08781928502017e-20	0.082579185520362	2/22	6/66	MS4A1,IGHM	MS4A1,BANK1,IGHM,CD79A,TMSB10,TXNIP
2	Clus_B_intermediate	Memory B cell	4.92375205236757e-17	3.13104756435885e-20	0.583720930232558	4/39	7/44	MS4A1,BANK1,IGHM,GPR183	MS4A1,RALGPS2,BANK1,IGHM,CD79A,TMSB10,TXNIP
3	Clus_B_intermediate	Immature B cell	1.54693622698097e-12	1.39224138119323e-13	0.00672565825572202	2/5	6/119	MS4A1,CD79A	MS4A1,RALGPS2,BANK1,IGHM,GPR183,CD79A
4	Clus_B_intermediate	Plasma cell	2.96150372077765e-09	8.93557157131186e-11	NA	3/64	2/333	MS4A1,IGHM,CD79A	IGHM,CD79A
5	Clus_B_intermediate	Granulocyte	1.49251830428772e-08	5.14661484237143e-10	NA	4/69	0/40	MS4A1,BANK1,IGHM,CD79A	
6	Clus_B_intermediate	Pro-B cell	2.32754678505704e-07	9.02927632134197e-09	NA	3/17	3/73	MS4A1,IGHM,CD79A	IGHM,CD79A,CXCR4
7	Clus_B_intermediate	Effector memory CD8-positive, alpha-beta T cell	3.19135581018647e-05	1.37558440094244e-06	NA	3/47	1/78	GPR183,TMSB4X,CXCR4	IGHM
8	Clus_B_intermediate	Alternatively activated macrophage	0.000922156121739278	5.07580109610398e-06	0.882091212458287	3/56	5/215	GPR183,TXNIP,CXCR4	TMSB10,TXNIP,TMSB4X,ACTB,TPT1
9	Clus_B_intermediate	Plasmacytoid dendritic cell	0.0012012247328897	8.2843085026876e-05	NA	3/93	3/295	MS4A1,GPR183,CD79A	IGHM,GPR183,CXCR4
10	Clus_B_intermediate	Helper T cell	0.0103180246601391	0.000756062151820537	NA	2/60	3/159	GPR183,CXCR4	TXNIP,CXCR4,MALAT1
1	Clus_B_memory	Memory B cell	3.57141331171857e-25	1.5481607726021e-27	0.0300230946882217	8/39	8/44	HLA-DRA,BANK1,AIM2,MS4A1,BLK,CD74,IGHG1,IGHM	HLA-DRA,BANK1,MS4A1,CD74,TXNIP,IGKC,IGHM,BTG1
2	Clus_B_memory	Granulocyte	8.81346260278352e-22	1.13967188829097e-23	NA	10/69	2/40	HLA-DRA,BANK1,MS4A1,IGHA1,TNFRSF13C,CD74,IGKC,IGHM,PTPRC,LYZ	HLA-DRA,FTH1
3	Clus_B_memory	Plasma cell	4.36974400241577e-21	2.77503243216109e-23	0.0485115766262404	6/64	6/333	MS4A1,IGHA1,IGHG1,IGKC,IGHM,PTPRC	IGHA1,CD74,IGHG1,IGKC,IGHM,B2M
4	Clus_B_memory	Dendritic cell	1.36025479211886e-15	6.93486938773277e-17	0.0118970635448222	6/143	10/307	HLA-DRA,LTB,CD74,IGKC,PTPRC,LYZ	HLA-DRA,CD74,MARCKS,PTPRC,TMSB4X,FTH1,B2M,SERF2,LYZ,CTSS
5	Clus_B_memory	Naive B cell	1.81282983068234e-12	2.52245624230314e-14	0.0708915145005371	3/22	8/66	MS4A1,IGHM,BTG1	HLA-DRA,BANK1,MS4A1,CD74,TXNIP,IGKC,IGHM,BTG1
6	Clus_B_memory	Monocyte	1.87928602890905e-12	1.67018987790232e-13	0.012543300733542	7/218	13/365	HLA-DRA,CD74,PTPRC,FTH1,MALAT1,LYZ,CTSS	HLA-DRA,LTB,CD74,TXNIP,MARCKS,IGKC,PTPRC,FTH1,ITM2B,SERF2,LYZ,CTSS,MYL6
