,names,scores,logfoldchanges,pvals,pvals_adj
0,MS4A1,79.61887,5.6207294,0.0,0.0
1,RALGPS2,78.71718,4.872094,0.0,0.0
2,CD79A,78.350494,5.215313,0.0,0.0
3,BANK1,78.343735,5.1540427,0.0,0.0
4,CD79B,73.03634,4.064107,0.0,0.0
5,IGHM,72.68969,5.704934,0.0,0.0
6,CD37,71.857895,1.9759489,0.0,0.0
7,CD74,69.855286,3.1658788,0.0,0.0
8,TNFRSF13C,68.00469,4.335702,0.0,0.0
9,HLA-DQA1,67.16727,3.3122485,0.0,0.0
10,HLA-DPB1,66.586,2.7785797,0.0,0.0
11,HLA-DRA,65.4958,3.349245,0.0,0.0
12,HLA-DQB1,62.035297,2.705699,0.0,0.0
13,HLA-DPA1,60.989086,2.5539398,0.0,0.0
14,LINC00926,60.881283,3.9505358,0.0,0.0
15,SWAP70,60.588314,3.2181618,0.0,0.0
16,RPS11,60.288795,0.81861836,0.0,0.0
17,TCF4,60.102055,3.6328244,0.0,0.0
18,CD22,57.580597,4.160185,0.0,0.0
19,ARHGAP24,56.834244,3.740631,0.0,0.0
20,HLA-DRB1,55.73712,2.4534414,0.0,0.0
21,IGHD,55.54607,3.9063075,0.0,0.0
22,BCL11A,55.34656,3.1328,0.0,0.0
23,CCDC50,53.931015,3.0923588,0.0,0.0
24,AFF3,53.69236,3.553591,0.0,0.0
25,COBLL1,53.15492,4.466003,0.0,0.0
26,BLK,51.827427,4.0942955,0.0,0.0
27,TNFRSF13B,50.51,5.467473,0.0,0.0
28,PAX5,50.4508,4.1175036,0.0,0.0
29,SPIB,50.358536,4.191309,0.0,0.0
30,P2RX5,50.00435,3.7113175,0.0,0.0
31,LINC01857,49.314552,5.925576,0.0,0.0
32,EZR,48.73624,1.7885964,0.0,0.0
33,ADAM28,48.30291,3.4552858,0.0,0.0
34,IGKC,48.186,4.250308,0.0,0.0
35,FCRL2,48.13237,5.145349,0.0,0.0
36,CXXC5,47.744137,2.4556372,0.0,0.0
37,HLA-DRB5,47.17053,1.9816165,0.0,0.0
38,RPL8,47.08227,0.6594204,0.0,0.0
39,FAM129C,47.062744,3.900069,0.0,0.0
40,SP140,46.803013,2.4752414,0.0,0.0
41,TSC22D3,46.53373,1.4172262,0.0,0.0
42,HLA-DMB,46.04529,1.9351918,0.0,0.0
43,VPREB3,45.50602,3.898619,0.0,0.0
44,HLA-DMA,45.264683,1.8343475,0.0,0.0
45,RPS23,45.10415,0.6897549,0.0,0.0
46,LTB,45.088722,1.8410909,0.0,0.0
47,RPL13A,45.011414,0.71703357,0.0,0.0
48,IKZF3,44.772484,1.9035971,0.0,0.0
49,MARCH1,44.733624,1.9105706,0.0,0.0
50,FCRLA,44.71456,4.640769,0.0,0.0
51,IFT57,44.586296,2.7006388,0.0,0.0
52,MEF2C,44.576263,1.9213107,0.0,0.0
53,PDLIM1,43.906006,2.941251,0.0,0.0
54,JUND,43.7606,1.0632625,0.0,0.0
55,RPL41,43.336998,0.5219797,0.0,0.0
56,POU2F2,42.440956,1.5734061,0.0,0.0
57,STRBP,42.168774,2.715788,0.0,0.0
58,GPR183,42.083847,1.9050214,0.0,0.0
59,RPL18A,41.9508,0.6608885,0.0,0.0
60,ORAI2,41.5437,2.062837,0.0,0.0
61,SNX2,41.289906,1.6012297,0.0,0.0
62,STX7,41.288483,1.860583,0.0,0.0
63,CYB561A3,41.21273,2.3772101,0.0,0.0
64,RPL23A,41.088493,0.6860085,0.0,0.0
65,RPS8,41.011917,0.68586206,0.0,0.0
66,IRF8,40.952488,2.090471,0.0,0.0
67,POU2AF1,40.700745,4.130049,0.0,0.0
68,FCMR,40.489586,1.8805249,0.0,0.0
69,FCRL5,40.319706,4.5540347,0.0,0.0
70,CD52,40.303177,0.89311576,0.0,0.0
71,OSBPL10,40.249287,3.9358616,0.0,0.0
72,RPS18,40.186234,0.6943818,0.0,0.0
73,CD24,40.13027,4.383864,0.0,0.0
74,PRDM2,40.06875,1.5925227,0.0,0.0
75,AIM2,39.92354,3.9023278,0.0,0.0
76,CD82,39.59372,2.5410223,0.0,0.0
77,NCOA3,39.263077,1.6661259,0.0,0.0
78,RPS5,38.46281,0.85314214,0.0,0.0
79,FAU,38.422157,0.40922266,0.0,0.0
80,HLA-DOB,38.246014,3.5854232,0.0,0.0
81,GNG7,38.22713,3.1902912,0.0,0.0
82,TPD52,38.159916,2.512008,0.0,0.0
83,RPL12,38.048965,0.55614245,0.0,0.0
84,BLNK,37.908905,3.7575233,0.0,0.0
85,SMARCB1,37.555347,2.1521974,1.152353595041349e-308,3.450681684865783e-306
86,GGA2,37.47495,2.323907,2.357347910005937e-307,6.935152123313958e-305
87,RPS27,37.34293,0.7254347,3.30234338649453e-305,9.547757973814961e-303
88,SP110,37.322994,1.2473215,6.954324406983242e-305,1.993454119328239e-302
89,FCRL1,36.974506,3.5325568,2.9423167728575684e-299,8.362662705770942e-297
90,IGLC2,36.940018,3.7145078,1.0534226121114335e-298,2.9688813079826266e-296
91,BTG1,36.824516,0.7702996,7.482206626672912e-297,2.091152048711301e-294
92,RPS20,36.607685,0.63146186,2.158261444095567e-293,5.933096091153863e-291
93,TLR10,36.53287,4.210546,3.3358703528635745e-292,9.022453217285368e-290
94,FCGR2B,36.429546,3.4041839,1.450337860284112e-290,3.891314492656684e-288
95,JCHAIN,36.426888,3.2485912,1.597903900669686e-290,4.253214366719042e-288
96,CLECL1,36.301544,4.130773,1.5296483319823438e-288,3.9462573660018344e-286
97,FCRL3,36.15026,2.967529,3.685290004906759e-286,9.223675834668871e-284
98,PPM1K,36.018116,1.7820336,4.3543511945931375e-284,1.0817498545501084e-281
99,PARP1,35.943935,1.425948,6.294932982553354e-283,1.5410179734954336e-280
100,BIRC3,35.895496,1.6289853,3.591059392922154e-282,8.727315211581391e-280
101,MBD4,35.80701,1.4960296,8.590526200076375e-281,2.072727105742169e-278
102,RPS21,35.611317,0.60366535,9.360454286227978e-278,2.195321089870727e-275
103,RPS2,35.589222,0.5030311,2.0567333583377098e-277,4.790189123050702e-275
104,PTPN1,35.356228,1.4770201,8.043595911421786e-274,1.8604559977742334e-271
105,EBF1,35.27485,4.218321,1.4274335625757552e-272,3.2346801906530866e-270
106,PARP15,35.274395,2.344436,1.4505316200489026e-272,3.2649617096107447e-270
107,RPL7A,34.98879,0.47206673,3.3318108435494736e-268,7.400150468275645e-266
108,SMIM14,34.881645,2.0247715,1.4112042937618838e-266,3.113748000275399e-264
109,LINC02397,34.678917,3.7437131,1.6379981135211384e-263,3.5905346883184277e-261
110,ODC1,34.559006,1.7075726,1.0439727817265695e-261,2.2301120479965405e-259
111,EEF1B2,34.513527,0.7620433,5.027501216657361e-261,1.0671666823054086e-258
112,CD19,34.121765,4.193307,3.5086885720854427e-255,7.263851687074172e-253
113,SYPL1,34.01455,1.7537858,1.3577557559854933e-253,2.7936449413645077e-251
114,KIAA0040,33.82741,1.9615151,7.799100723076099e-251,1.5930199824899128e-248
115,RPL11,33.66999,0.4629041,1.5899253596037696e-248,3.212223898216339e-246
116,IGHG1,33.630466,3.8084986,6.0183941672367825e-248,1.2086521172502227e-245
117,PKIG,33.59541,3.597719,1.9575204816387243e-247,3.9078167805475916e-245
118,RPL35,33.522335,0.51149446,2.2786291813361542e-246,4.469044765125844e-244
119,SYK,33.480446,1.6218234,9.28234606873044e-246,1.8099495491458228e-243
120,RPLP2,32.974297,0.5049509,1.8977588872925602e-238,3.6163089523873793e-236
121,PRKCB,32.836536,1.1012241,1.7732605125674448e-236,3.341101745532975e-234
122,FAM30A,32.8236,3.7267911,2.712275747793993e-236,5.081804694386309e-234
123,CD40,32.564713,2.701279,1.2963755878099178e-232,2.388892552965331e-230
124,ISG20,32.557617,1.1634259,1.6336182767936232e-232,2.977624443864377e-230
125,ZDHHC21,32.288433,2.7041638,1.0166293708333588e-228,1.813601906330276e-226
126,IGLC3,32.255253,3.8642588,2.969293903073091e-228,5.269004175728324e-226
127,EEF2,32.05797,0.607336,1.7001626663713905e-225,2.985343220144696e-223
128,SEL1L3,32.011692,2.3588092,7.497347307627465e-225,1.3096147604333852e-222
129,HSP90AB1,31.994698,0.7679144,1.2922901339506402e-224,2.2456386794008586e-222
130,PNISR,31.893623,0.6832819,3.2730265018004047e-223,5.62926988807087e-221
131,SP100,31.852657,0.9448607,1.209368078594491e-222,2.069376868362349e-220
132,SMC6,31.71902,2.1971812,8.494707824525391e-221,1.4461701066950892e-218
133,BASP1,31.704409,1.8498411,1.3508511191826978e-220,2.2881234765226925e-218
134,PTMA,31.570568,0.34567937,9.362564934216425e-219,1.5621975261878135e-216
135,WDFY4,31.277159,2.8737862,9.542730673217746e-215,1.5611907381384233e-212
136,TRAF5,31.076473,2.0362072,5.008714963673021e-212,8.154479730663387e-210
137,PARP14,30.89127,1.1982399,1.5647570223373188e-209,2.5230202411129325e-207
138,FOXP1,30.873755,0.9819544,2.6890279278528596e-209,4.315053523652115e-207
139,RPL18,30.735106,0.45027012,1.933811952712321e-207,3.0883897747650393e-205
140,RPL19,30.706196,0.43761176,4.7046255073963565e-207,7.4779019083914215e-205
141,RPL27A,30.700544,0.47737458,5.59729585003052e-207,8.854816425392622e-205
142,RPL10A,30.687017,0.59920734,8.481423500506444e-207,1.3292055203737622e-204
143,RPL29,30.65913,0.39926523,1.9969661793756553e-206,3.1150814755302664e-204
144,RPSA,30.61437,0.73118097,7.880246482649405e-206,1.2235541969217395e-203
145,EAF2,30.463028,2.2394466,8.051951306029513e-204,1.238744692209256e-201
146,CIITA,30.28411,1.8985527,1.856039082020432e-201,2.8423670654247146e-199
147,TTN,30.260168,2.548909,3.8342933359092436e-201,5.845205904532918e-199
148,DNAJC10,30.11389,1.5445862,3.18791689556527e-199,4.794455463832647e-197
149,RPL39,30.104074,0.42257863,4.2853757421608e-199,6.416202305383434e-197
150,JUN,29.716932,1.2767408,4.6405058701858185e-194,6.856091888735329e-192
151,TBC1D9,29.65022,2.3842754,3.3694673494814943e-193,4.956368244162735e-191
152,PLAC8,29.459297,0.9603183,9.57065142845025e-191,1.401661605272334e-188
153,CD72,29.321012,3.410678,5.59828997054466e-189,8.092907285867536e-187
154,CHD7,29.3101,1.9600412,7.711235624493927e-189,1.1099545938810185e-186
155,MTPN,29.116747,0.80713063,2.2035155695941436e-186,3.1314197107223895e-184
156,TCEA1,29.00883,0.9023365,5.091672280226892e-185,7.205253372753144e-183
157,ZBTB20,29.005415,1.3732471,5.6223254280813835e-185,7.922754210377875e-183
158,CPNE5,28.87731,3.5220962,2.301394663927194e-183,3.198824903948034e-181
159,IGHG3,28.877209,3.8789194,2.3081746876838937e-183,3.198824903948034e-181
160,SNX3,28.86769,0.92143196,3.0392112933018245e-183,4.1946118664508886e-181
161,TMEM156,28.849472,2.2856162,5.144819667116187e-183,7.042733142683375e-181
162,QRSL1,28.785189,2.393868,3.287297854749917e-182,4.48168274197572e-180
163,SMCHD1,28.78475,0.8371166,3.329230452771182e-182,4.5204749362364335e-180
164,FCHSD2,28.699614,1.7482831,3.857851626802345e-181,5.19616979356213e-179
165,RPS7,28.65108,0.39914078,1.5541537270855155e-180,2.084928307959761e-178
166,MZB1,28.634945,2.972259,2.46859578503535e-180,3.298476710697831e-178
167,CHCHD10,28.629557,1.0688628,2.8809728027880065e-180,3.83420896269461e-178
168,TSPAN3,28.337473,1.8425267,1.19432713614151e-176,1.5585736767281698e-174
169,RPL36,28.205906,0.46769208,4.9494011388483986e-175,6.384346745949907e-173
170,RPS4X,28.152992,0.47207162,2.2026075715556607e-174,2.819505829573807e-172
171,EBLN3P,28.06669,1.2627131,2.499318628162076e-173,3.1750813693674133e-171
172,CD1C,28.053905,3.5542064,3.579591600808733e-173,4.5302770984122e-171
173,AC004687.1,28.019457,1.0814737,9.414543012695836e-173,1.1870110660142593e-170
174,SH3BP5,28.007236,1.2034147,1.326405966911594e-172,1.6661049931940466e-170
175,PLCG2,27.90249,1.218352,2.4886689585472732e-171,3.102787343188047e-169
176,HERPUD1,27.8119,1.1741434,3.1144904359247297e-170,3.854383034687955e-168
177,BCAS4,27.687597,2.2452984,9.847971564780325e-169,1.2054060961299363e-166
178,RPL37,27.63058,0.3760819,4.776929442378362e-168,5.804661581104546e-166
179,MT-ATP6,27.599222,0.29603416,1.1368548741250747e-167,1.3764562732276805e-165
180,RPS28,27.371979,0.37796336,5.913855127627584e-165,7.08353118822764e-163
181,RPL37A,27.326406,0.352312,2.0600511088393086e-164,2.4499997903635723e-162
182,MT-ND4,27.27701,0.3360188,7.949749232676788e-164,9.35504174615839e-162
183,SNHG7,27.264814,1.1684793,1.10914644445878e-163,1.3006487221768731e-161
184,MT-CO2,27.232145,0.29328442,2.7046991121779434e-163,3.160634105373654e-161
185,CXCR4,27.227089,0.9856903,3.104478806680494e-163,3.615208688140639e-161
186,LY86,27.16317,1.2468526,1.7698620803829801e-162,2.0468149810994615e-160
187,HVCN1,27.074461,1.6484097,1.968442655152224e-161,2.2686470710823125e-159
188,ISCU,26.92389,0.90234447,1.1536552800580278e-159,1.325044204883087e-157
189,TRIM38,26.860287,1.0192914,6.396136999569073e-159,7.321284733499916e-157
190,RPL15,26.789892,0.33997342,4.237840949473363e-158,4.817922364862294e-156
191,MT-CO3,26.647373,0.29981694,1.9196876351226246e-156,2.1750839157683307e-154
192,GAPT,26.539879,1.6168642,3.3610480990520946e-155,3.769994352709336e-153
193,RIC3,26.527649,2.0921385,4.65154827365959e-155,5.200120866733178e-153
194,RPS6,26.44791,0.512748,3.8563399144644543e-154,4.2684464703402264e-152
195,PNN,26.416101,0.7244877,8.950532806696127e-154,9.874439778650485e-152
196,RACK1,26.415688,0.36538306,9.048937507116978e-154,9.950271020120959e-152
197,P2RY10,26.329763,1.9743596,8.75256675312121e-153,9.561680252970005e-151
198,UPF2,26.138517,1.0303619,1.3311550035750867e-150,1.4401379519322986e-148
199,RHOH,26.066498,1.317352,8.746932424854291e-150,9.432624426519717e-148
200,ZCCHC7,26.052263,1.4435291,1.2681769594655872e-149,1.3632089380306686e-147
201,MARCKS,25.936724,0.92942375,2.5673127193526634e-148,2.724763733596507e-146
202,DAPP1,25.899857,1.498941,6.684441550779622e-148,7.049773607863112e-146
203,RPS29,25.842487,0.5450375,2.955420527605406e-147,3.1071753496811944e-145
